SOS_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SOS10,44773,143086,304720,263764,187877,147040,86675,34115,10972,1223032,7292,9686,18274,16981,15887,11329,7283,3533,1188,91451,10454,18741,45191,52141,85395,69353,45289,22892,6981,356448,2338,2923,7135,8146,12595,14581,20393,11192,4347,83654,633,1342,4203,5119,8405,14067,19311,16487,7688,77260,174,826,2803,2592,3615,4260,3857,3596,1479,23188,7754,13146,32119,25178,22550,19897,17985,13858,8009,160498,73416,189747,414451,373934,336325,280521,200795,105677,40672,2015533,47853,150412,339280,289344,204005,141047,73971,30114,11831,1287855,5392,6999,14431,14560,15708,11024,7831,4322,1677,81937,6857,12536,32190,41399,85292,84649,62755,32654,13685,372006,1578,2142,5482,6938,11835,18957,23867,15723,9361,95888,393,841,2828,4680,8772,18076,22793,21726,14285,94388,123,538,2181,2709,4500,6215,5778,6498,3372,31911,6952,11880,29216,22330,20408,19716,19860,18214,16508,165073,69136,185344,425616,381951,350519,299683,216848,129257,70714,2129060,92623,293498,643998,553106,391885,288090,160649,64234,22801,2510885,12676,16680,32705,31542,31587,22348,15107,7855,2866,173382,17310,31271,77382,93540,170690,153999,108048,55543,20670,728456,3918,5069,12616,15088,24429,33539,44265,26917,13707,179542
SOS11,7617,20372,38682,37355,25701,27940,21996,9685,3054,192390,3156,4293,7021,6634,5949,5078,3685,1959,561,38339,5216,9581,21090,22381,37107,34821,24325,11830,2799,169158,1429,1427,3481,3821,6590,8766,13309,7013,2271,48110,304,500,1254,1614,2944,6307,9027,7464,3626,33035,42,85,227,263,362,407,481,384,152,2398,2878,3871,7962,7469,8209,8810,9449,7589,3852,60092,20640,40124,79714,79538,86861,92137,82274,45928,16319,543535,8930,24877,51466,48868,34223,29561,19736,9399,3596,230659,2507,3292,6332,6464,6950,5585,4397,2432,806,38770,3760,6925,15631,18373,36873,40617,32367,16633,5738,176927,930,1316,3087,3267,6108,9920,13683,8900,4510,51729,229,319,837,1111,2133,5370,7566,8019,6520,32103,19,46,169,202,290,349,388,375,228,2071,2701,3037,6050,5903,7241,8550,10419,10554,7790,62254,19084,39814,83578,84192,93816,99951,88559,56313,29195,594508,16549,45244,90146,86224,59920,57496,41733,19082,6649,423049,5670,7585,13352,13100,12900,10665,8086,4392,1368,77112,8980,16506,36728,40751,73983,75443,56690,28466,8537,346085,2358,2738,6566,7087,12706,18689,26988,15913,6783,99840
SOS12,749,1625,2765,3401,2843,3442,2531,935,221,18507,313,376,593,658,714,627,460,173,44,3954,525,883,1963,2610,4588,4564,2976,1165,229,19493,144,155,326,407,802,1126,1569,701,183,5424,42,43,103,154,411,906,1217,821,316,4012,9,5,8,12,27,33,69,42,8,211,326,282,588,690,849,1106,1097,736,240,5918,2109,3366,6342,7931,10224,11802,9907,4575,1252,57516,806,1925,4020,4936,3797,3627,2268,778,204,22354,226,297,520,626,775,628,410,194,60,3748,359,536,1369,1998,4351,4844,3407,1294,342,18503,88,112,245,306,677,1142,1423,698,306,4989,18,18,61,97,255,566,834,652,417,2911,8,0,15,17,11,21,39,29,23,159,277,243,564,649,830,1053,1015,775,376,5778,1782,3127,6797,8623,10697,11870,9397,4424,1721,58439,1553,3546,6779,8345,6632,7068,4794,1715,428,40857,540,667,1116,1285,1490,1259,872,365,104,7698,890,1417,3334,4610,8939,9400,6381,2457,570,37997,235,263,571,707,1474,2268,2990,1398,492,10411
SOS13,3111,6843,10371,13502,13537,15940,11066,3485,728,78583,1103,1246,1839,2210,2617,2412,1513,529,105,13575,2388,3391,7051,9779,18244,16913,9843,3383,519,71514,490,392,969,1476,2975,3878,5370,2052,466,18064,95,111,377,607,1269,2835,4026,2541,862,12717,12,12,40,55,90,173,207,163,56,816,1497,1595,3050,3449,4662,5010,4399,2224,669,26560,8702,13586,23704,31074,43388,47164,36420,14383,3408,221822,3385,7706,14706,19940,18598,16141,8938,2668,708,92791,722,760,1520,2016,2821,2413,1519,541,108,12426,1096,1727,4020,6439,15045,15924,10269,3295,840,58665,240,221,559,875,1987,3187,3936,1599,550,13138,72,48,156,258,618,1652,2273,1636,844,7553,10,9,25,34,53,118,136,124,75,583,1396,1032,2141,2931,4037,4312,3661,1914,834,22252,6918,11507,23132,32482,43155,43746,30736,11772,3960,207409,6495,14549,25081,33442,32137,32084,19999,6154,1441,171374,1822,2008,3359,4229,5436,4824,3035,1076,210,26002,3485,5118,11075,16222,33289,32839,20109,6678,1360,130174,733,616,1525,2347,4962,7062,9306,3649,1013,31210
SOS17,0,0,8,3,8,10,15,10,0,52,0,0,3,5,0,0,4,0,0,12,0,3,3,3,14,3,11,4,0,42,0,0,0,4,0,0,4,0,0,8,0,0,0,0,3,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,14,3,0,26,3,9,11,18,25,22,48,16,3,152,3,4,17,10,8,22,11,7,3,76,0,0,0,0,3,3,0,0,0,12,0,0,0,4,10,8,19,5,0,50,0,0,0,3,4,5,3,3,3,22,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,14,6,0,40,4,4,24,14,31,46,60,24,7,217,3,3,21,7,16,29,27,18,4,125,0,0,0,4,6,4,3,0,0,25,0,3,4,3,20,18,35,9,0,87,0,0,0,4,3,4,7,3,3,34
SOS19,85,356,679,376,234,254,167,42,10,2199,26,52,92,68,57,48,25,3,3,380,34,105,225,227,269,237,190,22,8,1323,18,35,67,67,77,61,86,23,3,436,3,22,42,29,41,58,67,18,3,286,0,0,3,3,17,9,4,4,0,41,80,166,499,497,446,319,173,52,12,2245,241,744,1609,1269,1148,985,719,162,32,6910,80,379,647,296,220,206,108,21,4,1964,17,27,38,30,48,41,22,3,0,237,29,58,80,80,138,232,157,27,8,811,11,19,32,28,38,65,58,11,8,270,11,5,6,11,17,37,33,14,9,130,0,3,4,3,4,3,3,4,0,22,50,134,279,182,185,141,95,37,17,1120,200,613,1091,629,646,732,472,120,48,4549,164,734,1328,670,459,457,274,59,11,4161,46,83,133,98,109,91,52,8,3,614,65,157,305,306,412,475,350,49,17,2136,25,54,97,95,121,127,145,34,7,701
SOS20,36108,128223,268233,219060,150857,111905,66756,26335,8918,1016400,5875,10647,21208,24916,45260,30805,15324,6052,1873,161957,5512,10140,24115,26951,39256,34609,24884,12337,3809,181608,2024,2696,6605,7424,11454,13169,13110,7754,2718,66954,927,1466,4323,4977,6848,10397,18772,19240,8601,75551,213,952,2577,2657,3112,3218,3193,3175,1243,20334,6332,10776,25653,19696,17755,15480,14057,11471,6063,127297,56993,164897,352718,305684,274542,219588,156095,86369,33222,1650109,39367,135545,300156,247270,175157,116397,59141,24264,9920,1107216,3948,6917,14287,18237,43720,34445,19748,8673,3166,153141,3563,6056,15042,17524,33204,37438,32812,16388,7351,169375,1339,1734,3983,5390,9865,14493,15445,9783,5115,67146,599,1005,3492,4834,7334,13887,27054,27007,16198,101400,136,589,2310,2779,3877,4779,4785,6007,2672,27935,6172,10055,24506,18178,17035,16041,16397,15226,12091,135699,55128,161896,363772,314223,290190,237473,175388,107342,56506,1761917,75480,263767,568386,466335,326018,228305,125901,50598,18832,2123620,9825,17563,35495,43155,88976,65246,35069,14728,5040,315093,9074,16188,39159,44469,72457,72049,57703,28724,11158,350986,3361,4432,10589,12819,21315,27663,28555,17536,7827,134102
SOS21,5679,17568,33083,30397,19710,19073,13804,5803,1887,147020,2400,4577,8069,9217,15073,12719,6344,2266,606,61267,2583,4603,10037,10727,15923,15549,12759,5332,1333,78843,916,1287,2891,3136,5028,6410,7506,4038,1173,32389,369,522,1282,1325,1918,3375,6852,6765,3312,25713,41,108,366,388,508,404,344,269,96,2527,1948,2474,4927,4744,5566,5969,6243,4925,2403,39202,13940,31132,60659,59939,63722,63508,53848,29405,10816,386964,6458,20663,44819,41687,28233,22332,12910,5921,2528,185552,1668,3105,6007,7763,16477,15154,8488,3503,1130,63293,1772,3157,6862,7625,13617,16058,15346,7267,2652,74351,634,827,1654,1994,4200,6897,7812,4735,2154,30906,249,325,829,934,1476,3318,7411,7755,6243,28549,35,86,281,369,418,339,336,322,172,2362,1956,2208,4625,4534,5301,6203,7150,6863,4671,43506,12770,30373,65069,64917,69712,70306,59463,36372,19546,428516,12143,38227,77897,72090,47942,41405,26715,11723,4419,332570,4068,7681,14075,16978,31542,27870,14833,5773,1736,124555,4354,7761,16893,18354,29542,31610,28101,12603,3984,153193,1545,2120,4546,5132,9221,13310,15319,8774,3328,63293
SOS22,431,1077,2032,2419,1831,2184,1845,629,159,12616,209,343,674,861,1666,1537,776,219,49,6336,225,329,863,1069,1873,2116,1572,579,103,8749,84,96,242,348,620,878,1022,419,103,3813,32,34,101,94,213,452,890,708,311,2840,3,7,12,12,11,19,18,11,8,107,193,179,394,470,643,848,876,489,240,4326,1183,2054,4322,5272,6865,8041,6999,3067,972,38791,450,1249,3020,3522,2809,2660,1637,601,217,16167,143,220,478,739,1744,1661,940,327,80,6337,119,206,487,697,1404,1770,1579,609,182,7057,59,54,135,199,437,823,807,378,140,3025,16,16,45,65,136,273,675,634,480,2343,0,3,5,9,17,11,17,22,5,98,175,150,386,503,610,788,822,586,375,4399,960,1904,4553,5731,7161,7990,6483,3162,1475,39425,879,2327,5056,5936,4640,4847,3482,1236,379,28775,345,563,1152,1603,3407,3203,1723,551,130,12674,345,537,1352,1767,3282,3889,3145,1191,286,15804,148,146,378,548,1055,1696,1829,801,242,6842
SOS23,2380,5614,8266,10518,9388,11100,7611,2138,440,57454,1081,1642,2461,3914,7999,7088,3317,832,151,28491,1055,1567,3216,4617,8637,8764,6079,1889,303,36127,340,342,957,1412,2825,3519,3595,1414,267,14673,109,132,367,436,785,1536,3467,2409,829,10076,13,15,55,63,78,61,134,120,39,582,981,1019,2567,2931,3545,3619,3191,1602,460,19922,5960,10339,17891,23882,33262,35696,27394,10409,2499,167334,2539,6431,12212,16141,14638,13175,6638,1669,462,73906,533,763,1566,2753,7906,6992,3646,940,207,25317,489,659,1624,2428,5686,6545,5263,1727,449,24870,221,142,338,623,1589,2479,2394,983,280,9053,65,62,138,193,425,1067,2300,1680,843,6781,17,10,44,37,51,67,88,122,42,474,862,709,1400,1913,2852,3040,2608,1333,478,15190,4724,8779,17326,24088,33136,33373,22934,8461,2765,155581,4915,12048,20484,26659,24023,24276,14253,3810,899,131365,1611,2411,4029,6662,15903,14086,6967,1774,366,53808,1542,2223,4840,7045,14321,15311,11337,3616,756,60995,565,482,1295,2030,4410,6006,5985,2402,546,23729
