SOS_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SOS10,28658,122124,11670,162451,26978,149338,14222,190536,48694,332527,33874,415091,59143,289172,26055,374373,60553,253848,22337,336739,44149,218504,18230,280884,33352,152494,15201,201050,14087,80725,10994,105800,2824,31912,5981,40722,318450,1630645,158558,2107645,33993,109950,10316,154257,34479,138777,12746,186005,61840,334321,30110,426273,82852,277350,22398,382594,75752,255712,19630,351096,52113,230545,17625,300284,40530,160338,16395,217264,17440,97416,14615,129473,3785,55014,11999,70794,402783,1659419,155832,2218034,62656,232066,21983,316706,61451,288115,26972,376543,110535,666848,63981,841359,141996,566524,48451,756967,136308,509559,41967,687831,96267,449050,35856,581173,73889,312825,31596,418310,31529,178144,25605,235279,6610,86929,17980,111515,721228,3290064,314389,4325678
SOS11,6998,32100,4957,44063,5293,30831,4092,40215,11120,60550,8104,79780,15330,56888,7370,79588,17456,61815,7639,86907,18060,66213,7903,92178,18594,55458,8258,82312,8545,30824,6587,45959,1471,11561,3297,16330,102877,406237,58208,567319,8501,29605,4357,42465,6713,30016,3168,39894,15102,62524,6008,83635,22452,56186,5614,84256,22160,65035,6687,93887,23285,69280,7431,99993,24812,55106,8683,88602,12022,35409,8932,56366,2394,20697,6137,29226,137460,423862,57010,618327,15507,61708,9310,86529,12011,60844,7259,80110,26224,123078,14106,163411,37790,113072,12986,163839,39613,126848,14323,180793,41351,135492,15335,192171,43407,110559,16943,170916,20576,66234,15511,102322,3864,32260,9435,45558,240332,830094,115213,1185649
SOS12,790,3151,625,4567,485,2601,290,3380,918,4826,605,6347,1775,5497,660,7932,2343,7104,784,10233,2545,8256,1005,11809,2279,6636,1000,9916,897,3017,661,4576,131,908,216,1252,12160,42005,5849,60015,885,2939,517,4340,569,2312,247,3132,1395,4850,565,6809,2703,5306,631,8638,2905,7008,782,10703,2947,8002,925,11875,2730,5786,884,9401,960,2786,684,4432,190,1239,290,1724,15287,40232,5530,61045,1677,6085,1147,8907,1054,4915,541,6513,2311,9677,1167,13157,4480,10803,1292,16573,5250,14115,1572,20935,5492,16258,1936,23683,5013,12418,1881,19314,1854,5806,1343,9009,318,2152,507,2974,27444,82238,11381,121062
SOS13,3802,12258,2673,18729,2151,9779,1677,13601,3863,16769,3085,23718,7826,19771,3487,31084,11074,27812,4519,43405,11356,31033,4783,47179,8726,23593,4108,36434,2660,9574,2157,14394,350,2447,612,3412,51809,153045,27105,231960,4331,10288,2404,17018,2391,8058,1081,11532,5224,15746,2163,23136,11458,18166,2878,32498,13656,25685,3832,43171,12406,27279,4081,43769,9103,18277,3378,30752,2647,7330,1804,11785,398,2790,771,3961,61616,133612,22396,217622,8139,22541,5075,35753,4537,17843,2756,25135,9084,32521,5250,46857,19282,37932,6364,63585,24723,53495,8356,86576,23766,58309,8868,90948,17827,41869,7486,67180,5312,16907,3963,26179,742,5240,1386,7371,113421,286659,49494,449576
SOS17,0,5,0,3,3,0,3,9,0,10,0,11,0,7,3,18,3,15,0,25,3,16,4,22,10,29,5,48,3,14,9,16,0,4,0,3,21,104,30,157,0,8,0,7,0,4,0,4,0,18,5,24,0,14,0,14,4,19,5,31,6,34,8,53,8,40,17,60,6,13,11,24,3,0,0,7,24,151,48,220,0,9,0,12,3,7,3,9,3,26,7,32,3,23,4,34,9,40,10,50,9,55,12,74,17,73,22,108,9,23,16,42,3,7,0,10,47,251,75,374
SOS19,37,174,76,285,88,495,168,746,132,978,508,1615,100,676,495,1269,100,593,455,1148,89,583,315,986,73,470,176,719,13,96,48,162,0,22,8,32,620,4089,2247,6958,38,149,48,232,88,396,132,615,167,649,276,1091,92,349,191,629,107,361,182,646,124,468,147,732,70,316,93,477,13,66,38,120,0,33,11,48,688,2779,1121,4590,72,322,125,517,174,890,300,1358,297,1626,780,2703,194,1020,687,1900,206,960,636,1798,210,1048,457,1722,143,787,266,1196,27,165,87,282,0,54,27,78,1313,6866,3364,11545
SOS20,22043,100166,9621,131821,25566,128480,11573,165623,44679,281794,26698,353161,51243,234615,20166,306022,53011,204492,17332,274841,36555,169193,14077,219820,27578,116519,12172,156263,12496,64397,9578,86471,2499,25979,4787,33259,275656,1325628,126006,1727287,27295,91891,8894,128075,34161,117704,10569,162436,57961,281416,24845,364222,71658,225091,17923,314671,64352,209980,16302,290627,42824,180612,14379,237818,34665,127194,13788,175652,15315,79580,12573,107472,3202,44334,9052,56588,351438,1357792,128330,1837560,49332,192052,18516,259900,59729,246187,22140,328057,102638,563203,51539,717381,122899,459702,38092,620699,117359,414470,33638,565475,79379,349800,28456,457642,62240,243714,25963,331909,27815,143976,22149,193940,5704,70311,13838,89845,627090,2683422,254330,3564851
SOS21,5960,23477,3398,32838,4947,23746,2541,31234,9391,46382,4942,60709,12981,42429,4562,59972,14868,43821,5061,63752,13781,44454,5287,63525,13358,34946,5570,53877,6295,18780,4349,29427,1107,7676,2040,10823,82687,285721,37744,406154,6864,20825,3139,30827,5859,22317,2277,30455,12223,48343,4559,65121,18573,42084,4293,64952,18276,46751,4727,69755,16682,48329,5329,70339,17013,36359,6123,59492,7782,22713,5916,36406,1620,14168,3784,19567,104895,301882,40137,446912,12825,44307,6536,63665,10805,46064,4818,61683,21611,94722,9497,125830,31548,84516,8850,124918,33151,90570,9785,133503,30464,92789,10611,133862,30373,71306,11691,113365,14083,41491,10265,65842,2720,21840,5823,30387,187576,587601,77876,853064
SOS22,585,1860,378,2826,366,1522,181,2060,792,3156,372,4325,1447,3407,430,5280,1895,4351,622,6869,2156,5168,723,8048,1926,4288,787,6999,714,1897,459,3069,109,653,214,972,9984,26299,4166,40448,644,1590,318,2552,397,1370,150,1913,1066,3133,356,4555,2029,3251,455,5736,2261,4349,561,7166,2329,4989,667,7991,2096,3653,735,6484,874,1767,520,3165,173,996,307,1475,11868,25104,4069,41044,1226,3452,696,5379,760,2885,333,3976,1863,6291,732,8880,3471,6657,881,11016,4153,8700,1178,14036,4487,10156,1387,16033,4020,7940,1523,13490,1589,3665,979,6229,281,1655,514,2449,21848,51401,8236,81486
SOS23,3360,8922,1905,14188,1962,7357,1048,10371,3139,12249,2528,17911,6379,14611,2902,23893,9724,20223,3324,33275,9841,22573,3296,35706,7375,17074,2956,27407,2214,6682,1512,10409,288,1768,444,2499,44281,111464,19905,175653,3676,7532,1652,12860,2151,5933,723,8809,4127,11833,1376,17334,9236,13029,1832,24097,11356,19202,2591,33153,9971,20663,2748,33382,7136,13459,2347,22945,1986,5208,1273,8465,307,1994,468,2766,49952,98841,15014,163808,7042,16450,3558,27043,4111,13290,1773,19177,7267,24075,3903,35251,15621,27638,4738,47992,21084,39425,5917,66424,19812,43241,6043,69088,14514,30536,5305,50347,4198,11893,2785,18869,594,3763,912,5266,94235,210306,34916,339459
