SOS_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOS10,91470,18421,111515,874275,287300,26940,1188514,2816845,320325,4325678
SOS11,35462,9677,45558,214686,90392,10213,315291,752760,117599,1185649
SOS12,2401,531,2974,21581,9428,1004,32009,77386,11670,121062
SOS13,5767,1423,7371,83180,35626,3171,121981,277482,50112,449576
SOS17,6,0,10,39,37,0,79,226,76,374
SOS19,49,28,78,847,475,45,1373,6811,3361,11545
SOS20,74236,14290,89845,719521,231347,22968,973831,2331537,259481,3564851
SOS21,23942,6075,30387,164259,67899,7763,239923,533423,79719,853064
SOS22,1881,524,2449,14117,6045,702,20864,52180,8446,81486
SOS23,4166,927,5266,63286,27798,2505,93589,210194,35677,339459
SOS27,0,0,0,5,0,0,5,18,3,25
SOS29,25,13,38,649,290,14,960,3900,1969,6825
SOS30,47149,12680,60437,543833,183292,22388,749510,1667869,208466,2625846
SOS31,14858,3628,18647,135813,46483,6476,188763,428789,69767,687318
SOS32,1687,372,2085,20584,8137,970,29686,73485,12586,115759
SOS33,3390,825,4307,66422,25196,2582,94202,216235,39289,349730
SOS37,0,3,4,13,17,0,28,90,21,144
SOS39,30,11,44,760,474,19,1251,7804,2633,11693
SOS40,26962,4368,31706,183534,75399,7195,266127,636981,61221,964327
SOS41,7847,1683,9636,46501,20626,2376,69507,164097,21723,255330
SOS42,1228,316,1559,7518,3598,439,11559,28906,3998,44462
SOS43,1267,233,1555,22182,10010,949,33135,72928,10825,116882
SOS47,0,0,0,0,0,0,0,6,0,3
SOS49,16,4,22,262,141,16,411,1621,609,2648
SOS50,26634,6920,33920,317322,106646,12045,436023,962561,118808,1517390
SOS51,4800,1316,6189,60441,18869,2940,82249,170264,32444,284961
SOS52,751,242,1011,9277,4031,564,13865,31468,6755,52084
SOS53,1043,215,1288,24908,9551,1201,35662,81712,19927,137303
SOS57,3,0,3,54,4,0,61,297,72,434
SOS59,13,3,23,376,169,14,558,3441,1554,5559
SOS60,3925,668,4651,27025,11755,1331,40116,95488,11059,146664
SOS61,4567,916,5538,29691,12111,1329,43126,108256,13906,165288
SOS62,502,133,642,4348,1823,218,6390,16936,2466,25793
SOS63,740,145,926,15217,5907,649,21772,52330,7006,81103
SOS67,0,0,0,4,0,0,9,53,9,73
SOS69,3,0,3,89,38,5,128,530,180,835
SOS70,467,93,572,19193,5166,688,25043,56734,13023,94796
SOS71,155,47,209,7330,3552,1074,11963,19063,5556,36577
SOS72,49,9,69,3815,3024,889,7728,8896,2607,19234
SOS73,74,13,88,4969,2255,547,7771,13431,5196,26395
SOS77,0,0,0,3,0,0,4,43,26,72
SOS79,0,0,0,151,57,0,211,1317,747,2281
SOS80,4769,1275,6151,67047,23220,2685,92954,207023,21606,321581
SOS82,4,0,4,48,26,0,68,134,12,217
SOS83,0,0,3,147,25,4,177,358,73,610
SOS87,0,0,0,0,0,0,0,0,0,0
SOS89,3,0,3,39,33,7,73,322,108,506
SOS91,3,0,3,237,34,11,278,769,237,1285
SOS92,17,3,22,205,91,12,307,766,145,1222
SOS93,23,4,29,172,82,7,260,587,358,1207
SOS97,0,0,0,0,0,0,0,6,0,6
SOS99,0,0,0,3,0,0,6,35,4,46
