SOS_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOS10,196789,677919,601452,182884,94399,1753438,61256,1814697
SOS11,37606,211487,194094,57306,26212,526700,24745,551443
SOS12,2235,18019,20809,7257,3965,52284,2475,54761
SOS13,3001,38727,71495,35606,27435,176260,7150,183411
SOS17,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0
SOS20,139230,544551,559586,163411,81796,1488568,49072,1537642
SOS21,23659,140044,147694,45369,21820,378583,17025,395606
SOS22,1287,11815,14614,5295,2939,35943,1815,37758
SOS23,1896,26273,54396,29062,24733,136358,5342,141696
SOS27,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0
SOS30,73294,405669,433193,136203,65897,1114253,35672,1149922
SOS31,20304,111583,112288,36854,16967,298006,12587,310591
SOS32,3231,17196,18735,6881,3665,49706,2360,52068
SOS33,2307,31783,55873,27402,21245,138602,5642,144249
SOS37,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0
SOS40,37868,167564,158954,47013,21184,432582,13253,445836
SOS41,8180,44387,43892,14120,6764,117343,4372,121711
SOS42,939,6784,7927,2913,1537,20102,777,20886
SOS43,868,10204,19153,10202,8319,48746,1617,50362
SOS47,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0
SOS50,33334,218226,264117,88312,46624,650609,18170,668779
SOS51,6389,40525,48536,17423,8642,121524,4816,126344
SOS52,1859,6927,7597,3131,2063,21567,1050,22615
SOS53,1040,8520,17098,10103,10378,47139,1893,49039
SOS57,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0
SOS60,6304,26995,23225,7187,3352,67059,2297,69360
SOS61,6343,30371,27011,8959,4216,76900,3107,80004
SOS62,487,4012,4613,1733,916,11758,526,12287
SOS63,564,7881,14234,7052,4992,34720,1205,35932
SOS67,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0
SOS70,2200,12119,14715,4619,2203,35857,1646,37506
SOS71,1990,4613,3862,1324,536,12327,764,13088
SOS72,1985,1870,992,300,196,5342,399,5742
SOS73,770,1959,2786,1464,1166,8147,576,8721
SOS77,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0
SOS80,7833,52966,55586,15490,6977,138852,3501,142353
SOS82,4,26,38,16,11,91,3,99
SOS83,0,32,95,45,33,205,7,214
SOS87,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0
SOS91,23,143,144,43,32,380,19,399
SOS92,26,157,188,66,48,479,28,510
SOS93,14,138,182,72,31,431,24,454
SOS97,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0
