SOS_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOS10,20970,3742,4824,73,69,29689,6887,1183,1287,25,15,9398,5844,1013,1183,28,11,8080,9565,1719,2108,39,19,13452,13533,2380,3197,60,30,19202,40955,7271,10458,118,90,58901,51222,9458,13460,165,121,74413,88641,15219,21437,250,235,125774,54319,9556,12627,135,141,76781,59622,11395,12192,144,178,83535,52594,11098,7666,129,192,71677,19180,3019,3031,66,57,25354,423331,77061,93478,1240,1158,596266
SOS11,6814,367,146,47,39,7414,4143,249,121,17,16,4554,3863,206,78,27,20,4202,7792,343,216,51,33,8434,11269,525,245,60,34,12145,30040,1350,566,129,111,32197,30579,1124,362,105,81,32253,29855,744,245,88,81,31019,11173,279,86,18,45,11602,7427,156,65,30,24,7717,3408,86,50,31,44,3618,6275,237,91,28,35,6670,152644,5670,2278,648,576,161815
SOS12,983,12,8,8,7,1018,719,6,0,10,8,743,699,5,6,10,5,727,1183,15,7,11,9,1226,1487,11,8,0,13,1527,3308,33,15,13,24,3394,3064,34,9,11,25,3136,3132,24,6,7,14,3179,1390,8,3,5,3,1410,1021,4,8,0,3,1034,528,3,0,3,7,543,901,5,0,3,7,919,18413,161,68,87,133,18864
SOS13,4527,28,6,48,54,4659,1701,7,4,22,7,1749,1457,9,0,19,11,1492,2590,9,4,48,21,2677,3540,12,8,44,38,3635,8480,18,6,86,72,8655,8130,29,0,69,55,8289,10818,41,9,66,104,11038,5835,16,6,47,35,5936,5996,18,9,38,27,6083,4756,3,0,28,43,4833,3928,7,4,35,40,4021,61753,197,54,549,510,63063
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,22633,4042,1997,58,62,28789,8856,1466,620,21,11,10980,7798,1274,609,20,12,9703,12937,2123,1059,15,17,16155,18318,3126,1580,28,29,23080,56286,10091,5749,125,105,72364,70124,12596,7176,137,144,90181,96430,15960,9377,197,204,122171,43730,8198,4254,88,117,56394,38417,8143,3340,60,105,50063,29231,6404,2093,46,96,37872,20112,2916,1244,48,48,24367,424875,76346,39095,831,962,542112
SOS21,5595,225,68,17,28,5930,4039,153,36,10,13,4249,3860,154,57,12,8,4097,7959,299,98,20,14,8400,11411,436,145,25,34,12042,30341,1132,237,53,69,31842,26928,752,152,37,61,27926,21229,453,60,39,48,21826,6379,128,14,5,18,6546,4111,100,15,16,19,4261,2201,40,6,6,15,2274,5580,152,35,25,16,5817,129634,4034,937,261,346,135208
SOS22,763,3,0,10,6,779,773,0,0,7,5,792,648,7,0,9,3,666,1221,9,4,10,4,1249,1424,7,3,16,3,1451,2988,13,6,21,12,3042,2301,6,5,8,10,2332,1841,8,3,15,14,1882,612,4,0,8,5,621,380,0,3,4,3,393,211,3,0,4,3,224,725,3,6,5,9,751,13890,68,32,104,79,14177
SOS23,3823,11,3,24,32,3897,1760,3,5,22,16,1804,1553,3,0,12,10,1581,2857,4,0,26,19,2905,3701,9,3,26,34,3768,9218,16,6,43,51,9341,8486,30,9,19,48,8600,9307,35,17,37,66,9459,3928,9,0,12,25,3971,3512,3,0,19,20,3555,2517,7,0,17,19,2561,3515,6,7,16,24,3565,54173,136,51,277,368,55003
