SOS_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOS10,6224,6424,4920,1058,1724,393,20740,1284,1057,1070,170,402,64,4033,2328,2021,2139,413,908,99,7907,1917,1848,1780,381,754,76,6762,3041,3002,2903,697,1351,123,11121,4071,4798,4035,1026,1923,210,16064,5406,7844,5517,1495,2272,220,22749,6271,10241,6060,1995,2654,274,27494,6398,12115,5603,1913,2323,276,28622,7860,15911,6543,2352,2711,327,35705,6270,13648,4433,1668,1733,254,28004,13335,29665,11216,3146,3419,574,61363,5699,13435,3542,1193,1072,161,25094,5461,12914,3481,887,844,172,23757,11026,25820,7552,1979,1886,338,48599,17949,44188,12596,2707,2548,524,80507,7562,20279,5833,1043,1024,231,35977,6857,20057,5318,1008,865,213,34314,4865,9732,5222,1202,1740,349,23104,123816,254998,99762,26331,32136,4880,541928
SOS11,1843,781,627,186,310,49,3795,736,227,221,97,155,16,1462,1444,597,589,210,361,44,3243,1244,646,518,242,361,27,3043,2289,1557,1058,640,708,60,6314,3088,2940,1573,950,895,97,9538,3426,4134,1806,1085,991,107,11545,4099,5990,2130,1390,1075,104,14790,3563,6192,1756,1001,747,92,13353,3842,7062,2003,981,704,86,14684,2357,5058,1234,581,380,40,9652,3471,6812,2028,627,464,66,13466,1269,2993,587,204,143,15,5208,759,1676,387,111,82,15,3022,1997,4231,1168,295,213,32,7934,1977,3755,1119,254,208,16,7335,593,1024,331,74,62,8,2102,400,585,181,53,35,10,1260,1772,1858,880,409,428,69,5406,40163,58111,20193,9388,8340,955,137146
SOS12,253,100,78,27,36,3,508,104,31,37,8,20,0,206,209,110,97,42,54,6,517,213,149,80,48,67,3,568,319,286,169,96,76,10,952,408,411,218,124,93,11,1262,374,508,207,109,94,6,1297,465,653,230,138,97,8,1595,377,579,207,96,53,4,1317,401,705,221,93,68,5,1488,251,441,116,47,39,3,895,409,778,259,68,52,0,1571,130,280,78,12,16,0,520,92,211,51,9,9,0,369,239,505,162,49,24,0,980,273,520,153,37,17,0,994,105,173,54,6,3,0,342,56,90,37,3,5,0,183,238,241,142,48,45,7,724,4905,6754,2599,1081,877,83,16297
SOS13,1495,952,574,97,145,24,3288,300,134,93,23,57,6,608,616,305,242,91,100,16,1361,524,289,256,73,81,10,1234,889,614,455,141,124,14,2242,1089,999,628,187,184,26,3110,1255,1186,664,189,170,18,3483,1404,1582,759,214,220,23,4193,1075,1529,590,178,176,10,3555,1161,1811,764,226,160,12,4133,804,1360,456,114,86,13,2833,1468,2642,1022,224,174,22,5544,558,1121,314,78,45,10,2122,462,889,255,41,53,5,1703,1098,2079,667,122,102,7,4077,1567,3091,1036,170,123,14,6010,701,1272,430,63,64,8,2541,608,1114,402,60,71,6,2262,1242,1244,723,152,168,28,3565,18322,24203,10309,2460,2316,259,57871
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,5388,5981,4219,991,1597,382,18557,1292,1163,1163,208,510,32,4361,2436,2317,2184,512,1116,112,8679,2008,2259,1996,526,1012,90,7893,3033,3797,3302,915,1653,156,12862,4303,6030,4421,1439,2252,244,18696,5843,9991,5714,1962,2713,288,26511,7377,13612,6143,2538,2941,371,32983,8031,17051,5830,2434,2606,390,36335,9192,19716,6018,2372,2418,421,40137,7444,16338,4055,1546,1448,320,31152,13199,29063,8964,2364,2398,566,56554,5682,12006,2638,842,738,173,22072,5263,11024,2569,670,592,166,20279,8195,16970,4445,1108,1025,255,32005,11272,25523,7106,1448,1330,356,47041,4264,10415,2903,589,553,143,18879,3373,9819,2692,616,520,126,17153,4679,8708,4668,1119,1697,376,21240,112274,221780,81033,24192,29123,4981,473384
SOS21,1163,719,522,150,224,41,2814,563,300,228,71,178,18,1353,1175,648,559,231,364,37,3012,1036,728,542,264,379,25,2971,1964,1792,1104,611,738,50,6261,2704,3220,1527,926,932,89,9396,3128,4710,1766,1090,953,98,11748,3645,6251,1941,1127,956,116,14038,3129,5819,1504,798,637,98,11974,3102,6155,1590,721,503,70,12143,1705,3997,904,329,236,48,7225,2371,5049,1389,355,273,52,9495,807,1834,362,125,81,14,3217,445,1042,256,53,44,9,1847,1103,2258,628,129,118,23,4259,1050,2071,631,122,106,23,4003,362,602,214,35,33,3,1256,230,422,141,23,33,9,859,1390,1685,865,306,368,75,4692,31067,49313,16673,7459,7158,890,112560
SOS22,155,68,47,15,19,4,309,85,32,39,17,24,0,193,229,95,87,36,60,10,529,188,124,73,45,37,4,478,329,269,123,90,89,10,906,342,395,178,111,105,10,1133,370,477,199,93,91,7,1237,364,561,170,74,71,9,1261,270,514,118,66,42,4,1004,295,553,141,55,29,0,1064,190,355,55,24,10,0,640,223,421,128,28,27,3,836,69,148,36,12,3,0,266,48,85,22,7,3,0,166,119,204,69,12,9,0,412,112,187,45,7,4,0,351,39,50,23,4,3,0,115,27,31,13,3,3,0,85,196,213,96,35,38,6,587,3652,4786,1644,748,680,69,11572
SOS23,1043,781,519,82,119,16,2560,267,122,120,23,44,3,582,599,308,300,74,93,10,1387,490,316,268,68,86,3,1235,877,693,508,142,166,11,2398,1104,1037,614,192,216,6,3165,1200,1443,730,250,206,14,3839,1290,1773,822,223,180,23,4309,1086,1706,621,172,152,16,3749,1098,1960,620,165,143,19,4001,774,1407,364,93,60,11,2701,1300,2279,750,130,127,11,4601,428,813,248,34,37,3,1564,338,592,202,38,17,3,1193,721,1333,410,58,55,7,2591,921,1700,564,85,96,7,3374,367,628,219,33,32,4,1282,331,570,218,35,31,5,1184,998,1055,696,128,157,24,3050,15226,20507,8780,2025,2020,219,48780
