SOS_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOS10,957,4393,7144,631,740,4293,18148,121,3679,249,637,109,56,4852,906,30131,1751,1431,607,273,35109,2982,14320,3416,2554,884,228,24387,3760,6681,3703,968,545,136,15795,10209,5623,5483,1114,2233,176,24833,38638,6258,11681,1203,1894,332,60007,110682,4605,20141,1051,2432,525,139429,94911,1183,14376,376,1379,345,112569,59960,367,8529,138,672,168,69839,34102,178,5130,99,340,117,39966,17536,76,3167,58,183,50,21072,9860,42,1821,29,101,28,11878,16693,33,3744,17,238,46,20769,6436,4544,4837,1134,1062,861,18876,407752,82121,95169,11447,13413,7637,617546
SOS11,258,989,1992,383,849,1537,6017,195,975,280,404,250,39,2154,2507,7130,2280,889,790,191,13792,9406,5354,4288,1507,1096,264,21906,7445,2163,4027,457,589,125,14813,17192,2209,5660,376,1467,163,27061,28084,1526,6967,268,821,200,37865,23912,368,4391,126,382,106,29286,5526,55,1054,23,112,24,6785,1440,14,349,5,39,13,1852,443,19,148,8,15,0,625,178,17,57,3,11,3,270,66,9,31,8,14,0,121,170,7,138,0,38,10,368,1376,1240,1213,405,431,250,4915,98194,22064,32879,4865,6906,2924,167829
SOS12,23,52,332,57,256,271,990,16,50,52,85,45,7,250,170,172,438,209,131,22,1146,456,133,656,117,157,20,1540,389,47,468,25,84,13,1020,827,19,485,11,77,16,1440,1194,21,581,6,53,13,1868,1000,4,358,0,40,5,1408,336,0,100,0,5,0,444,117,0,35,0,0,0,153,39,0,17,0,4,3,57,13,0,13,0,0,0,21,5,0,3,0,0,0,14,13,0,24,0,7,0,43,78,24,131,23,66,14,346,4672,531,3677,544,931,395,10745
SOS13,45,26,2825,117,1933,2689,7633,37,15,265,75,107,6,509,256,55,1517,123,409,49,2403,678,43,1622,106,363,35,2852,593,5,1407,30,243,24,2306,1135,18,1366,16,282,28,2844,1894,3,1525,11,205,21,3668,1909,0,1155,13,135,22,3236,1072,0,503,3,55,10,1638,536,3,225,0,21,3,788,278,0,112,0,8,0,404,139,0,51,0,3,3,198,62,0,20,0,4,0,86,102,0,84,0,10,3,199,175,19,922,57,800,58,2037,8916,192,13597,559,4576,2953,30803
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,915,1898,6804,377,492,3819,14302,260,1731,427,361,112,47,2929,1288,14679,2776,937,532,213,20421,4027,5991,4682,1625,770,163,17257,5606,3015,3916,770,596,120,14022,23593,2879,7936,936,1408,236,36985,90910,2888,18016,724,2305,446,115284,110856,1372,14849,313,1340,360,129096,47158,258,7039,128,485,150,55214,21708,97,3345,50,230,65,25494,9767,61,1589,23,102,32,11580,4840,31,970,23,60,21,5949,2491,17,490,7,36,15,3049,5630,15,1140,3,106,38,6936,6258,2382,4368,658,794,674,15128,335309,37315,78351,6940,9361,6366,473649
SOS21,163,838,1435,191,299,1113,4036,144,875,230,215,78,31,1581,2162,5893,1840,533,436,153,11023,7524,3006,3651,690,499,171,15535,6564,1306,3339,363,337,86,11992,16880,861,4497,253,596,120,23207,20490,262,3748,83,411,110,25106,8870,95,1500,41,147,50,10707,1172,19,329,11,32,11,1577,263,11,73,0,14,7,374,100,4,39,0,8,0,150,46,4,30,0,3,0,77,21,8,19,3,0,0,54,90,4,84,0,14,4,202,1028,834,863,204,240,174,3337,65530,14024,21677,2595,3114,2026,108964
SOS22,12,45,260,18,100,175,606,13,90,51,17,21,3,201,142,137,346,41,95,17,772,361,39,528,35,85,10,1051,343,11,354,10,43,9,759,729,7,342,7,32,5,1114,580,3,213,0,19,3,824,242,0,108,4,4,3,365,44,0,19,0,0,0,73,16,0,10,0,3,0,31,5,0,3,0,0,0,12,4,0,9,0,0,0,11,0,0,3,0,0,0,3,10,0,16,0,11,0,38,27,24,105,13,51,11,226,2532,354,2374,137,463,234,6085
SOS23,21,16,1951,14,1041,1579,4633,23,22,276,10,113,3,444,250,35,1223,12,323,29,1865,601,8,1352,13,343,21,2336,480,7,919,6,204,6,1629,863,13,842,3,249,8,1975,1384,10,706,4,168,18,2296,982,3,358,6,59,5,1406,302,0,136,0,18,6,463,138,0,46,0,3,0,189,56,0,27,0,3,0,87,23,0,18,0,0,0,41,9,0,10,0,0,0,21,31,0,42,0,4,3,78,99,15,605,13,443,33,1202,5248,121,8511,85,2978,1713,18658
