SOS_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SOS10,907445,214686,404514,7842,5015,1539507,118451,39045,64928,2534,1044,226003,23831,7915,15123,688,1620,49185,1049729,261652,484573,11070,7681,1814697
SOS11,357880,34772,19707,4455,2253,419066,82986,16260,11691,2962,826,114728,12397,2226,1798,628,603,17652,453262,53259,33194,8047,3683,551443
SOS12,39547,1021,518,726,449,42262,9480,369,405,385,95,10735,1449,68,92,78,78,1771,50470,1461,1014,1192,620,54761
SOS13,143455,827,439,1999,1490,148206,28465,220,138,1033,393,30245,4435,33,27,242,211,4960,176355,1079,605,3279,2096,183411
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,885862,223979,195613,4459,3325,1313234,117474,35615,29210,1330,547,184181,24505,7417,7253,348,709,40230,1027846,267012,232072,6133,4581,1537642
SOS21,278725,21001,7286,1457,1084,309546,57464,10363,5008,831,281,73947,9374,1533,799,156,257,12116,345566,32896,13088,2442,1617,395606
SOS22,27980,315,231,438,193,29160,6708,184,186,230,51,7359,1076,37,47,51,33,1236,35767,535,465,710,278,37758
SOS23,113564,373,271,992,908,116107,20928,95,130,680,198,22020,3283,13,23,134,121,3571,137775,480,419,1802,1224,141696
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,728664,117587,135029,4136,2904,988317,75117,26725,27742,2280,672,132540,16843,5164,5407,457,1203,29068,820621,149479,168176,6868,4782,1149922
SOS31,213809,15371,10387,2709,995,243270,42829,7425,5772,1646,257,57929,6618,1028,905,464,370,9387,263259,23826,17065,4818,1621,310591
SOS32,36868,638,593,885,470,39463,9405,339,433,492,146,10813,1427,47,75,169,84,1797,47695,1022,1096,1556,702,52068
SOS33,112657,470,287,2058,977,116449,21880,162,121,1128,278,23574,3528,28,36,392,241,4229,138072,658,437,3577,1503,144249
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,275440,60146,28181,741,923,365426,43155,18000,8633,270,170,70226,6209,2553,1206,54,160,10178,324804,80704,38014,1057,1254,445836
SOS41,82808,7494,1883,487,357,93031,18418,5100,1644,256,127,25542,2266,588,193,42,61,3144,103488,13174,3716,780,548,121711
SOS42,14994,240,107,265,114,15717,4197,202,86,109,46,4635,453,18,12,33,16,531,19643,457,203,402,175,20886
SOS43,39972,108,35,481,341,40941,7911,63,23,244,92,8332,978,4,4,59,45,1090,48863,174,64,784,478,50362
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,452843,87657,36180,1270,1060,579004,47408,18929,7760,591,167,74856,9806,3264,1448,131,274,14919,510058,109846,45387,1986,1495,668779
SOS51,90272,7481,2056,1514,425,101746,15487,3698,1029,699,133,21048,2534,553,178,175,103,3542,108296,11726,3266,2388,664,126344
SOS52,15541,429,153,327,137,16577,4612,302,123,137,46,5230,666,34,21,42,39,807,20815,767,305,506,227,22615
SOS53,38837,144,66,859,423,40323,6730,62,45,440,83,7356,1093,16,15,142,95,1357,46657,216,121,1441,598,49039
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,47082,3379,4978,178,131,55754,8610,1270,2006,43,15,11942,1197,180,241,15,29,1660,56890,4831,7225,240,178,69360
SOS61,54136,3492,2264,324,151,60367,13445,2386,1383,151,48,17412,1693,310,163,28,31,2221,69279,6181,3814,508,228,80004
SOS62,8898,135,66,86,51,9238,2449,95,80,45,22,2690,310,16,14,8,4,352,11661,248,164,144,77,12287
SOS63,28204,85,38,187,183,28700,6230,39,19,99,44,6436,746,4,3,22,25,796,35178,123,63,309,253,35932
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,19489,3592,8208,459,127,31876,1867,869,1435,115,29,4309,650,176,375,87,38,1321,22004,4633,10017,660,188,37506
SOS71,7005,1993,484,425,77,9989,1519,599,222,116,23,2488,374,132,52,33,23,608,8899,2728,757,574,134,13088
SOS72,2532,277,370,134,32,3336,1694,126,165,82,9,2078,211,18,37,49,13,326,4425,423,569,269,53,5742
SOS73,5644,25,13,367,138,6190,1818,36,12,193,36,2094,309,6,0,112,12,443,7767,66,23,671,193,8721
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,87212,21752,18738,98,214,128010,6361,2851,2098,61,34,11410,1654,670,562,24,24,2935,95222,25270,21404,184,271,142353
SOS82,79,7,0,0,0,85,6,5,0,0,0,5,4,0,0,0,0,4,87,14,0,0,0,99
SOS83,178,0,0,3,0,181,21,0,0,0,0,25,4,0,0,0,0,4,206,0,0,3,0,214
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,169,64,81,3,3,320,27,18,19,0,3,68,4,3,10,0,0,18,194,85,108,3,10,399
SOS92,376,0,7,6,5,391,83,0,0,6,3,94,16,0,0,3,0,22,478,0,10,12,8,510
SOS93,358,0,0,0,0,359,76,0,0,0,0,76,21,0,0,0,0,21,450,0,0,0,0,454
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
