SOS_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOS10,1307,8969,82949,439822,373772,100403,21982,20526,1049729,826,7665,39158,41607,6848,854,212,3107,100280,534,8721,36530,80670,26584,3585,770,3978,161367,1360,16386,75680,122278,33432,4442,981,7089,261652,2488,24003,57397,16785,1879,367,260,4338,107520,2362,23897,106940,20719,936,153,134,4401,159546,5311,51520,119433,32348,1351,199,191,5129,215479,59,629,697,339,111,35,24,129,2027,10222,100055,284473,70192,4277,750,603,14000,484573,377,2751,4110,2175,689,182,79,711,11070,200,1267,1970,1454,805,235,130,1613,7681,13474,129430,449180,635918,412975,106010,23775,43931,1814697
SOS11,538,4864,50116,220209,140090,22500,4164,10781,453262,239,3774,21305,11422,820,107,38,1731,39437,64,1413,4906,6034,914,76,36,385,13823,305,5187,26207,17456,1733,185,73,2116,53259,394,5681,15502,4087,389,67,73,1513,27704,31,376,1799,441,30,4,3,121,2800,15,302,1484,637,40,5,0,84,2562,3,51,27,20,14,0,0,8,124,435,6400,18813,5178,466,82,78,1737,33194,579,2057,2736,1401,489,64,55,674,8047,74,441,965,985,426,105,97,591,3683,1932,18945,98836,245238,143206,22936,4461,15893,551443
SOS12,121,1011,6757,22825,14935,2919,637,1271,50470,5,111,486,343,46,4,4,48,1050,3,15,143,200,26,3,3,18,413,8,125,628,545,76,8,10,61,1461,18,236,420,117,17,0,6,88,899,3,10,46,17,3,0,0,0,79,0,6,7,3,0,0,0,0,16,0,3,4,5,3,0,0,0,15,22,257,475,140,18,0,3,88,1014,89,340,405,188,62,16,11,80,1192,17,91,168,144,67,12,36,86,620,260,1826,8429,23842,15156,2962,694,1588,54761
SOS13,1053,5628,19659,63323,60857,16661,5260,3920,176355,7,61,296,349,166,42,23,35,975,0,6,34,38,15,6,3,3,108,11,69,326,392,180,43,26,39,1079,9,102,159,137,42,9,7,15,487,0,11,13,3,4,0,0,0,33,0,5,0,5,0,0,0,0,17,0,30,15,10,9,0,3,6,69,7,148,193,159,53,14,13,22,605,391,988,708,508,285,77,39,272,3279,33,170,343,626,468,149,96,212,2096,1489,7004,21228,65008,61839,16938,5437,4463,183411
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,1271,6781,90292,508946,330163,58789,10517,21092,1027846,396,11586,79428,54073,10305,1057,240,4602,161688,231,2937,27152,55130,15331,2071,367,2100,105322,627,14520,106582,109197,25637,3131,615,6701,267012,1105,20207,47416,15621,1631,191,161,2920,89253,838,16075,26932,3792,215,47,51,1301,49250,2467,31062,47753,8822,519,64,113,2442,93238,7,94,127,67,14,0,3,17,333,4415,67441,122227,28302,2387,297,319,6682,232072,270,1626,2043,1256,463,79,33,360,6133,76,605,1217,1267,552,110,65,689,4581,6653,90985,322357,648968,359201,62406,11549,35528,1537642
SOS21,401,3306,38926,188686,92966,11058,2003,8218,345566,156,4359,15449,6878,1214,90,47,1370,29555,10,226,1023,1606,324,47,15,94,3342,163,4584,16472,8482,1532,133,62,1468,32896,85,2573,7392,1697,116,15,25,713,12615,0,127,146,46,9,0,0,23,352,0,32,32,15,3,0,0,5,89,0,12,5,0,0,5,0,0,25,82,2745,7579,1759,128,20,28,750,13088,220,771,607,448,157,27,17,202,2442,22,150,353,536,226,34,37,260,1617,891,11555,63941,199905,95008,11266,2146,10889,395606
SOS22,65,696,5628,18850,8214,1142,246,921,35767,14,104,173,100,25,4,0,32,466,0,4,10,45,3,0,0,0,71,14,113,187,148,30,6,0,39,535,6,158,137,39,3,3,4,46,406,7,4,6,4,0,0,0,0,18,0,6,16,9,3,0,0,0,43,0,4,0,0,0,0,0,0,7,11,174,155,57,9,6,9,46,465,77,273,130,119,43,6,14,57,710,3,24,54,94,54,9,8,34,278,169,1277,6159,19269,8348,1166,271,1098,37758
SOS23,375,2689,14221,61109,45547,8876,2072,2885,137775,3,50,101,109,60,14,4,13,361,0,4,46,49,9,3,3,0,119,3,52,154,164,71,20,8,11,480,16,92,87,100,13,3,0,12,330,0,0,0,0,0,0,0,0,5,0,10,40,9,0,0,0,3,66,0,4,4,0,0,0,0,4,21,16,108,130,117,21,5,3,17,419,166,632,459,260,99,21,18,149,1802,12,56,192,470,286,71,24,115,1224,570,3539,15157,62113,46020,8996,2123,3177,141696
