SOS_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOS10,14011,64338,260476,262266,222098,136512,24843,1805,248,986585,33774,49613,53397,35520,34331,36138,20593,3664,404,267444,1939,2653,5951,5290,4936,5226,1759,272,54,28079,1580,3715,7719,5678,4920,3004,924,245,78,27866,51302,120323,327548,308757,266285,180877,48126,5989,775,1309975,3745,8327,13279,10383,9698,7312,658,56,14,53482,9712,8206,5124,2418,2436,3444,1046,133,15,32530,13457,16534,18403,12806,12133,10749,1701,194,32,86008,64757,136853,345951,321559,278417,191633,49825,6179,809,1395979,90546,42230,40787,31169,39654,73703,138847,91248,35142,583333,7145,11450,28359,21644,18667,15550,12376,8375,4768,128335,162451,190536,415091,374373,336739,280884,201050,105800,40722,2107645,6979,52412,183140,141706,139202,80330,10537,511,85,614904,45800,58387,88969,109462,96348,68710,20390,2002,199,490271,2284,3389,16291,10542,5448,5429,1585,166,24,45169,1452,2902,5159,3717,3469,2236,712,245,107,19985,56516,117083,293563,265429,244456,156702,33231,2925,418,1170326,2413,5073,9435,6600,6292,3520,156,41,19,33555,10082,7562,8300,7861,6265,4331,528,62,25,45019,12496,12631,17739,14465,12559,7847,686,105,42,78570
SOS11,6005,18096,48531,49701,50745,37043,6420,613,105,217251,10063,7241,9322,8315,9737,12431,6664,1118,106,64999,622,677,1506,1445,1755,2351,719,107,26,9203,556,866,1316,1176,1161,908,353,150,61,6549,17243,26873,60677,60636,63398,52735,14158,1978,303,298008,1981,2986,3589,2909,2898,2397,149,42,11,16967,2074,1051,873,667,733,1086,290,43,6,6823,4058,4032,4463,3581,3633,3490,436,80,20,23788,21305,30906,65142,64217,67030,56223,14600,2064,319,321792,20214,6400,9032,10100,13808,29365,61282,39213,13537,202945,2546,2904,5604,5275,6070,6592,6432,4681,2474,42576,44063,40215,79780,79588,86907,92178,82312,45959,16330,567319,2763,11561,25795,26262,33339,22214,2697,173,44,124856,14526,11753,23894,28903,29485,24829,6370,580,77,140420,788,1096,3845,2112,1973,2433,636,66,15,12958,608,585,841,888,917,711,283,156,69,5049,18684,24991,54374,58176,65711,50184,9982,969,203,283279,1292,1579,1978,1845,1848,1112,57,10,4,9732,2289,1408,1944,1821,1513,1307,162,12,11,10465,3581,2988,3917,3667,3362,2417,219,28,17,20192
SOS12,646,1560,3820,4966,5892,4430,822,85,24,22244,964,644,755,900,1262,1683,805,145,11,7176,74,46,140,158,227,304,95,15,0,1060,72,79,109,134,155,123,52,22,3,750,1753,2330,4828,6157,7537,6544,1778,274,39,31237,188,251,291,268,313,347,12,0,0,1675,172,84,58,59,81,148,47,0,0,647,357,331,351,324,399,503,62,8,0,2330,2106,2661,5173,6479,7937,7049,1838,275,38,33562,2160,490,670,897,1627,3907,7290,3842,1069,21955,305,225,507,557,668,854,787,457,145,4505,4567,3380,6347,7932,10233,11809,9916,4576,1252,60015,254,886,1810,2641,3669,2477,300,21,8,12066,1416,909,2039,3082,3455,2959,734,71,10,14670,90,101,315,217,252,299,97,15,0,1375,55,50,81,74,123,106,31,23,11,546,1819,1936,4247,6013,7496,5842,1163,126,21,28657,102,124,156,168,187,145,6,3,0,889,206,94,149,185,168,164,19,3,0,979,315,211,303,346,353,302,24,3,0,1867
SOS13,3399,6956,14542,20325,27018,21551,6730,1416,202,102145,3637,2158,2342,2918,4660,6505,4257,1095,184,27754,256,247,476,582,948,1148,522,123,37,4342,300,303,470,570,699,552,344,207,50,3492,7592,9664,17839,24392,33329,29754,11860,2840,477,137742,471,630,751,749,953,916,74,5,3,4543,597,216,179,170,257,489,123,12,0,2049,1062,845,929,910,1213,1408,198,18,3,6592,8654,10508,18771,25306,34539,31159,12059,2858,477,144330,8683,1860,2827,3103,5065,11872,20968,9918,2444,66741,1392,1236,2126,2675,3807,4144,3411,1615,490,20886,18729,13601,23718,31084,43405,47179,36434,14394,3412,231960,1211,3809,7271,10326,15814,10787,2659,501,64,52446,5223,3402,6535,11562,13959,12016,3924,627,93,57349,331,258,1214,836,921,1217,408,79,11,5277,273,226,285,425,506,445,275,141,22,2591,7037,7696,15297,23148,31203,24468,7270,1350,192,117653,265,381,405,442,579,363,7,3,0,2442,690,261,377,454,503,462,56,6,3,2809,952,640,783,897,1085,817,66,10,5,5254
SOS17,0,3,8,8,10,4,0,0,0,28,0,0,0,0,3,3,3,0,0,7,0,0,0,8,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,3,9,11,20,10,6,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,11,20,10,6,0,0,61,4,5,5,0,3,8,31,14,3,77,0,3,0,0,0,4,10,9,0,24,3,9,11,18,25,22,48,16,3,157,3,0,10,0,5,4,0,0,0,25,0,0,3,4,3,9,5,0,0,18,0,3,4,4,9,3,6,0,0,24,0,0,0,0,0,3,0,0,0,4,3,3,17,13,17,11,11,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SOS19,39,169,440,315,195,130,25,3,0,1322,16,85,143,90,92,73,30,3,0,531,0,10,24,9,15,15,7,0,0,85,5,25,32,27,14,8,0,0,0,103,63,284,637,441,319,228,61,3,5,2042,25,76,145,91,80,56,3,0,0,467,13,23,33,12,16,15,3,0,0,120,35,101,177,106,87,66,6,0,0,583,102,382,816,548,406,294,63,5,5,2623,115,204,305,238,301,381,503,112,20,2178,68,158,491,484,440,313,157,39,12,2153,285,746,1615,1269,1148,986,719,162,32,6958,12,116,261,93,93,64,8,0,0,653,24,106,149,80,80,63,18,0,0,520,3,4,27,6,12,13,0,0,0,65,3,7,15,13,6,4,0,0,0,47,44,243,451,183,185,151,28,0,0,1291,26,34,59,43,42,27,4,0,0,230,12,21,38,18,13,23,4,0,0,127,35,52,103,58,59,42,3,0,0,358
SOS20,8103,48900,219276,213036,182872,109720,19360,1398,247,802924,29121,46339,48091,30189,28157,29324,17543,2926,350,232049,1278,2133,5150,4545,4154,4280,1552,229,37,23358,1091,2916,6361,4516,3819,2407,794,225,94,22222,39594,100287,278882,252288,218999,145737,39254,4793,718,1080552,2564,7483,12997,9404,8706,6170,529,36,16,47895,9867,8475,4570,2018,1856,2396,832,93,7,30100,12424,15956,17564,11421,10559,8569,1364,126,22,77993,52023,116238,296445,263702,229560,154303,40614,4916,743,1158547,74085,39861,34001,25187,30399,53419,105843,74395,28849,466032,5714,9522,22717,17132,14881,12093,9812,7162,3670,102710,131821,165623,353161,306022,274841,219820,156263,86471,33259,1727287,3012,37732,151747,105435,106258,58706,7327,360,100,470678,39106,54850,80376,99119,90462,61410,17016,1459,181,443973,1537,2892,13823,9389,4895,4765,1383,135,41,38865,1216,2296,4199,3032,2948,1729,597,227,94,16331,44871,97775,250151,216973,204562,126611,26320,2176,414,969850,1675,4874,9229,6098,5282,2749,127,30,11,30076,10514,8433,7662,6934,5330,3302,459,57,18,42712,12183,13309,16893,13035,10607,6052,590,87,31,72785
SOS21,3872,14208,39011,39309,39745,28180,4501,379,93,169303,8116,6019,6568,5917,6495,8643,4802,796,89,47455,444,532,1181,1259,1455,1973,653,93,18,7603,430,654,1011,883,861,676,230,96,41,4883,12861,21419,47782,47363,48559,39471,10189,1369,233,229245,1145,2190,2648,2062,1937,1651,90,8,6,11742,1735,873,604,436,430,646,191,17,4,4942,2886,3063,3251,2497,2369,2296,281,26,6,16684,15747,24477,51036,49861,50922,41769,10466,1403,244,245930,15364,4608,5578,6295,8539,17302,39028,25014,9125,130860,1724,2145,4100,3816,4288,4452,4378,3017,1447,29366,32838,31234,60709,59972,63752,63525,53877,29427,10823,406154,1552,8527,20292,17855,23105,14547,1619,109,37,87647,11261,9946,18588,23980,23987,19633,4502,386,87,112362,555,863,3334,1964,1723,2054,518,56,11,11086,445,494,624,637,664,607,214,90,35,3798,13820,19830,42841,44430,49483,36835,6857,632,162,214891,742,1189,1352,1217,1213,706,29,11,8,6471,1911,1011,1365,1400,1094,902,122,17,4,7816,2654,2202,2717,2619,2310,1606,152,22,13,14286
SOS22,384,1012,2778,3320,3961,3200,557,72,14,15300,588,348,458,568,783,1139,608,86,12,4590,44,48,91,129,213,277,90,13,0,899,36,54,81,91,110,83,37,17,7,510,1047,1462,3408,4104,5069,4697,1285,189,36,21299,90,155,179,169,216,233,7,0,0,1043,92,39,29,43,55,84,24,0,0,370,185,195,209,211,271,318,27,0,0,1413,1228,1660,3613,4319,5337,5018,1312,193,36,22711,1420,243,380,578,998,2397,5078,2560,788,14444,173,160,329,380,527,633,610,309,153,3288,2826,2060,4325,5280,6869,8048,6999,3069,972,40448,115,584,1250,1467,2186,1477,187,15,9,7298,816,599,1355,2175,2492,2246,519,46,11,10265,51,54,257,172,238,248,68,8,0,1093,33,31,69,61,74,63,18,13,4,370,1013,1279,2935,3873,4984,4045,790,81,30,19026,50,77,100,92,128,95,4,0,0,546,116,42,87,103,99,108,14,0,0,572,166,124,189,194,226,202,14,0,0,1118
SOS23,2169,5448,11207,15765,21410,17203,5055,994,162,79411,3194,1764,1696,2135,3419,5216,3275,824,149,21672,161,178,378,515,833,1186,537,113,28,3922,250,260,344,406,565,470,277,142,35,2749,5774,7645,13626,18833,26225,24072,9145,2068,375,107756,310,453,526,486,666,711,49,5,0,3208,490,137,119,96,163,294,95,10,0,1413,803,591,647,582,829,1007,142,11,0,4618,6574,8231,14275,19415,27060,25075,9285,2080,376,112378,6706,1437,2356,2760,3743,7929,15813,7261,1816,49817,903,694,1281,1719,2468,2700,2306,1071,309,13458,14188,10371,17911,23893,33275,35706,27407,10409,2499,175653,676,2739,5387,6843,11112,7935,1751,299,50,36785,4412,3035,5149,9417,12174,10044,3111,451,63,47859,213,248,951,736,932,1138,410,64,14,4699,246,199,246,306,416,372,223,87,18,2104,5555,6209,11737,17297,24636,19491,5490,899,146,91453,158,274,295,287,392,313,10,4,0,1741,545,237,274,365,377,373,33,0,8,2215,706,512,570,656,767,686,41,7,7,3949
