SOS_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SOS10,28080,919,318,1236,29317,6698,140,36162,152,46,4,118,319,9,3,7,329,54,372,750,104749,13790,1480,2138,122160,2899,842,3736,125899,10947,648,137494,24106,2416,250,182,26951,523,128,650,27601,1521,32,29149,24512,3177,286,225,28202,430,108,537,28737,1080,26,29844,612,93,147,14,871,17,0,17,884,54,0,934,304,45,8,352,704,16,6,27,732,64,38,829,49530,5732,688,773,56726,984,239,1222,57950,2718,97,60758,743,117,14,18,888,145,19,166,1048,78,0,1125,1231,242,13,42,1533,126,73,198,1728,125,4,1862,1968,363,28,57,2417,272,86,358,2783,203,4,2983,51496,6098,715,831,59144,1251,331,1585,60731,2922,96,63744,12666,2753,256,415,16086,501,205,705,16789,4244,81,21115,85,29,0,76,196,8,3,9,205,19,240,466,64245,8882,971,1326,75423,1764,535,2297,77723,7182,420,85325,34327,3370,386,277,38365,869,186,1061,39421,2381,35,41834,31248,4444,389,315,36394,615,136,749,37150,1662,45,38852
SOS11,5119,242,37,284,5398,1402,25,6826,42,7,0,18,66,0,4,4,64,8,95,171,24659,3440,585,482,29164,735,149,887,30052,2623,156,32835,5853,642,91,51,6641,121,15,134,6779,356,5,7141,6560,973,117,72,7720,142,30,173,7897,409,15,8315,187,48,66,10,309,6,0,6,316,30,0,352,84,7,3,88,181,3,0,3,186,11,3,204,12689,1670,273,224,14857,273,46,323,15178,813,24,16014,149,40,4,6,205,45,4,47,251,43,0,288,241,31,3,3,280,30,11,36,320,24,0,346,387,76,6,12,485,67,9,83,568,65,0,633,13075,1747,281,235,15342,345,56,404,15741,879,24,16648,2326,380,63,72,2839,140,26,160,3001,976,11,3992,26,3,0,11,43,0,3,3,43,5,49,94,15423,2132,342,323,18217,485,84,567,18786,1859,87,20735,7966,919,124,85,9093,146,30,174,9262,507,8,9783,8128,1324,141,107,9703,145,38,181,9877,529,15,10420
SOS12,549,30,3,32,579,186,0,773,4,0,0,3,9,3,0,3,12,0,9,23,2762,477,66,53,3357,93,17,107,3463,350,11,3824,615,90,13,7,727,9,0,13,737,50,3,791,751,131,17,12,914,16,3,23,931,56,0,986,32,7,14,0,54,0,0,0,54,0,0,54,8,3,0,7,16,0,0,0,22,0,0,23,1398,225,46,33,1707,21,10,28,1739,106,3,1855,12,3,0,0,22,6,0,6,23,5,0,33,27,4,0,0,36,3,5,5,41,4,0,44,42,5,0,3,52,9,5,15,66,5,0,70,1445,235,48,36,1758,33,13,41,1802,119,3,1923,281,43,10,12,345,16,6,23,371,139,3,507,0,0,0,0,5,0,0,0,5,0,4,12,1727,279,58,46,2112,55,11,69,2177,255,9,2443,939,133,16,13,1096,9,0,13,1110,70,3,1182,948,172,21,14,1148,20,3,18,1169,79,0,1253
SOS13,2577,78,15,91,2671,618,13,3305,41,6,0,9,55,0,0,0,56,0,53,111,13273,1728,293,315,15614,257,48,302,15920,1160,86,17171,3307,340,37,26,3712,33,16,45,3756,159,0,3918,3563,545,62,49,4218,43,12,53,4277,168,4,4447,110,23,30,0,164,0,0,0,164,5,0,173,59,3,4,93,160,0,0,0,163,12,3,176,7043,914,137,164,8255,73,30,102,8363,344,10,8708,41,14,0,0,57,18,3,21,75,12,0,85,80,16,6,3,101,8,4,16,112,11,0,126,122,23,6,4,154,27,6,32,186,27,0,210,7162,941,141,170,8414,97,39,138,8547,370,5,8923,1168,204,39,49,1452,44,10,53,1506,437,4,1943,24,4,0,8,41,0,0,0,41,0,28,68,8357,1140,179,221,9905,147,47,188,10092,800,41,10934,4575,428,76,34,5121,51,14,66,5179,255,4,5435,4401,693,107,58,5267,55,19,70,5333,237,7,5577
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,21804,858,237,1100,22903,4726,83,27711,140,28,3,125,297,4,0,5,301,34,254,590,84058,11213,1183,1732,98187,2724,659,3379,101571,8104,474,110146,16672,1952,174,119,18920,491,96,592,19507,1063,28,20592,22438,2769,245,202,25658,384,95,476,26131,928,31,27093,499,76,123,4,700,18,3,17,715,41,0,753,288,55,3,305,647,24,5,27,677,45,19,737,39892,4854,539,629,45921,914,200,1115,47037,2074,72,49183,552,110,12,14,688,158,17,179,871,85,0,954,994,180,9,26,1200,130,55,186,1390,96,3,1489,1546,285,17,41,1892,289,76,369,2259,178,3,2445,41440,5146,554,676,47808,1206,277,1481,49293,2258,75,51628,9814,1827,154,295,12089,474,143,616,12707,3023,53,15786,75,15,0,48,142,7,0,4,146,28,168,339,51324,6991,709,1012,60038,1682,420,2107,62148,5305,298,67753,24521,2771,287,193,27767,705,152,853,28621,1673,32,30325,29224,3795,360,291,33671,568,111,678,34348,1522,42,35911
SOS21,4299,185,39,230,4524,1025,18,5568,19,4,0,13,39,0,0,0,44,3,57,105,19253,2353,445,399,22452,545,123,669,23121,1860,113,25089,3866,413,65,35,4374,69,17,90,4468,226,9,4698,5679,632,99,76,6489,91,28,116,6601,264,13,6878,180,33,33,3,245,6,3,8,256,15,0,268,46,9,0,73,128,3,0,3,132,5,3,143,9775,1081,201,192,11241,171,44,220,11464,509,27,11992,133,23,0,3,158,35,0,35,190,20,0,213,195,18,8,3,218,10,14,29,252,23,0,267,324,39,6,5,379,51,14,65,444,35,0,481,10095,1124,207,196,11623,224,61,285,11899,545,22,12472,1958,292,56,67,2378,104,28,132,2504,666,12,3187,23,4,0,8,33,0,0,0,35,3,40,73,12076,1424,266,268,14031,326,85,412,14444,1211,75,15733,5611,605,89,44,6349,118,24,145,6495,327,11,6835,7475,888,156,82,8597,114,19,140,8735,390,9,9137
SOS22,404,16,0,13,420,85,4,502,8,0,0,0,12,0,0,0,12,0,10,19,1822,305,54,42,2221,48,6,54,2275,183,12,2477,365,41,8,0,420,0,0,0,417,19,3,447,557,87,13,3,670,3,0,4,673,26,0,700,23,4,3,0,34,0,0,0,38,0,0,38,6,0,0,14,18,0,0,0,18,3,0,21,955,134,29,17,1139,10,3,13,1144,52,3,1204,5,3,0,0,6,3,0,4,16,0,0,16,17,3,0,0,18,0,0,0,18,0,0,18,16,6,0,0,24,4,0,4,32,0,0,31,975,140,29,16,1165,9,4,15,1176,52,3,1236,165,21,16,11,209,6,0,9,218,58,0,277,5,0,0,0,6,0,0,0,6,0,0,10,1144,163,39,27,1378,20,4,25,1398,112,6,1522,504,57,15,0,573,4,0,4,577,25,0,600,714,108,30,3,853,4,0,10,863,55,0,918
SOS23,1977,48,15,59,2042,325,6,2376,31,4,5,9,47,0,0,0,47,3,28,77,10171,1207,235,265,11878,143,37,180,12052,696,61,12813,2248,222,28,16,2504,17,3,22,2533,108,3,2641,3225,401,49,43,3717,36,12,46,3759,145,3,3902,78,12,28,0,120,0,0,0,124,8,0,130,37,7,3,56,98,0,0,0,98,3,3,106,5588,640,98,113,6442,59,12,68,6512,262,12,6788,23,10,0,3,36,12,0,12,45,8,0,50,83,13,0,0,94,6,4,13,106,8,0,114,104,15,0,3,132,16,4,17,151,15,0,164,5700,657,100,118,6571,76,12,91,6661,277,12,6950,931,136,35,37,1146,21,6,35,1175,233,5,1415,22,6,0,3,32,0,0,0,34,0,20,57,6655,795,136,160,7747,100,21,125,7874,518,33,8422,3319,301,57,24,3693,33,9,41,3737,154,9,3898,4283,572,74,60,4996,43,11,53,5046,176,9,5231
