SOS_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
SOS10,989,132,4,1123,1051,289,19,41,1401,192,89,277,1680,236,4,1917,35992,5154,653,666,42465,1048,319,1367,43828,3041,63,46925,8590,1988,192,327,11098,406,171,575,11676,3910,29,15617,38,9,0,42,88,0,0,0,86,19,114,217,44613,7150,838,1041,53647,1454,488,1940,55593,6972,201,62763,9486,1056,108,73,10724,247,61,309,11033,998,8,12035,6817,1474,108,69,8473,180,63,244,8715,798,7,9526,227,52,126,9,407,4,4,5,417,36,0,451,112,15,3,173,302,3,3,7,304,37,11,354,16639,2590,345,325,19905,429,132,566,20470,1870,25,22365,181,50,4,3,242,60,9,72,316,54,0,373,263,95,9,3,371,37,34,75,446,72,0,518,448,147,13,10,614,102,42,144,762,129,3,890,17083,2740,358,336,20520,528,181,707,21227,1996,29,23257,4115,1074,121,156,5459,199,98,293,5757,2635,22,8411,24,3,0,26,53,3,0,3,51,10,57,125,21219,3817,481,514
SOS11,63,6,0,67,79,21,0,0,97,22,0,25,124,20,0,144,3755,528,88,63,4428,83,29,112,4536,294,7,4845,516,110,17,18,652,27,6,37,691,263,3,957,8,6,0,0,11,0,0,0,11,0,13,18,4270,639,101,83,5093,110,39,150,5241,560,17,5822,577,63,11,0,651,12,5,22,665,65,0,734,469,75,11,3,556,5,3,12,564,59,0,628,17,5,13,0,32,0,0,0,32,3,0,37,7,3,0,13,23,0,0,0,23,0,3,23,1060,152,32,16,1265,18,4,26,1293,122,6,1419,11,0,0,0,14,0,0,0,18,4,0,24,8,3,0,0,14,0,4,3,16,0,0,16,20,4,0,0,32,4,4,6,35,4,0,42,1084,155,36,16,1293,21,9,32,1321,127,6,1456,166,30,9,4,210,5,0,5,217,121,3,335,0,0,0,0,3,0,0,0,3,0,0,4,1255,189,41,24
SOS12,7,3,0,10,9,0,0,0,15,3,0,3,14,3,0,19,487,52,16,8,562,6,4,15,579,49,0,620,71,11,4,0,89,4,0,7,97,26,0,118,0,0,0,0,0,0,0,0,0,0,6,6,557,68,20,9,656,10,5,21,675,71,6,749,77,11,0,0,89,0,0,0,87,9,0,96,75,3,0,0,84,4,0,3,84,4,0,91,0,3,3,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,156,16,6,4,175,4,0,5,184,10,0,197,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,3,0,7,3,0,0,0,3,0,0,0,3,3,0,8,154,16,4,4,184,4,0,5,186,17,0,197,16,3,0,0,24,3,0,3,24,9,0,35,0,0,0,0,0,0,0,0,0,0,4,4,170,19,5,4
SOS13,27,4,0,31,32,10,0,0,35,3,0,3,41,8,0,47,2255,299,50,39,2642,33,5,40,2683,152,5,2840,335,54,16,7,409,8,3,5,422,102,4,522,10,3,0,3,10,0,0,0,10,0,3,18,2600,354,63,49,3068,39,12,48,3120,256,11,3385,404,40,14,3,465,8,0,8,472,20,0,496,342,65,4,5,419,4,0,5,426,24,0,451,14,3,6,0,18,0,0,0,18,0,0,18,4,0,0,9,21,0,0,0,21,5,0,18,763,112,27,21,923,11,0,13,935,49,0,986,5,0,0,0,9,0,0,0,6,3,0,12,3,4,0,0,8,0,0,0,8,0,0,12,14,3,0,0,15,0,0,0,13,3,0,17,776,115,27,21,939,11,0,13,953,54,0,1007,118,19,3,0,144,7,0,5,157,53,0,203,0,0,0,0,3,0,0,0,3,0,0,3,900,136,31,18
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,925,108,0,1038,1033,245,20,27,1326,235,67,303,1633,180,6,1818,32864,4622,536,594,38623,1090,241,1328,39947,2595,56,42604,7351,1445,145,226,9165,331,134,470,9638,3166,35,12832,46,13,0,52,108,0,0,0,111,11,100,225,40264,6077,681,874,47899,1423,376,1798,49694,5770,194,55661,7700,977,83,72,8831,222,45,271,9098,759,12,9865,7558,1442,117,58,9179,202,57,250,9430,733,14,10177,215,44,98,4,367,3,3,4,376,52,0,428,121,16,3,132,278,9,5,17,290,35,6,334,15600,2480,310,273,18654,431,106,540,19199,1581,28,20801,180,49,3,9,234,81,6,85,325,46,0,370,238,67,0,3,303,33,34,71,378,43,0,419,416,116,3,12,540,114,41,154,699,90,3,791,16011,2589,312,282,19200,549,147,698,19896,1668,29,21593,3716,771,104,125,4716,179,63,241,4956,2272,13,7236,18,9,0,16,42,0,0,3,47,5,52,104,19741,3375,410,429
SOS21,80,6,0,83,98,9,4,5,118,23,4,30,144,14,0,158,4202,555,111,79,4954,100,19,119,5070,272,6,5359,674,150,17,23,868,42,11,52,921,296,0,1218,12,0,0,4,15,0,0,0,18,3,14,31,4889,708,134,107,5831,145,33,177,6004,572,26,6604,594,66,11,0,677,16,3,23,699,56,3,762,674,107,21,3,802,10,3,12,812,52,0,869,23,0,18,3,43,0,0,0,43,10,0,49,11,3,0,5,27,4,0,4,27,6,0,29,1308,176,44,20,1545,24,8,35,1585,125,3,1709,13,0,0,0,13,4,0,4,18,3,0,18,28,7,0,0,32,0,3,3,37,0,0,39,37,4,0,0,49,4,3,10,55,6,0,57,1345,182,50,20,1590,29,9,45,1635,127,3,1765,186,47,7,7,247,14,7,19,271,106,3,374,3,0,0,0,3,0,0,0,3,0,0,5,1535,230,52,28
SOS22,7,0,0,7,7,0,0,0,10,0,0,0,12,3,0,12,354,54,14,3,424,0,3,6,433,25,0,456,54,7,3,3,67,0,0,0,69,20,0,95,0,0,0,0,0,0,0,0,0,0,0,0,412,59,22,3,494,3,3,6,500,48,0,547,33,3,0,0,39,0,0,0,40,0,0,41,47,15,0,0,62,0,0,0,62,5,0,64,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,77,16,0,4,99,0,0,0,98,6,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,16,0,4,98,0,0,0,99,6,0,114,18,3,0,0,25,0,0,0,25,11,0,31,0,0,0,0,0,0,0,0,0,0,0,0,93,19,0,4
SOS23,33,3,0,37,43,8,0,0,56,0,0,0,60,4,0,59,2379,252,71,49,2750,26,9,31,2785,157,7,2946,349,52,15,15,431,4,3,4,439,93,0,530,4,0,0,3,13,0,0,0,13,0,6,17,2733,306,86,67,3189,26,10,35,3232,248,15,3497,332,38,3,6,379,3,0,4,385,27,0,413,347,74,3,5,425,3,0,7,431,29,0,463,14,0,8,0,24,0,0,0,23,3,0,26,10,0,0,10,14,0,0,0,14,0,0,14,700,115,17,19,845,7,3,11,860,59,3,915,0,3,0,0,5,0,0,0,7,0,0,7,4,0,0,0,7,0,0,0,7,0,0,7,5,3,0,0,14,0,0,0,13,0,0,13,711,119,18,20,865,7,3,9,873,59,3,932,117,18,4,5,146,0,0,0,150,40,0,188,5,0,0,0,5,0,0,0,5,0,0,5,833,133,21,24
