SOS_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
SOS10,1892,41226,44294,29896,21033,11771,3847,938,154889,471,5492,7541,6356,5752,2914,847,187,29563,28910,109532,85430,59846,45111,25612,9715,3039,367190,12133,38587,38731,34691,24730,14371,5913,2150,171306,29838,70853,68707,71315,59274,42502,22837,7486,372799,2958,3097,2436,2135,1600,1096,375,113,13813,2404,4883,5663,6373,6492,5407,2424,753,34391,35193,78829,76804,79825,67358,49005,25641,8354,421010,1559,3851,3707,3322,2874,2337,1239,488,19375,25747,35188,27980,25006,21602,18881,14279,8200,176895,105903,312707,284489,238939,188458,124884,61486,23353,1340229,3579,52568,42801,25452,15741,6973,1615,365,149102,1207,10049,11505,10011,9070,4352,1078,241,47515,40533,141881,108116,69349,45199,22336,8054,2502,437980,17319,47159,50339,47679,35136,20030,8322,2991,228974,23316,42155,37186,35141,22893,9496,3268,1601,175053,4334,4355,5432,5408,4342,2144,595,242,26852,3487,5750,9236,12601,12123,8702,3435,1726,57069,31139,52257,51866,53140,39358,20347,7301,3567,258969,1483,3684,3794,4484,5052,4127,2105,989,25714,23703,32061,25009,23968,23926,23757,21144,17789,191370,118963,339668,293424,234090,173488,101931,49617,28449,1339626,5471,93793
SOS11,56,1653,2516,2493,2641,2128,782,182,12457,45,613,1007,1172,1650,1061,285,60,5882,1634,8359,8783,7145,7750,5637,2216,679,42204,1049,4699,6608,7086,7051,5436,2254,665,34850,12415,28217,25764,27410,26968,21039,11032,3107,155949,1611,1309,884,814,652,452,166,38,5929,699,1137,1284,1561,1912,1934,984,300,9811,14722,30663,27929,29780,29532,23424,12178,3448,171684,236,455,448,452,592,677,416,128,3399,9090,8755,8173,8865,9529,10215,8029,4092,66735,26832,55198,55464,56989,58744,48585,26156,9248,337216,146,2839,3142,2937,2746,1424,354,68,13664,231,1769,2241,2379,2956,1418,357,66,11409,3501,16443,15934,11488,10910,6744,2739,829,68590,3084,9157,10600,11704,11850,7580,3354,1046,58368,10776,18208,15730,15634,11541,4665,1321,580,78458,2396,2264,1980,2150,1907,1115,273,72,12155,1274,1855,2478,3650,4352,3509,1393,494,18999,14444,22323,20187,21432,17799,9289,2989,1149,109605,246,489,493,763,1242,1327,726,328,5607,7938,6727,6493,8314,10295,12647,12187,8478,73077,29592,59743,59082,59017,57797,40427,22710,11959,340318,206,4487
SOS12,3,78,183,266,314,263,65,10,1179,3,45,85,125,214,118,28,10,627,124,557,820,821,964,693,199,40,4215,78,377,628,807,830,610,228,39,3604,1232,2407,2880,3472,3664,2709,1064,239,17670,121,92,96,75,84,57,19,0,539,59,83,140,200,273,231,83,22,1097,1410,2590,3114,3745,4018,2998,1169,264,19308,18,32,35,42,56,59,37,13,288,904,670,768,967,1216,1201,769,252,6751,2544,4346,5630,6783,7611,5934,2494,626,35976,8,185,308,306,339,197,33,0,1376,10,153,221,249,355,169,24,3,1179,241,1169,1641,1354,1322,697,211,49,6678,231,791,1087,1428,1494,862,274,57,6232,872,1481,1640,1725,1410,538,100,41,7810,182,177,206,233,230,125,21,10,1181,112,158,264,434,487,327,95,36,1920,1164,1808,2112,2396,2123,993,215,89,10909,12,39,39,83,128,155,51,19,518,836,628,749,979,1300,1327,939,410,7164,2495,4772,6157,6789,7057,4397,1749,619,34053,12,267
SOS13,22,333,730,1178,1447,1259,354,69,5388,8,142,306,522,729,424,76,11,2221,631,2278,3355,3876,4476,3126,840,181,18755,396,1386,2613,3690,3600,2389,762,139,14977,4797,8598,10742,14231,13658,8880,3040,534,64472,441,302,327,374,351,207,45,8,2054,240,380,546,788,992,822,300,40,4112,5475,9276,11615,15391,15009,9909,3381,572,70635,87,113,164,235,307,289,129,21,1349,4298,3289,3825,5083,5516,4824,2506,733,30086,10925,16815,22601,29977,31080,22222,8049,1734,143408,89,764,1268,1543,1487,768,133,26,6060,48,436,890,1195,1486,643,105,16,4816,1153,5029,7098,6626,5989,3161,756,184,29986,1010,2733,4252,5907,5896,3249,894,215,24146,2885,4641,5256,6189,4375,1619,325,82,25376,639,595,801,913,820,408,77,9,4274,410,557,1018,1800,1850,1303,345,93,7380,3932,5796,7082,8908,7052,3331,747,191,37029,78,122,200,391,540,491,158,60,2040,3596,2341,3250,4647,5353,4640,2447,967,27238,9892,17221,24025,29211,27800,16284,5233,1648,131321,112,1093
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,0,0,0,0,3,5,0,0,13,0,0,4,6,7,18,5,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,10,7,18,5,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,6,0,26,3,11,12,11,12,34,13,3,92,0,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,3,3,9,4,0,0,25,0,4,0,3,4,8,3,0,20,0,4,0,3,8,3,0,0,22,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,11,4,4,0,3,7,4,3,0,33,0,0,0,0,0,0,0,0,0,0,3,0,3,10,14,8,0,47,8,17,6,17,29,33,12,0,122,0,3
SOS19,6,92,43,19,14,11,4,0,193,0,13,3,12,15,7,0,0,51,91,214,89,69,55,43,5,3,574,30,70,45,39,44,53,5,0,294,108,229,179,178,200,149,16,0,1063,30,15,14,6,3,0,0,0,64,19,16,13,12,25,10,0,0,104,152,261,204,200,232,158,20,3,1231,4,11,6,7,5,4,0,0,50,253,510,509,478,331,170,51,9,2315,542,1168,909,814,700,456,87,23,4703,9,75,39,23,21,5,6,0,177,0,19,17,12,14,7,0,0,67,108,284,103,74,57,38,6,0,673,45,75,54,64,83,47,4,3,374,48,79,55,76,69,28,5,0,351,18,9,5,7,17,7,0,0,60,16,13,11,11,24,16,0,0,92,80,99,71,98,101,48,5,0,504,0,11,7,7,5,5,0,0,37,191,288,194,188,172,109,42,17,1196,440,848,485,472,448,262,64,21,3038,14,165
SOS20,2135,34697,32759,21153,14394,8362,2624,620,116744,524,6321,8163,7480,6550,3200,777,171,33190,26396,95485,72754,48462,34092,18778,6960,2273,305212,12400,36595,31521,26646,20065,13700,5667,1940,148539,27725,62508,54957,58444,45093,29644,16841,5371,300589,2786,2450,1937,1534,971,565,199,42,10490,1898,3724,4026,4195,3876,2737,1320,472,22250,32412,68682,60921,64178,49945,32946,18356,5892,333330,1181,2920,2632,2109,1824,1486,925,351,13430,21263,27934,21962,19695,16906,15190,11872,6291,141113,96313,272637,230718,189727,143774,93670,47173,17542,1091556,3111,43878,32788,18670,11314,5050,1148,292,116245,1486,13750,15132,13466,10228,4378,1122,236,59793,36027,121857,90666,55900,35180,17791,6691,2184,366313,16189,42953,41623,37583,26381,14979,6399,2377,188485,19306,35058,29773,29588,18824,8226,2799,1177,144752,3202,3274,3517,3373,2515,1363,342,120,17711,2568,4852,6262,7526,6161,4344,1860,999,34580,25080,43186,39549,40493,27503,13941,5006,2293,197046,1178,2848,2483,2421,2393,2265,1253,620,15460,20294,26418,20201,19733,19458,20156,17683,13014,156963,103371,294888,242433,188263,132457,78561,39305,21015,1100304,5247,78579
SOS21,97,1342,1911,1761,1601,1157,373,72,8323,64,691,1123,1239,1401,867,193,31,5611,1653,7237,7435,5256,5185,3507,1179,354,31813,1211,4494,5215,5268,5380,4182,1699,450,27885,10073,22107,18831,19568,17562,12768,6167,1804,108883,1030,797,608,425,380,232,59,15,3546,479,867,975,991,1092,1006,420,156,5987,11584,23772,20418,20984,19038,14006,6652,1979,118424,145,337,340,345,382,430,299,107,2392,6070,5429,5243,6024,6501,6813,5248,2565,43900,20829,43305,41685,40881,39480,30966,15652,5552,238337,280,2227,2460,1860,1619,808,160,29,9457,242,2177,2777,2644,2380,1167,264,45,11707,3249,13989,12693,8275,7315,4489,1752,543,52307,2834,8238,8630,8786,7746,5035,2103,749,44122,7582,13408,11021,10585,7777,3368,905,333,54991,1430,1549,1305,1200,1035,573,111,51,7266,836,1467,1710,1759,1851,1303,473,212,9619,9855,16426,14034,13551,10674,5246,1488,592,71868,155,382,345,421,491,592,345,201,2929,5700,5029,5013,5949,7351,8825,7901,5082,50851,22320,48472,45946,41497,37577,26160,14016,7248,243239,377,3571
SOS22,6,63,96,115,176,171,50,7,684,10,45,94,110,153,118,10,3,541,67,364,499,434,539,430,106,27,2463,82,256,416,471,592,501,165,46,2526,740,1858,1887,2400,2396,1638,702,145,11775,75,57,48,54,50,43,5,0,329,32,67,71,109,141,143,41,7,606,855,1986,2004,2558,2589,1819,752,154,12710,19,16,32,44,48,50,20,5,230,560,421,514,718,905,953,515,258,4846,1593,3148,3649,4454,5004,4041,1623,497,24006,14,104,187,170,228,106,28,4,828,30,167,238,243,262,123,33,6,1095,187,877,1018,851,866,559,170,42,4566,184,587,787,875,939,616,222,70,4279,508,1013,995,1157,863,383,82,33,5032,111,134,131,148,147,57,12,4,734,58,113,156,208,221,179,43,11,990,677,1266,1279,1512,1223,614,135,46,6759,9,18,35,39,65,71,27,18,287,541,406,543,725,934,1022,683,419,5264,1634,3426,4090,4407,4524,3107,1291,604,23085,17,162
SOS23,29,253,502,704,879,708,223,32,3332,12,150,320,505,697,395,74,12,2168,484,1695,2475,2587,3041,2064,509,98,12940,461,1285,1990,2665,2947,2263,565,110,12284,3846,6692,8413,11585,10116,5951,1997,384,48998,307,204,193,193,223,116,22,5,1261,135,246,360,498,562,467,134,22,2421,4282,7144,8974,12279,10897,6533,2152,416,52678,51,68,122,176,217,211,85,14,948,3000,2745,3151,3865,3977,3583,1727,485,22535,8322,13344,17535,22774,22664,15765,5333,1158,106892,74,564,909,1029,1034,500,79,7,4189,68,633,1028,1253,1384,578,85,5,5034,954,3756,5240,4601,4423,2249,520,115,21858,900,2395,3434,4520,4094,2399,599,144,18487,2071,3433,3652,4446,3224,1220,205,80,18325,426,424,505,573,483,187,25,14,2635,284,398,643,849,865,549,116,32,3737,2778,4255,4800,5862,4568,1954,353,128,24699,44,80,135,193,257,276,74,31,1083,2507,1538,2127,3178,3759,3364,1646,569,18695,7326,13213,17672,20637,19520,11318,3356,1002,94049,101,820
