SOS_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
SOS10,3154,8607,8221,8120,6686,4836,1937,577,42140,6292,28562,28703,12552,5438,1475,188,43,83252,15619,56814,57913,62847,56730,40568,20749,7066,318306,9439,26039,25008,22643,16254,11111,6155,1838,118475,1522,4424,4934,4273,3107,1574,782,249,20863,3408,14254,12152,10351,8587,4980,2626,1059,57411,1343,7020,6984,7111,9246,5963,2511,749,40928,18582,73338,63810,48275,33870,19920,6737,2049,266576,8279,25736,23384,20333,16489,10251,3716,1106,109303,6209,15298,10683,6415,4169,2215,882,263,46127,4078,12615,9621,6936,4151,2749,1274,344,41756,901,569,395,389,401,403,317,115,3491,1178,3373,3864,3547,2581,1561,716,340,17151,25911,36070,28837,25150,20755,17275,12901,7548,174449,105903,312707,284489,238939,188458,124884,61486,23353,1340229,3900,11160,10010,8081,5460,2772,954,278,42617,1306,9541,9336,5249,2488,752,128,16,28819,1905,8567,6759,6213,4559,2781,2251,1089,34123,1448,4807,3674,2514,1369,505,196,48,14570,919,2301,2229,1582,1005,419,170,43,8670,11086,42063,33896,30788,27008,14544,6906,2539,168836,6782,28010,27143,24943,26134,16223,6460,2045,137734,28595,100585
SOS11,232,829,1090,982,1181,1145,427,134,6016,797,1707,1516,975,779,383,50,7,6208,5821,16034,15439,17534,18060,15744,8192,2481,99307,3034,7050,6410,6743,7088,5279,2903,779,39273,939,2426,2705,2603,2221,1679,872,244,13697,560,2388,2596,2612,2784,1505,703,270,13420,314,1842,2257,2480,4051,2919,1175,312,15358,1907,5397,6204,6128,5967,4855,1919,534,32913,1264,3352,3778,3754,3644,2760,1067,269,19894,665,1212,1202,987,1015,759,295,96,6234,1538,3269,3028,2271,1874,1450,640,178,14252,182,98,82,81,107,135,123,54,855,218,579,737,840,749,606,342,137,4205,9370,9016,8419,9003,9225,9357,7451,3750,65590,26832,55198,55464,56989,58744,48585,26156,9248,337216,296,1036,1221,985,895,548,195,49,5224,96,419,481,568,541,299,68,12,2479,292,945,878,927,806,666,580,351,5458,126,417,413,392,258,123,50,14,1797,596,1096,1140,926,587,256,100,29,4713,3281,9458,8962,10047,11705,6964,3436,1245,55102,1681,7214,7623,7313,9131,5902,2543,739,42140,5606,13573
SOS12,26,45,98,131,147,133,43,3,628,66,88,104,94,105,46,9,0,505,622,1347,1625,2226,2404,2014,773,190,11196,293,646,857,965,1029,679,300,67,4828,100,261,357,359,337,227,101,20,1765,45,132,195,267,299,170,66,17,1192,19,151,251,267,547,347,94,19,1702,128,349,526,627,629,537,161,28,2969,94,268,338,400,434,314,104,21,1978,60,91,107,115,133,90,32,7,628,139,248,300,248,234,167,55,16,1406,10,5,4,7,17,5,12,3,76,19,32,85,87,100,85,27,11,449,921,684,790,990,1193,1133,720,225,6645,2544,4346,5630,6783,7611,5934,2494,626,35976,29,74,126,140,105,83,14,0,576,10,18,45,62,61,28,3,0,238,16,72,114,113,95,75,43,19,551,12,34,44,53,40,21,9,0,208,63,123,175,155,90,67,11,3,684,242,677,875,1164,1429,716,272,72,5451,122,587,802,836,1124,638,195,39,4349,401,1010
SOS13,89,255,340,596,791,703,181,47,3002,199,360,394,465,385,189,30,0,2021,2512,5016,6603,9218,9335,6612,2271,435,42013,1249,2283,3037,3757,3574,2233,827,134,17085,764,1705,2458,2928,2680,1697,608,118,12949,164,402,697,985,1271,791,301,74,4682,60,375,615,889,1655,1133,299,49,5071,462,1209,2003,2813,2705,1931,520,74,11718,373,733,1123,1503,1671,1279,358,69,7110,205,364,349,408,549,367,92,16,2349,307,620,761,829,680,512,154,17,3878,37,19,21,32,39,61,36,14,264,82,135,284,425,362,229,110,17,1634,4412,3339,3926,5137,5391,4488,2268,672,29621,10925,16815,22601,29977,31080,22222,8049,1734,143408,106,304,615,681,643,340,82,25,2796,28,88,178,280,217,112,19,0,925,99,232,366,506,370,259,150,65,2050,61,157,185,234,150,80,16,3,887,579,907,1168,1175,774,354,73,10,5040,918,2506,3368,4733,5445,2876,890,209,20943,432,2015,3064,3585,4518,2602,673,154,17037,1433,3638
SOS17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,6,15,5,0,32,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,10,6,0,29,3,11,12,11,12,34,13,3,92,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,16,0,0,0,0,4,3,0,0,14,3,9
SOS19,11,25,12,5,13,7,0,0,77,18,46,35,15,9,0,0,0,112,56,175,106,116,145,114,16,0,731,31,65,59,45,59,48,6,0,310,10,25,12,13,16,3,0,0,82,11,41,23,17,14,16,0,0,121,3,17,15,11,17,15,0,0,75,56,118,54,54,40,32,8,0,357,39,60,32,24,33,27,6,0,222,12,43,16,17,8,7,0,0,110,25,43,28,12,8,7,0,0,123,7,4,0,0,3,0,0,0,19,7,7,9,6,10,5,0,0,48,258,510,508,471,324,170,52,9,2313,542,1168,909,814,700,456,87,23,4703,7,32,9,8,5,3,0,0,60,3,12,9,0,0,0,0,0,27,14,22,7,3,6,3,4,0,67,0,11,8,0,0,7,0,0,30,7,11,12,4,8,5,0,0,42,27,85,40,45,59,40,8,0,308,12,37,16,28,44,18,0,0,158,64,144
SOS20,3771,7926,7536,6996,5932,4081,1487,515,38242,5367,25699,24306,10667,4872,1337,167,27,72446,14128,49592,47703,50474,42387,29905,15469,5336,254994,9972,26552,19409,17098,12128,7750,4649,1342,98898,1343,4319,4034,3333,2138,1188,524,178,17048,2929,12520,10287,8576,6635,3703,1756,668,47083,1130,6534,6292,6242,7489,5390,2315,614,35998,15952,57410,49088,36694,24481,13622,4861,1571,203682,7981,20495,17519,14971,12195,7594,2609,720,84086,6351,15359,9560,5336,3361,1797,664,218,42639,3994,13254,8237,5902,3382,1890,963,272,37897,771,461,282,275,304,290,279,78,2747,1211,3716,3786,3267,2292,1341,625,286,16522,21404,28816,22676,19896,16197,13779,10802,5703,139275,96313,272637,230718,189727,143774,93670,47173,17542,1091556,5068,11987,10387,6965,3976,1745,614,217,40961,1256,9221,8022,4024,1935,538,66,18,25080,1950,8002,6381,4593,3009,2081,1898,811,28728,1569,5154,3364,2236,1055,400,125,51,13943,1058,2509,2258,1477,831,266,114,40,8556,10393,41436,30748,26315,21205,11879,6056,2198,150231,4954,23937,22860,23012,22433,14428,5578,1669,118865,21066,74516
SOS21,244,652,849,771,777,714,220,57,4284,582,1782,1504,834,576,246,36,3,5562,3925,11024,10856,12568,12141,10094,4659,1468,66740,3283,7461,5283,4748,4504,2986,1649,470,30394,613,1955,2104,1853,1366,920,490,161,9461,539,1938,1851,1891,1941,1009,420,129,9714,350,1677,1916,1829,2747,2519,959,221,12224,1568,4610,5364,4709,4285,2725,920,270,24450,1381,2403,2576,2500,2351,1616,607,118,13561,811,1204,1045,639,654,486,153,46,5038,1089,2439,2111,1746,1260,849,384,112,9990,103,73,46,67,71,94,78,37,576,148,510,762,665,592,404,211,107,3400,6176,5573,5415,6064,6214,6299,4861,2342,42942,20829,43305,41685,40881,39480,30966,15652,5552,238337,374,990,1160,742,557,246,80,48,4202,91,353,470,343,288,121,16,4,1686,248,660,766,685,513,420,344,177,3823,151,426,388,290,146,78,21,8,1504,358,881,941,583,324,165,64,17,3324,2565,8481,7040,7585,7814,5016,2453,892,41844,1349,5808,5962,5417,6181,4551,1797,578,31633,3136,9553
SOS22,16,35,64,67,101,109,19,7,426,30,82,68,58,62,37,3,0,347,301,980,1079,1458,1604,1255,555,107,7346,238,577,521,601,616,421,197,51,3225,73,232,308,286,229,132,60,11,1336,25,87,110,129,188,100,33,14,692,21,119,163,181,327,274,68,10,1174,72,212,314,344,399,304,74,24,1746,87,120,180,231,290,249,59,4,1221,43,68,84,70,77,74,12,3,438,70,167,177,195,151,115,33,9,907,5,0,3,4,7,6,7,6,48,19,38,49,78,69,60,17,9,340,593,430,521,745,877,887,484,227,4768,1593,3148,3649,4454,5004,4041,1623,497,24006,24,54,116,79,59,32,16,4,373,0,23,25,36,41,16,3,0,155,16,48,74,91,66,44,29,11,386,10,25,42,32,24,13,9,0,153,51,128,143,117,65,23,4,3,542,146,515,593,759,925,538,218,73,3774,111,404,497,551,677,538,184,50,3020,183,651
SOS23,85,189,313,417,550,459,129,24,2165,134,273,380,326,237,115,7,0,1482,1712,3545,4832,7193,6912,4814,1509,325,30836,1179,2157,2257,2688,2551,1504,521,106,12967,721,1480,2212,2712,2115,1096,343,64,10744,106,302,483,701,947,520,169,32,3261,74,322,505,713,1304,1068,263,45,4286,378,939,1497,1896,1859,1260,302,52,8175,332,479,661,898,1101,827,214,46,4558,227,298,285,290,331,250,57,7,1744,207,409,566,648,563,316,100,18,2827,18,19,8,27,25,47,30,13,184,56,160,269,316,313,215,65,9,1409,3093,2778,3260,3948,3846,3273,1616,429,22255,8322,13344,17535,22774,22664,15765,5333,1158,106892,112,299,633,443,422,183,27,12,2129,8,81,158,173,145,68,4,0,634,72,209,349,397,267,179,80,31,1593,44,116,173,170,92,47,8,0,648,445,803,1003,852,515,196,48,18,3882,779,2269,2956,4002,4125,2164,624,131,17061,361,1463,2019,2556,3493,2278,507,99,12785,818,2505
