SOS_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS10,361948,226813,111098,51804,2679848
SOS11,116538,89011,48870,21211,677536
SOS12,14675,10337,4246,1246,70028
SOS13,58874,38508,13290,3381,274729
SOS17,43,60,25,3,212
SOS19,1142,722,150,41,7741
SOS20,276235,172235,86479,38556,2191855
SOS21,77055,57125,29665,12795,481574
SOS22,9527,7146,2914,1103,47086
SOS23,42184,27084,8692,2163,200936
SOS27,10,0,0,0,25
SOS29,526,263,61,19,4580
SOS30,218353,139307,65039,28087,1598962
SOS31,58594,40818,20686,7569,375853
SOS32,12038,8701,3273,760,62566
SOS33,38769,24312,7967,1624,196263
SOS37,15,15,6,3,71
SOS39,1426,1050,215,24,7409
SOS40,82005,55387,27403,12941,554855
SOS41,22495,17469,8922,3894,135334
SOS42,4439,3224,1343,598,22754
SOS43,13626,8298,2427,555,63886
SOS47,0,0,0,0,3
SOS49,247,159,30,10,1595
SOS50,127221,80253,40223,16749,940467
SOS51,24505,14887,7257,2772,165831
SOS52,4790,3149,1435,432,27032
SOS53,14982,8722,2682,522,82357
SOS57,31,4,3,0,338
SOS59,633,368,58,13,3820
SOS60,14002,9637,5088,2194,86205
SOS61,14474,10957,5905,2256,86376
SOS62,2945,2291,1034,311,14207
SOS63,10493,6481,2080,375,46603
SOS67,5,7,0,0,44
SOS69,78,50,10,0,517
SOS70,7798,3582,1127,283,63473
SOS71,3194,1217,382,99,21379
SOS72,1251,484,112,21,9023
SOS73,2434,1175,258,33,15978
SOS77,3,0,3,0,60
SOS79,284,173,22,0,1635
SOS80,30038,19478,8556,3554,218735
SOS82,29,24,17,0,137
SOS83,62,27,7,3,435
SOS87,0,0,0,0,0
SOS89,57,17,3,0,339
SOS91,137,58,8,0,786
SOS92,132,84,36,9,699
SOS93,151,93,52,19,856
SOS97,0,0,0,0,4
SOS99,4,4,0,0,31
