SOS_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
SOS10,373,940,34,35,109,44,18,17,14,1580,2210,13852,254,174,393,124,89,87,148,17335,26207,55908,4485,2930,9017,4678,2514,2364,1623,109732,875,1978,119,105,295,164,102,75,78,3787,3386,8903,650,670,1132,406,297,267,163,15874,1169,1785,203,247,399,112,68,54,72,4100,58522,142317,18971,14103,23205,15379,9396,10727,4512,297128,152,163,195,110,76,94,75,93,26,978,12545,13406,9724,5357,4490,4057,3655,3099,895,57222,14446,13837,13795,8048,6761,5763,4583,4544,1176,72960,32330,13014,128982,13452,13777,12535,26457,23936,4682,269167,1139,830,1231,1043,889,1011,1318,1506,131,9111,3500,2721,2992,2333,2029,2420,3077,2724,395,22190,2158,3459,1877,811,921,923,1257,1272,326,13000,2427,2763,3569,1358,1241,1411,2969,3146,2995,21875,161426,275883,187084,50770,64729,49120,55891,53916,17227,916055,299,1372,11,67,204,45,0,6,18,2029,1236,10080,157,194,470,78,11,36,101,12355,16106,58735,1588,4791,13366,4151,292,1154,1228,101409,593,2231,36,171,462,122,4,38,51,3709
SOS11,24,105,4,8,3,0,0,0,3,150,206,1516,33,24,41,11,9,17,17,1861,1711,3738,266,233,357,158,74,197,78,6806,44,170,13,14,11,3,0,6,5,258,490,1851,132,157,130,49,45,37,31,2924,227,354,49,79,63,11,16,22,10,825,5258,16778,1927,2146,1460,1014,618,1204,289,30692,23,27,26,27,7,13,8,8,0,144,2065,2409,1549,1394,580,531,408,476,131,9532,2704,2486,2583,2232,1043,800,758,858,208,13673,11698,3545,50785,5556,3575,4762,12887,11432,1676,105911,338,175,471,386,234,492,554,928,52,3623,732,393,693,604,290,559,877,1047,85,5291,234,329,270,131,80,124,206,301,40,1725,678,419,1184,472,221,515,1291,1509,647,6931,26434,34303,59975,13459,8095,9044,17744,18028,3265,190339,37,262,3,14,25,3,0,3,3,343,127,1177,28,30,50,4,0,3,14,1432,1183,5802,91,415,590,135,13,136,71,8435,47,303,3,29,34,6,0,3,3,421
SOS12,4,7,0,0,3,0,0,0,0,19,17,151,7,4,0,0,0,0,5,184,173,320,17,19,31,11,4,8,4,592,7,13,3,0,0,0,0,0,4,25,40,202,21,21,9,3,3,4,0,307,25,34,3,6,7,0,3,0,0,78,609,1544,175,207,156,79,48,121,40,2982,5,4,6,3,0,0,3,0,0,18,237,241,155,161,70,46,51,63,15,1048,278,218,251,249,82,69,65,98,17,1334,1462,364,5661,477,369,458,1469,1288,207,11760,53,28,47,23,14,36,63,80,3,333,111,46,70,68,30,61,95,120,8,616,26,29,29,16,10,13,14,23,5,153,107,49,148,51,20,51,164,179,84,853,3155,3246,6596,1307,810,827,1984,1982,405,20305,6,23,0,3,0,0,0,0,0,29,16,107,3,0,12,0,0,0,0,139,134,575,5,36,61,12,0,5,7,841,7,19,0,0,4,0,0,0,0,31
SOS13,18,34,3,0,8,0,0,3,0,71,219,646,12,5,20,3,3,10,15,941,1031,1346,97,79,151,41,12,42,41,2836,37,81,6,0,3,0,0,0,3,128,324,592,60,46,56,24,13,19,14,1150,115,105,16,25,15,4,0,4,4,298,4599,6262,752,601,612,383,208,487,204,14112,21,10,13,12,0,10,7,3,3,74,2061,1021,596,451,232,224,219,278,73,5160,2063,836,902,649,317,259,260,383,90,5770,10914,1341,19799,1562,1139,1522,5664,5008,844,47807,439,70,173,110,51,107,199,305,14,1465,891,199,320,213,108,221,377,387,52,2762,231,152,111,37,29,42,80,111,15,810,1152,232,564,141,97,216,593,638,293,3939,24115,12937,23416,3930,2843,3062,7644,7695,1669,87309,33,93,0,10,10,0,0,0,3,145,132,532,12,14,38,3,0,5,14,744,784,2384,45,139,279,58,6,35,39,3771,44,118,0,15,18,0,0,0,5,211
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,4,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,13,0,0,0,7,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,3,0,0,0,0,0,0,0,3,3,16,0,0,0,0,0,0,0,19,18,53,0,8,3,3,3,3,0,95,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,45,128,19,36,21,13,13,33,8,316,0,0,0,0,0,0,0,0,0,0,3,8,3,9,4,0,3,3,0,39,9,12,20,18,5,8,12,14,3,94,33,25,219,29,14,20,80,71,6,502,5,0,3,4,0,3,8,9,0,26,8,3,3,5,0,6,6,4,0,39,3,0,0,0,0,0,3,5,0,13,3,4,8,7,3,4,11,16,12,80,126,273,286,117,60,59,131,167,36,1251,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,10,48,0,4,12,3,0,9,0,84,0,0,0,0,0,0,0,0,0,3
SOS20,287,828,42,32,89,42,12,23,14,1369,1933,13234,214,160,349,108,57,88,145,16290,18305,39137,3374,2439,6556,3634,2105,2344,1156,79054,844,1694,113,116,293,148,79,84,67,3441,4088,11372,743,929,1361,528,326,369,200,19924,982,1656,185,261,342,119,61,60,38,3697,48802,115301,16069,11884,20443,13773,7733,9589,3374,246970,117,124,187,129,74,77,96,81,22,903,9876,10989,9072,4117,3955,3515,3349,3053,687,48607,12088,10694,12788,6820,5692,4666,4719,4660,856,62979,25667,9488,109617,11251,9947,10425,20151,21248,3423,221223,846,513,1080,788,599,818,1024,1286,99,7056,2341,1578,2186,1726,1263,1657,2090,1755,260,14850,1436,2277,1351,575,651,569,904,795,260,8830,2061,2251,3494,1204,990,1308,2471,2507,2231,18514,129665,221142,160521,42437,52608,41388,45160,47945,12827,753698,262,1397,18,80,189,47,3,12,14,2018,1296,10415,148,168,490,82,4,34,119,12757,11136,42565,1382,4387,9602,3085,208,1297,901,74562,627,2673,54,216,469,132,5,50,59,4285
SOS21,27,102,9,9,5,3,0,3,0,158,140,1021,24,17,19,0,3,17,12,1258,1372,2670,186,169,260,115,76,92,61,5003,64,180,6,13,11,6,4,0,3,287,561,1957,115,242,154,53,48,62,36,3228,179,294,42,67,43,11,12,19,11,673,4513,13099,1526,1548,1424,894,505,918,267,24697,24,26,23,26,9,14,8,15,3,147,1640,1925,1301,929,532,405,400,484,99,7711,2386,2084,2138,1777,935,689,610,805,179,11611,9060,2450,38128,3826,2626,3339,8429,8920,1220,77999,228,100,337,250,142,284,341,590,35,2300,496,279,508,474,227,344,618,654,59,3661,186,244,224,105,75,91,164,188,44,1316,631,380,1090,357,195,392,936,1095,575,5639,21500,26812,45648,9808,6660,6634,12153,13859,2601,145675,27,234,3,19,20,3,0,0,4,312,97,826,12,28,36,4,0,5,4,1005,909,4051,72,331,425,99,6,81,43,6018,56,349,3,30,36,11,0,0,3,492
SOS22,0,3,0,0,0,0,0,0,0,6,14,80,0,3,3,0,0,0,0,100,97,167,13,13,21,8,3,4,0,332,0,9,0,0,0,0,0,0,0,10,54,175,21,37,8,4,0,12,7,322,13,17,3,5,4,0,0,3,0,51,355,840,118,107,90,53,53,74,14,1699,6,5,3,5,0,0,0,3,0,20,161,178,105,82,38,37,23,40,19,674,215,158,170,157,56,52,44,75,22,942,1107,202,3852,315,218,275,919,1019,105,8023,23,9,39,19,9,14,31,52,3,202,39,27,61,40,23,33,67,58,4,360,18,17,31,9,3,0,16,21,3,128,85,29,135,25,19,38,116,132,65,655,2177,1919,4554,825,502,516,1282,1498,253,13521,7,21,0,0,0,0,0,0,0,21,20,56,3,6,3,0,0,0,0,87,82,314,4,33,35,8,0,12,4,489,3,29,0,3,3,0,0,0,0,39
SOS23,17,26,0,3,3,0,0,3,0,56,123,392,7,0,4,0,0,7,8,548,634,874,49,51,92,42,18,39,33,1838,29,56,9,3,4,0,3,0,0,109,337,627,57,86,60,29,19,42,10,1268,70,93,13,31,16,0,0,9,3,234,3120,4444,540,449,443,256,201,401,124,9982,16,11,12,6,6,6,5,9,0,69,1777,804,581,347,197,189,181,253,66,4389,1558,719,736,526,269,205,245,349,64,4668,9065,954,15799,1159,848,1051,4041,4075,616,37613,232,38,136,69,35,54,136,202,12,913,525,123,231,128,66,107,243,234,21,1693,168,83,100,36,27,23,71,78,10,592,996,173,586,123,68,164,480,527,277,3386,18660,9411,18854,3022,2130,2139,5657,6229,1253,67354,19,83,0,8,11,3,0,0,0,123,92,398,12,9,28,0,0,8,7,548,522,1620,40,113,200,44,6,38,24,2609,32,147,7,12,12,5,0,0,0,215
