SOS_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOS10,11244,2188,37698,1816,412,5318,3842,4889,940,17218,3058,929,11055,2911,2039,518,20509,9066,2180,24033,9772,8361,1792,55206,1735,398,4929,3775,4800,847,16489,15486,3892,41798,12294,9766,2548,85788,2457,629,9966,6759,7549,1575,28941,8442,3266,19644,9931,9110,1490,51887,27481,10180,54838,15332,13048,2634,123518,23137,9223,75071,36258,39819,7017,190512,1512,463,4779,2280,2727,475,12247,1876,637,6561,6848,13140,1185,30252,3272,635,9508,5292,5541,4336,28587,115791,35919,326408,152071,167187,34173,831542,407,92,1294,735,1646,251,4424,802,159,1720,1049,4022,186,7942,8741,1416,24794,14621,37140,3523,90236,2187,373,4017,2438,5855,377,15243,5616,1035,21895,16389,87195,5148,137268,8298,1220,20246,9717,14874,2064,56418,11082,1778,38449,22439,38019,5763,117536,5722,878,24757,19010,25337,4183,79885,6525,1280,17640,13539,26905,3728,69617,8394,1915,24651,7802,7087,1444,51296,23620,5129,55929,18977,14308,3437,121404,4002,851,10855,7602,10443,1601,35352,41591,8224,101454,25401,19675,5390,201742,5019,1106,18368,11241,16737,2805,55279,17235,5983,37601,22639,26707,3080,113247,44412
SOS11,6744,976,11846,39,41,308,506,1280,179,2357,77,70,473,285,507,65,1476,111,76,672,1084,1868,188,3995,47,45,374,715,1768,238,3180,613,504,3243,1825,2921,388,9493,121,94,828,1216,2960,479,5686,917,771,3984,3229,4233,419,13559,3910,3250,14603,4943,5797,753,33252,3080,2495,16332,12202,19864,2256,56229,125,84,534,431,871,118,2159,129,106,653,1561,5052,273,7779,154,89,744,760,1608,910,4265,10217,8187,49203,36546,70769,9371,184292,255,119,1392,1060,4101,647,7574,286,129,1132,1047,7869,316,10779,521,211,2593,2591,14737,1160,21812,218,72,678,989,3645,180,5791,238,129,1808,2400,28669,1185,34429,142,65,776,926,4453,339,6705,559,251,3608,4070,17373,1895,27758,398,176,2682,3614,12429,1563,20869,163,111,950,1569,7736,850,11384,152,122,901,609,1538,153,3475,297,191,1501,1942,2552,248,6735,94,88,777,1174,3182,367,5676,1537,982,7166,3364,5057,684,18789,210,152,1318,1873,6240,793,10589,2060,1447,7543,7460,12188,983,31673,6212
SOS12,663,110,1219,9,4,54,65,172,30,327,12,5,51,31,36,7,140,20,4,55,95,153,19,351,11,4,34,81,151,28,307,65,43,313,236,338,35,1030,15,14,78,137,290,61,599,103,84,403,319,418,37,1358,364,358,1445,574,703,96,3546,285,233,1461,1222,1909,224,5336,14,11,69,49,88,8,238,17,3,54,136,474,34,720,24,12,75,106,180,116,511,1008,840,4753,3949,7134,1047,18724,13,9,161,170,785,126,1271,9,8,66,92,606,36,813,34,21,222,236,1537,118,2156,19,17,58,89,435,26,643,25,18,224,336,3395,168,4165,25,9,82,101,418,34,672,48,23,329,421,1639,202,2666,26,18,268,367,1284,165,2136,17,15,127,167,965,87,1379,21,10,85,77,134,12,346,62,18,127,165,236,25,633,10,4,68,125,289,38,540,177,92,727,402,591,72,2060,25,25,130,203,625,86,1082,198,140,755,825,1200,102,3223,572
SOS13,1642,305,3231,16,22,187,276,599,112,1210,44,29,227,129,171,24,616,73,36,370,402,578,87,1546,31,19,242,305,584,105,1276,413,261,1941,1015,1364,251,5244,54,57,410,536,976,191,2228,475,294,1753,1299,1432,157,5406,1551,1323,6030,2333,2311,396,13953,1186,936,5670,4140,5289,838,18060,71,34,293,182,358,55,989,54,44,288,586,1676,155,2799,91,56,506,490,790,448,2383,4663,3628,22720,16538,25468,4831,77846,694,477,4709,4422,11726,2122,24144,98,32,359,430,2719,143,3786,191,80,1099,1058,5457,446,8333,69,25,243,417,1316,73,2132,138,74,1044,1448,13410,738,16850,106,44,612,548,1967,195,3464,160,101,1324,1344,4888,658,8474,128,69,800,959,2934,470,5355,70,46,432,671,3354,366,4938,85,42,401,270,507,54,1363,201,75,800,700,818,130,2724,64,30,430,556,1213,182,2475,1031,467,4068,1671,2293,417,9941,101,79,583,761,2114,300,3936,948,546,3132,2647,3976,350,11600,2228
SOS17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,17,7,15,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3
SOS19,40,8,113,0,0,7,3,4,0,12,4,0,16,3,0,0,23,5,0,15,9,11,0,37,4,0,7,0,3,0,12,14,3,39,14,11,3,75,5,0,21,9,12,4,53,4,0,21,6,9,0,51,20,17,33,22,9,7,99,10,11,66,28,38,6,163,3,0,15,10,3,0,36,0,0,10,10,12,0,36,3,0,15,7,6,13,47,92,43,360,168,203,49,909,3,0,30,4,36,8,88,0,0,4,0,16,3,22,3,3,17,8,49,13,95,0,0,3,4,5,0,18,11,0,27,27,156,15,233,5,0,14,3,11,0,28,14,3,32,26,44,4,122,11,3,83,45,75,6,229,3,0,12,8,49,4,80,8,0,22,6,3,5,40,9,0,27,10,12,3,70,6,0,10,0,15,3,34,38,5,88,27,26,6,187,6,3,32,18,36,5,102,14,3,46,24,50,5,135,35
SOS20,9225,1544,30559,1284,414,4700,2930,3603,643,13573,1941,998,6368,1910,1291,269,12783,4714,1843,15118,6153,4260,957,33037,1060,348,3997,2640,3327,607,11976,12157,4074,33630,9470,6275,1524,67128,2014,942,8123,5279,5589,1081,23027,6196,4027,15487,7390,6599,988,40689,22679,15276,45477,13368,9813,1991,108596,19580,12744,63980,31682,31671,5682,165338,1335,774,5220,2437,2499,383,12652,1661,873,5409,6010,10047,928,24923,2337,689,7457,4106,4231,3432,22241,89337,46952,269786,126322,126918,25223,684538,560,165,1777,982,1633,276,5395,573,132,1330,352,885,86,3354,8330,2158,28232,16253,38776,3674,97421,2293,598,5569,2209,4120,422,15208,3267,1057,16144,12981,75578,3639,112673,5091,1355,16368,8030,12297,1528,44676,8392,2271,37424,22012,30757,4772,105625,4455,847,20299,15919,20209,2998,64729,5034,1354,15866,11972,19471,2916,56610,5663,1945,15931,5461,4765,844,34623,12121,4086,35021,12600,7534,1899,73258,2466,739,8676,5027,7259,1061,25230,32332,8332,83361,20118,13211,3633,160988,4172,1564,15372,9467,13186,2016,45774,12053,6667,28617,15628,16249,2067,81274,37799
SOS21,4186,564,7616,31,31,326,526,993,133,2044,59,95,428,281,381,39,1285,112,105,851,912,1154,145,3273,34,36,283,402,934,136,1823,467,337,2472,1381,1645,211,6500,75,130,610,841,1785,298,3728,600,729,2824,2799,3132,360,10443,2483,3492,10563,3505,3718,532,24299,2560,3229,13060,9649,13025,1768,43291,106,86,503,465,744,103,2001,108,118,529,1321,3294,207,5574,119,99,564,637,1102,735,3259,7338,9013,38437,28940,46544,6710,136988,148,89,1006,1041,3250,475,6006,65,26,289,218,1438,76,2112,528,290,2889,2837,14057,1050,21646,233,136,841,778,2788,167,4951,146,147,1456,2063,24392,1023,29227,141,63,815,906,3352,293,5577,366,286,3210,3612,11713,1356,20550,248,147,1898,2533,7634,918,13377,185,132,1071,1695,6328,755,10160,151,150,951,659,1299,134,3347,286,233,1798,1788,1620,237,5961,67,54,560,684,1915,228,3509,1223,687,6063,2839,3257,434,14502,143,191,1039,1389,3882,504,7147,1246,1200,4967,5555,7340,702,21014,3947
SOS22,409,79,826,8,11,28,45,100,22,212,3,8,31,25,36,4,103,5,14,43,60,67,14,199,0,3,22,40,83,11,161,39,29,212,115,163,25,584,8,11,69,73,151,41,345,61,61,224,250,288,38,920,230,312,904,350,349,50,2197,152,239,984,858,1180,180,3594,16,14,67,63,86,17,259,7,10,37,100,260,28,436,15,7,57,64,121,76,339,595,781,3186,2654,4285,757,12259,19,19,154,170,750,109,1221,5,3,21,23,155,15,219,27,15,177,248,1249,113,1839,7,13,52,61,279,24,432,4,15,126,178,2426,122,2877,6,12,63,67,323,37,508,22,24,221,317,1009,130,1733,40,29,207,250,789,116,1428,14,15,81,114,643,94,958,10,6,57,38,99,11,224,16,16,85,99,102,12,325,3,3,39,73,180,18,316,95,56,452,231,298,45,1173,16,15,109,131,392,64,723,115,105,358,500,690,77,1841,353
SOS23,1132,220,2302,19,23,147,248,396,71,915,27,32,153,100,108,19,448,45,40,309,299,288,49,1036,21,16,128,180,314,61,714,272,197,1377,720,773,152,3490,39,59,301,358,576,113,1442,289,306,1011,1118,1015,133,3870,1006,1328,3912,1516,1415,225,9397,932,1222,4721,3601,4106,752,15339,58,37,261,215,307,54,926,54,41,255,408,1069,98,1914,60,63,327,387,517,349,1702,3280,3871,16484,13097,17272,3532,57535,394,375,2977,3723,9300,1609,18384,27,14,138,104,719,35,1034,227,131,1261,1272,5565,489,8948,82,51,317,302,1131,65,1952,75,74,692,1048,10863,617,13370,78,54,459,453,1451,146,2643,131,110,1065,1128,3402,538,6369,88,67,566,733,1959,318,3723,76,72,399,704,2661,354,4260,63,57,298,232,372,53,1064,150,103,594,523,441,80,1885,38,30,242,310,667,97,1381,633,353,2957,1282,1393,260,6879,70,84,463,566,1337,196,2717,506,482,1696,2165,2686,274,7814,1468
