SOS_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
SOS10,159,506,1018,969,1031,793,375,114,14,4982,31,297,2312,2424,2018,1179,178,17,3,8472,1844,6078,19240,23421,25376,18056,3548,342,47,97967,131,807,3481,4121,4022,2783,425,23,4,15793,8027,20233,46973,40439,33661,20004,4380,345,37,174105,722,3003,11580,14154,12479,8190,2007,233,33,52403,10291,18014,27069,20000,15685,10773,3348,451,48,105668,15206,16222,23451,12716,9116,6165,1558,160,20,84621,1038,4670,18558,21985,24245,18351,4270,341,20,93476,829,2478,10827,11857,8504,4030,815,102,8,39464,361,4142,22750,25155,16481,8087,1905,283,68,79220,423,1737,6322,5791,4974,3408,1393,293,46,24387,1076,8357,38451,36170,24830,16145,5963,874,101,131968,886,3712,10959,9956,8781,6570,1817,175,33,42899,646,4324,18195,19413,19491,13185,2730,231,20,78250,2200,5485,13467,12860,12002,11256,3435,379,20,61100,904,4584,16973,16204,14911,12398,4220,607,62,70864,1960,3265,5745,4233,3322,2318,778,120,15,21763,1702,4708,10973,10387,9923,7126,2086,267,36,47205,2847,7702,19199,16488,15425,10057,2895,618,133,75362
SOS11,442,1062,2306,2066,2220,2042,984,325,63,11514,114,699,3894,3871,3151,1766,156,15,4,13667,1113,2846,6458,6326,6319,4570,816,110,4,28558,76,330,1278,1533,1830,1312,138,6,5,6510,2532,5438,10883,9106,8649,6787,1365,107,14,44889,296,728,1713,1936,2064,1550,426,52,4,8755,3816,3723,5532,4620,4347,3762,1175,154,18,27144,5161,2982,3734,2798,2481,2334,795,79,11,20391,274,788,2640,3463,4881,4733,1760,181,8,18727,159,294,607,608,658,597,138,18,0,3083,34,168,653,918,945,690,239,51,7,3703,101,196,544,735,778,757,358,72,18,3562,199,647,2083,2507,2335,2260,1022,148,11,11195,248,691,1624,1846,2129,1878,495,55,6,8971,287,1178,4613,5653,6686,4895,719,59,8,24092,232,689,2459,3067,3480,3653,838,88,0,14506,198,845,3236,3592,4131,3961,955,73,13,17009,389,414,628,690,700,650,244,37,5,3759,708,1593,2952,2636,2674,2219,732,110,18,13654,868,1558,2837,2676,2959,2321,809,239,80,14331
SOS12,77,139,340,340,427,437,184,75,12,2037,5,53,219,304,286,186,16,0,0,1070,107,228,440,546,742,527,119,9,0,2733,7,46,115,149,218,175,18,0,0,714,299,521,1007,1141,1239,946,184,12,3,5338,28,63,125,177,193,153,45,6,0,786,364,267,350,418,419,426,128,11,0,2376,461,244,297,264,316,312,96,10,0,2004,35,82,210,385,585,608,221,29,3,2168,9,22,42,52,82,62,18,3,0,292,11,18,43,79,93,77,26,7,0,359,5,25,47,59,77,81,27,3,0,332,22,51,154,241,310,299,134,16,0,1217,25,55,112,178,227,194,57,7,0,849,39,91,351,601,751,535,97,9,0,2471,18,49,189,336,351,444,88,15,3,1501,9,72,190,266,420,400,104,11,0,1472,44,37,66,85,111,109,24,4,3,490,88,142,279,234,343,253,80,8,3,1433,91,144,242,291,355,328,103,23,3,1592
SOS13,858,1457,3588,4775,6672,7618,5168,1896,353,32395,52,184,925,1304,1310,726,102,11,0,4615,528,868,1324,1819,2476,2050,504,70,6,9661,36,109,309,530,767,476,51,11,0,2299,1356,2122,3539,4296,5058,3712,890,58,10,21036,189,236,522,750,996,828,231,45,3,3801,1200,886,992,1076,1481,1283,475,75,3,7475,1407,582,526,541,681,675,269,36,3,4723,112,290,750,1360,2072,1948,692,61,6,7299,37,54,131,196,293,263,57,6,0,1041,19,70,174,315,454,328,115,25,0,1497,56,92,172,322,439,363,200,43,3,1696,96,236,597,960,1446,1392,672,75,7,5487,93,188,364,537,763,642,198,17,0,2813,313,569,1051,1680,2539,1839,285,13,5,8306,112,194,555,808,1301,1488,408,30,4,4888,64,183,437,762,1298,1510,450,41,5,4747,174,173,230,284,390,339,142,27,3,1751,405,605,833,982,1232,980,305,38,4,5379,481,559,805,1094,1655,1282,643,257,54,6829
SOS17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,11
SOS19,5,18,28,10,8,3,3,0,0,79,0,0,13,14,7,0,0,0,0,30,3,18,41,27,24,17,0,0,0,134,0,4,10,7,8,3,0,0,0,23,7,51,109,89,51,38,5,0,0,359,0,4,12,17,3,9,4,0,0,48,0,20,32,29,23,16,3,0,0,119,11,46,75,14,21,20,8,0,0,191,0,3,38,43,31,25,6,0,0,152,0,3,12,9,0,5,5,0,0,30,0,4,18,11,6,0,0,0,0,42,0,4,9,5,5,3,0,0,0,26,0,15,46,36,20,11,8,0,0,135,3,10,28,18,9,13,0,0,0,84,25,27,33,24,4,13,3,0,0,134,0,6,19,13,12,7,4,0,0,61,0,6,25,22,19,6,0,0,0,83,4,11,20,11,9,6,3,0,0,62,0,6,21,10,7,9,3,0,0,71,7,23,39,35,43,16,4,3,5,174
SOS20,153,545,1424,1338,1275,917,370,131,20,6166,11,90,749,823,809,518,123,12,5,3136,1553,6251,22291,27965,28792,19181,3813,360,52,110258,97,671,3888,3789,3319,2038,365,19,3,14195,4724,16130,41111,32395,27456,16235,3389,323,52,141820,684,2703,9734,11496,11307,7169,1655,203,21,44974,9511,16420,23767,17411,14131,9451,2909,348,53,93998,12025,14023,19355,9585,6580,4168,946,106,12,66800,659,4185,18076,17523,17981,13182,3142,213,29,74987,540,1816,7834,8296,6023,2962,535,54,9,28065,198,2513,14493,15037,10165,4952,1327,186,52,48927,243,1315,4952,4106,3518,2420,962,187,24,17729,627,6091,31360,29752,20175,12819,4880,659,77,106450,678,3634,9616,8134,7266,5362,1722,178,15,36607,520,2764,11648,12831,12963,8890,2043,272,29,51942,1565,4550,13471,12484,10769,9623,2765,264,21,55517,501,2986,13644,13136,11910,9385,3185,388,53,55179,2376,3766,6289,4328,3148,2048,754,146,13,22873,1076,3684,9398,8363,8287,5915,1722,234,24,38708,1857,6154,15787,13489,13126,8491,2657,513,156,62225
SOS21,265,782,1824,1752,1714,1432,787,250,49,8854,7,130,728,699,680,413,57,3,0,2727,845,2499,5869,6511,7029,4938,762,61,18,28524,49,286,1066,1074,1610,1237,177,13,7,5514,1872,5048,10363,7756,6897,4886,947,82,20,37869,231,578,1546,1857,1908,1401,345,42,10,7913,3054,2960,4215,3579,3229,2787,865,109,14,20814,3841,2228,2342,1659,1382,1275,407,46,9,13189,177,708,2683,3456,4364,4065,1151,75,17,16691,128,236,651,712,667,510,102,16,0,3013,30,184,785,1044,970,636,154,19,8,3828,46,169,447,520,566,498,204,32,5,2479,133,586,2070,2273,1937,1784,694,99,6,9584,164,452,1164,1308,1446,1320,387,51,8,6296,169,731,2653,3436,3922,3028,535,40,6,14527,239,557,2128,2484,2316,2476,607,46,5,10859,137,622,2246,2500,2809,2689,686,76,11,11768,376,392,652,630,630,524,199,35,8,3442,460,1053,2092,1829,1980,1713,516,89,9,9733,654,1225,2271,2280,2504,1877,600,185,42,11632
SOS22,55,124,309,319,388,394,197,59,13,1856,0,6,72,75,85,67,15,3,0,318,82,169,398,494,605,523,74,10,0,2361,4,14,65,131,160,131,13,4,0,523,172,362,842,808,851,650,101,14,6,3807,17,34,98,143,194,156,29,3,0,675,210,165,242,254,318,306,110,7,4,1611,252,131,156,168,183,179,84,8,0,1173,21,46,186,272,409,451,122,9,0,1516,3,13,22,28,48,48,6,3,0,182,0,3,28,56,46,29,18,0,0,178,3,6,34,36,63,56,19,3,0,224,15,24,82,131,184,191,83,7,0,711,20,33,90,138,164,159,37,6,0,647,11,42,159,267,391,335,62,3,0,1268,24,32,147,189,230,245,65,3,0,927,17,36,90,137,223,260,64,10,3,840,22,29,41,83,68,86,34,8,0,374,45,95,170,175,184,188,58,7,0,921,72,93,181,209,293,237,92,27,8,1196
SOS23,662,1163,2812,3711,5179,5933,3949,1360,255,25009,9,60,208,323,402,284,47,12,0,1345,414,769,1291,2079,2969,2309,560,68,10,10472,22,76,279,404,723,559,83,5,0,2159,973,1859,3033,3448,4128,2997,634,51,16,17138,122,222,389,628,865,736,219,23,4,3201,1067,680,724,896,1088,1025,352,59,7,5900,1134,410,341,347,451,465,183,26,3,3357,84,232,660,1180,1895,1774,540,43,4,6421,25,56,91,162,270,219,57,3,0,879,11,43,151,246,337,228,91,14,3,1121,19,62,100,173,238,240,106,16,5,960,53,173,478,763,1019,963,466,66,3,3977,69,135,261,421,590,540,152,19,0,2194,176,387,760,1034,1596,1307,206,23,0,5484,118,173,373,620,853,1086,280,21,0,3522,36,141,285,556,889,1078,328,38,5,3361,145,136,192,247,342,333,126,21,0,1533,270,397,552,688,1027,800,222,25,3,3986,369,461,652,914,1378,1191,545,179,48,5746
