SOS_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS10,3684,9312,21789,19763,18277,12145,3244,380,40,88638,4751,12573,31255,27057,25202,15898,4581,1008,263,122582,107818,237404,621105,574187,510745,337579,81358,8910,1191,2480298
SOS11,1263,2854,5304,4877,4813,3624,1113,152,24,24030,1451,2229,4187,4307,4645,3760,1345,431,156,22506,35934,51864,115046,118813,129115,102915,24144,2953,507,581287
SOS12,143,240,449,435,580,404,119,9,3,2385,160,193,373,465,599,497,164,51,18,2518,3565,4268,9070,12169,15035,12386,2936,393,60,59891
SOS13,676,1013,1482,1812,2203,1596,463,57,8,9314,772,860,1321,1924,2700,2103,1057,419,76,11236,14631,17362,33132,47544,64534,54217,19128,4188,665,255400
SOS17,0,0,0,0,5,0,0,0,0,5,0,0,0,4,6,6,0,0,0,13,6,3,23,27,30,25,10,0,0,130
SOS19,0,21,33,25,9,11,3,0,0,109,7,32,62,52,49,24,3,5,5,248,112,528,1094,630,507,376,89,7,4,3331
SOS20,2136,7537,18779,15758,15357,9905,2671,308,37,72489,3273,9882,25236,21759,21313,13337,4099,856,282,100038,84467,198063,529035,469257,423557,272347,65569,6966,1135,2050402
SOS21,834,2087,3962,3332,3490,2762,788,110,16,17376,1115,1806,3322,3526,3915,3010,997,316,87,18091,26680,41244,90619,91798,98033,76306,17048,2005,400,444140
SOS22,69,170,296,320,310,256,81,5,4,1515,105,125,272,328,440,386,132,46,7,1841,2054,2744,6343,7974,10056,8745,2078,269,65,40321
SOS23,433,698,1002,1227,1744,1289,355,36,7,6790,598,699,1015,1515,2238,1886,913,290,71,9210,11331,13855,25363,36129,50857,43557,14633,2963,520,199216
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
SOS29,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
SOS30,2785,6766,14890,12670,11732,7727,2094,201,8,58878,3288,6806,14952,14632,13414,8597,2666,603,166,65106,88251,157261,355293,343745,324058,210474,48693,4610,547,1532936
SOS31,1005,1878,3500,3073,2911,2091,554,63,5,15084,940,1430,2880,2849,2964,2099,733,211,62,14172,22897,31820,73527,74725,78155,55408,11776,1396,196,349905
SOS32,143,243,469,491,494,396,117,9,0,2362,147,195,372,511,581,478,185,33,3,2509,3095,3869,8797,11329,13713,11190,2632,321,48,54996
SOS33,544,713,1168,1463,1634,1165,317,27,7,7040,576,661,1264,1784,2289,1805,750,279,37,9452,11498,13236,27246,38878,50388,39084,12252,2529,344,195465
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,3,9,8,11,19,3,0,0,60
SOS39,0,16,35,20,17,14,0,0,0,99,4,39,79,56,45,22,11,3,0,257,103,480,1010,470,509,430,76,6,0,3087
