SOS_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
SOS10,28079,93852,88927,84661,252020,324996,149871,259695,27866,1309975,89,489,468,549,521,433,167,258,58,3030,63,79,125,128,273,355,154,211,8,1395,1267,4196,4530,4504,12402,9161,3647,3811,316,43842,197,166,364,441,1365,1200,423,378,27,4566,742,3844,3879,3407,4411,5964,1846,2448,246,26784,972,2131,3022,3230,8581,8022,3000,3197,175,32342,4465,29910,23145,19833,22291,13978,6283,7039,1427,128373,2602,25378,17808,12019,10038,7299,3791,5392,1164,85474,1283,2303,3187,3746,7313,6078,2380,2288,318,28908,1000,1981,2177,2215,5419,6400,2872,3808,153,26032,3765,2901,6470,7609,17725,19144,6762,8078,510,72959,707,2301,2529,2334,4582,5368,2135,2484,164,22605,3594,10379,12066,11605,18518,23585,9804,13347,578,103475,1416,7436,7657,6055,8661,7753,2858,3264,509,45604,3883,3429,6270,6978,21149,12153,5777,4639,473,64745,5587,22296,20147,19618,24383,21474,10621,16906,1146,142183,10039,24241,40932,41319,46058,39918,11690,14331,2266,230800,740,4688,2778,2520,2370,2619,1101,1546,188,18557,1246,7776,6605,5877,8060,5967,2754,2656,500,41432
SOS11,9203,23750,17719,23521,60048,61048,35918,60242,6549,298008,179,635,553,638,704,525,242,374,60,3905,117,81,92,161,226,245,289,489,13,1705,340,1368,1137,1410,2158,1707,717,677,105,9625,45,57,119,176,460,307,88,70,9,1326,191,1062,766,867,903,951,366,411,58,5577,91,389,410,487,712,603,302,243,22,3262,1813,9871,7002,7272,6537,2774,1829,1806,478,39381,1088,10060,4999,4976,3161,1989,1218,2306,464,30259,208,711,693,779,951,659,323,455,65,4838,104,330,260,276,627,318,166,163,19,2265,376,431,871,1048,1851,1069,397,379,51,6464,158,468,515,603,1316,807,383,448,35,4738,444,1887,1721,2084,2805,1706,774,967,75,12457,414,2809,1877,1746,1834,1260,392,571,149,11056,1178,978,1829,2151,6228,2649,1369,989,114,17486,1665,4870,5231,6511,6589,5009,3065,4840,332,38102,3651,6623,12162,15536,13493,9912,3036,3826,655,68886,168,1025,479,557,434,282,154,240,45,3391,344,2209,1650,1720,1878,1212,608,633,113,10377
SOS12,1060,2595,2003,2581,5794,6270,3499,6681,750,31237,40,118,92,80,64,103,37,91,8,625,12,4,13,9,18,24,19,38,0,133,38,138,109,127,216,151,66,72,13,932,3,12,10,15,32,24,12,11,0,124,21,153,108,106,98,106,29,46,9,684,9,45,65,55,59,69,31,43,6,388,151,901,632,646,544,275,175,266,43,3633,138,1064,490,487,274,182,123,301,53,3119,29,141,115,96,109,101,40,73,7,704,6,40,22,29,63,35,11,21,0,228,29,41,89,114,156,82,33,30,3,583,14,63,59,63,104,58,43,41,4,449,48,244,213,241,252,184,87,113,9,1381,40,316,197,169,174,122,38,60,18,1122,140,112,177,233,579,239,119,114,11,1733,181,555,585,735,645,522,306,529,32,4084,370,659,1259,1490,1088,923,257,370,60,6468,10,104,51,74,52,35,16,33,9,375,36,214,157,178,155,102,46,50,17,951
SOS13,4342,10034,8037,9686,18985,26745,13979,42438,3492,137742,503,2094,1643,1829,942,2055,703,3915,316,13996,46,39,49,64,64,81,110,176,15,629,133,572,550,570,694,609,288,372,47,3830,27,34,63,67,150,99,18,63,0,516,124,728,621,560,481,650,174,311,44,3696,64,220,255,306,360,324,158,207,10,1908,480,3113,2164,2126,1653,1026,577,828,147,12108,310,3002,1290,1223,686,550,301,715,144,8234,100,420,452,389,331,356,134,250,33,2462,39,147,124,125,187,111,72,99,9,927,142,201,313,390,498,428,163,213,20,2368,67,240,217,222,363,336,139,226,16,1835,255,1030,1011,1158,1106,934,398,706,67,6666,146,1038,673,626,544,456,157,296,65,4009,439,362,680,832,2277,1047,556,623,65,6880,728,2340,2452,2725,2381,2095,1080,2047,155,16014,1232,2313,4371,4821,3571,2955,903,1251,242,21660,77,382,208,217,212,192,81,192,23,1578,113,802,643,633,642,483,243,320,62,3937
SOS17,20,0,3,3,11,8,3,7,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,4,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,3,3,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
SOS19,85,152,190,184,356,428,187,348,103,2042,0,3,8,9,18,9,5,5,3,64,0,0,0,0,0,0,0,4,0,7,0,3,10,4,13,9,4,3,0,41,0,0,0,0,0,0,0,0,0,3,0,6,3,4,4,4,3,3,0,27,0,3,3,3,5,0,0,0,0,23,3,12,23,18,18,23,4,4,0,108,4,30,41,39,30,20,15,23,4,196,0,3,3,6,5,3,0,0,0,23,0,0,3,0,3,10,4,3,0,27,0,3,4,0,9,11,3,6,0,44,0,0,6,0,3,8,3,0,0,20,4,8,14,8,20,18,7,10,0,84,4,14,5,14,16,7,3,6,0,72,10,3,4,4,22,12,11,16,0,74,9,23,17,19,26,14,6,6,3,124,13,19,32,41,30,37,12,10,0,186,3,9,4,4,10,6,6,4,0,49,3,7,3,5,11,3,3,7,0,42
SOS20,23358,86231,70649,75167,212364,267778,125817,196965,22222,1080552,141,572,539,578,745,581,239,258,41,3694,67,47,99,93,124,288,114,210,3,1048,1390,5253,4996,5333,12589,9452,3805,3212,373,46407,331,259,525,656,2014,1567,566,496,29,6445,561,3103,2866,2802,3461,4129,1384,1643,213,20160,905,2319,2922,3127,6961,5936,2252,2238,161,26809,3974,31132,19785,17556,18489,11637,5911,6050,1262,115797,1965,24028,12718,9157,7139,5095,3169,4127,1046,68451,1041,1872,2563,3359,5846,4669,1937,1784,220,23283,685,1684,1708,1830,3646,3843,1674,1863,141,17081,2361,2019,4544,5076,10114,12149,3927,4258,288,44743,571,1869,1917,1841,3666,3782,1694,1842,147,17324,3090,9306,9776,10223,15030,17482,7289,9094,515,81802,1215,7033,6377,5155,6812,5206,2101,2315,408,36622,3285,3616,6052,6975,13491,8850,4609,3590,339,50793,4595,19577,18506,17866,21255,15754,9940,15182,878,123549,9548,23201,34771,42536,36446,26330,9591,10707,1857,194990,724,5510,2756,2618,2401,2339,1181,1541,194,19264,1045,6923,5269,5359,6605,4117,2056,2039,360,33778
SOS21,7603,18500,12200,16753,44761,52243,29350,42950,4883,229245,170,569,407,462,511,400,196,238,66,3009,17,17,22,41,56,59,45,59,0,314,422,1487,1174,1255,2171,1685,724,578,90,9589,87,72,133,170,359,315,95,73,7,1312,160,905,635,669,668,710,223,261,42,4266,121,385,364,381,698,498,239,169,16,2875,1347,8189,5170,5318,4481,2274,1334,1206,322,29633,818,7401,3103,2836,1870,1143,756,1359,333,19617,211,599,624,691,987,718,308,365,44,4552,99,364,262,267,522,302,168,128,12,2131,387,375,797,911,1461,985,373,360,41,5689,101,338,361,334,753,472,251,254,22,2892,356,1490,1279,1501,1919,1341,610,663,72,9227,274,2082,1192,1183,1213,683,285,334,108,7357,1002,1308,1887,2067,3416,2324,975,866,102,13954,1274,3787,4463,4813,4884,3109,2340,3377,245,28293,3405,5847,10356,13184,8834,6119,2114,2450,490,52811,170,1055,481,523,364,268,155,200,46,3268,290,1760,1184,1294,1429,742,439,411,90,7643
SOS22,899,1699,1249,1648,3648,4762,2452,4443,510,21299,35,113,80,100,83,76,42,70,3,613,3,0,3,3,0,8,6,4,0,33,47,133,98,112,174,141,56,64,6,842,3,7,14,3,20,27,4,5,0,92,18,120,70,60,60,57,17,18,5,412,13,38,39,41,47,40,20,13,0,259,108,661,441,409,324,186,106,157,25,2413,75,615,280,242,139,132,99,255,24,1858,20,88,64,84,89,59,38,41,6,484,4,26,24,22,23,22,14,13,0,152,27,29,61,57,83,58,20,24,0,358,13,34,30,35,58,41,17,38,0,250,33,146,134,147,136,73,48,56,10,779,31,198,129,92,84,55,33,33,16,664,104,124,183,169,304,178,66,72,14,1217,130,423,395,457,433,227,221,292,24,2599,333,531,986,1115,581,445,157,219,55,4411,31,90,60,63,39,29,19,25,7,365,32,145,97,106,89,68,20,30,5,590
SOS23,3922,8249,5827,7602,14623,22433,11286,31071,2749,107756,493,1931,1422,1592,849,1515,582,3010,253,11647,6,15,31,17,28,51,18,36,0,198,176,696,587,563,812,607,314,334,51,4138,37,40,68,75,126,135,27,50,3,554,100,550,425,366,273,431,103,189,43,2473,64,223,216,257,266,269,118,144,16,1566,412,2656,1628,1608,1243,741,377,548,134,9342,247,2483,970,813,466,339,184,521,124,6146,112,332,267,331,294,290,148,199,32,1997,33,129,97,97,122,82,69,38,4,673,126,151,264,302,364,331,103,112,20,1782,43,154,171,145,239,183,83,119,6,1136,206,808,751,847,715,631,303,420,38,4738,135,771,501,436,356,336,105,151,43,2839,377,472,711,801,1049,790,395,370,49,5012,490,1610,1880,1892,1551,1168,822,1369,117,10897,1240,2252,4167,4542,2491,1977,717,853,213,18450,78,418,237,225,189,140,85,184,22,1580,104,617,468,457,425,346,128,220,43,2804
