SOS_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOS10,2047,10929,9671,9199,17569,17612,8459,12085,1059,88638,3142,10900,10579,8895,20590,23631,7370,13289,24188,122582,73244,255866,258632,243214,483814,529055,229939,358687,47853,2480298
SOS11,649,3039,2254,2530,4708,4435,2407,3728,272,24030,902,2425,1610,1861,3430,3413,1356,2385,5126,22506,22164,70997,60952,73459,113896,95776,51889,80551,11605,581287
SOS12,67,297,224,256,419,454,248,381,39,2385,119,267,201,208,367,348,135,300,569,2518,2434,7669,6544,7635,10572,9687,5029,9018,1298,59891
SOS13,227,1104,913,948,1634,1767,840,1744,121,9314,533,1217,868,843,1249,1712,618,1680,2519,11236,9613,29799,26294,29007,36538,42067,20374,55610,6089,255400
SOS17,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
SOS19,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
SOS20,1696,9615,8009,8225,15186,13465,6603,8859,819,72489,2793,9745,8085,7740,17813,18327,5995,10445,19091,100038,62221,241120,213588,221314,395255,416098,190724,271528,38557,2050402
SOS21,537,2385,1614,1908,3522,3261,1637,2311,199,17376,820,1911,1230,1385,2834,2958,1098,1941,3923,18091,18685,57636,46817,55363,82136,77020,41177,56617,8683,444140
SOS22,53,210,150,164,262,300,135,219,19,1515,118,182,148,144,270,300,98,209,373,1841,1990,5330,4508,5019,6477,6743,3472,5908,880,40321
SOS23,217,888,670,734,1089,1402,567,1137,97,6790,482,981,707,728,998,1460,498,1339,2026,9210,8622,25102,21079,23359,26795,33143,16075,40191,4861,199216
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
SOS29,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
SOS30,1418,7408,5979,7252,11955,10615,5715,7941,592,58878,1867,6254,4828,5435,10948,11393,4084,8519,11777,65106,49426,169194,147383,183165,307492,276863,144124,229901,25390,1532936
SOS31,429,1835,1286,1685,3071,2529,1545,2531,177,15084,579,1343,868,1226,2161,1991,949,2067,2983,14172,13734,37958,30654,42953,65339,52551,36181,63568,6971,349905
SOS32,65,350,238,309,403,412,187,373,37,2362,123,260,176,232,327,351,122,358,557,2509,2345,6135,5084,7030,9529,8247,4749,10621,1257,54996
SOS33,194,952,634,803,1159,1205,602,1397,92,7040,425,998,660,751,1070,1317,496,1685,2052,9452,7288,21435,17613,22159,27391,28937,15982,49942,4727,195465
SOS37,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,9,6,7,9,10,4,12,0,60
SOS39,5,17,16,10,11,21,7,7,5,99,14,19,12,26,25,38,7,32,86,257,195,274,297,410,473,463,235,575,158,3087
