SOS_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOS10,93,40,24,50,7,119,10,140,69,10854,118,11522,39,91,13,22,0,41,8,342,53,3513,43,4173,26,87,11,32,0,97,18,850,58,2171,31,3381,5,7,0,7,0,108,7,723,42,1286,18,2204,89,401,27,82,0,313,30,1568,163,15168,195,18057,61,462,27,163,18,1101,46,2478,188,5474,71,10075,238,1581,92,455,31,2512,121,3546,367,40018,522,49486,417,1921,72,1203,92,4816,147,3945,444,15171,212,28437,1278,3174,153,3780,197,6532,272,3889,541,17189,256,37273,3968,2747,202,6446,345,5627,299,2931,460,11634,204,34867,4402,1406,153,5873,381,4926,205,1851,293,4100,72,23651,7588,1300,201,5816,481,4094,198,1397,276,4296,83,25740,24946,1960,503,10052,1147,7374,378,2106,433,5695,144,54746,21516,1050,378,7108,937,2620,264,1133,206,2678,54,37941,16300,641,262,3931,602,1259,135,552,107,1445,31,25267,11341,299,171,1541,381,2892,63,473,130,934,24,18255,25217,1305,436,6438,971,3850,196,1495
SOS11,44,17,9,20,3,29,3,27,17,1447,42,1655,23,27,3,22,0,21,3,103,8,919,15,1150,6,34,0,24,0,28,8,206,22,622,7,958,5,3,0,8,0,32,0,151,15,430,4,643,68,153,26,65,3,127,28,604,53,6680,118,7915,38,208,7,92,10,308,15,1024,104,2485,33,4325,215,571,51,272,19,765,47,1851,223,23146,369,27528,281,765,51,680,55,1634,73,2081,224,8368,122,14335,763,1225,101,1938,138,1924,161,1745,218,8993,111,17312,2099,1105,108,3120,196,1669,165,1124,188,5836,102,15710,1776,485,70,2422,151,1318,104,601,112,1597,24,8660,2791,447,99,2209,174,1095,93,478,96,1598,48,9133,6309,604,174,3512,365,1736,129,551,179,1990,66,15625,4178,287,96,2103,231,608,93,208,55,661,19,8540,2487,147,62,930,125,242,49,120,42,321,8,4527,1294,52,32,263,67,435,12,71,34,185,6,2446,1998,182,47,1005,136,395,40,181
SOS12,13,3,3,3,0,0,0,3,0,164,5,197,3,4,0,3,0,9,0,12,3,104,3,144,0,3,0,3,0,7,0,19,3,89,0,133,3,3,0,0,0,3,0,16,0,62,0,91,13,16,3,15,3,14,0,80,13,778,25,964,9,30,4,15,3,51,3,143,17,309,3,589,32,89,4,38,9,116,8,216,39,2595,45,3176,40,97,12,71,10,189,8,255,20,851,20,1567,93,172,23,201,9,220,11,228,24,941,18,1940,204,140,23,344,23,183,27,121,27,630,8,1719,156,54,12,236,14,144,13,64,22,170,6,881,276,61,9,264,27,119,13,59,11,171,4,1010,577,87,13,347,41,187,18,61,27,187,7,1569,349,33,19,239,27,72,3,23,4,74,0,845,234,23,8,95,14,28,11,16,3,37,0,465,153,3,4,37,6,56,0,10,4,14,0,292,202,27,7,107,15,51,3,25
SOS13,194,42,10,57,8,47,0,30,8,639,18,1055,78,33,11,30,5,26,4,51,8,423,15,682,43,28,4,32,0,41,3,89,15,299,8,568,15,8,0,13,0,25,0,73,3,173,7,313,213,158,25,127,10,105,11,257,53,2326,50,3345,94,103,9,108,10,170,15,436,39,811,20,1821,372,377,59,318,18,421,41,711,95,5938,124,8475,437,437,39,471,40,667,44,812,95,2216,45,5311,795,625,69,947,54,885,84,691,108,2606,61,6921,1074,576,61,1300,74,663,83,473,87,1612,51,6044,667,248,25,945,74,554,46,280,64,535,24,3450,1206,296,67,990,77,466,56,217,69,637,18,4094,2493,356,85,1549,155,755,75,300,81,725,33,6604,1640,203,59,986,126,285,53,156,38,373,16,3948,1190,115,43,554,62,135,25,59,19,176,10,2374,666,54,9,245,26,245,12,41,30,86,8,1429,1435,227,68,797,107,347,29,152
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,112,43,22,40,11,125,0,127,55,8644,107,9287,28,78,14,32,0,58,12,356,55,2959,46,3638,15,118,3,37,4,103,13,807,63,1784,27,2964,11,14,0,11,0,110,3,656,48,912,6,1780,66,399,30,96,4,327,42,1444,146,13118,187,15861,72,455,21,196,13,964,44,2291,210,4237,68,8567,245,1355,93,506,40,2401,124,3251,309,32499,533,41353,378,1733,90,1235,91,4520,143,3830,420,12513,185,25128,1130,2707,143,3711,214,5998,235,3468,494,13535,212,31840,3685,2388,215,6448,389,4845,264,2510,379,8900,197,30215,4129,1174,138,5668,318,4263,182,1428,259,2865,67,20488,7093,1138,196,5581,459,3553,209,1121,223,3134,83,22786,23288,1648,442,9715,1034,5585,346,1607,350,4039,121,48180,19006,846,314,6622,819,2036,198,846,164,1868,53,32779,12829,455,209,3276,525,912,97,377,66,1059,30,19828,8354,210,125,1226,307,2013,49,353,90,726,18,13474,15250,996,310,4451,599,2660,155,1193
SOS21,47,20,7,20,5,24,0,28,16,1081,30,1270,20,34,5,16,3,17,3,76,12,629,20,825,9,28,0,21,0,25,7,174,9,388,5,670,3,3,0,3,0,20,0,105,12,242,3,399,55,131,17,37,0,76,11,481,55,4183,90,5136,29,132,10,73,4,240,21,703,71,1554,22,2857,100,380,36,222,13,595,48,1327,156,14039,252,17172,183,551,41,515,35,1214,61,1427,173,5380,85,9672,465,876,63,1448,93,1559,115,1281,181,5591,96,11775,1491,728,79,2377,158,1262,116,830,161,3281,74,10541,1388,358,65,1912,117,1012,79,392,113,760,17,6210,2094,369,97,1746,171,803,80,277,87,933,18,6668,5242,438,136,2804,334,1194,126,344,132,1037,59,11847,3249,212,108,1630,217,378,70,152,33,375,26,6449,1840,89,55,705,104,133,28,60,3,171,6,3202,799,34,25,205,53,262,13,50,18,96,3,1572,1116,122,50,678,55,296,34,134
SOS22,12,4,4,3,0,5,0,3,0,117,7,148,3,7,3,6,0,6,0,11,3,82,0,106,3,0,0,10,0,4,0,19,0,47,0,87,0,0,0,3,0,0,0,17,0,41,5,66,11,24,3,11,0,9,3,74,9,514,11,661,6,37,0,9,0,26,3,110,7,191,4,392,29,61,11,30,3,85,9,184,17,1676,31,2143,30,65,4,54,5,118,13,183,31,542,6,1057,70,99,19,169,24,186,15,131,28,563,8,1310,142,87,17,251,17,160,12,77,13,349,13,1128,125,30,6,190,13,105,8,49,12,84,3,625,171,40,7,174,17,96,9,33,6,106,4,656,433,48,10,266,37,101,18,33,17,97,7,1068,272,20,16,153,21,40,6,13,10,36,0,574,141,9,4,56,7,18,0,10,0,14,0,263,58,3,3,16,3,29,0,8,5,10,0,141,74,10,6,59,16,22,4,15
SOS23,132,30,22,61,7,42,6,25,12,542,16,890,91,47,12,40,8,37,0,54,4,353,12,650,31,24,4,35,5,23,3,100,14,209,7,454,13,12,0,5,3,24,3,43,3,123,6,224,160,100,28,126,6,86,6,231,40,1653,32,2469,71,72,7,95,11,134,7,335,44,591,18,1388,264,312,40,238,22,305,33,592,102,4342,76,6318,327,372,41,423,36,529,53,641,103,1694,40,4253,567,535,78,785,48,683,53,541,87,1792,56,5236,767,455,72,1144,76,582,72,363,66,1139,48,4788,517,188,23,792,57,422,41,206,36,292,11,2570,956,245,46,852,65,392,37,146,52,362,28,3186,2030,312,103,1370,153,565,71,216,64,450,46,5367,1282,159,43,819,117,196,38,83,19,190,19,2959,831,87,37,422,59,95,30,35,14,108,8,1734,418,37,17,138,28,173,7,34,19,67,9,941,846,179,62,555,65,221,28,82
