SOS_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOS10,223,3279,78,43495,1251,202,140,555,206,861,92,504,210,2981,23185,30186,519,134,227,229,95,216,46,183,126,3188,2541,7510,119293,18809,3095,53790,5904,49351,2540,30119,4393,151083,27891,466272
SOS11,44,633,28,4688,291,76,26,225,65,320,42,224,72,1610,7284,10238,149,51,86,115,23,88,18,104,52,2007,1219,3913,24816,6437,1053,19010,1744,12783,1091,11453,1755,69532,9628,159302
SOS12,7,53,0,503,30,13,6,27,3,47,3,23,14,183,837,1193,32,8,5,11,3,10,3,18,11,210,131,431,2409,860,153,2065,214,1505,124,1402,244,7628,1116,17712
SOS13,24,331,12,3526,174,57,18,144,41,192,23,117,44,489,3371,4675,204,53,73,102,28,63,16,50,36,585,387,1607,12992,4010,745,9703,926,6082,627,4990,911,20970,4284,66237
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,174,2280,65,28136,1068,187,111,556,194,774,83,468,174,2517,18500,24631,546,110,244,301,98,244,32,207,159,3381,2322,7649,97298,16064,2711,49718,5126,41495,2242,26330,3823,120953,22821,388587
SOS21,47,381,12,2920,230,60,36,158,34,268,23,174,50,1072,4624,6736,149,49,70,135,23,79,12,67,51,1380,906,2917,18505,4608,899,14707,1418,9442,855,8092,1368,42576,6366,108821
SOS22,4,46,0,254,14,8,3,14,3,30,3,26,12,113,571,785,25,4,4,17,3,8,0,11,4,173,97,356,1619,554,113,1500,165,1037,99,998,167,4793,765,11824
SOS23,15,252,19,2333,132,45,19,104,18,153,10,84,33,364,2472,3439,150,38,71,91,19,57,13,42,28,457,298,1277,9582,3241,731,8072,805,4705,519,3855,761,14997,3207,50481
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,128,1645,47,18085,834,137,71,456,137,561,69,334,110,1869,17181,21765,394,75,160,201,54,145,27,108,84,1969,1462,4682,76572,13484,2128,44115,4501,32721,2048,20853,3184,98529,19997,318131
SOS31,28,278,11,3281,200,35,26,144,36,216,16,98,44,784,5375,6968,123,25,55,68,18,61,13,46,25,967,662,2073,17000,3119,703,11360,1232,8834,623,5876,1099,36633,6672,93141
SOS32,4,48,4,415,34,12,6,13,5,53,5,32,11,171,1050,1388,27,7,19,16,4,21,0,16,8,180,154,439,2713,703,146,2005,202,1621,127,1222,235,7034,1327,17341
SOS33,21,194,9,2180,147,39,17,97,29,160,10,89,25,392,3093,4102,199,40,74,90,28,78,7,34,37,476,353,1407,10965,2525,594,7215,818,5342,426,3583,751,16769,3852,52841
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,43,583,9,4915,228,52,21,150,40,186,23,112,31,858,5652,7346,83,28,48,67,14,34,12,31,13,802,535,1665,22271,4871,717,15359,1525,11267,771,8721,1120,42978,6743,116353
SOS41,17,132,3,901,63,21,10,56,15,76,3,58,17,377,1782,2463,29,10,16,35,11,11,3,22,15,394,219,770,5439,1573,260,4762,419,2958,292,2686,414,15900,2285,36980
SOS42,0,16,0,140,12,0,0,13,0,18,6,7,0,83,340,491,11,3,3,10,4,3,0,6,3,72,58,167,995,337,66,955,90,581,60,559,90,2850,459,7044
SOS43,8,67,4,750,35,15,4,25,3,48,3,25,10,134,966,1266,32,17,15,25,0,15,5,16,8,101,106,342,3472,1183,222,3124,262,1530,176,1319,241,5462,1216,18206
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,106,1074,23,14792,439,79,46,273,75,355,32,209,78,1091,13468,16150,172,38,85,108,42,95,15,57,51,1169,887,2737,42294,8045,1282,25042,2762,20295,1301,12872,2050,54699,15146,185788
SOS51,24,114,8,2462,84,27,9,59,17,107,13,61,21,273,2805,3470,64,8,20,36,6,21,0,20,12,308,256,771,8054,1492,401,5158,632,3637,373,2367,503,10755,3294,36662
SOS52,3,23,3,310,10,7,3,12,0,19,3,14,3,70,477,615,11,4,7,4,4,5,0,3,7,83,60,182,1200,269,103,896,91,701,55,502,127,2373,588,6904
SOS53,11,84,3,1204,52,19,9,35,11,61,9,36,12,94,1287,1626,64,19,26,24,12,16,3,11,6,96,125,405,3854,1243,295,2804,294,1778,216,1315,262,4881,1545,18488
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,9,88,3,795,32,6,3,15,0,23,0,21,5,131,919,1161,13,5,7,8,0,8,3,0,7,123,100,272,3512,883,105,2461,245,1584,146,1529,178,6521,1128,18285
SOS61,11,66,6,494,20,9,0,44,14,50,3,36,3,187,1009,1378,18,3,7,12,0,11,0,10,14,264,148,479,3301,915,156,2944,262,1870,154,1747,297,9191,1331,22176
SOS62,0,17,0,92,3,6,3,5,0,10,0,7,0,51,233,321,8,0,0,3,0,0,0,3,0,52,37,111,513,208,41,501,49,368,35,358,59,1730,318,4185
SOS63,0,40,5,362,24,11,6,28,6,33,3,26,8,91,704,938,6,4,8,15,0,10,0,8,11,105,89,255,1994,826,153,1936,169,1203,129,1139,198,4514,936,13201
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
