SOS_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
SOS10,3233,4482,5372,6807,26345,52235,29391,74770,2108,204736,5532,15817,12877,15382,56138,92608,37312,67472,2935,306066,5077,9780,14194,15192,53160,72366,31392,42492,4797,248455,2577,12822,10973,9801,14536,11998,8128,8262,1416,80515,2186,5361,5197,5166,27057,24665,10789,14797,1137,96348,2112,15701,11314,8025,15876,17885,7996,13488,1432,93825,3109,7221,8669,9673,30010,25675,14097,23139,2790,124380,3475,21034,18896,13303,24626,22506,9129,11880,3086,127934,776,1645,1437,1314,4271,5064,1641,3386,8182,27720,28079,93852,88927,84661,252020,324996,149871,259695,27866,1309975,4578,4999,8159,11211,22892,29274,15729,26522,1052,124416,15676,29867,41248,40254,63154,76342,30604,40860,3014,341026,1419,5812,6851,6772,9985,7277,3142,3277,684,45219,6147,34440,33293,30654,26494,17406,6648,7707,2945,165730,9156,29485,38505,36644,70033,49798,15399,11643,2548,263213,4970,38269,25320,19864,19262,12980,5092,5211,1962,132933,455,1763,1879,1946,5060,2354,805,694,304,15267,1887,15631,12902,9791,11817,5892,1922,1890,1298,63030,867,1745,1542,1420,3101,2729,729,1178,6187,19503,45169,162009,169706,158557,231793,204054,80064,98994,19985,1170326
SOS11,884,1070,1088,1623,4940,7624,5297,14463,425,37426,1117,2336,2035,2786,7533,8835,4691,8414,342,38087,1949,2782,2866,4424,17688,19870,10464,14535,1265,75843,848,2494,1977,2866,4370,2840,2079,2241,406,20124,424,864,692,1000,3723,2729,1607,2020,135,13184,614,4219,1981,2242,3865,3152,2117,3031,312,21537,1486,2076,2276,2806,7845,6878,5771,10418,813,40377,1594,7564,4564,5468,9263,8307,3521,4373,1132,45774,283,343,238,298,828,811,366,752,1726,5654,9203,23750,17719,23521,60048,61048,35918,60242,6549,298008,908,1321,1545,2521,4598,4267,2666,5098,218,23144,3381,5644,8681,9800,11331,11152,4992,6900,578,62464,533,1949,2014,2524,2981,1677,936,971,215,13800,2541,10312,9806,12504,9029,4448,2047,2412,940,54044,2377,7060,8442,10298,15616,7860,2942,2248,496,57339,1772,11854,7117,6993,5853,2477,1326,1204,628,39226,175,528,480,508,639,391,247,474,53,3489,1012,8196,4900,4513,3282,2135,708,812,525,26075,255,374,246,287,504,326,115,185,1407,3696,12958,47245,43236,49934,53851,34727,15970,20303,5049,283279
SOS12,121,156,167,222,511,854,550,1806,50,4447,107,249,222,326,680,782,407,784,31,3587,234,371,420,582,1759,2125,1008,1587,146,8226,85,256,210,277,419,271,205,207,42,1979,38,91,91,94,324,243,147,176,15,1210,49,363,163,194,292,265,158,270,36,1787,191,258,266,292,847,794,618,1212,100,4567,203,801,442,552,882,829,386,535,128,4748,33,58,23,38,86,108,24,97,210,678,1060,2595,2003,2581,5794,6270,3499,6681,750,31237,127,183,188,260,412,479,269,721,29,2655,339,601,926,1067,1003,1070,442,693,47,6195,57,229,247,297,300,189,86,100,28,1533,284,1079,1010,1179,761,400,182,288,88,5277,239,872,950,1117,1428,795,302,228,52,5993,171,1107,644,638,478,214,126,128,64,3568,15,67,64,52,65,53,27,42,4,388,110,895,484,420,300,173,81,117,61,2626,25,50,27,31,30,33,11,25,172,414,1375,5075,4541,5061,4779,3415,1535,2341,546,28657
SOS13,921,1429,1419,1966,2619,6386,3555,20494,781,39573,475,1063,945,1196,2223,3159,1510,3716,162,14448,803,1328,1400,1865,5704,7644,3585,6834,570,29730,309,805,551,686,1073,846,635,916,126,5939,137,347,299,326,1003,840,486,832,62,4318,194,1297,603,565,849,1039,571,1278,107,6486,687,856,936,1113,2427,3045,2028,4956,420,16458,672,2720,1744,1814,2793,3379,1448,2902,490,17960,150,189,138,165,307,407,161,519,774,2815,4342,10034,8037,9686,18985,26745,13979,42438,3492,137742,681,1709,1674,2213,2036,3337,1573,5808,380,19417,1474,2715,4148,4149,3864,4220,1769,2965,273,25583,239,938,925,998,1018,775,395,528,125,5944,766,3484,3131,3507,2333,1299,560,826,298,16202,991,4080,4275,4716,5449,3600,1204,1450,324,26088,494,3713,2108,1956,1497,902,389,542,210,11812,69,219,254,207,228,188,124,241,38,1568,414,2707,1588,1436,952,814,334,663,236,9136,144,194,150,148,178,188,49,153,709,1909,5277,19766,18259,19325,17559,15322,6396,13173,2591,117653
SOS17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,9,3,0,0,0,4,3,0,3,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,9,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,3,20,0,3,3,11,8,3,7,5,59,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,15,5,0,0,0,3,0,0,0,0,10,9,3,3,0,0,0,0,0,0,11,6,0,0,3,3,3,0,0,0,18,3,0,0,3,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,24,6,9,6,14,4,3,0,4,72
SOS19,10,6,7,6,21,46,15,59,3,167,23,25,25,22,51,80,29,63,3,321,20,26,30,31,78,105,37,61,20,397,3,22,26,25,26,24,21,35,11,186,0,9,3,4,25,24,10,18,4,88,7,6,16,5,23,23,12,9,7,109,7,16,22,32,67,44,40,71,15,314,11,35,57,53,57,79,34,33,22,395,3,3,8,3,8,5,7,3,29,63,85,152,190,184,356,428,187,348,103,2042,7,3,14,7,12,27,12,22,0,106,23,27,40,32,62,83,23,37,6,329,5,9,6,13,14,17,9,9,3,80,5,40,48,48,32,27,26,21,5,247,4,20,22,23,52,24,16,12,0,172,9,17,23,21,16,16,5,6,5,111,0,3,3,4,4,4,0,6,3,29,9,26,40,35,30,16,13,8,9,183,3,0,0,5,5,3,0,0,19,37,65,141,191,183,234,208,91,124,47,1291
SOS20,2830,3903,4325,6425,22492,42457,25265,60756,1773,170216,4550,13109,10434,14401,45713,72880,31681,49035,2301,244117,4373,8188,10863,13544,48859,63365,26563,32361,3860,211981,2240,12656,8306,8512,9397,10978,5898,6424,1210,65624,1763,4879,4405,4811,21698,20483,9083,10611,882,78616,1770,16226,9202,7141,13487,14156,7117,11408,1185,81695,2420,5415,6914,7982,24969,21546,11473,15216,2230,98154,2761,20447,15197,11289,22608,18288,7515,8829,2514,109452,656,1403,995,1073,3141,3623,1216,2326,6261,20693,23358,86231,70649,75167,212364,267778,125817,196965,22222,1080552,3735,4743,7215,10568,18699,21255,12523,19528,828,99097,13343,27053,35912,40777,49076,54120,25015,30899,2308,278508,1385,5856,5961,6412,9488,6212,2721,2494,630,41157,5856,33385,28550,28462,22444,12143,5481,6253,2509,145086,7389,25191,30465,30941,51308,36075,12088,8315,2003,203780,4281,40595,21460,16985,15170,9655,4258,4257,1822,118478,469,1484,1528,1992,4477,2249,795,530,228,13748,1677,15215,10726,8861,10108,4799,1529,1445,1123,55484,721,1370,1120,1145,2126,1813,499,835,4879,14509,38865,154890,142937,146146,182892,148319,64908,74563,16331,969850
SOS21,828,873,852,1383,4021,6863,4867,11279,371,31343,841,1577,1416,2273,6049,7514,4136,5866,242,29926,1708,1987,1996,3267,13252,17354,7930,9864,957,58317,761,2122,1260,1806,2318,2905,1545,1652,249,14623,352,703,596,808,3087,2625,1484,1715,107,11475,502,3504,1429,1439,2815,2548,1676,2251,257,16427,1082,1325,1400,1801,5606,5650,4125,6621,583,28194,1285,6097,3068,3725,7011,6073,3273,3165,751,34462,239,306,188,247,601,708,301,532,1370,4489,7603,18500,12200,16753,44761,52243,29350,42950,4883,229245,744,1154,1254,2017,3210,3007,1999,3427,163,16977,2891,4491,7513,8697,7994,7189,3658,4731,382,47543,476,1743,1654,1859,2333,1340,700,674,165,10942,2287,8618,7791,9237,6103,3102,1447,1646,674,40908,1996,5657,6873,7677,10377,6301,2228,1511,419,43047,1411,10546,5512,5060,3854,1800,883,771,478,30309,124,331,327,354,617,371,173,168,41,2500,911,6309,3483,3444,2553,1403,662,595,386,19746,245,281,204,263,331,274,83,144,1085,2916,11086,39139,34612,38614,37371,24782,11828,13667,3798,214891
SOS22,110,122,105,182,304,691,414,1330,55,3325,90,150,154,187,377,478,288,417,24,2160,190,260,258,397,1211,1651,705,1014,92,5792,90,157,96,124,172,224,108,181,26,1192,42,50,51,83,173,183,79,142,7,822,37,246,119,118,198,175,127,159,22,1212,141,111,140,191,558,588,386,758,61,2945,149,558,301,324,597,704,316,393,78,3423,38,30,23,26,54,58,28,50,132,439,899,1699,1249,1648,3648,4762,2452,4443,510,21299,88,137,157,215,273,305,167,485,19,1851,273,421,664,767,562,496,318,400,31,3939,58,216,195,191,188,117,65,75,16,1129,242,743,763,803,441,253,123,157,85,3611,170,588,658,621,761,457,164,137,39,3595,111,792,439,376,292,143,77,90,30,2354,18,39,25,31,45,38,17,22,7,247,110,659,344,337,231,162,87,83,39,2051,24,28,22,21,32,21,4,12,105,263,1093,3634,3263,3373,2825,1980,1015,1469,370,19026
SOS23,939,1220,1077,1652,2040,5145,2952,15833,654,31510,372,770,661,930,1661,2361,1207,2486,136,10589,783,1103,1107,1566,4442,6991,2836,4888,510,24237,290,645,381,471,605,957,535,619,92,4590,101,259,214,255,763,756,407,600,31,3396,150,1154,382,373,664,791,478,848,83,4910,571,615,668,828,1905,2366,1515,3352,270,12073,586,2336,1268,1414,2329,2728,1236,2091,347,14322,133,145,69,116,207,335,121,348,633,2121,3922,8249,5827,7602,14623,22433,11286,31071,2749,107756,678,1624,1501,1931,1447,2448,1116,4360,329,15419,1162,2091,3493,3652,2493,2662,1352,1904,221,19033,202,793,757,872,881,597,276,434,78,4887,768,3027,2795,2846,1614,1012,498,605,267,13438,856,3098,3298,3374,3331,2467,815,827,241,18308,427,3403,1725,1535,1100,591,313,348,190,9630,61,144,167,185,213,168,64,105,20,1129,418,2537,1401,1227,954,653,318,468,210,8177,127,136,118,137,142,118,25,76,552,1428,4699,16850,15252,15752,12173,10715,4783,9122,2104,91453
