SOSR_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOSR101,2131038,2190497,4321535,143869,136979,280846,269798,255152,524942,131656,124874,256521,157780,154626,312400,355650,365579,721227,314947,319928,634879,273705,284607,558311,221844,235941,457780,152924,164386,317307,78665,95672,174334,30209,52767,82975,2057370,2122665,4180038,73666,67831,141501,25052,25626,50675,784,759,1543,471,504,975,26308,26885,53193,1171938,1185994,2357933,826597,871698,1698292,1185624,1193204,2378833,817371,874752,1692120,1667041,1720127,3387168,32517,30990,63514,248815,235806,484627,105715,103856,209570,73931,75809,149743,81366,112805,194168,1066592,1117219,2183814,88500,81516,170019,268753,277862,546614,73896,79586,153487,65149,78357,143504,21568,29974,51545,1972058,2036050,4008112,158779,152126,310907
SOSR102,482030,506012,988046,30417,28152,58573,61346,58193,119537,30797,29387,60181,32756,31383,64140,59439,60694,120129,59424,62664,122090,63032,66486,129517,59046,64346,123390,48128,52877,101006,27137,33803,60940,10512,18027,28538,456526,483651,940177,25507,22360,47871,16786,17340,34127,473,422,897,389,417,806,17649,18179,35835,380025,396653,776676,74164,79906,154068,413790,432068,845859,42993,47419,90409,428485,450690,879174,7950,7338,15284,57129,54277,111403,22374,22278,44653,12126,12747,24872,13586,21404,34994,165970,181156,347124,28470,26058,54532,113651,119635,233286,32051,36571,68624,18598,20823,39424,1685,2012,3694,446921,469965,916886,29876,32093,61969
SOSR111,61164,64825,125992,4594,4342,8941,8706,8232,16934,4014,3902,7913,3965,4254,8223,8270,8825,17097,7874,8168,16041,7666,8236,15905,7104,7675,14772,5356,5951,11310,2689,3537,6229,918,1705,2622,57660,61694,119358,3501,3131,6633,2598,2736,5330,73,70,139,68,60,131,2737,2865,5599,51656,54736,106400,5618,6016,11632,54456,57676,112131,3087,3508,6592,55070,58437,113507,1010,970,1973,8011,7606,15620,2760,2804,5563,951,1357,2312,1466,2700,4165,17279,21013,38286,4488,4392,8878,15180,15190,30368,4473,4821,9289,2400,2500,4904,215,228,446,56260,59757,116008,4306,4376,8684
SOSR112,219757,236331,456094,14610,13947,28560,29696,28307,58008,14476,14349,28829,14398,14364,28762,27256,28340,55597,25730,27017,52744,26836,29475,56316,26964,30073,57040,22555,25319,47872,12641,16518,29158,4593,8620,13209,206245,223694,429942,13511,12636,26153,15044,15442,30489,266,281,548,280,269,556,15600,15998,31592,178886,192411,371296,24889,26560,51445,189793,207308,397101,12790,13745,26535,191701,209519,401219,3513,3465,6976,27156,25938,53093,9715,10177,19897,3628,4882,8507,5714,10462,16176,68132,81248,149386,12962,13376,26343,50160,54474,104636,15011,16248,31255,9490,9590,19082,743,732,1482,195336,212550,407882,26674,25091,51761
SOSR113,136649,144280,280928,8399,8019,16418,17188,16234,33421,8341,7610,15950,7388,7253,14638,15015,15284,30304,14687,15479,30165,16828,17687,34512,18137,19800,37936,17031,18432,35465,9962,12055,22019,3665,6431,10099,128016,136392,264401,8638,7889,16527,8938,9199,18139,208,186,396,155,146,303,9303,9528,18829,111758,117379,229134,14057,15254,29312,119677,126723,246405,6647,7199,13846,121092,128394,249489,1995,1878,3876,15532,14667,30203,5378,5175,10554,1220,1692,2907,2312,4887,7199,34230,39173,73405,8741,8581,17320,36371,38368,74739,11510,12862,24368,7606,7585,15192,482,416,901,122820,130398,253218,13848,13242,27081
SOSR114,114669,122935,237603,7226,7066,14289,14961,14328,29285,6990,6753,13744,5854,5808,11658,11739,12706,24441,12592,13529,26122,14002,15202,29205,15340,16562,31907,14500,15500,29996,8527,10240,18767,2938,5243,8178,107340,116045,223383,7331,6890,14224,7383,7810,15187,155,131,279,140,166,304,7675,8104,15778,93672,100208,193881,10625,11588,22209,101447,108901,210348,4154,4673,8824,101616,109144,210764,1762,1802,3562,13468,12837,26304,4513,4571,9083,935,1305,2244,1736,4214,5950,30005,36234,66240,7330,7727,15057,28694,30410,59105,9159,9396,18555,6294,5816,12109,359,286,644,102781,110240,213018,13041,13159,26200
SOSR115,174076,182376,356452,10827,10293,21122,22780,21655,44430,10232,9856,20085,8614,8219,16834,17493,18481,35972,18709,20054,38766,21565,23281,44847,24631,25886,50519,22871,23402,46275,12132,14020,26147,4215,7225,11444,162956,172232,335188,11119,10144,21262,11433,11777,23206,204,184,391,185,186,372,11816,12155,23967,141914,148108,290024,16960,18288,35248,153737,161840,315579,6511,7186,13694,154306,162689,316996,2777,2771,5551,20495,19478,39979,6662,6775,13444,1557,2262,3819,2697,5938,8641,44528,55057,99583,10546,10962,21504,45089,45022,90113,14396,14356,28756,9420,8315,17740,599,422,1015,155720,164134,319859,19703,18921,38626
SOSR121,46831,47711,94540,2735,2529,5262,6430,6221,12654,2900,2816,5717,2213,2055,4275,4035,4399,8442,5045,5554,10602,6440,6787,13224,7260,7450,14709,6124,5947,12074,2833,2833,5664,815,1114,1934,43809,45087,88895,3021,2623,5646,3060,3096,6159,45,53,94,71,58,129,3179,3205,6381,38955,39361,78319,4130,4513,8641,42325,42965,85291,1300,1563,2866,42274,43059,85337,680,683,1362,5766,5585,11350,1930,2006,3929,413,530,946,675,1615,2286,12060,14634,26698,2853,2898,5752,12721,12308,25031,3802,3559,7360,2523,1905,4437,121,90,210,42549,43645,86200,4071,3968,8034
SOSR122,27253,26762,54021,1422,1356,2773,3483,3327,6807,1671,1523,3192,1163,1082,2238,2311,2407,4713,2894,3082,5975,3795,3916,7709,4555,4430,8979,3789,3456,7240,1746,1595,3341,439,604,1046,25382,25119,50498,1873,1646,3518,1871,1907,3783,26,20,49,38,44,85,1940,1970,3914,22167,21643,43808,2491,2576,5073,24266,23823,48086,788,867,1659,24290,23886,48178,396,332,727,3122,2960,6077,1081,1079,2164,210,273,488,381,858,1238,6668,7975,14646,1663,1561,3220,7450,6883,14329,2264,2016,4279,1708,1177,2886,90,79,165,24419,24196,48615,5867,5091,10959
SOSR131,285013,267300,552316,14561,13436,27997,38497,36247,74747,18729,17018,35753,13601,11532,25135,23718,23136,46857,31084,32498,63585,43405,43171,86576,47179,43769,90948,36434,30752,67180,14394,11785,26179,3412,3961,7371,267240,252391,519630,17776,14911,32684,10148,9200,19347,239,235,472,221,177,402,10616,9607,20226,230151,214320,444470,26484,26892,53379,246679,232822,479498,11661,11901,23564,250445,236304,486756,3825,3475,7302,34217,32415,66631,12779,12455,25228,2914,3473,6390,3690,8470,12165,79387,93825,173216,15938,15084,31024,74233,61444,135669,20663,15524,36182,13650,8244,21890,818,583,1398,250458,239639,490100,34630,27007,61637
