SOSR_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SOSR101,791775,549999,692752,615250,540936,441101,303013,166477,78737,4180038,673,802,753,521,497,411,364,271,179,4489,11156,16606,21948,13875,12395,11287,8974,5873,3728,105843,262,726,1988,2309,2445,1394,658,216,55,10053,321,958,1588,1592,1891,1409,900,257,57,8967,70,239,414,394,538,427,295,91,11,2486,210,338,699,607,675,501,250,91,15,3393,22,74,109,125,158,202,175,47,6,927,24,103,103,78,73,45,19,5,0,470,79,380,460,411,382,319,213,77,21,2340,0,7,0,3,8,3,3,0,0,24,12145,19429,27312,19398,18566,15599,11487,6648,3895,134494,12825,20237,28068,19923,19069,16008,11857,6920,4073,138979,804595,570234,720822,635170,559998,457108,314867,173403,82811,4319016
SOSR102,173638,117587,112942,116724,123533,116415,94385,57843,27113,940177,160,189,131,117,132,132,140,115,66,1177,3414,5485,5136,3580,3500,3597,3055,1908,1166,30842,79,111,214,168,217,323,584,251,45,1995,212,269,354,356,430,500,375,141,24,2644,36,23,42,48,57,80,145,68,9,505,27,36,57,83,77,97,60,18,5,450,3,11,15,12,38,74,93,61,11,317,9,10,20,11,18,5,11,3,0,91,72,124,146,73,62,81,67,23,3,661,0,0,0,0,0,0,4,0,0,8,3843,6076,5984,4330,4403,4755,4392,2470,1257,37509,4003,6272,6115,4440,4533,4883,4535,2580,1323,38683,177638,123855,119052,121165,128070,121299,98916,60426,28436,978855
SOSR111,25147,15073,16060,15310,15111,13928,10460,5783,2488,119358,27,18,19,17,17,13,7,15,7,142,463,769,614,420,414,405,307,204,125,3729,49,161,187,130,166,134,115,30,11,984,18,14,35,21,45,41,27,0,3,207,0,3,12,9,17,18,7,4,0,65,3,11,25,16,15,18,19,4,0,110,6,9,3,0,4,10,7,0,0,33,0,0,0,0,0,0,0,0,0,7,3,12,17,7,10,6,7,0,0,70,0,0,0,0,0,0,0,0,0,0,546,989,894,607,668,634,482,243,135,5200,579,1001,911,622,686,645,489,261,146,5342,25721,16073,16977,15933,15804,14569,10949,6046,2629,124696
SOSR112,84017,53332,51928,50010,53365,53211,44097,27411,12565,429942,145,137,104,59,57,64,53,67,32,721,2145,4805,3469,2553,2798,2874,2509,1380,636,23168,92,167,228,205,247,391,622,232,32,2219,182,283,340,238,288,359,306,63,17,2069,17,31,42,25,46,62,131,49,7,408,14,12,48,43,44,52,49,16,0,276,7,12,10,9,29,62,111,18,0,267,4,14,12,14,12,11,3,0,0,73,15,78,63,52,60,96,102,32,3,501,0,0,0,0,0,0,0,0,0,0,2468,5411,4213,3139,3532,3906,3830,1788,696,28982,2618,5546,4319,3199,3589,3969,3883,1853,729,29705,86635,58881,56248,53209,56954,57178,47980,29264,13295,459644
SOSR113,48426,28339,28238,28627,32584,35260,32598,20735,9594,264401,82,109,66,55,53,67,67,58,22,585,1088,1713,1722,1225,1510,1798,1536,727,334,11660,51,76,143,111,161,337,480,173,25,1552,59,128,132,107,187,218,138,21,5,986,8,18,53,34,60,97,116,30,4,428,7,18,20,11,12,28,51,5,3,160,4,11,9,0,14,41,60,19,0,157,4,4,6,12,3,4,3,0,0,39,17,30,21,24,44,87,72,31,3,329,0,0,0,0,0,0,0,0,0,0,1237,1998,2100,1532,1987,2605,2459,1015,382,15319,1319,2105,2171,1588,2047,2673,2524,1068,408,15900,49749,30450,30412,30212,34630,37932,35119,21812,10001,280308
SOSR114,42316,23493,22841,24758,27681,29535,27408,17581,7770,223383,89,108,52,48,45,50,58,48,11,518,985,1360,1329,1042,1188,1545,1341,617,271,9693,92,101,151,170,220,532,940,405,66,2684,130,137,245,221,248,361,277,64,11,1691,18,10,20,27,54,94,145,32,3,404,10,18,28,23,30,38,50,11,0,204,8,8,16,13,19,41,84,27,3,215,6,9,11,9,3,4,0,4,0,38,34,58,44,30,35,92,71,25,8,397,0,0,0,0,0,0,0,0,0,0,1284,1694,1846,1539,1792,2704,2913,1187,363,15326,1367,1805,1898,1584,1843,2762,2972,1233,375,15835,43687,25294,24742,26345,29524,32291,30383,18810,8152,239219
SOSR115,63783,34250,33666,36783,42275,46821,42304,24507,10797,335188,89,93,88,68,89,79,84,61,39,691,1675,2652,2209,1561,1767,2300,2056,870,373,15467,98,275,214,190,237,578,980,398,47,3031,205,314,301,252,283,386,314,78,6,2146,15,36,41,38,56,121,208,52,3,565,17,35,58,43,31,61,43,7,3,301,12,27,14,11,23,65,91,23,0,273,9,17,13,12,11,8,4,3,0,77,60,92,70,84,86,129,152,57,0,735,0,0,0,0,0,0,0,0,0,4,2092,3455,2928,2187,2496,3649,3836,1499,443,22594,2181,3548,3021,2261,2584,3734,3923,1558,476,23293,65970,37796,36689,39039,44862,50551,46229,26072,11275,358482
SOSR121,17477,9254,7859,10058,12498,13646,10954,5327,1822,88895,29,39,27,24,33,21,27,10,8,214,427,529,542,374,436,682,528,182,92,3798,41,44,38,33,53,95,142,57,3,502,46,116,43,47,48,87,69,23,3,475,3,6,5,7,5,21,31,9,0,89,0,0,7,3,3,15,7,0,0,38,3,0,0,3,8,11,16,6,0,45,0,7,6,0,8,0,0,0,0,19,17,15,20,19,16,26,23,11,3,146,0,0,0,0,0,3,0,0,0,7,543,713,657,489,576,942,819,289,99,5124,570,749,684,509,608,960,845,294,107,5337,18048,10006,8545,10565,13107,14606,11798,5621,1931,94234
SOSR122,9276,5012,4372,5600,7282,8279,6608,3110,963,50498,20,19,13,15,21,28,19,3,3,134,906,611,822,903,817,1088,869,224,45,6298,54,39,44,55,93,127,162,36,7,625,211,102,155,206,186,169,139,19,0,1179,21,16,27,17,19,31,42,5,3,177,16,4,24,25,29,27,19,3,0,151,0,10,3,6,12,8,12,3,3,58,0,6,3,3,0,3,3,0,0,19,61,33,47,61,67,73,69,13,6,428,0,0,0,0,0,3,0,0,0,3,1263,830,1133,1283,1210,1526,1323,303,67,8942,1281,849,1146,1296,1235,1554,1336,310,65,9078,10563,5861,5517,6893,8515,9837,7949,3416,1028,59578
SOSR131,99829,55547,43520,60614,81845,84742,62049,24547,6938,519630,185,156,126,93,129,174,138,85,29,1124,2448,3530,3246,2384,2664,3192,2616,1078,356,21516,171,360,407,239,340,515,631,212,37,2906,428,669,598,474,574,603,459,89,26,3923,33,118,96,51,64,135,186,38,13,722,25,66,93,46,51,61,50,10,0,411,4,26,22,26,38,79,72,15,4,300,18,42,37,6,8,19,9,0,0,145,97,154,161,131,121,179,133,68,15,1060,0,0,0,0,0,0,0,4,0,5,3222,4960,4659,3356,3864,4791,4161,1511,455,30978,3410,5119,4784,3451,3995,4965,4295,1605,482,32105,103243,60658,48310,64059,85840,89706,66347,26146,7421,551732
