SOSR_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOSR101,3030,2727,5756,133935,127621,261557,6902,6639,13537,143869,136979,280846,2992,2795,5791,132709,125962,258674,6175,5994,12172,141876,134755,276638,2909,2662,5562,119645,112745,232395,5361,4984,10344,127916,120391,248309,2758,2608,5364,122749,116768,239520,6148,5487,11637,131656,124874,256521,2590,2538,5130,145766,143055,288821,9425,9025,18450,157780,154626,312400,2024,2106,4132,161381,166368,327745,11818,11703,23519,175229,180171,355398,1591,1839,3437,167176,172589,339767,11653,10970,22627,180424,185401,365828,1397,1551,2953,152339,153595,305936,9541,8833,18374,163284,163979,327262,1464,1715,3182,141947,146660,288607,8254,7571,15824,151670,155946,307614,1396,1628,3021,130946,138630,269571,7516,6967,14478,139849,147226,287070,1221,1326,2553,125509,129416,254928,7124,6643,13764,133855,137389,271239,1003,1088,2085,113006,119488,232493,6342,6133,12479,120351,126703,247058,724,863,1585,95374,102881,198251,5394,5490,10888,101491,109237,210729,1203,1432,2633,245130,292310,537435,15468,19078,34544,261797,312819,574615,26308,26885,53193,1987601,2048098,4035701,117130,115516,232640,2131038,2190497,4321535
SOSR102,2134,1947,4075,26990,24995,51986,1296,1215,2510,30417,28152,58573,2086,2033,4123,28184,26530,54720,1239,1188,2426,31521,29750,61266,2152,1902,4055,26445,25426,51872,1230,1115,2347,29831,28440,58268,1998,1945,3945,27502,26234,53735,1297,1207,2505,30797,29387,60181,1666,1614,3284,29562,28241,57799,1536,1527,3060,32756,31383,64140,1231,1301,2531,26908,27179,54089,1571,1414,2980,29707,29896,59601,1016,1135,2152,27224,28284,55512,1492,1377,2871,29732,30799,60529,865,942,1807,26332,27780,54107,1329,1240,2561,28527,29956,58479,893,1016,1907,28540,30343,58883,1466,1356,2823,30900,32711,63612,844,996,1844,28864,30789,59659,1584,1444,3028,31292,33226,64525,794,988,1780,29429,30832,60258,1522,1432,2952,31738,33258,64993,647,777,1424,28948,31322,60275,1570,1525,3095,31166,33629,64793,483,571,1055,25964,28730,54694,1426,1415,2842,27876,30720,58596,838,1010,1850,79959,97183,177143,4974,6513,11492,85774,104713,190486,17649,18179,35835,440850,463873,904721,23535,23962,47489,482030,506012,988046
SOSR111,393,356,749,4004,3768,7773,203,220,417,4594,4342,8941,376,350,729,3973,3698,7674,241,193,433,4598,4238,8832,350,344,692,3576,3441,7013,189,217,404,4107,3995,8101,299,291,589,3509,3427,6930,208,184,391,4014,3902,7913,234,246,480,3495,3784,7283,235,226,461,3965,4254,8223,204,222,426,3631,3970,7596,260,247,507,4097,4436,8537,165,186,348,3781,3983,7762,233,220,450,4177,4383,8561,137,125,265,3582,3712,7291,206,210,417,3927,4046,7974,141,138,285,3560,3793,7348,240,192,437,3945,4125,8073,112,163,274,3569,3864,7436,235,218,445,3921,4236,8155,106,126,231,3419,3700,7121,231,171,398,3753,4004,7752,75,117,195,3422,3681,7100,209,219,426,3710,4016,7730,60,70,132,3110,3390,6495,220,194,414,3393,3658,7045,81,132,215,8319,10257,18574,566,800,1368,8964,11189,20161,2737,2865,5599,54938,58461,113401,3481,3506,6986,61164,64825,125992
SOSR112,2084,1939,4028,11717,11197,22915,808,810,1614,14610,13947,28560,1996,1927,3926,12479,11977,24462,814,726,1546,15300,14633,29932,1752,1745,3494,11903,11232,23132,745,702,1448,14402,13674,28074,1660,1641,3303,11982,11844,23829,838,868,1703,14476,14349,28829,1475,1459,2935,11897,11875,23766,1027,1037,2063,14398,14364,28762,1198,1144,2342,11681,12239,23915,925,920,1841,13808,14298,28106,925,967,1895,11638,12229,23867,888,839,1729,13451,14036,27488,764,815,1584,10958,11527,22486,726,715,1435,12448,13060,25505,726,847,1571,11726,12345,24068,827,769,1597,13281,13957,27237,779,897,1676,11849,13026,24872,818,893,1710,13444,14809,28259,622,729,1343,11901,13072,24975,873,865,1735,13396,14664,28057,540,633,1172,12469,14134,26601,934,939,1872,13943,15708,29652,423,474,899,11731,13019,24751,868,868,1741,13022,14365,27384,648,782,1433,36300,45988,82283,2835,3694,6529,39785,50455,90243,15600,15998,31592,190238,205695,395936,13927,14639,28566,219757,236331,456094
SOSR113,1205,1189,2387,6711,6345,13059,483,485,969,8399,8019,16418,1224,1135,2362,7010,6764,13773,528,480,1013,8764,8378,17142,1095,1038,2136,6855,6372,13226,476,442,917,8425,7855,16280,967,909,1871,6910,6283,13191,473,423,897,8341,7610,15950,847,791,1636,6061,6012,12067,488,447,932,7388,7253,14638,687,656,1341,6355,6562,12922,518,489,1009,7567,7715,15280,526,536,1061,6417,6576,12988,509,460,970,7451,7569,15026,440,450,893,6068,6383,12456,436,413,850,6948,7252,14195,447,549,994,6798,7213,14012,491,464,959,7741,8226,15967,416,526,947,7164,7572,14738,547,462,1015,8129,8567,16694,382,501,875,7737,8057,15798,575,569,1144,8694,9123,17824,365,427,790,8132,8975,17111,643,622,1270,9141,10028,19169,274,306,577,8107,8840,16945,617,628,1249,8993,9773,18772,435,525,964,27943,33344,61282,2287,3048,5339,30667,36920,67583,9303,9528,18829,118264,125305,243565,9081,9452,18532,136649,144280,280928
SOSR114,1039,989,2028,5707,5624,11330,478,450,932,7226,7066,14289,993,966,1958,6298,6037,12328,487,505,996,7778,7503,15284,903,823,1726,5802,5517,11317,476,488,963,7182,6823,14009,832,816,1650,5684,5448,11138,478,477,960,6990,6753,13744,630,642,1273,4777,4716,9495,445,445,891,5854,5808,11658,475,557,1034,4894,5236,10132,467,438,910,5841,6233,12069,371,429,799,5066,5580,10651,456,468,924,5897,6471,12371,350,401,754,5096,5570,10669,487,405,892,5932,6378,12311,365,462,824,5797,6215,12008,496,481,979,6658,7159,13809,373,436,809,5787,6433,12214,486,504,989,6647,7369,14019,365,425,785,6410,6857,13270,584,553,1139,7360,7830,15193,306,368,668,6876,7482,14352,593,566,1154,7772,8409,16180,253,276,524,6786,7270,14062,529,607,1137,7572,8158,15725,415,531,946,23412,27828,51238,2138,2629,4762,25966,30980,56948,7675,8104,15778,98391,105809,204206,8603,9016,17621,114669,122935,237603
SOSR115,1475,1342,2817,8606,8251,16858,744,705,1452,10827,10293,21122,1497,1422,2915,9495,8937,18425,703,754,1464,11698,11113,22808,1398,1321,2716,8937,8559,17503,746,664,1413,11080,10540,21628,1209,1219,2430,8333,7974,16301,689,669,1355,10232,9856,20085,980,880,1856,7031,6806,13836,608,536,1144,8614,8219,16834,716,761,1476,7215,7654,14872,633,666,1299,8563,9084,17642,647,669,1318,7658,8126,15781,622,606,1232,8927,9398,18329,538,597,1140,7634,8161,15792,601,619,1221,8765,9383,18151,573,729,1302,8657,9244,17898,712,703,1419,9940,10675,20614,582,678,1256,8938,9687,18617,781,768,1549,10292,11128,21420,551,669,1225,9876,10659,20533,848,822,1674,11275,12149,23429,497,561,1059,10899,11546,22445,939,854,1789,12330,12963,25290,431,460,889,10957,11570,22535,916,897,1811,12305,12928,25228,725,859,1585,35375,40131,75498,3117,3663,6782,39215,44652,83864,11816,12155,23967,149596,157295,306893,12667,12927,25592,174076,182376,356452
SOSR121,356,315,675,2200,2039,4232,184,176,356,2735,2529,5262,382,385,772,2583,2560,5145,190,222,412,3155,3169,6321,394,343,733,2677,2517,5187,211,198,404,3278,3053,6331,336,314,655,2375,2325,4695,190,176,368,2900,2816,5717,264,231,490,1818,1679,3493,141,147,287,2213,2055,4275,185,219,405,1699,1812,3518,136,135,276,2023,2170,4195,163,162,324,1728,1903,3638,129,159,289,2018,2229,4249,121,157,281,1997,2167,4161,145,155,303,2264,2475,4744,172,192,359,2426,2690,5116,182,196,380,2780,3076,5858,162,213,373,2685,2904,5586,196,202,398,3041,3319,6361,164,169,330,3028,3091,6117,199,211,410,3394,3469,6859,160,177,332,3148,3399,6549,236,239,482,3543,3816,7355,115,103,219,3324,3288,6614,273,244,515,3715,3635,7351,208,227,436,8855,8954,17811,702,718,1422,9773,9898,19666,3179,3205,6381,40536,41325,81859,3110,3183,6294,46831,47711,94540
SOSR122,215,203,424,1122,1051,2168,85,97,183,1422,1356,2773,247,243,487,1427,1307,2731,105,140,247,1774,1683,3460,196,233,431,1380,1285,2661,130,120,255,1709,1642,3349,182,179,362,1348,1239,2583,139,108,243,1671,1523,3192,119,136,250,957,887,1844,85,64,148,1163,1082,2238,109,108,216,925,962,1887,100,96,192,1129,1169,2299,89,95,186,993,1041,2032,97,97,201,1183,1237,2418,106,99,201,1087,1190,2278,98,104,200,1292,1389,2682,100,115,214,1370,1449,2822,141,125,261,1601,1691,3289,112,131,244,1520,1583,3101,135,142,275,1762,1857,3618,106,112,219,1764,1799,3568,159,154,310,2037,2062,4095,116,104,226,2001,1987,3987,192,172,368,2316,2268,4580,92,65,157,1974,1943,3917,167,152,325,2234,2165,4400,150,152,306,5329,5021,10348,491,488,974,5972,5657,11629,1940,1970,3914,23193,22740,45933,2121,2051,4177,27253,26762,54021
SOSR131,1043,930,1977,12330,11422,23752,1188,1080,2272,14561,13436,27997,1144,1115,2263,15873,15005,30877,1614,1497,3114,18626,17621,36247,1228,1166,2396,17015,15957,32979,1628,1495,3119,19872,18626,38499,1149,1004,2155,16069,14595,30661,1519,1419,2933,18729,17018,35753,834,679,1511,11515,9859,21372,1258,995,2251,13601,11532,25135,663,481,1142,9950,9366,19313,1091,909,1997,11697,10761,22459,565,467,1030,10404,10858,21264,1051,1058,2110,12022,12381,24395,513,491,1008,11643,12487,24129,1194,1127,2321,13351,14104,27457,583,612,1195,15625,16250,31875,1527,1528,3058,17733,18394,36125,622,646,1265,18212,18421,36625,1816,1723,3533,20642,20780,41428,639,591,1231,20068,19913,39981,2050,1890,3937,22763,22387,45148,573,502,1076,21247,20572,41824,2156,1975,4133,23981,23051,47029,418,367,784,20699,18582,39282,2086,1762,3846,23199,20713,43915,642,550,1191,48594,41665,90266,4992,4282,9277,54232,46497,100731,10616,9607,20226,249236,234957,484194,25166,22736,47900,285013,267300,552316
