SOSR_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
SOSR101,57573,129086,94117,636315,12308,929391,210,815,371,7258,182,8833,450844,6446,10838,9306,3701,481144,23679,2968,1798,6078,301,34822,19291,5721,3359,8606,293,37274,265669,103883,73805,554603,12961,1010918,88892,2058,6304,1019,878,99153,17951,2302,1554,6459,272,28541,40505,9665,6741,46844,1125,104884,66727,11003,5875,28847,1162,113620,11619,1975,1045,2555,142,17343,183412,2656,2305,1339,1080,190797,68623,29324,20362,232128,3601,354038,95652,22413,10517,56112,1878,186578,60553,384,1162,391,285,62773,105877,20455,9303,19595,1647,156876,18951,2100,1209,3111,189,25557,23070,5701,3246,13740,431,46194,16776,2376,1501,913,373,21946,19996,6140,4609,2359,286,33385,23387,3075,2371,5501,237,34576,19122,1401,1364,2510,305,24697,58377,24758,18192,153221,2601,257153,18595,1534,978,1673,273,23052,20219,2305,1743,704,139,25099,31081,1721,1474,2455,344,37070,21456,755,606,383,122,23318,19894,1953,1132,1330,227,24536,98952,1184,2271,984,1228,104616,8739,2247,1465,7642,144,20240,633586,41246,32598,37312,6783,751531,24610,2099,1602,10797,235182,274290,2284446,271292,193225,1292501,280077,4321535
SOSR102,5162,38002,26984,315184,6429,391760,18,282,120,4145,71,4649,12439,526,788,2021,163,15938,2952,604,295,1018,52,4928,5948,2097,1290,4341,134,13812,60280,35069,25397,278071,6176,404991,5387,245,1406,223,113,7375,1903,444,385,2607,51,5395,9065,3360,2308,23369,506,38613,4464,1184,502,3294,103,9542,1576,378,160,613,37,2773,7472,342,248,364,61,8477,12700,8187,5438,92649,1515,120482,12916,4026,1644,13909,417,32917,1787,27,114,76,17,2014,1846,499,263,883,39,3537,8943,1075,545,2033,138,12741,3214,1027,508,2771,86,7601,2732,770,543,575,69,4692,3471,1990,1383,1061,80,7974,3918,842,587,2192,76,7626,1615,243,242,686,27,2811,16092,9444,6638,71934,1264,105376,2632,308,182,443,46,3612,2039,450,317,213,29,3052,3693,472,340,1269,66,5841,923,101,96,107,12,1238,1534,229,100,127,16,2008,2343,89,142,74,18,2667,3004,1104,714,4279,92,9184,39501,7766,5682,11380,704,65041,1942,514,382,6513,46706,56051,201482,70967,49902,604393,61300,988046
SOSR111,464,3582,2476,46868,705,54095,3,27,12,554,6,599,728,37,71,219,9,1054,143,47,19,75,3,290,653,257,160,652,18,1739,4253,3454,2312,42336,779,53130,638,29,154,23,16,859,106,29,12,272,5,432,905,467,283,5546,86,7290,206,80,29,286,3,605,127,42,14,72,0,258,1135,51,24,33,12,1254,883,797,544,13878,208,16304,453,231,92,1415,18,2212,65,3,7,8,0,85,69,33,12,102,6,225,37,14,5,45,0,99,89,51,22,160,0,321,282,95,49,88,4,516,285,210,147,132,8,780,498,96,47,399,6,1043,110,21,30,76,3,234,1188,894,647,10808,153,13689,82,12,6,25,3,133,209,35,29,29,3,310,175,21,12,144,3,353,117,18,13,14,0,159,11,3,0,7,0,24,116,9,8,3,3,138,205,112,56,487,16,873,3536,657,469,1318,69,6055,213,57,32,1100,6680,8082,14723,6717,4528,91711,8311,125992
SOSR112,1610,13580,9389,164954,3348,192882,18,120,51,3647,93,3930,3315,202,271,1105,58,4944,470,142,67,222,8,909,2328,847,549,1761,51,5529,20254,13044,9091,143218,3360,188965,2359,73,472,115,61,3076,799,215,141,1247,22,2421,3177,1217,879,13652,261,19188,817,272,119,981,21,2210,642,132,61,238,5,1081,3634,134,96,165,24,4051,4468,3228,2122,51194,900,61913,2356,1120,424,5240,139,9278,648,16,38,30,3,729,377,149,44,405,9,989,112,24,13,36,5,187,520,210,136,679,24,1567,750,252,158,238,20,1421,1117,698,463,442,33,2749,1055,236,163,669,25,2148,543,104,83,250,11,1001,5462,3443,2468,36584,635,48588,183,27,25,53,3,293,785,136,140,96,10,1166,731,78,67,415,16,1303,488,33,23,37,0,583,116,27,10,12,0,171,629,24,54,23,16,740,797,290,186,1519,31,2830,14542,2602,1703,4367,262,23478,669,184,135,3909,30181,35081,62087,24975,17121,314393,37516,456094
SOSR113,1145,8278,5750,104103,2625,121903,10,73,26,2455,72,2638,1319,83,91,496,24,2017,480,58,42,189,6,782,1403,441,269,891,30,3030,12865,7574,5371,87990,2352,116142,1369,46,369,57,42,1883,377,86,80,651,9,1196,1885,739,444,8189,191,11448,460,127,52,493,24,1151,281,48,26,95,10,464,1739,77,28,118,14,1978,2340,1602,1089,26208,505,31748,3266,1056,362,4688,134,9502,190,3,11,15,3,219,150,71,22,181,3,434,103,25,13,36,4,185,540,174,96,545,20,1378,496,171,94,149,15,913,787,400,292,260,41,1778,633,147,94,392,15,1278,246,41,26,119,0,429,3306,2030,1438,21091,486,28341,154,11,9,49,7,224,458,79,65,47,10,660,465,47,43,249,15,823,136,15,11,18,3,185,156,25,8,18,4,210,224,4,29,7,0,257,522,209,114,935,21,1801,7037,1321,960,2391,209,11917,472,149,92,2689,18569,21973,37068,15009,10309,194532,24009,280928
SOSR114,805,6735,4956,91270,2130,105906,0,46,21,1826,55,1945,1092,79,104,453,38,1762,218,48,17,96,6,374,1325,376,230,714,26,2677,10693,6261,4485,75344,2057,98838,925,40,186,55,31,1236,408,88,67,566,13,1145,1636,631,411,6796,144,9619,327,125,47,354,14,875,235,53,24,112,10,434,788,68,35,88,14,996,2153,1430,988,24613,465,29652,1319,498,185,2408,59,4470,109,4,5,0,0,125,212,62,23,195,10,504,56,10,11,26,0,103,329,104,93,315,10,846,346,131,75,156,27,728,680,290,280,209,22,1474,488,108,66,290,7,958,165,39,31,99,0,338,2717,1573,1156,17984,344,23777,102,12,25,21,0,149,410,74,50,44,3,577,302,30,27,204,14,573,97,18,8,11,6,138,50,11,3,15,6,85,173,13,20,11,0,219,413,146,78,635,7,1276,4710,1135,815,2036,207,8897,306,103,86,2497,16550,19545,27080,12008,8602,168819,21097,237603
SOSR115,1337,10976,7560,137133,3193,160196,6,86,25,2424,70,2615,1531,126,142,738,32,2572,517,99,56,230,13,915,2109,625,444,1235,46,4461,17887,10032,7304,108624,2870,146719,1088,37,250,81,20,1475,598,126,89,833,32,1678,2846,963,681,10051,239,14779,540,186,54,621,19,1426,428,93,41,169,16,741,1628,106,114,127,15,1991,3450,2274,1520,35336,664,43249,1883,857,361,3841,101,7041,181,12,9,12,3,209,307,99,47,242,7,702,144,42,8,63,0,262,995,348,179,984,36,2539,694,193,155,178,26,1240,939,534,352,287,17,2124,845,208,106,495,24,1678,324,84,54,202,3,664,4446,2541,1844,26573,561,35964,193,33,22,66,9,327,554,97,78,52,10,793,499,76,49,234,16,879,175,34,23,27,10,265,71,23,4,9,0,108,244,14,29,11,8,307,786,250,133,1010,22,2207,7375,1787,1218,3223,213,13820,474,197,119,3662,24390,28846,44554,19546,13596,247847,30915,356452
SOSR121,333,2859,2067,36171,755,42183,0,31,11,1517,81,1632,270,49,35,179,5,545,83,31,3,39,0,153,579,201,132,353,15,1276,4735,2680,1879,29404,697,39391,232,8,64,18,0,325,128,41,22,242,9,443,739,278,197,2839,58,4106,144,65,14,175,14,405,113,40,23,48,0,220,227,20,10,36,7,299,944,597,403,9407,165,11508,547,241,87,1160,23,2058,27,0,14,5,0,43,96,24,13,66,0,201,31,6,0,8,0,50,217,66,37,212,14,542,137,48,29,62,12,283,267,139,90,65,4,565,237,50,42,150,4,482,104,26,16,53,0,192,1133,685,497,7513,145,9974,39,17,0,13,0,71,121,21,15,21,0,178,105,15,6,75,3,208,27,10,9,3,0,47,26,0,4,4,0,28,64,0,3,3,0,70,224,57,35,317,7,637,1757,456,378,912,39,3540,109,44,45,939,5673,6812,11013,5217,3641,67392,7283,94540
SOSR122,202,1653,1182,20553,528,24119,0,22,9,752,27,813,162,21,28,121,3,326,73,16,18,29,0,140,361,109,74,171,8,724,2711,1502,1061,16320,480,22081,138,13,47,4,3,203,99,9,18,109,8,251,469,157,114,1514,37,2296,103,47,19,113,3,277,57,16,12,20,0,116,96,20,3,22,3,142,549,305,209,5083,114,6269,331,140,58,613,13,1155,18,0,4,0,0,28,54,18,10,43,0,130,18,4,3,3,0,38,160,55,20,177,3,415,71,35,23,33,3,165,149,84,68,54,3,354,124,21,23,65,10,245,57,9,12,39,0,108,641,398,283,4200,109,5637,33,6,3,12,0,54,64,14,17,11,0,107,74,4,5,60,3,146,18,0,0,0,0,26,21,0,0,3,0,21,22,0,6,0,0,33,137,37,39,159,3,373,1012,251,188,524,35,2007,82,27,38,501,3815,4466,6456,2950,2102,37615,4899,54021
SOSR131,2017,15453,11858,201911,4012,235250,15,74,46,2881,65,3085,2331,166,237,1002,49,3779,1095,200,126,522,17,1960,3640,1110,746,1984,82,7563,25934,14099,11171,162976,3711,217887,1139,57,338,99,28,1665,948,207,158,1369,44,2733,4906,1427,1188,15666,333,23524,1094,373,163,979,26,2639,710,181,90,220,4,1205,1351,141,125,172,13,1796,5217,3304,2195,53706,1010,65431,6109,1993,770,7542,232,16649,273,14,16,23,6,329,1562,390,185,716,37,2891,236,45,15,98,3,398,3667,866,516,2915,76,8032,623,196,159,177,8,1165,1518,732,610,447,40,3345,1297,297,189,642,30,2448,620,126,111,282,4,1138,6205,3655,2729,44228,854,57681,465,73,44,127,5,714,954,176,129,102,6,1366,723,100,69,445,17,1355,189,24,29,23,5,270,199,21,22,40,3,283,337,23,62,20,3,441,1000,333,228,1524,44,3124,11474,2789,2149,4854,263,21529,704,273,190,5350,45512,52028,71830,29140,21745,375681,53913,552316
