SOSR_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOSR101,3,39,96,638,468,592,444,225,117,2630,4,70,313,1046,551,424,211,117,57,2800,66,418,3067,9141,377,289,68,10,3,13437,24,131,186,770,398,497,859,555,359,3779,465,2926,5171,14277,6833,5233,2625,932,380,38835,6,22,59,483,340,262,391,168,60,1797,298,1061,1050,4877,974,541,183,62,20,9063,5,25,82,497,485,349,145,122,49,1771,239,1586,3237,17655,8235,7280,3317,824,470,42848,13,44,110,1999,665,1269,834,567,606,6114,21,171,230,1673,1251,1453,1367,836,400,7406,164,616,890,1932,795,856,518,197,59,6024,108,772,1600,5938,3305,2458,1490,755,274,16697,0,0,37,490,566,763,579,465,144,3045,80,500,846,4709,2412,1939,1113,611,267,12489,77,127,661,3791,764,836,357,60,17,6686,106,365,1452,9575,1691,1025,342,64,22,14651,11,41,126,1022,1116,1339,1138,633,149,5572,40,94,254,1746,1562,916,649,278,81,5611,344,1345,1536,4272,1484,957,616,167,59,10783
SOSR102,0,3,5,23,28,36,25,17,5,145,3,5,22,85,22,15,16,10,0,183,0,8,27,148,5,3,0,0,0,202,0,23,15,86,96,238,518,286,165,1428,43,272,488,1966,1434,1290,808,404,152,6844,0,10,9,45,79,73,106,69,27,414,9,33,22,165,25,16,14,4,0,287,4,10,23,142,109,81,18,17,0,405,34,174,234,1318,718,830,315,69,30,3728,0,5,8,174,73,151,141,109,129,781,3,78,37,242,427,583,729,496,250,2853,7,25,69,102,70,54,29,16,5,372,5,97,214,583,339,273,177,92,26,1809,0,0,6,41,95,126,140,121,41,568,8,22,44,208,82,65,46,19,10,500,3,18,25,148,32,19,9,4,0,253,21,84,163,721,244,127,27,3,0,1390,0,8,35,293,488,658,609,399,100,2588,0,3,10,90,131,57,75,26,10,411,28,168,201,552,254,218,148,19,17,1596
SOSR111,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,7,5,34,34,28,0,0,0,0,0,101,0,3,0,9,14,24,52,34,16,155,11,47,40,189,129,109,65,22,3,611,0,0,0,3,4,0,7,4,0,21,0,3,3,14,6,0,0,0,0,35,0,0,0,3,10,4,3,0,0,23,8,27,25,164,102,66,39,6,6,442,0,0,0,12,4,12,8,7,21,66,0,4,7,22,30,50,37,18,15,179,0,0,0,4,8,4,0,0,0,24,0,17,20,77,50,15,12,5,3,198,0,0,0,3,0,4,5,4,4,26,4,3,8,40,6,6,0,0,0,68,0,0,14,61,0,0,0,0,0,75,0,6,8,56,18,14,3,5,0,111,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,11,17,49,19,21,7,0,0,133
SOSR112,0,0,0,6,16,9,3,3,0,40,0,40,45,153,31,9,0,3,0,273,0,17,62,289,8,5,0,0,0,389,0,0,8,41,37,110,219,127,72,621,17,105,199,613,501,548,365,153,69,2566,0,3,0,25,14,20,44,40,11,152,10,32,20,79,12,10,4,0,0,167,0,10,3,51,63,44,14,8,3,194,25,123,133,631,284,261,112,20,3,1586,0,3,5,44,21,38,31,36,25,206,3,14,31,75,110,169,253,148,77,865,0,18,27,38,24,18,13,11,0,148,7,63,74,248,113,81,107,49,7,755,0,0,0,7,13,24,18,26,3,93,7,26,30,118,43,15,18,10,0,276,0,4,29,107,13,10,4,3,0,166,11,37,40,214,95,54,12,0,0,452,0,0,0,10,10,5,6,4,0,35,0,0,0,9,8,3,0,0,0,31,12,66,54,205,98,95,99,23,16,660
SOSR113,0,0,0,14,3,5,5,0,3,36,0,0,9,19,0,0,3,0,3,36,0,3,7,24,0,0,0,0,0,32,0,5,0,13,16,66,166,81,40,385,7,106,138,461,301,331,285,122,55,1804,0,0,0,6,15,16,31,23,5,100,0,12,6,37,4,3,5,0,0,71,0,4,11,24,25,18,4,7,0,88,15,73,52,390,214,201,89,19,3,1044,0,0,3,15,6,21,20,17,14,90,3,11,8,37,63,111,168,114,46,558,0,4,3,18,9,8,7,4,0,49,0,23,43,123,82,55,68,24,8,428,0,0,0,3,0,7,19,15,3,60,3,11,0,42,7,5,9,3,0,88,0,0,25,99,0,0,0,0,0,126,7,22,22,133,58,18,14,3,0,279,0,0,0,4,5,8,4,0,0,25,0,5,4,23,11,8,3,0,0,55,3,31,30,96,50,50,46,10,3,320
SOSR114,0,0,0,4,3,7,3,0,0,21,0,0,0,5,0,3,0,0,0,13,0,7,3,41,3,4,0,0,0,52,0,5,7,37,30,59,146,70,28,375,7,54,84,382,284,308,207,88,40,1453,0,0,0,9,4,11,23,8,4,63,0,8,0,23,0,3,0,0,0,32,0,4,5,34,23,20,9,0,4,90,9,56,69,273,134,108,51,5,4,704,0,0,0,23,5,11,7,11,4,61,0,6,0,36,40,88,128,77,39,422,4,0,4,8,21,8,4,0,0,55,0,19,28,116,50,41,45,16,8,330,0,0,0,0,7,3,14,9,0,30,0,0,0,24,15,9,3,6,0,57,0,3,15,55,8,0,0,0,0,82,0,8,14,101,50,16,6,0,0,204,0,0,0,3,10,0,3,0,0,19,0,0,0,3,5,0,0,0,0,17,9,27,21,97,47,57,39,13,4,311
SOSR115,0,0,0,4,4,16,15,0,0,37,0,0,0,13,0,5,0,3,0,20,0,3,3,35,5,3,0,0,0,51,0,0,7,30,45,114,198,114,34,550,18,78,101,503,414,464,304,113,31,2025,0,0,0,12,14,11,44,17,7,113,0,10,12,21,3,10,3,0,0,57,0,5,12,37,34,29,3,5,4,132,16,45,57,298,164,187,78,19,3,866,0,0,0,22,3,25,9,18,21,100,0,16,8,72,82,149,216,123,49,718,0,3,4,18,16,10,20,4,0,73,0,40,47,137,87,76,73,26,8,502,0,0,0,0,9,25,16,13,4,70,3,9,6,41,15,10,5,6,3,99,0,5,21,113,3,4,0,0,0,149,0,20,19,114,57,30,14,0,0,256,0,0,0,0,7,5,3,3,0,25,0,0,0,5,4,0,0,0,0,15,7,41,32,113,85,95,92,21,6,490
SOSR121,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,4,9,10,27,54,31,8,142,0,27,23,116,114,120,113,22,12,542,0,0,0,3,3,5,3,8,0,28,0,3,0,4,4,0,0,0,0,10,0,0,0,4,7,14,3,3,0,33,4,3,13,50,41,44,25,3,0,190,0,0,0,6,0,10,3,0,3,22,0,3,0,15,32,27,48,32,5,165,0,0,0,3,5,6,6,0,0,17,0,4,7,34,32,18,28,6,3,134,0,0,0,0,0,3,6,0,3,10,0,3,0,7,4,3,0,0,0,14,7,0,0,26,3,0,0,0,0,35,0,5,5,24,10,13,3,0,0,59,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,4,3,3,5,45,32,31,21,5,0,148
SOSR122,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,4,27,38,6,0,81,3,10,7,61,75,102,56,17,7,337,0,0,0,4,4,0,6,0,3,12,0,0,0,0,3,0,0,0,0,6,0,0,0,11,12,3,0,0,0,27,0,8,6,27,33,31,12,3,0,123,0,0,0,3,3,6,4,3,0,20,0,0,4,7,17,24,23,14,0,84,0,0,0,0,3,3,0,3,0,11,0,3,4,20,12,13,16,0,0,65,0,0,0,3,0,0,4,3,0,9,0,0,0,3,3,0,0,3,0,11,0,0,3,13,0,0,0,0,0,16,0,0,0,15,7,7,0,0,0,35,0,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,9,0,21,5,15,18,4,0,67
SOSR131,0,0,0,3,7,13,10,0,0,34,0,0,0,3,3,3,7,7,0,21,0,0,0,9,3,0,0,0,0,13,0,3,19,75,96,176,293,114,33,821,12,87,157,752,700,783,467,107,25,3082,0,3,3,19,36,28,44,6,0,153,0,0,0,25,8,10,3,0,0,50,0,0,3,64,86,54,17,6,0,232,3,46,47,321,193,200,59,17,7,893,0,0,0,57,12,52,29,21,9,179,0,18,11,79,148,208,251,70,17,809,0,10,11,24,43,41,14,9,0,147,0,46,90,251,182,164,86,40,9,874,0,0,0,7,16,27,24,21,3,96,0,0,6,31,23,17,11,5,0,90,0,4,10,49,19,17,3,4,0,108,10,10,21,180,65,35,20,0,0,329,0,0,0,5,8,10,13,3,0,36,0,0,0,5,16,3,3,3,0,31,8,51,65,248,167,220,141,36,11,949
