SOSR_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
SOSR101,166,678,3423,16837,9557,8515,3120,1476,662,44431,10,37,61,587,326,239,239,140,71,1716,8,113,318,964,419,228,85,27,12,2174,992,4083,7743,37950,15818,12963,10363,5945,3047,98904,6949,11260,15462,43873,16457,14346,11327,7781,5344,132806,136979,255152,279494,685507,284607,235941,164386,95672,52767,2190497,71,414,2432,6025,1550,1078,473,139,40,12219,250908,434039,371078,604103,251832,198721,134568,71998,40685,2357933,308,1047,2414,14943,2499,1352,277,47,11,22895,7,35,290,2118,1314,1242,616,454,81,6157,41,170,718,4233,2678,2290,1141,433,186,11891,131,450,831,4145,1520,957,482,169,70,8745,32,137,319,3325,2282,1940,2161,697,150,11032,1536,5289,39757,86561,34449,28514,13851,8854,3397,222217,9,45,244,1584,1951,2445,2976,2622,578,12462,173,834,756,4218,2416,3414,3334,1964,834,17942,1216,7082,6912,37267,25766,19430,18098,9359,4149,129284,60,605,1952,12242,6682,5426,2625,1038,225,30863,88,466,928,5031,1184,623,531,246,140,9230,78,392,968,4330,2243,1626,3931,1817,975,16352
SOSR102,13,53,156,463,172,168,52,21,13,1103,3,19,21,105,159,149,158,98,52,759,0,20,66,140,56,58,24,9,0,371,134,475,587,2593,1380,1310,1248,909,485,9119,1108,2125,2775,6344,3756,3966,3953,3206,2224,29449,28152,58193,60766,123360,66486,64346,52877,33803,18027,506012,33,45,70,132,22,13,7,3,0,327,55038,108815,108118,191519,97519,90657,67852,38658,18506,776676,19,34,67,360,47,23,5,0,0,557,0,3,30,164,131,128,102,88,16,661,5,18,18,123,36,27,23,7,3,257,19,115,144,657,322,239,133,44,18,1689,0,9,29,241,293,176,294,100,27,1176,52,195,1883,3040,748,589,365,162,73,7107,5,5,33,164,273,302,388,444,89,1697,13,40,17,161,59,146,201,102,36,780,165,1326,1263,4905,6711,6867,7756,5419,2147,36558,0,30,57,381,220,187,101,57,12,1035,11,25,57,247,147,114,115,44,22,778,10,50,104,441,395,674,1758,735,433,4593
SOSR111,0,0,9,26,5,3,3,0,0,49,0,0,0,6,10,12,14,8,0,57,0,5,17,35,8,3,0,0,0,76,0,32,44,256,112,87,109,56,22,728,206,372,411,954,482,528,473,420,220,4077,4342,8232,8153,16996,8236,7675,5951,3537,1705,64825,0,0,10,4,0,0,0,0,0,20,8427,15533,14532,27562,13006,12089,8705,4628,1920,106400,3,10,5,95,5,3,3,0,0,120,0,0,0,3,0,0,0,4,0,11,0,0,0,10,0,0,0,0,0,13,3,8,9,50,32,13,11,4,0,131,0,5,0,11,9,7,3,3,3,34,8,5,26,137,66,41,18,15,3,310,0,0,0,0,15,16,19,18,3,68,0,3,3,11,7,3,13,3,3,53,8,82,90,344,450,467,532,281,113,2365,0,7,8,51,23,15,9,3,0,112,0,0,3,10,10,0,4,0,0,40,0,0,3,37,39,78,248,67,43,518
SOSR112,3,16,43,187,30,27,3,0,0,306,0,6,6,26,40,22,53,37,11,199,0,16,49,102,41,30,18,3,0,263,41,212,256,857,356,348,358,226,125,2768,751,1354,1982,3738,2161,2313,2183,1802,1073,17361,13947,28307,28714,55354,29475,30073,25319,16518,8620,236331,0,28,72,95,29,5,3,0,0,235,26544,52411,50011,86417,44645,45018,35384,21271,9597,371296,9,37,16,259,17,12,3,0,0,352,0,0,3,13,5,10,5,5,0,39,0,3,10,40,14,10,8,0,0,75,10,34,38,226,121,118,73,36,5,661,0,4,3,34,47,30,36,14,3,174,18,65,273,682,262,162,107,48,19,1641,0,0,3,15,33,45,44,63,12,215,10,45,21,98,43,36,63,19,16,355,35,313,370,1319,1975,2370,3107,1989,827,12297,8,20,34,173,114,84,43,12,4,499,6,18,25,96,53,56,55,20,8,340,4,20,33,142,169,231,525,312,136,1580
SOSR113,0,3,18,55,13,12,0,3,0,103,0,4,3,16,14,19,32,19,7,122,0,4,20,37,16,14,8,4,0,106,10,55,76,345,230,198,243,166,76,1392,448,857,902,2253,1363,1720,1777,1377,936,11649,8019,16234,14862,30763,17687,19800,18432,12055,6431,144280,0,10,13,55,23,6,7,0,0,112,15304,30470,27285,49505,27481,30045,26028,15820,7197,229134,3,10,8,72,7,0,0,0,0,98,0,0,0,4,9,7,12,11,0,39,0,0,3,20,9,3,3,0,0,42,9,18,23,78,53,37,47,15,4,289,0,0,4,24,19,20,28,5,3,103,0,24,30,200,115,78,52,19,6,525,0,0,4,12,33,42,69,89,7,249,0,0,0,26,12,20,37,16,3,129,17,150,142,639,1169,1365,2172,1443,530,7642,3,20,32,130,66,58,46,23,10,390,0,7,9,30,22,32,27,25,8,158,0,8,13,63,73,148,369,210,67,955
SOSR114,0,5,16,54,11,10,3,0,0,93,0,4,5,10,16,16,26,11,4,84,0,3,4,21,13,13,15,3,0,60,13,38,49,314,151,156,154,95,41,1010,427,903,959,2206,1433,1547,1568,1269,822,11136,7066,14328,12560,26237,15202,16562,15500,10240,5243,122935,0,0,4,26,10,4,0,0,0,41,13242,26581,22342,40841,23154,25233,22630,13911,5945,193881,0,3,0,33,5,3,0,0,0,55,0,0,0,3,4,3,0,3,0,19,0,3,4,14,0,4,4,0,0,28,7,31,19,146,50,47,37,17,4,357,0,0,0,22,15,13,18,4,3,78,3,26,130,133,82,58,42,22,5,507,0,0,0,0,16,24,31,29,8,102,0,0,0,8,3,7,23,12,8,58,39,178,170,762,992,1210,1680,1058,436,6518,0,11,17,80,37,36,14,7,3,217,0,6,4,73,23,25,28,14,0,169,0,9,18,100,80,141,306,158,54,862
SOSR115,3,3,4,64,21,12,5,0,0,113,0,3,4,16,34,29,50,16,13,163,0,6,9,22,23,17,10,0,0,84,23,57,69,379,252,271,262,194,81,1586,631,1307,1267,3152,2161,2322,2423,1676,1050,15983,10293,21655,18073,38539,23281,25886,23402,14020,7225,182376,0,0,6,21,7,4,0,0,0,45,19594,40600,32962,61326,35111,39409,33643,18986,8400,290024,0,0,0,49,7,3,0,0,0,65,0,0,0,12,14,15,6,9,0,49,0,7,3,19,0,3,4,0,0,45,0,26,27,141,71,74,54,22,6,425,0,0,4,43,44,29,33,23,0,173,3,29,39,252,133,87,55,21,11,629,0,0,3,8,42,46,93,61,11,273,0,3,3,27,8,18,51,19,7,138,39,217,254,1048,1859,2166,3217,1781,641,11211,0,10,17,106,44,56,25,11,6,273,0,9,17,55,52,45,29,16,10,231,7,17,16,117,158,262,564,280,116,1538
SOSR121,0,0,0,24,3,0,0,0,0,25,0,0,0,7,10,8,12,12,0,45,0,0,0,3,5,0,0,0,0,5,3,9,15,88,94,67,80,31,18,399,151,360,296,802,562,663,534,332,132,3841,2529,6221,4870,9960,6787,7450,5947,2833,1114,47711,0,0,0,0,0,0,0,0,0,0,4929,11630,9104,16010,10612,11646,8862,4110,1416,78319,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,3,0,0,0,10,0,11,7,53,21,23,15,3,0,138,0,0,0,9,11,7,9,3,0,36,3,9,10,28,23,19,11,4,4,106,0,0,0,3,6,7,11,12,0,46,0,0,0,8,0,6,13,0,3,40,4,77,49,284,514,644,909,395,108,2981,0,4,3,14,5,10,12,4,0,54,0,4,6,22,14,11,9,0,0,68,0,4,5,33,39,83,131,52,25,377
SOSR122,0,0,0,9,0,0,0,0,0,11,0,0,0,3,7,5,13,3,0,29,0,0,0,3,3,3,0,0,0,12,0,7,7,52,39,47,52,14,6,231,86,240,183,522,395,462,370,204,81,2547,1356,3327,2606,5480,3916,4430,3456,1595,604,26762,0,0,0,0,0,0,0,0,0,0,2588,6228,4893,8797,6051,6902,5181,2392,770,43808,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,5,30,14,20,14,3,0,78,0,0,0,4,4,3,6,0,0,20,0,4,0,29,14,10,16,0,0,71,0,0,0,0,6,10,8,3,0,27,0,0,0,3,4,3,5,0,3,18,0,23,31,175,271,409,450,241,58,1665,0,0,4,6,12,8,0,0,0,30,0,0,0,7,10,10,13,4,3,34,0,0,0,16,26,46,115,41,13,263
SOSR131,4,3,9,82,39,11,3,3,0,153,0,3,3,24,58,53,42,18,8,217,0,3,16,34,34,36,21,7,0,144,22,79,87,577,509,542,505,208,69,2597,976,2642,2345,5396,4456,4736,3497,1527,518,26092,13436,36247,28549,55632,43171,43769,30752,11785,3961,267300,0,0,5,10,3,0,0,0,0,19,25755,67942,53868,90366,67428,68906,47180,17857,5166,444470,0,0,3,21,10,0,8,0,0,40,0,0,7,21,13,29,28,10,0,99,0,0,0,31,15,11,8,0,0,75,4,27,49,210,163,169,107,15,8,744,0,0,7,59,58,44,33,3,3,204,3,49,93,353,272,191,124,45,13,1143,0,0,0,29,67,128,137,101,15,490,0,0,0,16,30,54,74,16,3,200,38,297,376,1510,3134,3901,4189,1699,379,15519,0,10,15,110,102,87,36,22,5,389,3,19,25,96,88,85,82,27,0,419,11,25,52,275,309,494,863,310,89,2419
