SOSR_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
SOSR101,53,367,512,1463,1967,3960,7677,8147,2269,26417,377,1296,4560,13702,6151,9045,3616,1131,281,40158,3213,7999,11251,77666,13090,8099,4507,2165,756,128742,163,811,4824,14082,3826,2892,1888,713,238,29445,120,1006,1738,10970,3038,2422,1327,618,244,21476,265,2582,5232,15166,7245,4613,2415,1150,323,39001,99,722,595,9677,2672,1642,1623,829,338,18199,61,312,804,4816,3380,5653,9318,9556,4282,38175,216,800,1186,5620,2443,991,570,206,70,12105,403,2224,6173,22744,7864,5228,2560,1236,305,48738,186,808,2099,15477,13316,11374,7517,3279,1021,55074,188,875,2868,10495,4099,4657,3266,1055,280,27785,3,18,60,355,614,2286,4045,2261,745,10388,4,71,194,1282,917,1144,844,402,176,5029,16,142,783,2377,1146,781,454,238,96,6033,151,871,6713,20987,899,513,157,30,7,30315,54,280,355,1574,920,1060,1796,1126,640,7808,962,5991,10452,29191,13983,10676,5201,1771,616,78838,7,50,115,1055,722,552,763,360,102,3730,634,2161,3306,12088,2523,1321,431,117,29,22622
SOSR102,0,19,17,66,113,319,490,541,183,1746,8,39,193,228,123,217,68,37,7,914,101,404,568,3260,464,319,314,183,57,5677,28,68,123,459,170,104,90,43,23,1107,13,38,81,540,91,63,26,19,3,873,40,125,66,288,85,36,22,8,0,664,26,215,54,618,357,316,392,277,76,2334,3,15,45,218,366,934,1313,1646,731,5268,16,82,79,311,134,75,47,25,9,772,19,114,249,740,237,103,63,14,5,1548,6,15,38,259,219,186,135,32,27,927,6,47,322,513,290,262,180,80,3,1703,0,5,0,40,84,331,604,318,76,1458,0,8,19,59,58,64,43,26,7,288,3,14,49,152,47,34,33,21,0,351,3,18,56,318,26,9,3,0,0,432,3,53,25,158,179,433,1068,585,296,2809,100,579,1009,4057,2786,2473,1552,747,249,13549,0,22,18,112,150,135,213,148,46,850,17,74,134,489,59,41,26,8,0,842
SOSR111,0,0,0,3,8,14,23,28,7,77,3,3,5,24,12,29,3,0,0,83,19,88,38,656,71,37,29,12,3,959,0,3,6,26,8,3,8,4,3,55,0,3,0,15,4,10,3,0,0,33,0,3,0,6,3,0,0,0,0,14,3,17,3,42,19,16,19,28,6,153,0,0,3,3,9,23,33,40,14,139,0,0,3,15,3,3,3,0,0,29,0,0,8,52,4,3,0,0,0,72,0,0,0,8,9,3,8,3,0,26,3,8,12,58,39,14,3,5,0,145,0,0,0,0,4,8,19,12,0,43,0,0,0,9,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,8,9,62,80,55,4,0,0,0,0,216,0,5,4,22,17,53,116,72,18,307,18,76,104,399,275,219,141,43,5,1273,0,0,0,12,5,6,12,12,3,56,3,12,6,42,21,7,0,0,0,91
SOSR112,0,4,3,16,27,54,73,68,19,272,3,21,51,121,54,84,36,9,0,380,67,255,168,1883,229,166,133,65,19,2986,4,12,63,134,53,26,30,19,14,356,7,46,37,160,29,22,10,3,3,319,11,24,21,111,30,11,9,3,0,222,7,75,15,218,104,108,149,58,27,769,0,11,18,57,66,133,210,195,123,816,4,29,31,102,54,31,22,13,0,295,0,19,174,366,46,24,4,0,0,637,6,6,10,50,49,34,33,16,9,199,31,42,39,193,108,77,47,15,3,569,0,0,0,9,13,46,101,50,10,224,0,0,0,15,18,14,14,8,5,78,3,58,97,287,59,20,10,5,3,549,3,36,78,618,28,7,3,0,0,781,3,10,12,78,67,194,429,265,113,1173,35,238,401,1269,1016,1009,723,291,107,5074,0,12,8,52,47,39,88,72,8,327,20,68,46,205,24,15,7,3,0,399
SOSR113,0,3,4,14,11,35,56,49,12,179,3,8,10,48,36,40,3,8,0,157,22,116,102,980,165,122,70,45,20,1643,0,9,7,50,21,14,22,11,5,137,0,5,8,26,9,9,3,3,0,59,0,0,0,17,3,5,0,3,0,30,5,27,10,96,53,58,81,71,25,418,0,8,16,41,65,169,386,401,244,1338,6,8,9,45,18,9,8,4,0,110,7,10,21,108,13,10,9,0,0,175,0,0,4,13,20,11,14,9,0,69,3,5,33,113,52,61,28,17,4,312,0,0,0,5,8,60,127,46,10,257,0,0,4,20,13,17,19,3,7,82,0,0,10,39,8,3,6,3,7,66,0,8,7,51,6,0,0,0,0,68,0,4,7,25,35,115,330,164,73,755,24,192,255,902,633,615,543,245,97,3510,0,0,0,10,25,32,65,35,10,180,0,33,13,109,26,7,6,0,0,197
SOSR114,0,0,0,3,16,23,35,25,4,109,0,9,27,29,18,29,11,8,0,128,10,32,27,367,63,67,31,20,18,645,4,18,6,48,26,9,18,19,5,149,0,0,3,20,4,10,3,0,0,40,0,6,3,7,6,0,0,8,0,23,3,18,10,86,48,45,66,35,7,320,3,5,12,68,44,51,138,146,62,526,0,13,11,90,21,13,7,6,3,165,5,0,12,70,9,3,3,0,0,100,0,6,5,22,18,15,18,10,3,96,0,6,13,71,47,38,15,5,3,197,0,0,0,3,8,30,65,25,4,135,0,3,3,12,11,17,9,4,0,50,0,0,0,12,3,3,0,4,0,19,0,7,3,88,5,3,0,0,0,110,0,8,8,57,48,117,275,140,66,716,17,112,162,741,522,581,412,174,56,2774,0,0,3,19,18,27,43,22,8,140,0,7,0,47,5,3,0,3,0,75
SOSR115,0,3,0,14,17,23,80,55,15,202,0,3,16,55,30,41,16,8,0,166,32,73,90,823,138,130,106,58,20,1475,0,8,10,56,18,26,32,19,7,175,0,0,3,25,8,3,5,4,0,50,0,3,0,7,16,10,5,0,0,40,4,33,16,176,94,93,129,59,17,631,0,3,4,51,55,112,183,150,57,619,3,18,10,67,42,9,10,5,5,176,0,11,30,117,9,12,4,4,0,189,0,0,6,28,34,33,16,5,6,134,3,7,7,122,59,60,26,11,3,309,0,3,5,15,29,94,180,54,13,397,0,0,0,10,7,24,35,3,0,81,0,0,0,20,4,6,0,4,0,36,0,15,6,79,10,3,0,0,0,117,0,11,6,57,70,221,412,223,74,1077,28,150,204,1013,792,920,632,228,56,4024,0,0,0,29,28,29,86,38,11,220,0,14,13,60,18,17,6,3,0,131
SOSR121,0,0,0,0,3,8,17,6,3,48,0,3,3,9,8,8,3,0,0,37,3,3,15,91,23,16,18,10,4,178,0,3,0,6,4,5,9,7,0,38,0,0,0,11,0,0,0,0,0,14,0,0,0,4,3,7,0,0,0,15,0,13,0,41,25,30,28,12,11,167,0,0,0,8,16,38,43,50,20,167,0,0,0,19,9,5,3,0,0,46,0,0,5,12,9,6,0,0,0,33,0,0,6,4,19,3,3,3,0,41,0,3,5,31,12,16,13,3,0,88,0,0,0,4,4,22,45,10,0,87,0,0,0,0,4,5,4,0,0,12,0,0,0,3,0,6,0,3,0,5,0,0,0,7,0,0,0,0,0,7,0,3,3,22,23,48,112,54,21,283,0,54,46,237,213,234,205,51,15,1056,0,4,0,10,8,12,15,20,3,67,0,3,0,12,3,0,0,0,0,17
SOSR122,0,0,0,0,0,3,5,9,0,22,0,0,4,7,8,6,0,0,0,29,3,3,0,38,9,5,10,7,0,84,0,0,0,14,0,8,9,0,0,34,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,29,12,9,16,14,3,97,0,3,0,11,11,27,45,20,9,123,0,0,0,12,9,8,0,0,0,35,0,0,0,4,7,3,0,0,0,16,0,0,0,5,14,0,4,0,0,25,0,0,0,12,10,12,12,0,0,55,0,0,0,3,3,14,29,4,0,52,0,0,0,0,0,7,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,10,11,44,74,27,8,165,3,22,23,129,155,184,107,32,7,654,0,0,0,4,5,4,11,3,3,30,0,3,3,0,3,0,0,0,0,14
SOSR131,0,3,3,20,24,95,125,99,15,383,0,18,17,62,43,51,27,7,4,239,16,21,42,331,152,150,139,60,13,928,0,12,8,75,34,48,49,25,6,250,0,0,8,43,48,35,17,0,0,151,3,0,22,63,45,50,21,11,7,216,5,31,31,233,166,155,198,72,23,906,5,13,20,88,151,483,811,497,170,2241,8,34,16,99,47,39,16,6,3,267,0,11,39,87,58,44,13,0,3,251,0,6,19,182,219,160,101,45,9,743,0,8,9,106,127,106,69,24,0,447,0,0,12,53,116,381,643,194,33,1422,0,0,0,11,13,26,19,0,0,73,0,0,0,8,16,3,6,5,3,41,0,3,3,26,5,0,0,0,0,44,0,12,35,126,174,381,661,290,73,1754,29,166,283,1363,1370,1544,974,270,50,6055,0,6,5,60,78,59,100,35,4,348,3,3,5,48,13,25,10,0,0,108
