SOSR_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SOSR101,1283,1203,923,701,629,352,446,18199,277,6365,13143,8669,1409,741,1015,1045,352,579,824,897,742,347,1758,38175,10,55,106,282,720,2116,3158,1645,437,511,536,597,723,574,631,12105,3,7,23,401,3536,8487,13451,9675,1658,1859,1945,1954,2199,1593,1950,48738,49,722,2436,12832,10633,11479,7651,3567,668,557,659,660,570,304,2294,55074,38,50,573,2031,4611,6533,4519,3263,662,764,897,967,1175,840,844,27785,31,3319,3610,1846,690,252,97,70,19,3,14,5,6,0,417,10388,22,1771,1627,692,564,386,766,599,161,146,169,226,232,169,287,7808,248,409,1553,4970,10992,13292,20678,10041,2573,2800,2576,2202,2116,1228,3154,78838,0,12,22,221,637,2262,4285,4081,1142,1828,1845,2189,2266,1284,545,22622,10,19,154,1673,7483,22840,14103,10819,2358,2580,2583,2552,2554,1656,1815,73204,60,868,734,478,3115,2203,1154,689,142,181,215,239,239,113,312,10756,36,54,284,802,1364,1771,2428,1614,330,342,403,535,538,391,307,11200
SOSR102,78,159,47,24,20,15,71,2334,43,1053,2333,1055,132,67,70,69,11,34,30,31,29,7,304,5268,0,20,19,22,40,123,222,112,33,27,24,26,26,32,37,772,0,0,0,11,97,218,420,369,82,62,57,44,63,59,63,1548,3,36,46,247,160,169,98,65,10,9,20,20,3,5,33,927,5,13,102,217,267,221,182,191,43,41,59,72,140,101,73,1703,5,532,557,195,48,13,10,17,0,0,4,0,0,0,83,1458,6,1204,735,250,160,88,108,72,12,5,22,26,24,3,102,2809,67,131,418,1500,3059,2518,2697,1289,317,300,205,196,162,109,574,13549,0,0,6,14,21,42,122,189,43,58,80,84,111,49,24,842,0,0,18,127,743,1331,801,786,174,225,241,257,207,108,192,5204,4,213,150,88,384,211,93,73,10,9,17,11,15,0,57,1339,5,10,25,99,83,53,93,72,11,13,25,39,46,30,28,641
SOSR111,3,10,9,3,0,3,5,153,4,31,64,18,3,0,0,4,0,0,0,0,0,0,3,139,0,0,0,0,0,3,3,11,0,0,0,0,0,3,0,29,0,0,0,0,5,7,10,20,8,5,4,7,3,0,3,72,0,0,0,11,3,0,7,4,0,0,0,0,0,0,0,26,0,0,10,33,13,16,22,16,9,5,3,0,4,5,4,145,0,16,16,5,0,0,0,0,0,0,0,0,0,0,0,43,0,126,106,30,11,6,12,3,0,0,0,4,0,4,3,307,4,15,37,119,288,213,223,141,56,43,17,26,18,22,53,1273,0,0,0,7,3,4,20,20,0,3,8,5,8,0,4,91,0,0,0,3,77,133,101,121,27,39,39,35,26,15,22,641,0,38,16,5,18,10,3,3,0,0,0,0,0,0,3,112,0,0,3,9,4,9,0,7,4,0,0,0,3,3,0,41
SOSR112,39,66,26,11,11,9,25,769,17,215,238,163,27,23,15,22,5,4,9,4,3,8,60,816,0,6,8,18,20,43,71,46,3,9,7,9,11,14,17,295,0,0,0,0,23,44,86,106,29,27,15,32,105,102,65,637,3,12,13,53,12,26,14,13,3,0,3,3,0,3,43,199,0,10,29,79,75,69,78,57,15,19,14,26,33,27,28,569,3,93,67,29,11,0,3,0,0,0,0,0,0,0,6,224,4,480,324,102,90,37,58,17,9,10,0,8,0,0,33,1173,26,70,222,653,1158,817,852,450,118,136,93,84,68,40,285,5074,0,0,0,0,11,14,31,81,31,32,32,53,50,31,18,399,3,0,6,23,184,338,304,424,98,162,197,257,237,79,112,2429,0,55,44,32,84,44,17,16,6,6,10,4,3,0,20,345,0,3,14,31,36,22,43,50,0,10,15,9,15,6,14,266
SOSR113,8,23,4,14,3,3,21,418,42,466,422,187,26,14,22,7,3,3,7,7,6,9,110,1338,0,3,3,6,3,5,32,15,0,8,0,0,5,0,15,110,0,0,0,3,15,27,33,44,0,3,3,4,19,6,15,175,0,11,7,20,13,4,10,0,0,0,0,0,0,0,0,69,0,4,38,53,69,21,26,12,4,8,6,11,23,24,15,312,0,122,82,26,7,3,0,0,0,0,0,0,0,0,11,257,3,339,195,71,38,19,32,24,0,0,0,0,0,0,24,755,43,48,143,489,709,617,594,314,98,99,55,61,37,19,188,3510,0,0,0,0,3,3,22,54,29,22,19,17,9,4,6,197,0,0,8,16,131,275,201,259,80,121,84,85,85,39,60,1445,0,45,22,14,34,19,5,3,0,0,0,0,0,0,9,163,0,0,5,25,8,10,5,5,0,0,0,3,0,0,0,79
SOSR114,14,17,3,6,3,9,22,320,4,154,144,66,15,6,19,13,11,17,9,14,11,10,35,526,0,6,0,3,9,17,32,33,6,17,7,10,13,8,18,165,0,0,0,0,6,6,19,19,4,8,6,12,17,4,6,100,3,12,10,20,16,12,11,3,3,0,0,0,3,5,11,96,3,9,21,45,24,23,11,31,3,3,3,3,11,0,15,197,3,58,40,17,5,3,3,4,0,0,0,0,0,0,9,135,0,279,182,67,50,19,43,23,3,11,10,3,0,0,30,716,27,24,129,326,631,472,466,232,67,88,38,45,35,21,165,2774,0,0,0,9,3,0,7,13,9,7,7,3,13,3,5,75,0,0,6,7,80,145,107,207,45,88,79,97,85,26,49,1020,0,27,15,5,31,8,9,4,3,0,0,0,0,0,3,114,0,3,3,25,10,9,7,8,0,0,3,3,5,0,6,86
SOSR115,26,21,10,3,5,4,16,631,6,178,176,114,34,23,17,11,0,3,5,5,3,0,48,619,0,9,4,8,8,17,53,35,6,5,6,0,9,0,9,176,0,0,0,0,11,21,23,19,4,14,9,12,33,15,23,189,5,4,14,35,25,20,13,4,0,7,0,0,3,0,7,134,3,11,28,55,53,31,34,34,4,7,7,3,15,14,23,309,0,151,132,51,24,11,8,4,3,0,0,0,0,0,18,397,5,389,348,99,87,26,53,18,5,4,3,3,8,6,31,1077,22,39,173,596,919,689,653,351,97,84,71,42,41,34,212,4024,0,4,3,6,6,14,28,42,14,7,8,3,5,0,7,131,0,0,5,24,116,219,149,194,55,81,84,88,77,32,61,1186,3,36,32,8,49,20,5,3,3,7,3,3,0,0,12,194,3,3,13,34,23,15,11,15,3,0,0,0,0,0,8,126
SOSR121,10,11,3,0,0,0,5,167,4,41,65,28,4,0,3,4,0,0,4,0,0,0,12,167,0,3,3,0,3,7,10,6,3,0,0,0,0,0,4,46,0,0,0,0,8,6,16,7,0,0,0,0,0,0,0,33,0,0,0,11,9,0,3,9,0,0,0,0,0,0,3,41,0,0,12,19,14,9,3,3,0,0,0,8,14,0,3,88,0,38,30,10,5,5,0,0,0,0,0,0,0,0,4,87,0,95,74,37,16,12,20,4,0,0,0,0,0,0,14,283,4,16,44,170,269,173,159,93,17,30,11,6,11,0,52,1056,0,0,0,4,0,0,7,0,5,0,3,0,0,0,0,17,0,0,0,9,29,64,27,29,0,10,10,15,10,4,15,229,0,6,6,6,16,7,3,0,0,0,0,0,0,0,0,52,0,4,3,10,3,3,4,7,0,0,0,0,0,0,0,35
SOSR122,10,6,4,0,0,0,7,97,0,28,44,24,4,0,0,3,0,0,3,3,0,0,11,123,0,0,0,0,3,8,8,5,3,4,0,0,3,0,0,35,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,16,0,0,3,11,8,5,0,0,0,0,0,0,0,0,0,25,0,0,6,14,16,5,0,4,0,3,0,0,0,0,6,55,0,25,16,3,3,0,0,0,0,0,0,0,0,0,0,52,0,60,45,24,17,10,3,6,0,0,0,0,0,0,3,165,3,8,34,109,188,128,88,47,4,11,0,5,3,0,27,654,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,14,0,0,3,3,15,47,31,14,13,0,3,16,7,3,4,150,0,8,8,3,8,9,3,0,0,0,0,0,0,0,0,37,3,0,8,3,3,6,3,0,0,0,0,0,0,0,0,20
SOSR131,25,25,20,10,15,8,32,906,24,584,862,392,87,35,40,11,0,0,15,14,25,4,144,2241,0,17,3,11,19,37,73,38,13,13,3,3,15,4,14,267,0,0,0,11,25,50,86,34,3,0,7,3,7,8,19,251,0,25,72,188,109,152,88,28,4,3,3,13,8,0,52,743,9,4,73,106,86,51,37,27,3,3,4,3,9,3,37,447,3,445,460,281,113,33,19,14,0,0,0,0,0,0,62,1422,0,526,520,190,160,68,130,53,4,7,5,7,7,3,61,1754,24,74,270,979,1551,1141,894,374,95,61,62,55,51,43,369,6055,0,4,0,14,11,16,19,8,8,3,4,3,5,5,5,108,0,0,5,39,147,224,176,199,47,43,61,66,58,18,66,1150,0,32,46,18,100,58,22,7,3,5,0,5,3,0,17,324,0,3,34,56,19,35,37,17,7,3,3,7,0,0,15,236
