SOSR_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
SOSR101,3387,12324,18669,16195,16918,17006,26120,21379,13466,145464,2740,14034,25658,22514,21440,17193,15649,8232,4939,132402,1749,14852,29854,24467,23362,17777,10845,4926,2211,130043,931,14997,36883,26299,25587,18708,8561,3374,1615,136956,354,11589,43350,28774,26305,19285,7227,2335,1238,140460,109,4621,33039,22598,19096,12555,4160,1144,559,97885,61,1491,25843,21193,17450,11483,3152,954,548,82179,45,441,14806,16180,13270,8281,2187,682,339,56241,53,364,18270,26102,19314,10610,2979,997,506,79192,112,227,5126,15965,14028,6411,2606,1078,664,46226,9211,11861,28753,21363,18264,15842,14047,11938,12122,143400,124874,154626,365579,319928,284607,235941,164386,95672,52767,1798364,129932,53618,62220,44842,36973,44231,23765,10659,4208,410445,50884,21780,12595,12639,11550,13250,10480,4608,1548,139326,22402,31751,28791,25611,25751,32204,29302,18107,6051,219979,9699,24117,27622,23418,26596,33856,54988,38574,13678,252542,8328,24325,32236,24995,26893,28517,42915,32630,18833,239677,7129,28096,43109,33789,32648,28922,28078,15124,7289,224169,4218,30192,55836,41318,39248,32242,21138,9836,3854,237883,2291,30639,76334,52398,49115,38111,18906,6894,2761,277440
SOSR102,1157,3320,4471,4573,5472,6437,11058,9082,5126,50709,870,4203,6627,6648,6678,5917,6141,3286,2055,42423,457,4027,6865,6655,7059,5719,3576,1697,748,36810,196,2969,7007,6377,7191,5574,2152,957,454,32875,66,1836,6943,6143,6504,4930,1638,612,316,28979,19,636,4822,4229,4246,3010,713,183,106,17964,6,187,3276,3524,3668,2529,490,143,74,13897,3,47,1588,2557,2643,1856,294,93,51,9136,7,33,1370,2954,2954,1804,374,131,50,9677,30,60,326,1027,1090,730,317,193,80,3854,2141,1945,3593,3356,3829,4171,4729,4867,4763,33400,29387,31383,60694,62664,66486,64346,52877,33803,18027,419667,24843,6078,6480,5670,5993,8916,3679,1476,641,63783,14413,4106,2475,2722,2749,3782,2576,1007,334,34155,6565,8594,6875,6123,6651,9305,8982,4968,1663,59723,2831,5615,5857,6242,7645,11464,22711,16297,5111,83769,2829,5989,6981,6761,8484,10548,18376,14045,7323,81329,2265,7806,9729,8891,9327,9606,11517,6098,2961,68199,1064,8016,11842,10170,10833,9827,7229,3536,1393,63912,489,6547,14522,11979,13047,11204,5373,1880,807,65848
SOSR111,157,455,693,621,656,793,1239,965,512,6089,167,605,1059,907,824,753,643,337,224,5527,70,619,1109,883,951,659,395,176,58,4928,19,421,1125,903,930,702,267,118,88,4572,8,247,902,781,804,553,164,55,27,3540,3,67,562,514,555,310,67,22,9,2107,0,20,355,421,417,307,41,8,6,1587,0,4,177,288,281,183,24,10,5,977,0,6,135,279,309,165,32,12,4,950,5,9,29,86,99,61,31,17,7,352,278,322,595,517,510,545,574,591,378,4305,3902,4254,8825,8168,8236,7675,5951,3537,1705,52252,3011,478,750,687,703,1067,383,125,54,7267,1979,402,330,363,346,418,289,69,29,4215,851,1091,1000,849,846,1136,1126,520,158,7570,395,661,873,898,968,1382,2572,1610,448,9814,388,753,995,913,1006,1214,2055,1435,704,9461,347,1042,1423,1214,1112,1170,1230,619,304,8465,180,1188,1850,1383,1446,1191,837,365,107,8538,68,913,2328,1678,1713,1448,625,254,138,9166
SOSR112,704,1510,2312,2074,2418,3005,5136,4219,2264,23648,553,2082,3611,3040,2972,2867,2916,1659,950,20651,247,1988,3725,3078,3352,2720,1817,950,419,18300,104,1281,3137,2925,3343,2684,1186,499,308,15485,38,828,2793,2595,2882,2327,835,388,201,12892,3,303,1883,1728,1869,1449,396,133,44,7824,3,84,1178,1480,1572,1232,281,115,43,5990,0,34,604,1090,1205,954,167,63,30,4160,4,13,480,1060,1196,939,203,80,29,4016,17,28,135,329,380,349,192,104,65,1605,1445,1326,2142,1845,2215,2345,2599,2623,2229,18762,14349,14364,28340,27017,29475,30073,25319,16518,8620,194076,10976,1781,2312,2004,2111,3383,1644,692,341,25247,6589,1433,1053,1049,1115,1617,1091,451,158,14544,3102,3803,3451,2849,2995,4175,4093,2308,739,27511,1333,2185,2957,2825,3479,5235,9946,6996,2265,37219,1537,2575,3447,3224,3897,5128,8597,6446,3102,37959,1257,3680,5180,4319,4322,4685,5330,2989,1364,33117,557,3996,6652,5091,5344,4925,3577,1882,757,32776,272,3050,7023,5745,6265,5507,2825,1042,487,32211
SOSR113,330,843,1391,1503,1774,2217,3874,3100,1564,16603,282,1105,2039,1889,2044,1988,2017,1126,672,13155,122,1056,2010,1908,2005,1716,1159,633,258,10868,45,653,1554,1573,1835,1549,701,362,174,8444,29,348,1324,1218,1515,1226,500,267,119,6546,3,127,826,736,885,698,189,79,28,3571,0,34,464,598,696,547,137,50,30,2548,0,22,229,400,523,434,89,33,12,1738,4,9,233,394,479,402,91,51,20,1686,11,14,82,157,163,157,98,70,36,800,775,630,1252,1166,1363,1665,2108,2133,2102,13198,7610,7253,15284,15479,17687,19800,18432,12055,6431,120026,6056,803,1351,1331,1510,2661,1064,383,170,15331,3591,758,707,689,793,1130,843,295,110,8903,1755,1826,2159,2016,2176,3561,3351,1761,486,19086,772,1206,1851,1934,2632,4086,8256,5660,1786,28193,752,1437,2074,2255,2923,3810,6558,4864,2227,26892,645,1883,2882,2669,2962,3269,3883,2150,963,21304,336,2080,3421,3108,3302,3142,2430,1326,469,19617,148,1512,3517,3117,3583,3321,1749,733,308,17989
SOSR114,298,597,1126,1220,1339,1783,3211,2613,1438,13624,252,936,1656,1651,1710,1707,1679,1012,590,11196,135,914,1574,1663,1868,1515,992,511,229,9400,66,529,1373,1417,1609,1384,589,294,150,7409,15,310,1116,1155,1349,1048,402,236,104,5739,0,137,727,719,801,618,191,59,29,3276,3,38,462,609,603,467,130,42,24,2380,3,10,192,383,453,384,71,33,12,1545,0,4,188,395,433,308,92,46,23,1488,11,20,75,138,172,154,90,47,29,729,872,554,1090,1064,1325,1511,1788,1810,1435,11444,6753,5808,12706,13529,15202,16562,15500,10240,5243,101541,5080,620,1021,971,1169,2007,844,322,178,12219,2949,474,533,586,594,983,690,267,91,7163,1313,1248,1652,1477,1717,2687,2733,1482,415,14729,640,910,1433,1567,2011,3384,6992,4875,1432,23229,689,1055,1628,1801,2197,3078,5478,4113,2020,22061,605,1628,2334,2287,2543,2832,3251,1826,864,18164,342,1848,2754,2620,3036,2852,2078,1093,392,17016,153,1296,3036,2904,3232,3050,1515,626,258,16080
SOSR115,418,900,1594,1675,2117,2684,4737,3652,1919,19697,360,1215,2315,2350,2686,2524,2592,1269,815,16127,203,1169,2354,2302,2669,2249,1466,757,280,13457,89,778,1931,2038,2468,2053,923,386,222,10882,23,457,1629,1752,1991,1734,616,294,147,8641,10,185,1075,1085,1256,919,249,83,40,4883,4,62,733,901,1005,776,186,56,27,3735,3,18,342,663,785,583,109,36,14,2556,0,11,305,684,705,557,134,45,23,2466,12,13,79,217,240,203,98,87,40,994,1252,702,1520,1641,1910,2251,2589,2318,1833,16025,9856,8219,18481,20054,23281,25886,23402,14020,7225,150430,7699,981,1639,1603,1876,3370,1461,600,378,19602,4155,765,809,833,956,1639,1078,400,175,10815,1798,1933,2383,2160,2594,4415,4392,2035,653,22363,918,1250,1916,2326,2992,5328,10993,6934,2089,34733,1020,1491,2259,2498,3412,4802,8392,5836,2780,32491,907,2167,3189,3245,3878,4300,4973,2469,1166,26287,524,2423,4030,3693,4346,4327,3189,1569,516,24610,254,2014,4312,4102,4828,4679,2330,822,378,23724
SOSR121,125,273,383,450,574,744,1146,697,325,4721,93,308,607,617,777,699,672,277,126,4165,47,276,534,636,759,658,399,165,51,3522,16,158,430,578,664,620,231,81,31,2817,4,96,366,492,555,468,175,60,17,2233,0,32,230,284,359,296,72,16,9,1305,0,11,155,234,322,237,68,8,10,1040,0,3,81,190,259,194,34,6,7,767,0,5,66,220,232,171,36,4,3,745,0,3,19,68,106,68,25,14,12,315,350,182,381,412,514,631,561,420,205,3659,2816,2055,4399,5554,6787,7450,5947,2833,1114,38963,2192,293,361,425,568,1052,350,148,60,5442,1288,230,230,271,331,514,346,96,49,3353,529,482,587,675,793,1333,1143,490,118,6152,242,339,506,602,863,1444,2898,1495,384,8773,275,457,551,675,937,1336,2057,1213,503,8005,224,576,852,872,1142,1207,1272,566,196,6913,121,594,924,988,1258,1238,903,352,117,6496,45,449,992,1138,1368,1377,618,194,49,6231
SOSR122,48,122,217,270,353,468,649,390,167,2693,46,164,300,356,429,423,355,135,86,2289,26,152,264,302,460,358,195,72,29,1847,10,84,231,256,406,307,133,48,10,1492,3,48,184,252,306,278,93,34,6,1217,0,16,148,173,182,163,44,14,0,741,0,3,82,130,167,135,21,10,0,552,0,0,32,118,112,97,23,3,4,386,0,0,40,112,117,99,13,3,0,388,0,0,13,39,53,30,23,13,6,176,229,87,233,264,348,430,391,259,112,2348,1523,1082,2407,3082,3916,4430,3456,1595,604,22088,1226,126,222,258,335,607,274,83,36,3172,642,96,111,167,183,323,177,57,14,1768,283,297,362,393,524,879,697,288,69,3791,132,191,302,359,585,969,1754,957,238,5487,148,212,330,426,599,900,1287,711,251,4864,136,304,421,499,657,761,707,277,123,3887,70,293,469,517,755,732,477,177,55,3544,27,242,549,557,865,783,340,105,22,3487
SOSR131,595,1163,1771,2379,3207,3709,4493,2278,995,20581,511,1539,2582,3240,4199,3991,3150,1077,389,20677,303,1479,2551,3263,4218,3580,2082,646,176,18297,120,1184,2350,3007,4082,3486,1487,444,142,16304,40,644,2036,2602,3651,3144,1297,340,111,13871,14,221,1452,1820,2376,1946,648,180,33,8687,7,82,959,1751,2302,1715,491,115,32,7459,5,15,485,1166,1620,1288,320,70,30,5004,5,25,455,1508,2045,1405,429,111,25,6014,20,27,150,669,1082,784,402,132,36,3307,2538,1209,2330,3137,4239,4536,3766,1886,841,24480,17018,11532,23136,32498,43171,43769,30752,11785,3961,217622,13719,1585,2390,3059,4333,6346,2959,943,312,35646,7254,1269,1183,1475,2104,3021,1926,625,175,19039,2751,2511,2987,3463,4545,7182,6471,2485,605,32993,1577,1790,2465,3431,5097,7567,12350,5874,1295,41437,1745,2112,2730,3575,5324,7093,9320,4447,1525,37869,1556,2999,3889,4769,6550,7330,6546,2471,655,36766,964,3345,4721,5450,7302,7133,4695,1543,386,35533,436,3032,5259,6060,8324,7935,4002,1156,286,36491
