SOSR_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOSR101,40486,13320,82975,847977,857836,356062,275686,907165,271027,3515745
SOSR102,12166,6648,28538,177328,216655,101256,76589,174833,63276,809935
SOSR111,1216,553,2622,21272,26873,12755,9963,21096,8149,100115
SOSR112,5993,2776,13209,74893,99015,45793,35376,77308,37144,369524
SOSR113,4448,2467,10099,41433,57524,29552,24586,53107,24888,231091
SOSR114,3512,2045,8178,35599,48939,25164,20471,41100,22749,194026
SOSR115,5213,2681,11444,52762,74102,38570,32186,60369,32911,290897
SOSR121,886,353,1934,14172,20155,11038,8943,14850,7476,76622
SOSR122,407,249,1046,7905,11498,5977,5337,8630,5095,44437
SOSR131,2629,1572,7371,84324,116972,64114,56355,74460,53349,449576
SOSR179,5,0,10,23,36,19,40,163,93,374
SOSR199,41,26,78,1976,1606,620,412,3500,3428,11545
SOSR201,40767,14601,85254,846346,868337,355081,267514,836910,261440,3435626
SOSR203,2108,940,4593,29503,33471,15125,11555,28644,10921,129222
SOSR211,2788,1193,5952,47385,57847,25776,21480,48062,19717,220263
SOSR212,1940,960,4248,28823,34977,15966,12555,31158,13868,137351
SOSR213,3537,1587,7501,41393,52897,25637,20830,42831,19433,203020
SOSR214,2246,1244,5132,21387,28814,14341,12074,24660,13622,114902
SOSR215,3651,1591,7560,34028,45682,23329,19199,36384,18900,177528
SOSR221,699,399,1603,8949,13028,7041,5952,9598,5520,50085
SOSR222,370,153,847,5849,8103,4190,3747,5953,3567,31400
SOSR231,1874,1031,5266,65857,88290,48448,41792,56898,38177,339459
SOSR279,0,0,0,7,3,3,0,11,3,25
SOSR299,22,12,38,1281,954,324,278,1969,2020,6825
SOSR301,15268,7618,35022,410100,456231,186345,136388,337898,125057,1652019
SOSR302,5129,2893,11505,104860,115934,48210,34662,96763,42118,442549
SOSR303,6250,3020,13909,116888,148054,63955,47312,104935,50143,531278
SOSR311,2796,1237,5876,37501,49778,24084,20146,42512,19329,193346
SOSR312,515,195,1063,8630,11475,5307,5059,9382,4271,44133
SOSR313,1647,930,3875,24934,33448,16378,14028,25661,13134,127579
SOSR314,1556,589,3140,24815,32157,15215,13130,25032,14071,124412
SOSR315,2244,1046,4690,37607,49719,24342,22128,40619,23427,197849
SOSR321,649,294,1457,14626,20203,10409,9566,15472,9040,79309
SOSR322,260,143,626,6483,8852,4794,4498,7320,4496,36449
SOSR331,1468,914,4307,64626,89388,48459,45662,59557,42036,349730
SOSR379,0,3,4,23,24,19,6,50,23,144
SOSR399,25,11,44,2026,1961,823,592,3533,2759,11693
SOSR401,15672,4795,31706,219312,266897,116237,80731,216324,64827,964327
SOSR412,843,328,1795,11887,16184,7812,5990,13015,4932,59823
SOSR413,1376,478,2992,16375,23014,11677,9136,17263,8073,85541
SOSR414,444,225,992,3756,5470,2898,2337,3940,1719,20125
SOSR415,1777,827,3858,16890,24133,12278,9955,17933,8653,89846
SOSR421,538,233,1100,5066,7344,3814,3242,5241,2538,27229
SOSR422,176,95,465,2933,4527,2514,2111,3388,1761,17234
SOSR431,535,263,1555,22971,31599,17434,14356,18958,11572,116882
SOSR479,0,0,0,4,0,0,0,3,0,3
SOSR499,17,0,22,466,435,143,126,850,627,2648
SOSR501,14107,7321,33920,355398,402659,170917,137118,328168,123128,1517390
SOSR511,630,209,1316,11420,15014,7138,6319,11058,5218,56161
SOSR512,1012,595,2458,18728,24176,11069,9723,18689,10170,92555
SOSR513,157,61,319,8966,10567,4062,3389,7946,6361,41292
SOSR514,231,180,589,5186,7114,3521,3188,5080,3081,27168
SOSR515,601,345,1497,12575,17053,8176,7635,13122,9230,67783
SOSR521,271,179,742,6554,8448,4186,4248,7382,4583,35400
SOSR522,88,61,268,3276,3962,1915,1705,3220,2609,16688
SOSR531,390,244,1288,24631,31923,16932,16034,26956,20835,137303
SOSR579,3,0,3,32,31,10,9,274,81,434
SOSR599,7,6,23,962,791,327,210,1663,1594,5559
SOSR603,2088,750,4651,32528,41799,18250,12212,30241,11633,146664
SOSR611,1020,373,2061,12942,16598,7433,5685,13760,5589,62006
SOSR612,327,132,680,3567,4672,2442,1955,4570,1675,18887
SOSR613,421,151,872,4796,6736,3337,2813,6051,2162,25905
SOSR614,128,52,294,1522,2005,1222,1037,2383,886,9050
SOSR615,823,298,1632,8902,12622,6607,5614,11107,4599,49448
SOSR621,144,84,363,2829,4148,2231,1901,3006,1628,15748
SOSR622,133,71,286,1654,2521,1438,1262,2104,1068,10051
SOSR631,310,163,926,14698,21984,12331,10500,13979,7619,81103
SOSR679,0,0,0,7,6,3,10,36,8,73
SOSR699,0,0,3,153,152,50,40,256,178,835
SOSR703,280,101,572,21957,24894,8532,6039,19969,13416,94796
SOSR712,81,27,156,4194,5122,1804,1097,3782,2704,18708
SOSR714,16,19,38,1007,1081,381,278,961,1208,4911
SOSR715,3,10,14,3619,3260,1102,536,2609,1831,12956
SOSR721,13,3,27,2623,2513,931,626,2108,1579,10379
SOSR722,18,3,38,2158,2197,1156,587,1542,1220,8855
SOSR731,36,13,88,5036,6652,3033,2134,4178,5357,26395
SOSR779,0,0,0,0,0,0,4,43,23,72
SOSR799,0,0,0,334,366,137,92,522,839,2281
SOSR802,2194,1335,6151,82161,101816,39271,22523,53765,22042,321581
SOSR822,0,3,4,59,53,39,27,21,18,217
SOSR831,0,0,3,138,205,79,42,70,75,610
SOSR879,0,0,0,0,0,0,0,0,0,0
