SOSR_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOSR101,5882,115383,10391,131656,7738,136844,13202,157780,20147,303597,31915,355650,27614,263208,24130,314947,33247,220518,19941,273705,30636,175317,15891,221844,18194,122086,12641,152924,8385,61602,8678,78665,2595,23097,4514,30209,154439,1421641,141297,1717381,6439,109198,9238,124874,9445,133491,11693,154626,30452,306557,28568,365579,43138,255679,21108,319928,52701,214164,17742,284607,49399,171107,15428,235941,26380,124229,13777,164386,10103,74163,11399,95672,2120,41839,8807,52767,230173,1430433,137754,1798364,12323,224574,19627,256521,17182,270331,24895,312400,50593,610148,60484,721227,70751,518886,45238,634879,85950,434685,37678,558311,80035,346425,31320,457780,44574,246312,26417,317307,18491,135767,20077,174334,4716,64938,13317,82975,384617,2852080,279054,3515745
SOSR102,1369,27061,2364,30797,1657,29029,2068,32756,4009,51511,3914,59439,5886,49817,3717,59424,8538,50306,4184,63032,9349,45576,4121,59046,6260,37405,4464,48128,2965,20245,3931,27137,948,7350,2217,10512,40982,318303,30981,390271,1464,25774,2141,29387,2132,27307,1940,31383,6516,50738,3436,60694,10089,49289,3284,62664,14040,48653,3790,66486,15479,44789,4078,64346,8744,39153,4983,52877,3359,24938,5505,33803,672,12923,4437,18027,62497,323565,33606,419667,2836,52839,4505,60181,3784,56343,4015,64140,10526,102250,7351,120129,15978,99106,7006,122090,22581,98959,7973,129517,24829,90361,8197,123390,14999,76556,9445,101006,6318,45181,9440,60940,1620,20271,6654,28538,103478,641865,64586,809935
SOSR111,168,3503,351,4014,210,3448,312,3965,561,7119,588,8270,800,6484,591,7874,1002,6107,559,7666,993,5557,553,7104,682,4167,505,5356,306,1967,416,2689,74,640,204,918,4799,38993,4071,47859,220,3387,289,3902,339,3641,279,4254,1035,7222,567,8825,1341,6340,488,8168,1676,6080,475,8236,1739,5414,517,7675,957,4374,621,5951,358,2557,626,3537,66,1290,355,1705,7724,40305,4218,52252,384,6888,639,7913,548,7082,588,8223,1603,14344,1150,17097,2143,12820,1086,16041,2680,12192,1036,15905,2732,10973,1064,14772,1640,8542,1130,11310,663,4525,1038,6229,143,1928,554,2622,12528,79293,8292,100115
SOSR112,654,12274,1549,14476,729,11965,1702,14398,1858,22162,3237,27256,2487,20532,2709,25730,3409,20933,2496,26836,3833,20714,2414,26964,2650,17477,2430,22555,1341,9457,1847,12641,393,3259,939,4593,17358,138765,19325,175452,817,12126,1406,14349,1018,12119,1234,14364,3174,23063,2105,28340,4371,20887,1756,27017,5791,21527,2165,29475,6636,21118,2312,30073,3829,18784,2710,25319,1628,12071,2814,16518,286,6455,1868,8620,27551,148157,18366,194076,1466,24400,2955,28829,1753,24083,2933,28762,5026,45225,5346,55597,6863,41419,4464,52744,9199,42462,4660,56316,10471,41832,4727,57040,6477,36255,5136,47872,2970,21527,4661,29158,686,9718,2806,13209,44910,286918,37690,369524
SOSR113,393,7008,937,8341,432,6169,788,7388,1111,12267,1641,15015,1579,11719,1382,14687,2217,13011,1595,16828,2688,13793,1661,18137,1911,13246,1878,17031,974,7369,1620,9962,290,2518,862,3665,11599,87102,12360,111059,434,6376,801,7610,563,6058,633,7253,1880,12199,1201,15284,2627,11691,1163,15479,3571,12784,1338,17687,4561,13559,1675,19800,2731,13601,2102,18432,1206,8533,2311,12055,212,4603,1618,6431,17781,89410,12831,120026,827,13388,1738,15950,991,12232,1419,14638,2993,24472,2840,30304,4211,23403,2546,30165,5786,25791,2931,34512,7250,27349,3336,37936,4639,26846,3976,35465,2184,15903,3936,22019,502,7125,2475,10099,29389,176512,25195,231091
SOSR114,300,5664,1027,6990,301,4954,602,5854,859,9653,1227,11739,1247,10090,1246,12592,1719,10849,1435,14002,2105,11700,1529,15340,1540,11180,1782,14500,823,6176,1534,8527,238,1969,727,2938,9139,72226,11109,92481,398,5470,879,6753,448,4787,571,5808,1517,10117,1070,12706,2176,10280,1074,13529,2931,10942,1334,15202,3582,11496,1490,16562,2294,11288,1915,15500,969,7209,2066,10240,207,3701,1343,5243,14512,75280,11748,101541,698,11136,1903,13744,751,9738,1167,11658,2374,19769,2298,24441,3426,20373,2321,26122,4652,21785,2770,29205,5685,23195,3025,31907,3837,22467,3696,29996,1791,13380,3600,18767,441,5669,2074,8178,23657,147510,22858,194026
SOSR115,490,8290,1454,10232,473,7242,901,8614,1268,14377,1849,17493,1916,14869,1921,18709,2669,16727,2168,21565,3406,18744,2489,24631,2490,17615,2767,22871,1206,8778,2145,12132,316,2937,964,4215,14232,109574,16661,140464,536,8010,1312,9856,614,6911,692,8219,2250,14729,1501,18481,3268,15202,1594,20054,4657,16703,1923,23281,5636,18037,2215,25886,3503,17131,2769,23402,1368,9972,2679,14020,263,5275,1693,7225,22079,111977,16373,150430,1020,16295,2772,20085,1083,14158,1593,16834,3523,29108,3352,35972,5187,30070,3515,38766,7326,33432,4094,44847,9042,36786,4697,50519,5991,34745,5541,46275,2571,18751,4828,26147,576,8214,2657,11444,36316,221551,33032,290897
SOSR121,129,2378,402,2900,144,1863,205,2213,317,3353,364,4035,534,4090,418,5045,904,5033,502,6440,1023,5587,642,7260,693,4774,663,6124,275,2087,466,2833,69,584,161,815,4082,29752,3829,37665,159,2326,330,2816,169,1697,188,2055,560,3474,372,4399,872,4270,414,5554,1424,4857,504,6787,1651,5191,607,7450,860,4466,618,5947,283,2056,497,2833,58,857,205,1114,6040,29187,3734,38963,285,4696,733,5717,314,3563,394,4275,872,6833,737,8442,1407,8365,830,10602,2322,9887,1012,13224,2677,10780,1253,14709,1551,9240,1280,12074,560,4135,964,5664,125,1439,365,1934,10124,58944,7559,76622
SOSR122,89,1312,261,1671,76,960,120,1163,184,1850,278,2311,330,2258,301,2894,485,2959,348,3795,640,3452,466,4555,396,2890,501,3789,176,1260,314,1746,29,308,98,439,2417,17241,2692,22356,98,1192,236,1523,92,905,83,1082,304,1855,244,2407,535,2279,261,3082,806,2771,337,3916,1036,2976,418,4430,550,2486,421,3456,154,1114,332,1595,27,434,145,604,3609,16004,2474,22088,193,2507,497,3192,170,1863,208,2238,490,3704,519,4713,872,4534,565,5975,1295,5732,686,7709,1673,6425,880,8979,946,5373,922,7240,334,2371,639,3341,63,739,241,1046,6027,33253,5161,44437
SOSR131,837,15084,2810,18729,708,11088,1799,13601,1693,18770,3252,23718,3068,24364,3657,31084,5238,33358,4809,43405,6461,35635,5082,47179,3743,28168,4523,36434,1336,10609,2447,14394,293,2412,711,3412,23371,179488,29101,231960,886,13589,2548,17018,899,9457,1173,11532,2702,18130,2305,23136,5089,24342,3071,32498,8405,30711,4055,43171,9766,29623,4376,43769,4728,22205,3814,30752,1376,8304,2105,11785,218,2860,873,3961,34076,159225,24322,217622,1720,28672,5362,35753,1607,20551,2974,25135,4399,36903,5556,46857,8152,48701,6728,63585,13646,64065,8869,86576,16227,65258,9462,90948,8478,50371,8335,67180,2710,18916,4555,26179,514,5273,1587,7371,57445,338711,53422,449576
