SOSR_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOSR101,168930,544189,470474,141682,73604,1398876,47443,1446323
SOSR102,27855,133726,130975,41197,20792,354560,13815,368375
SOSR111,3023,16334,17611,5377,2534,44879,1589,46467
SOSR112,12893,66824,59453,16958,7503,163636,7097,170737
SOSR113,8080,42897,36555,10705,4822,103063,5185,108244
SOSR114,6091,35562,31848,9149,4045,86686,4489,91181
SOSR115,7521,49870,48621,15117,7312,128435,6386,134817
SOSR121,1284,11190,13360,4678,2510,33016,1450,34473
SOSR122,958,6829,7449,2582,1453,19266,1023,20291
SOSR131,3001,38727,71495,35606,27435,176260,7150,183411
SOSR179,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0
SOSR201,134539,522407,537778,157345,78986,1431057,46785,1477840
SOSR203,4684,22139,21806,6070,2814,57511,2292,59805
SOSR211,6333,36164,38428,11588,5441,97952,3991,101942
SOSR212,3894,21889,23565,7105,3444,59893,2565,62461
SOSR213,5756,33450,35953,10710,4949,90823,4021,94837
SOSR214,3470,20124,19004,5855,2739,51197,2626,53821
SOSR215,4202,28425,30749,10107,5241,78722,3826,82548
SOSR221,819,7448,9076,3143,1798,22284,1084,23363
SOSR222,463,4359,5541,2153,1147,13662,726,14393
SOSR231,1896,26273,54396,29062,24733,136358,5342,141696
SOSR279,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0
SOSR301,48931,249262,267404,86158,42954,694710,20856,715565
SOSR302,9989,67885,74569,23245,11372,187060,6697,193760
SOSR303,14375,88515,91223,26797,11569,232481,8116,240599
SOSR311,6450,33533,31282,9851,4183,85294,3540,88835
SOSR312,1556,7567,7438,2362,976,19890,749,20639
SOSR313,3866,22331,21142,6659,3060,57057,2232,59285
SOSR314,3112,18604,20982,7108,3318,53127,2298,55417
SOSR315,5322,29551,31457,10875,5433,82642,3775,86419
SOSR321,1995,11442,12890,4872,2617,33814,1498,35309
SOSR322,1237,5751,5847,2007,1046,15892,864,16758
SOSR331,2307,31783,55873,27402,21245,138602,5642,144249
SOSR379,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0
SOSR401,37868,167564,158954,47013,21184,432582,13253,445836
SOSR412,2531,10676,9922,3275,1542,27948,1044,28988
SOSR413,2836,14887,14419,4487,2105,38739,1451,40190
SOSR414,495,3825,3576,1051,505,9447,334,9781
SOSR415,2318,15004,15974,5306,2604,41211,1543,42751
SOSR421,498,4187,4918,1798,962,12353,499,12851
SOSR422,443,2600,3009,1117,576,7749,285,8031
SOSR431,868,10204,19153,10202,8319,48746,1617,50362
SOSR479,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0
SOSR501,33334,218226,264117,88312,46624,650609,18170,668779
SOSR511,1130,8063,10298,3504,1645,24632,741,25377
SOSR512,2097,13694,15607,5675,2891,39968,1519,41485
SOSR513,933,4866,6719,2623,1220,16359,812,17170
SOSR514,502,4053,4871,1642,766,11834,413,12246
SOSR515,1728,9857,11046,3979,2122,28731,1329,30056
SOSR521,1085,4712,5386,2238,1551,14971,702,15673
SOSR522,773,2214,2206,892,515,6597,346,6944
SOSR531,1040,8520,17098,10103,10378,47139,1893,49039
SOSR579,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0
SOSR603,6304,26995,23225,7187,3352,67059,2297,69360
SOSR611,2684,11285,9818,3121,1508,28404,1060,29465
SOSR612,847,3625,2969,1021,451,8914,391,9308
SOSR613,1018,5071,4207,1384,589,12274,540,12810
SOSR614,485,1709,1418,465,214,4284,195,4479
SOSR615,1309,8679,8597,2976,1458,23024,917,23936
SOSR621,321,2453,2911,1001,522,7209,332,7537
SOSR622,163,1558,1704,731,397,4555,194,4748
SOSR631,564,7881,14234,7052,4992,34720,1205,35932
SOSR679,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0
SOSR703,2200,12119,14715,4619,2203,35857,1646,37506
SOSR712,608,2793,2625,930,390,7343,388,7725
SOSR714,164,635,597,193,66,1661,132,1785
SOSR715,1224,1180,642,207,81,3328,250,3577
SOSR721,1015,1025,593,181,113,2925,217,3141
SOSR722,970,848,400,118,83,2418,182,2597
SOSR731,770,1959,2786,1464,1166,8147,576,8721
SOSR779,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0
SOSR802,7833,52966,55586,15490,6977,138852,3501,142353
SOSR822,4,26,38,16,11,91,3,99
SOSR831,0,32,95,45,33,205,7,214
SOSR879,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0
SOSR915,23,143,144,43,32,380,19,399
SOSR921,16,108,127,48,21,323,11,333
SOSR922,9,43,57,16,25,161,10,172
SOSR931,14,138,182,72,31,431,24,454
SOSR979,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0
