SOSR_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SOSR101,776295,2491406,71723,172782,138679,387108,210402,559885,87299,185537,150929,326370,206051,453551,1699,3812,445979,969267,355,588,745,1243,277,599,6204,15770,7578,18201,6074,13895,1446323,4052656,112070,..,1558391,4052656
SOSR102,273431,746582,28563,50193,22686,47500,51248,97698,20226,33913,8619,15022,9429,17235,325,596,38598,66764,1204,1842,1437,2217,47,111,806,1842,3487,6007,1601,3029,368375,920071,40155,..,408530,920071
SOSR111,38937,103970,4937,8257,952,1566,5885,9823,866,1271,87,126,57,83,4,9,1022,1483,69,101,35,49,9,23,77,177,184,345,436,656,46467,116285,4505,..,50974,116285
SOSR112,135774,350142,14429,24130,4624,8434,19052,32563,10403,16657,1282,2044,1351,2232,41,69,13081,21006,461,687,588,889,34,59,657,1666,1742,3303,1096,2130,170737,409141,20469,..,191204,409141
SOSR113,85765,215522,8965,14857,4409,8422,13374,23278,5329,8721,767,1213,976,1594,27,46,7099,11578,528,788,689,1046,51,89,216,504,1476,2425,527,1051,108244,253852,20789,..,129034,253852
SOSR114,74441,185469,5668,9429,2091,4297,7760,13724,6184,9576,391,645,119,176,19,28,6711,10432,684,1051,567,837,52,98,311,646,1624,2634,647,1285,91181,213544,13291,..,104468,213544
SOSR115,118355,292772,5434,8803,1745,3535,7181,12333,4918,7394,265,498,56,109,39,71,5281,8074,957,1494,1041,1654,102,179,922,2023,3024,5353,980,2115,134817,320646,25136,..,159959,320646
SOSR121,31667,81373,768,1370,338,680,1104,2046,622,986,76,136,8,15,10,24,720,1151,152,265,332,551,17,39,150,293,645,1148,334,670,34473,86391,7941,..,42414,86391
SOSR122,18805,45971,287,547,72,146,354,692,280,456,3,3,5,16,5,11,293,483,188,323,228,377,22,31,107,219,546,954,285,619,20291,48715,5559,..,25848,48715
SOSR131,176355,476282,975,2158,108,278,1079,2433,487,931,33,49,17,19,69,141,605,1143,1022,1773,1035,1852,708,1506,511,1396,3279,6526,2096,5125,183411,491504,34834,..,218240,491504
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR201,978483,2876730,155370,335212,103957,268391,259326,603602,87360,166868,49142,85930,93048,173768,329,655,229883,427219,549,804,1389,1907,114,180,3689,8525,5735,11422,4412,9670,1477840,3928640,156535,..,1634376,3928640
SOSR203,49368,125750,6320,10271,1361,2729,7684,12993,1891,2974,107,157,186,307,4,7,2189,3451,46,72,131,174,0,4,216,621,399,872,170,350,59805,143416,6381,..,66188,143416
SOSR211,86861,224709,11080,20001,1291,2889,12374,22890,1967,3067,121,196,23,32,3,7,2112,3296,79,108,49,75,6,8,130,296,255,491,337,666,101942,252046,10854,..,112796,252046
SOSR212,52524,138083,5630,9238,607,1179,6236,10414,3144,4844,104,127,0,0,0,3,3250,4976,86,139,110,170,4,19,46,125,255,453,187,361,62461,154283,6739,..,69198,154283
SOSR213,82441,207456,7441,11406,976,1919,8418,13323,3117,4562,67,123,15,21,4,7,3204,4713,151,212,158,232,11,20,103,223,420,676,354,701,94837,226881,15353,..,110195,226881
SOSR214,47974,114196,2699,4121,216,424,2914,4543,2074,2994,42,62,43,54,9,13,2168,3122,157,202,207,290,3,14,86,189,459,696,304,601,53821,123150,11494,..,65311,123150
SOSR215,75762,183044,2703,3916,248,512,2950,4432,2305,3222,27,40,13,15,7,17,2352,3298,329,463,218,308,16,37,495,1068,1055,1872,435,935,82548,193584,23359,..,105908,193584
SOSR221,22162,52164,299,457,37,76,343,535,208,264,0,0,0,0,7,10,215,276,261,347,106,156,21,44,125,265,513,811,135,282,23363,54067,9505,..,32869,54067
SOSR222,13605,32146,159,308,33,81,191,390,196,321,18,38,37,107,0,0,254,470,56,93,16,38,12,20,122,264,197,416,146,315,14393,33730,6773,..,21161,33730
SOSR231,137775,361981,361,830,119,272,480,1104,330,565,5,10,66,112,21,35,419,721,536,840,807,1269,174,354,289,679,1802,3131,1224,2877,141696,369815,31639,..,173336,369815
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR301,534804,1566585,23693,42503,52407,120513,76100,163016,34943,59982,30112,55357,33437,63696,152,311,98640,179340,1229,1766,1367,1961,103,177,723,1911,3415,5820,2601,5296,715565,1920058,59476,..,775038,1920058
SOSR302,111081,328327,15080,30056,25909,60676,40983,90732,8072,14771,13237,23992,18111,34221,39,69,39467,73051,817,1206,412,627,17,53,74,197,1318,2081,905,1712,193760,495905,22819,..,216584,495905
SOSR303,174732,478679,19519,32379,12872,24802,32387,57184,14519,25443,7418,13712,8086,15092,52,86,30070,54330,1085,1770,758,1165,35,75,248,653,2133,3664,1281,2341,240599,596201,32683,..,273285,596201
SOSR311,72738,188808,6491,10703,2998,5198,9485,15904,4067,6534,248,384,592,1014,11,28,4920,7975,689,1109,328,519,28,62,81,220,1123,1905,562,1027,88835,215615,11944,..,100780,215615
SOSR312,17445,45201,918,1382,639,1240,1555,2624,1058,1620,123,183,224,362,0,0,1408,2160,117,181,43,85,10,12,10,23,171,300,52,86,20639,50374,3847,..,24479,50374
SOSR313,48547,127737,4154,6671,1858,3157,6017,9830,3072,4746,344,581,289,516,11,13,3707,5853,519,809,80,113,31,60,86,200,707,1184,312,686,59285,145285,8941,..,68227,145285
