SOSR_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SOSR101,678215,178078,377339,5863,4047,1243535,80383,26286,55096,1242,736,163749,17699,6034,13539,479,1284,39041,776295,210402,445979,7578,6074,1446323
SOSR102,229235,36610,27180,1981,962,295971,38068,12758,9832,1292,302,62258,6132,1883,1583,207,337,10142,273431,51248,38598,3487,1601,368375
SOSR111,32399,3954,625,117,192,37291,5698,1725,344,62,136,7959,840,205,59,10,103,1218,38937,5885,1022,184,436,46467
SOSR112,110841,12563,8301,984,674,133354,21566,5673,4170,641,218,32257,3371,818,613,111,207,5121,135774,19052,13081,1742,1096,170737
SOSR113,66502,8592,4165,715,332,80305,16823,4211,2541,545,117,24238,2439,564,398,224,76,3701,85765,13374,7099,1476,527,108244
SOSR114,57286,5130,3726,882,410,67437,14934,2336,2599,626,144,20647,2211,295,385,111,96,3093,74441,7760,6711,1624,647,91181
SOSR115,90852,4534,2897,1753,640,100675,23968,2312,2041,1094,213,29627,3535,342,351,178,127,4521,118355,7181,5281,3024,980,134817
SOSR121,25286,791,388,413,250,27118,5533,266,290,198,47,6330,854,49,42,38,36,1015,31667,1104,720,645,334,34473
SOSR122,14265,232,130,321,202,15141,3946,108,114,188,43,4402,597,17,52,41,39,747,18805,354,293,546,285,20291
SOSR131,143455,827,439,1999,1490,148206,28465,220,138,1033,393,30245,4435,33,27,242,211,4960,176355,1079,605,3279,2096,183411
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,845759,218577,194116,4167,3195,1265821,109487,33610,28621,1238,523,173475,23231,7147,7146,331,690,38542,978483,259326,229883,5735,4412,1477840
