SOSR_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
SOSR101,134945,4775,200,139926,1795,291,23,35,2143,348,39,388,2532,193,3,2729,3924,611,31,106,4675,313,96,407,5082,233,14,5328,5721,904,56,135,6816,665,135,800,7617,422,19,8056,122568,13199,1487,1858,139115,2763,682,3445,142561,5192,223,147978,43383,8479,744,1551,54158,1864,508,2368,56520,10010,260,66794,243,63,3,231,530,10,10,21,549,79,629,1255,166196,21737,2239,3637,193804,4637,1193,5833,199637,15278,1113,216031,29451,3050,223,205,32925,758,193,953,33878,1775,32,35688,33059,3797,308,328,37487,525,124,646,38134,1217,41,39392,849,145,187,16,1190,24,4,26,1215,75,3,1289,405,71,12,430,915,18,7,22,938,78,31,1047,63760,7056,726,969,72518,1320,326,1650,74164,3149,107,77417,923,174,11,20,1134,193,26,216,1346,93,0,1442,1778,347,19,43,2183,166,84,250,2436,165,7,2613,2694,520,32,66,3313,356,106,465,3779,263,13,4050,66457,7579,761,1034,75833,1681,435,2114,77950,3405,114,81469,19275,3959,328,696
SOSR102,30407,1179,29,31616,269,51,3,8,328,35,0,34,361,31,0,399,843,100,12,12,971,71,19,86,1052,53,0,1114,1112,154,18,16,1293,103,16,120,1421,86,3,1507,27173,3130,495,355,31152,519,148,670,31826,1273,28,33123,6958,981,192,169,8303,277,65,345,8647,1445,23,10110,42,13,3,36,94,0,0,0,94,13,62,171,34170,4129,689,558,39544,805,219,1018,40569,2726,117,43405,5741,659,85,41,6525,107,30,139,6667,376,3,7046,9023,978,134,76,10217,125,41,161,10376,319,10,10711,249,45,70,3,361,12,6,15,382,18,0,393,81,13,0,84,173,0,0,0,175,13,6,192,15092,1694,291,207,17280,251,78,324,17602,722,22,18345,176,33,5,3,220,8,3,11,229,19,0,255,385,40,4,3,434,36,10,40,475,40,0,516,561,72,7,10,654,45,10,58,709,63,0,766,15655,1765,298,214,17927,291,88,378,18309,788,19,19116,3205,444,97,82
SOSR111,4067,141,12,4216,37,10,0,0,48,13,0,13,61,9,0,72,118,15,0,0,136,11,3,12,147,6,3,160,159,29,0,3,185,26,3,29,211,14,3,232,3693,376,74,42,4184,80,5,94,4273,151,14,4442,1011,136,30,34,1209,55,8,69,1276,168,4,1456,6,0,0,3,10,0,0,0,10,0,11,23,4710,518,104,77,5405,141,16,161,5566,326,31,5924,791,61,13,4,871,17,7,18,895,43,0,938,1142,100,22,11,1277,21,3,31,1305,40,3,1342,42,7,13,0,57,0,0,0,59,6,0,66,7,0,0,10,20,0,0,0,20,0,0,20,1984,168,45,24,2223,43,7,52,2269,89,3,2364,21,10,0,0,33,3,0,9,35,0,0,37,54,4,0,0,62,4,0,5,66,3,0,76,77,12,0,3,93,13,3,16,105,8,0,114,2061,178,50,28,2315,47,9,61,2376,97,3,2472,445,78,8,14
SOSR112,13369,610,13,13997,113,30,0,0,148,34,3,38,184,28,0,214,270,42,4,13,324,30,4,36,359,18,0,383,381,73,5,16,474,63,9,78,550,46,4,599,11747,1478,222,163,13615,240,69,308,13923,654,20,14593,2991,474,72,79,3616,165,34,202,3819,768,10,4596,14,0,0,6,23,0,0,0,19,8,29,55,14756,1949,295,250,17249,410,102,508,17759,1427,64,19247,2936,322,38,26,3317,60,17,78,3393,179,3,3580,3420,480,53,38,3989,48,14,65,4054,141,6,4205,108,15,48,0,171,3,0,3,174,14,0,188,33,6,3,36,77,0,0,0,75,5,3,85,6494,825,139,99,7549,113,39,151,7702,345,11,8055,68,6,0,3,80,27,3,34,115,10,0,129,124,13,5,7,147,12,3,20,166,22,0,184,193,21,3,14,229,42,5,52,277,32,0,312,6686,846,142,108,7785,156,39,200,7983,371,15,8369,1239,218,32,31
SOSR113,6679,362,17,7062,63,12,0,4,81,37,3,35,122,22,0,141,200,15,9,9,228,25,3,27,261,15,0,279,266,28,11,13,315,63,3,71,380,37,0,418,5835,795,112,114,6857,169,44,207,7068,400,19,7484,1859,331,47,65,2310,167,24,190,2501,585,10,3095,14,5,0,3,18,0,0,0,18,4,29,53,7708,1130,161,183,9187,339,63,397,9582,993,57,10633,1311,170,24,5,1519,35,10,44,1561,81,3,1637,1945,282,31,16,2281,37,10,43,2321,124,3,2453,60,13,22,0,93,0,0,0,94,4,0,97,19,8,0,28,54,0,0,3,50,3,3,60,3339,473,73,54,3936,68,18,91,4026,211,13,4249,46,11,0,0,58,23,0,23,80,5,0,89,87,11,0,0,100,9,0,9,105,14,0,119,130,19,0,3,154,35,0,35,186,20,0,208,3471,496,73,53,4095,105,18,120,4214,233,13,4458,848,154,23,33
SOSR114,6610,265,6,6887,55,15,0,0,77,21,3,24,97,16,0,114,142,23,0,8,174,19,3,20,192,9,0,201,196,41,0,8,246,38,3,42,290,22,0,316,5656,810,139,124,6727,136,38,177,6907,288,6,7197,1593,265,60,56,1976,115,13,126,2098,375,6,2482,19,0,0,3,20,0,0,0,20,0,30,54,7265,1081,195,178,8725,251,51,297,9026,663,46,9732,1275,149,19,4,1448,23,4,32,1479,88,0,1565,1701,245,33,16,1991,13,7,24,2015,89,0,2103,46,14,19,0,74,0,0,0,78,4,0,81,17,3,0,29,53,3,0,3,58,3,0,66,3038,411,69,52,3571,43,14,55,3625,187,4,3809,35,13,0,0,40,15,0,15,62,8,0,71,71,18,0,5,89,11,0,11,98,3,0,104,99,24,0,8,129,29,0,29,161,16,0,177,3144,437,69,55,3703,70,14,82,3786,199,4,3988,578,109,18,13
SOSR115,10174,461,16,10651,82,23,0,0,107,39,3,38,150,24,0,171,214,34,3,9,256,9,14,17,275,24,0,298,294,58,0,9,367,44,11,59,424,53,0,476,8790,1201,194,162,10350,199,46,248,10593,512,21,11124,2472,421,79,95,3066,145,32,180,3238,568,13,3822,22,9,0,6,43,0,0,0,38,5,37,82,11286,1626,267,262,13454,345,78,426,13873,1091,66,15029,2074,259,43,23,2398,31,8,38,2439,136,0,2574,2761,444,52,17,3276,51,10,60,3333,136,8,3474,79,21,30,0,133,3,0,3,141,8,0,146,40,0,0,48,85,3,0,3,88,15,0,105,4960,722,132,88,5895,85,13,98,5999,293,11,6299,52,4,0,3,63,29,0,26,91,11,0,105,105,21,7,9,134,4,4,9,146,7,0,151,152,24,6,9,193,34,4,38,231,24,0,258,5112,748,138,96,6095,114,24,142,6235,314,11,6558,1036,175,33,43
SOSR121,2965,157,0,3128,23,7,0,0,29,13,3,12,45,7,0,48,86,12,3,0,93,0,3,6,98,10,3,112,103,14,3,0,126,13,3,19,141,13,3,159,2527,404,71,53,3051,45,13,55,3109,174,7,3287,644,113,12,14,781,41,3,45,825,204,0,1029,6,3,0,3,16,0,0,0,16,0,15,28,3183,517,83,64,3848,86,15,97,3948,380,22,4342,631,88,10,3,732,14,3,18,746,38,3,787,891,150,16,15,1067,16,0,16,1090,40,0,1130,30,0,4,0,43,0,0,0,42,0,0,42,3,0,0,14,17,0,0,0,17,3,0,21,1565,239,35,31,1863,35,3,36,1898,81,3,1982,17,0,0,0,16,12,3,10,33,0,0,31,25,0,3,3,30,0,0,0,26,3,0,33,38,4,3,3,44,9,3,16,58,3,0,67,1598,240,36,30,1906,45,5,49,1954,89,3,2050,266,68,5,8
SOSR122,1505,89,3,1597,12,3,0,0,14,5,0,5,17,8,0,24,27,7,0,0,34,3,0,4,39,0,3,44,37,9,0,0,51,8,0,12,61,8,3,67,1229,229,32,36,1515,34,17,47,1563,100,3,1668,395,62,10,8,471,27,7,32,502,109,0,617,3,0,0,0,9,0,0,0,9,0,4,10,1625,289,40,40,1993,62,17,77,2074,212,10,2290,302,54,6,3,364,0,3,3,370,31,0,405,378,73,9,5,472,8,4,12,483,32,0,515,14,3,3,0,27,0,0,0,27,0,0,24,5,0,0,0,7,3,0,3,11,0,0,14,707,130,20,11,865,14,4,16,886,63,0,954,10,4,0,0,9,3,0,3,14,3,0,14,5,3,0,0,8,0,3,6,14,0,0,17,18,8,0,0,21,3,3,8,29,7,0,33,724,140,20,11,892,18,7,25,912,69,0,982,161,32,9,3
SOSR131,19557,701,35,20296,128,17,0,7,153,30,0,29,179,21,0,199,270,65,6,20,360,23,9,25,386,22,3,412,393,82,12,24,510,48,6,59,560,44,3,613,17255,1953,309,354,19866,202,54,250,20121,744,42,20905,4143,604,113,158,5020,167,30,199,5213,902,21,6140,58,9,3,14,82,3,0,3,86,12,86,188,21459,2566,418,521,24970,369,84,452,25418,1654,156,27234,4730,440,56,49,5280,48,14,63,5342,237,0,5575,5989,818,103,70,6983,91,16,101,7085,235,13,7328,166,39,54,0,262,0,0,0,264,14,0,283,82,13,3,109,205,5,0,5,211,18,5,231,10970,1312,217,242,12733,138,28,166,12901,504,18,13422,63,21,0,0,80,20,0,22,103,15,0,124,140,17,5,7,168,12,7,22,186,18,0,210,200,40,3,3,254,33,4,38,294,37,0,330,11170,1347,217,242,12980,177,30,211,13191,543,18,13756,2064,373,76,66
