SOSR_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SOSR101,23091,670,255,920,24005,4181,103,28289,191287,19595,1783,1374,214033,4502,1171,5671,219712,12123,203,232032,216311,26120,2155,1900,246485,3343,806,4151,250629,8042,240,258913,20829,2101,2609,248,25781,308,33,332,26118,710,26,26858,3106,446,78,3261,6889,116,48,171,7056,497,273,7819,431524,48260,6629,6777,493190,8268,2062,10327,503516,21374,740,525625,6576,1110,89,153,7926,1273,150,1423,9351,734,12,10097,11949,2227,123,317,14613,1045,495,1537,16157,1037,42,17232,18520,3335,220,470,22545,2321,644,2958,25500,1771,57,27324,450053,51591,6844,7241,515729,10586,2706,13288,529017,23144,789,552952,158221,31948,3103,5458,198729,6854,2104,8962,207685,41084,858,249630,865,233,13,870,1978,40,15,62,2035,275,2210,4522,609132,83772,9961,13572,716434,17481,4827,22311,738744,64499,3856,807095
SOSR102,2941,62,24,89,3028,465,8,3501,32057,4076,494,207,36842,691,209,900,37735,2349,40,40127,56768,6203,794,432,64197,769,199,966,65169,2147,46,67362,5008,598,721,68,6396,89,29,118,6514,196,12,6714,558,56,19,507,1141,30,0,28,1170,78,33,1283,94397,10931,2024,1218,108573,1578,436,2017,110591,4760,132,115485,976,163,16,25,1182,132,24,156,1336,124,0,1464,2469,305,36,36,2850,200,49,249,3103,184,8,3288,3450,471,55,59,4035,332,75,406,4438,309,5,4754,97847,11399,2080,1277,112605,1910,510,2424,115028,5068,136,120234,25049,3581,727,656,30007,1021,280,1297,31307,5377,78,36762,151,40,9,90,283,3,0,3,291,39,277,606,123044,15025,2814,2024,142900,2939,786,3725,146626,10487,487,157600
SOSR111,247,6,3,6,255,36,0,291,4372,435,64,29,4899,79,18,99,5000,278,9,5282,7480,737,113,57,8388,128,20,148,8529,232,11,8773,688,72,93,4,857,13,0,15,869,10,0,882,83,5,0,61,150,8,0,8,150,3,6,164,12623,1256,272,147,14298,227,38,264,14559,516,24,15101,129,39,3,7,177,40,7,45,224,18,0,244,395,46,3,3,456,27,15,44,496,29,6,528,532,85,7,9,638,70,14,86,727,40,6,773,13153,1343,275,160,14928,297,58,350,15281,562,32,15877,3550,512,109,83,4252,198,52,253,4510,621,16,5142,21,0,0,17,34,0,0,0,34,3,43,81,16716,1853,386,267,19222,499,106,608,19824,1182,84,21098
SOSR112,438,7,3,14,446,82,0,527,15099,1806,215,112,17230,307,102,408,17636,1026,22,18684,21547,2878,303,211,24939,265,76,339,25273,895,21,26196,1966,243,317,20,2534,29,4,39,2576,89,7,2671,236,39,0,204,483,3,3,4,491,34,19,540,38838,4960,838,548,45189,600,190,787,45977,2044,63,48088,373,96,7,7,480,123,12,131,611,66,4,685,794,110,15,32,947,79,17,102,1046,87,4,1134,1165,208,17,37,1428,206,29,234,1659,156,3,1822,40002,5166,860,584,46615,806,217,1027,47638,2202,68,49911,10318,1687,244,275,12529,582,121,704,13228,2679,44,15954,61,9,0,35,105,0,5,5,106,21,102,232,50388,6864,1105,893,59245,1385,346,1736,60977,4894,218,66095
SOSR113,301,7,0,4,304,59,0,364,6796,924,123,70,7909,149,34,182,8088,538,14,8636,11986,1641,167,122,13918,223,64,290,14211,681,28,14918,992,132,160,23,1301,8,12,18,1320,57,0,1378,136,27,3,153,317,5,4,8,327,17,12,353,19904,2723,448,367,23446,388,114,499,23947,1290,53,25283,217,51,3,8,283,107,7,116,397,56,3,456,555,72,22,17,658,79,16,96,749,55,0,808,768,121,26,25,940,187,24,212,1147,116,3,1264,20669,2847,471,394,24382,571,139,713,25095,1402,51,26551,6471,1180,204,234,8086,525,82,608,8691,2022,39,10756,49,16,0,10,82,0,0,0,82,14,94,195,27195,4046,676,634,32547,1101,220,1317,33871,3440,189,37500
SOSR114,176,0,0,3,180,27,0,209,6773,916,99,41,7831,108,38,147,7977,430,3,8411,10667,1521,187,132,12500,120,47,172,12669,513,25,13202,916,138,171,14,1241,18,5,25,1261,38,0,1298,153,26,11,201,385,9,0,9,391,23,4,425,18507,2597,470,380,21954,261,91,344,22301,1006,32,23340,178,54,0,12,238,76,6,80,322,52,0,373,409,97,6,18,538,52,4,61,596,32,0,623,589,151,11,28,776,129,12,143,919,84,0,997,19091,2748,477,410,22730,383,102,489,23220,1089,32,24339,5145,915,188,174,6415,369,53,422,6842,1345,24,8209,50,16,3,14,81,0,0,3,82,0,108,188,24288,3680,670,596,29227,754,156,914,30134,2432,169,32735
SOSR115,337,11,0,11,347,52,3,409,10726,1364,185,109,12377,169,45,215,12593,772,7,13370,16499,2425,292,164,19373,280,70,345,19722,776,28,20527,1437,166,277,21,1900,32,0,32,1934,77,3,2012,237,27,12,273,549,24,3,24,574,49,16,634,28899,3980,764,562,34206,504,112,621,34826,1667,54,36547,297,60,7,10,375,116,5,116,495,80,3,578,590,100,12,25,725,29,24,51,774,54,0,834,886,157,17,39,1099,144,22,171,1274,132,7,1410,29783,4142,783,603,35305,646,140,786,36097,1800,58,37960,8361,1419,278,321,10376,473,86,564,10937,1912,38,12893,94,13,0,31,138,5,0,3,146,21,118,284,38236,5571,1057,951,45822,1123,233,1359,47175,3735,215,51133
SOSR121,132,8,0,3,137,16,4,156,3148,456,57,37,3693,50,9,66,3752,232,3,3990,4970,765,96,76,5904,77,11,88,5996,264,0,6257,382,54,79,0,510,10,0,10,522,10,0,536,34,8,3,71,117,4,0,4,116,16,3,133,8533,1279,228,183,10224,147,25,170,10390,519,10,10923,64,21,4,3,96,35,6,43,138,16,0,157,195,23,10,7,232,10,6,11,247,25,4,274,260,46,12,12,327,46,9,57,383,45,4,426,8791,1332,243,190,10551,188,34,225,10774,565,16,11354,2171,412,52,68,2697,134,23,159,2858,706,3,3572,27,3,3,4,37,3,0,3,43,3,47,92,10987,1746,291,262,13290,328,59,385,13670,1280,68,15015
SOSR122,71,0,0,0,68,10,0,82,1555,248,25,11,1844,9,11,18,1858,148,3,2010,2289,409,45,36,2772,42,17,59,2830,153,3,2985,180,32,48,4,260,3,4,3,268,11,0,277,26,8,0,32,66,6,0,6,71,3,0,77,4042,696,116,81,4935,59,25,84,5021,324,4,5349,34,8,0,0,44,21,0,21,61,18,0,87,75,18,0,0,97,12,8,13,112,4,3,116,113,25,0,0,138,30,8,38,177,22,3,201,4153,718,116,85,5075,91,36,118,5193,347,11,5551,1303,217,38,41,1596,91,18,104,1698,388,3,2100,17,3,0,0,22,0,0,0,22,0,13,32,5472,942,158,125,6696,175,47,227,6918,740,29,7678
SOSR131,1085,20,3,23,1112,108,0,1211,23238,2273,333,191,26033,239,76,315,26339,1190,16,27551,32626,4246,523,359,37759,337,84,415,38173,1273,58,39507,2335,297,400,42,3067,18,3,22,3094,109,4,3205,496,50,17,621,1178,8,0,12,1194,82,19,1292,58693,6868,1267,1209,68035,605,158,761,68798,2653,102,71553,358,78,7,5,452,105,7,112,565,87,0,649,781,151,27,32,990,71,27,100,1087,92,4,1186,1139,226,33,37,1439,178,39,216,1654,177,5,1841,59834,7093,1304,1248,69479,783,196,977,70454,2831,109,73396,14107,2203,461,516,17285,535,129,657,17947,3258,81,21278,206,43,7,46,306,4,0,4,309,19,259,580,74142,9342,1774,1810,87064,1319,321,1643,88708,6106,443,95260
