SOSR_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
SOSR101,4749,61522,2591,14993,7239,2645,392,1484,683,96300,6633,49821,599,9077,5894,1954,252,982,523,75735,39231,56040,3046,15088,74934,21448,1805,6235,2958,220793,12923,42574,1983,29196,20797,6091,689,2872,1582,118702,6389,20102,2180,3528,6879,4876,286,905,541,45681,3502,1405,8571,6912,6153,4054,442,2045,433,33523,83,100,55,209,167,154,19,159,41,990,1532,2962,364,1228,2309,1031,164,411,285,10274,1045,1910,497,1898,2615,1490,286,1084,2433,13266,86044,267783,26982,87108,139509,48936,5425,19256,10532,691567,8621,23102,4629,3133,6091,2909,1230,1781,694,52181,13844,40903,8444,2630,7461,3967,3002,2939,1448,84635,29187,44379,63337,5303,12178,7912,15908,12955,2794,193956,14071,12007,35413,1542,3655,2266,3162,6113,976,79218,2273,2749,4981,883,1555,913,1024,2159,234,16766,7499,86914,3911,19373,8311,3502,1289,2434,1063,134289,9554,63386,1450,10637,6773,2567,1044,1627,709,97743,92373,116412,11141,22757,99479,40476,11372,14485,6194,414692,24606,72895,4766,41514,27209,9356,3396,5674,2748,192162,10489,35302,5980,5349,9036,7308,1526,2430,930,78348
SOSR102,1019,16767,944,5888,1812,736,93,399,184,27851,1423,12958,142,2731,1354,415,45,149,114,19333,5297,5908,616,2822,16444,4141,214,1176,373,36993,1760,6827,485,9907,3737,1335,126,782,296,25254,642,2149,358,627,1085,707,37,170,43,5824,853,356,3081,2232,1631,1253,85,721,94,10310,9,22,3,34,25,21,4,22,4,144,168,362,67,183,328,95,20,69,41,1329,165,376,162,574,583,449,38,366,418,3126,12365,49050,7240,25776,28637,9833,895,4503,1676,139980,909,3354,892,540,677,304,115,261,80,7129,1106,3073,973,258,747,362,157,336,93,7108,5822,7628,21689,1678,2308,1761,5408,4061,706,51063,3198,1331,12192,547,733,551,1534,2537,266,22893,533,886,1782,300,418,299,435,935,67,5647,1612,22645,1310,7278,2000,893,290,624,252,36911,2205,17463,410,3212,1565,540,242,313,165,26118,11577,11248,1722,3863,19208,6573,1318,2168,685,58366,3049,10127,945,13761,4577,1754,545,1277,459,36498,1058,3689,979,926,1335,1057,200,473,86,9813
SOSR111,113,1946,143,791,259,113,20,71,20,3470,186,1660,22,345,145,50,7,14,7,2440,646,710,89,383,2282,547,43,182,40,4917,152,645,46,1348,404,176,31,128,14,2936,37,198,24,60,86,59,7,18,0,494,119,32,479,330,196,208,22,144,11,1538,0,4,0,3,8,4,0,8,0,30,11,20,9,19,31,12,5,8,3,126,24,39,22,69,47,53,5,58,48,363,1402,5609,1011,3455,3638,1329,179,752,160,17529,121,305,105,54,60,27,21,37,10,739,87,223,100,27,75,53,24,49,8,649,750,804,3843,172,293,220,1027,555,112,7779,311,103,1272,57,72,69,238,261,25,2411,108,133,198,50,63,50,79,126,7,805,168,2494,197,943,273,132,61,89,28,4386,300,2176,57,397,168,59,53,40,8,3263,1373,1305,256,500,2568,831,266,324,79,7504,259,935,90,1763,469,222,96,194,31,4055,55,304,81,87,109,89,36,39,8,803
SOSR112,516,7760,438,2660,825,413,43,288,67,13024,788,6271,83,1358,608,203,18,115,37,9482,2055,2160,283,1260,7204,2003,89,719,143,15926,764,3032,188,4866,1455,588,47,496,134,11568,258,858,120,340,371,266,20,105,19,2356,425,137,1424,1106,677,615,34,454,28,4912,6,11,0,22,10,16,3,20,0,83,84,129,27,97,137,50,4,27,12,565,108,185,70,299,259,256,18,270,146,1611,5408,21759,3218,12396,12199,4740,404,2893,627,63641,363,1297,377,182,229,119,40,114,30,2752,284,651,396,128,276,175,70,197,31,2213,1952,1927,8712,701,740,785,2118,1920,227,19075,1452,511,4603,251,222,268,551,903,82,8848,556,705,999,244,322,289,296,674,30,4110,815,10369,575,3353,907,486,132,423,101,17162,1236,8454,225,1631,689,263,117,186,62,12858,4438,4152,797,1769,8297,3158,569,1286,247,24706,1299,4797,403,6675,1760,806,218,800,181,16932,456,1472,349,465,465,382,85,228,43,3943
SOSR113,243,3349,239,1584,399,197,32,144,45,6234,331,2949,32,758,272,100,28,81,25,4566,1034,936,160,694,3678,1225,91,465,69,8360,341,1186,98,2683,678,301,37,270,47,5637,81,279,62,90,152,95,8,55,13,828,198,81,833,675,333,359,46,241,19,2794,0,3,4,13,6,4,0,15,0,47,28,43,21,34,45,22,4,22,13,236,53,84,40,190,149,183,18,135,96,959,2510,9363,1766,6908,6024,2649,351,1631,340,31550,158,401,146,83,94,43,23,71,15,1033,127,212,188,58,107,85,42,95,11,922,1278,1155,6516,379,458,446,1988,1160,188,13558,785,157,2527,148,119,137,458,608,59,5002,255,229,460,97,112,118,200,332,38,1836,378,4350,307,1945,434,225,90,196,58,7983,549,3912,99,879,312,126,100,138,41,6150,2060,1667,430,872,4087,1732,375,741,109,12078,535,1758,192,3461,780,390,134,401,84,7741,146,474,149,129,179,136,39,94,21,1366
SOSR114,236,2824,205,1272,363,197,23,126,41,5289,377,2974,38,647,231,84,13,73,30,4466,901,858,163,587,3037,997,60,359,84,7048,331,1063,98,2427,659,272,28,256,59,5194,129,337,47,116,147,122,16,51,9,968,211,67,745,565,302,268,23,227,28,2433,3,0,0,5,6,5,0,7,0,33,32,53,15,56,43,19,4,22,5,244,76,111,60,223,169,168,17,133,103,1065,2500,8727,1624,6078,5286,2276,224,1432,377,28524,156,402,130,82,117,41,17,47,5,1003,109,213,154,47,89,44,26,85,8,771,1154,908,4858,298,358,368,1326,1156,164,10591,780,215,2353,78,120,131,344,568,60,4647,405,354,527,92,151,130,190,411,36,2292,336,3646,251,1535,390,221,61,188,59,6692,574,3910,95,748,274,119,53,112,40,5923,1837,1546,352,753,3413,1462,283,595,135,10374,520,1583,206,3111,771,329,114,386,93,7113,207,552,146,162,167,160,32,102,9,1548
SOSR115,389,4247,318,2001,592,288,37,249,48,8168,592,4645,65,1022,431,121,21,107,45,7047,1400,1161,191,824,4489,1314,95,500,98,10075,537,1721,173,3527,985,387,52,359,85,7822,166,491,97,196,268,145,14,86,12,1469,299,95,1058,775,480,403,39,326,37,3511,6,7,0,11,9,6,3,13,4,60,55,90,18,82,90,33,6,35,14,415,112,157,83,320,262,198,21,207,128,1498,3909,13328,2447,9051,8109,3146,378,2187,492,43044,237,654,206,124,162,89,33,78,21,1609,161,364,201,68,135,75,32,94,19,1157,1751,1262,7779,504,579,554,2349,1579,251,16594,1207,297,3905,171,177,185,557,822,87,7410,614,486,926,193,230,186,348,733,47,3768,547,5356,391,2430,636,317,93,332,73,10173,900,6238,163,1160,483,153,99,186,58,9438,2753,2059,460,1069,5000,1855,453,803,159,14606,887,2564,311,4693,1155,495,164,535,124,10915,262,820,252,268,306,196,67,175,23,2369
SOSR121,117,1292,113,501,173,77,16,58,18,2366,183,1270,21,282,134,19,7,18,8,1930,406,344,61,237,1350,366,28,139,29,2957,158,508,36,936,299,100,18,86,16,2161,51,134,30,52,72,51,5,23,3,421,68,23,299,207,125,111,15,79,9,934,0,4,0,0,3,3,0,0,0,7,11,32,3,11,25,4,4,3,9,107,31,54,25,83,72,54,14,49,41,428,1135,3862,731,2384,2411,851,122,556,149,12203,80,221,72,35,49,20,7,27,4,521,42,84,34,25,58,17,14,23,5,293,563,391,2224,116,189,141,666,430,82,4796,353,90,1175,46,60,60,165,221,35,2198,212,116,231,50,73,61,92,180,19,1040,159,1630,151,616,184,87,31,77,32,2975,291,1721,54,322,148,28,17,32,12,2631,812,641,159,298,1477,540,115,211,47,4310,263,718,75,1268,344,117,44,123,34,2979,77,221,68,68,91,70,15,48,3,661
SOSR122,66,653,58,270,99,38,13,38,10,1234,106,594,9,132,63,14,0,14,10,945,233,178,33,116,718,186,7,73,25,1567,90,263,28,491,149,69,8,53,11,1160,21,97,15,33,35,21,6,14,4,236,60,15,140,116,87,35,10,43,6,515,0,0,0,4,0,0,0,0,0,7,15,10,0,11,18,9,3,8,3,68,26,26,13,46,50,32,3,32,22,247,688,1963,370,1260,1307,446,63,345,88,6522,47,91,26,24,38,16,5,17,4,280,30,61,36,7,21,9,8,15,4,177,294,210,1230,69,100,85,357,297,47,2679,213,47,582,32,25,35,103,170,16,1220,154,82,134,30,39,38,59,132,14,675,88,806,71,315,103,38,20,54,8,1506,163,813,26,151,78,25,11,25,12,1305,463,315,66,145,790,271,54,115,36,2254,148,382,46,685,190,86,20,82,19,1654,53,159,30,37,43,26,12,30,10,400
SOSR131,1686,7720,746,2359,1399,412,92,425,125,14974,1876,7352,140,1311,977,176,38,213,81,12159,3846,2594,349,1160,8352,1677,162,725,203,19060,1453,2975,266,4148,1862,439,75,502,142,11859,464,895,183,284,500,248,25,137,42,2771,646,132,1346,941,898,518,80,438,68,5066,22,14,0,16,19,10,0,10,4,98,148,195,36,95,169,48,23,45,31,788,468,306,155,413,554,313,46,321,256,2829,12480,24015,4209,11239,16162,4322,723,3648,1052,77846,991,1467,409,209,395,122,58,192,56,3900,487,659,270,73,283,88,44,115,51,2071,6274,2459,12802,727,1003,885,3998,2661,489,31309,3418,559,5939,229,314,309,980,1351,187,13283,6821,1411,1728,414,862,505,758,2043,209,14752,2156,9899,864,2843,1473,452,160,517,169,18527,2580,9191,321,1504,1053,229,153,321,104,15456,7432,4490,773,1458,9095,2605,594,1154,341,27935,2617,4392,470,5515,2119,570,220,725,232,16869,723,1382,428,381,553,333,86,274,64,4236
