SOSR_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOSR101,17700,24834,10181,11902,17664,7967,3764,4329,1409,99762,20619,22874,14772,23549,25418,11884,4553,6150,1959,131772,31416,17200,103939,31409,34120,17960,20190,20521,4742,281507,1884,1479,1443,2466,5334,2587,1301,1913,238,18649,5265,4482,3414,6370,11540,4946,2932,3435,680,43049,3094,5811,2125,1970,4440,1948,1270,1701,553,22920,3325,5319,3516,3577,5059,2969,2694,3806,4440,34693,226210,509466,170711,127366,196168,91249,50273,61916,25236,1458609
SOSR102,2989,5350,1855,3268,3208,1129,407,618,224,19036,4222,5416,3359,7311,5666,2094,708,1099,352,30237,9854,5878,39682,14146,12757,6818,8186,9009,1518,107839,478,375,408,982,1573,1042,368,861,49,6138,992,857,782,2022,2769,1236,660,1018,129,10460,336,736,306,370,729,289,171,314,64,3318,584,966,899,1105,1110,824,641,1147,842,8118,33619,83246,50595,36292,36709,16642,11944,15755,4200,288989
SOSR111,353,602,247,374,328,135,63,76,20,2210,495,658,462,911,699,254,124,143,45,3791,1295,720,5950,2005,1879,1028,1595,1261,231,15968,75,37,75,131,235,160,80,145,8,947,117,87,88,236,334,146,98,123,9,1245,29,78,27,47,86,29,25,45,12,389,66,107,104,136,99,90,101,160,96,956,3859,8936,7302,4588,4479,2145,2219,2146,484,36150
SOSR112,1205,2395,631,1444,1221,472,150,275,79,7872,1742,2100,1117,3260,2203,861,252,575,151,12260,4719,2442,16876,7145,5755,3611,3404,4521,576,49060,245,154,259,527,788,660,210,557,31,3423,458,327,337,932,1237,627,265,577,51,4815,126,301,112,176,269,144,62,180,19,1395,325,443,387,556,473,451,325,719,320,3995,14177,35103,21155,17362,15202,8068,4961,8501,1571,126111
SOSR113,587,1149,355,725,578,236,79,142,58,3913,802,1023,653,1693,986,458,178,315,80,6192,2705,1427,10950,4267,3115,2025,2977,2682,399,30545,149,98,129,330,442,366,147,339,14,2012,264,206,204,569,580,354,214,347,29,2758,78,120,54,92,147,72,56,103,17,737,189,226,244,354,291,303,269,481,223,2572,6935,14675,13160,9232,7333,4251,4076,4829,973,65464
SOSR114,584,1033,340,674,496,211,81,134,52,3604,770,844,489,1488,893,352,148,239,79,5314,2550,1262,9016,3352,2557,1699,2068,2739,379,25621,144,79,114,244,361,262,88,289,24,1600,247,171,168,532,541,338,164,324,31,2501,48,102,73,74,113,65,28,78,18,604,238,222,302,362,295,322,255,451,206,2651,6798,13714,11048,7985,6481,3696,2967,4682,929,58290
SOSR115,861,1633,453,1118,831,316,121,263,60,5664,1143,1381,763,2407,1475,590,212,459,85,8520,3898,1766,14402,4999,3731,2237,3587,3823,569,39008,227,102,171,392,575,385,169,396,22,2438,373,246,292,734,807,426,270,441,54,3651,97,156,79,111,192,84,61,117,11,913,370,343,453,500,407,352,437,691,268,3818,10393,20654,17378,12171,9852,5023,5057,6773,1304,88613
SOSR121,273,497,147,325,248,90,45,58,25,1712,339,417,230,618,428,135,51,129,32,2379,1139,511,4170,1306,1109,653,1029,987,162,11059,57,42,44,81,145,105,49,105,5,643,124,71,82,193,271,142,55,119,13,1073,27,39,27,35,55,14,11,19,4,228,108,95,132,135,117,103,117,154,93,1055,3121,6008,5050,3227,2940,1383,1408,1723,406,25271
SOSR122,176,272,64,175,161,38,27,50,8,956,178,218,123,331,207,83,28,58,14,1242,695,278,2190,727,582,328,520,676,93,6103,37,21,35,53,92,49,30,66,0,377,69,41,50,100,121,56,57,82,8,592,14,19,11,8,29,11,9,13,6,136,79,61,65,72,67,62,61,123,53,643,1851,3061,2646,1717,1595,733,755,1157,231,13760
SOSR131,3586,3188,823,1565,1863,528,268,556,171,12543,3514,2218,1330,2854,2747,790,350,745,187,14740,12981,2676,22085,5795,5998,3090,5961,6355,1057,65996,844,228,308,517,997,462,248,603,55,4261,1657,488,565,948,1694,635,442,707,106,7244,450,314,179,146,368,126,97,175,33,1892,1860,678,755,690,879,584,659,1038,552,7685,36595,36956,27621,15174,19003,7380,8368,11344,2725,165153
