SOSR_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOSR101,231,51,690,337,790,110,2204,394,58,713,221,592,63,2036,5290,727,13555,7716,22483,1850,51627,1456,188,2323,1297,3226,205,8684,3749,597,14937,10354,60608,3447,93698,4717,622,10949,4819,8501,1082,30687,5700,754,16086,8016,14463,2000,47033,2964,413,11499,9111,10604,1722,36307,4511,773,11534,8530,17154,2370,44881,5174,941,12879,4342,4070,842,28248,14206,2807,30482,8034,4860,1534,61920,2171,425,5557,3336,4440,642,16573,24624,3886,54606,11147,7818,2566,104640,2456,431,7865,3918,6812,1039,22514,7509,2124,14642,9437,12705,1249,47674,14416,2597,16541,3311,3867,868,41602,10860,1830,21367,5661,6131,1550,47397,1234,297,4456,2065,3231,436,11716,2188,392,5145,3138,17318,838,29018,4368,542,10769,5139,12687,5078,38582,118214,20441,266586,109939,222363,29498,767040,145,35,424,240,331,87,1261,173,35,286,85,86,30,681,2754,507,8679,4466,4944,1134,22481,497,113,1096,421,477,85,2684,1563,314,4906,3459,3787,705,14728,3323,514,8289,3888,3647,798,20456,4697,852,19058,11169,12966,2692,51429,2429,364,10997,7442
SOSR102,20,7,106,91,393,33,651,197,53,592,665,3205,87,4797,526,120,1772,1754,8580,397,13138,171,55,437,608,1916,63,3250,241,80,1558,1903,21525,854,26165,183,49,626,606,2082,128,3677,373,70,1480,1178,5246,372,8727,172,43,957,941,3483,277,5886,197,92,785,1159,4859,419,7511,159,52,708,555,982,82,2538,353,147,1413,1174,1085,106,4282,88,28,379,487,1202,106,2295,1490,447,5051,1958,2095,274,11312,115,42,537,566,2373,192,3831,1292,586,3309,3274,4887,341,13690,2509,810,4429,927,1297,172,10151,1779,496,4539,1849,3100,371,12128,110,38,449,303,825,68,1802,214,59,617,598,5413,179,7078,241,50,771,628,3564,852,6110,10438,3323,30542,21224,78104,5380,149012,12,9,73,60,134,19,308,42,17,131,77,142,16,426,171,66,793,688,1139,137,2994,61,16,159,116,234,28,619,58,42,492,672,1280,142,2679,78,35,381,404,645,64,1601,303,105,1818,2072,5347,704,10355,164,57,1301,1517
SOSR111,7,6,35,21,114,12,196,41,16,139,173,1243,29,1643,49,19,221,266,1640,54,2253,15,0,43,88,253,11,410,12,15,132,207,2442,66,2865,9,5,61,67,394,14,549,35,3,163,172,745,43,1155,14,4,83,125,441,37,702,18,4,86,148,667,53,968,11,9,38,36,103,10,202,23,15,87,108,86,8,318,7,3,31,40,140,4,231,91,51,428,164,250,31,1015,11,5,42,70,322,22,475,100,61,322,360,632,33,1508,172,108,469,105,149,19,1023,153,54,412,197,312,41,1166,0,7,19,25,66,6,131,20,6,60,84,847,26,1052,15,11,59,78,505,95,755,815,395,2922,2527,11359,598,18625,0,3,16,15,30,9,75,6,0,28,27,89,5,158,31,9,125,122,238,37,570,0,0,22,9,42,3,84,3,8,56,97,214,35,416,3,6,19,32,76,3,139,23,9,196,267,883,86,1465,16,9,116,198
SOSR112,83,16,271,194,660,95,1313,46,14,172,159,1276,44,1715,147,37,610,508,3521,218,5039,68,20,170,270,824,33,1388,71,30,471,506,8162,260,9497,39,9,179,189,1085,92,1588,139,43,635,504,3014,199,4534,105,18,471,476,1950,158,3174,51,22,240,358,1971,189,2836,32,23,181,124,363,38,755,89,56,372,374,259,23,1174,21,12,165,178,458,49,886,355,199,1535,510,682,101,3381,38,22,222,221,1001,82,1588,434,265,1312,1428,2552,182,6171,1149,474,2154,508,790,98,5174,805,250,2128,938,1547,182,5847,50,23,150,125,401,32,780,92,25,279,197,2569,86,3245,73,21,253,185,1494,365,2380,3884,1565,11952,7970,34584,2520,62479,36,20,138,91,207,32,525,13,7,41,29,74,3,162,50,20,306,302,592,92,1366,17,9,92,78,163,11,370,18,19,184,247,507,66,1031,14,12,108,120,278,35,564,83,64,806,931,2937,358,5173,90,33,569,782
SOSR113,19,3,104,88,428,51,693,57,34,297,293,2545,91,3319,58,20,262,288,2218,152,3004,25,8,80,184,749,24,1069,24,15,172,249,4632,167,5255,16,3,63,94,611,37,826,41,9,216,227,1659,148,2295,34,10,182,245,1062,122,1654,20,7,95,165,1081,131,1492,4,8,54,44,180,4,304,25,19,110,115,103,10,385,9,6,59,61,299,23,451,118,66,592,233,372,37,1421,6,7,65,111,680,67,940,176,105,488,686,1363,80,2900,284,155,855,195,319,37,1841,256,77,726,424,804,65,2356,5,8,57,50,214,16,353,52,14,122,121,1568,55,1938,27,11,87,118,914,247,1413,1259,597,4676,4011,21796,1580,33913,12,3,66,60,112,26,283,25,12,108,58,194,21,414,33,20,163,161,427,70,878,15,3,38,42,89,8,193,11,5,88,115,304,30,548,3,5,36,42,169,21,271,45,25,287,513,1669,241,2785,27,21,252,358
SOSR114,30,24,191,153,788,92,1272,37,16,121,88,712,34,1009,62,27,253,247,2167,191,2943,40,4,99,109,555,29,830,26,17,198,253,4381,197,5079,16,10,63,91,601,46,816,36,7,204,165,1362,134,1911,30,15,186,225,967,126,1550,13,13,91,170,1100,106,1491,6,9,52,38,150,13,271,22,10,131,126,98,8,395,4,4,76,81,225,28,417,145,61,593,249,344,50,1447,11,9,56,96,494,59,726,117,92,517,645,1284,110,2765,239,169,857,187,291,43,1790,205,79,610,289,550,64,1793,13,5,66,53,179,20,331,32,16,114,84,1359,57,1657,25,12,96,100,816,225,1267,1097,596,4573,3448,18419,1626,29765,9,12,92,66,161,29,377,13,3,36,30,49,8,138,22,21,186,134,413,78,853,8,3,30,22,55,11,133,8,10,65,103,261,35,479,9,3,54,68,163,23,315,49,28,336,417,1325,222,2378,28,23,301,373
SOSR115,36,9,289,217,1316,217,2088,32,20,140,152,1569,66,1985,43,23,288,344,2979,190,3867,23,14,72,147,857,41,1155,35,13,312,413,7336,297,8406,23,6,121,126,829,51,1159,61,14,302,280,1873,165,2702,27,13,172,311,1270,149,1943,21,22,136,220,1638,193,2232,17,8,97,72,238,21,467,35,23,138,127,134,14,469,11,8,73,108,288,27,518,218,96,780,385,480,66,2035,17,20,103,166,782,86,1175,301,154,924,1106,2123,161,4771,458,279,1343,306,422,53,2862,264,84,842,524,850,91,2656,20,9,118,90,339,42,625,56,19,168,138,2031,68,2477,46,11,152,159,1285,330,1979,1758,854,6565,5395,28657,2336,45568,24,20,197,150,280,82,755,18,4,46,39,124,11,238,28,15,173,210,543,72,1044,9,0,36,45,61,9,162,27,10,130,211,426,45,855,13,12,80,96,236,31,463,48,43,463,596,1908,298,3356,26,34,340,524
SOSR121,8,7,59,72,356,61,565,3,4,42,51,396,22,512,12,10,90,103,871,47,1130,5,4,33,38,249,10,341,13,11,86,153,2100,88,2453,14,0,34,35,208,14,299,13,10,77,90,549,37,774,7,7,66,62,368,32,542,0,4,45,73,504,44,668,6,0,21,26,70,9,127,26,8,37,53,53,8,182,3,0,21,26,96,4,152,64,34,287,112,169,23,689,3,3,28,46,212,13,308,60,40,235,308,460,40,1131,127,89,414,67,137,14,846,91,39,272,139,235,30,817,12,5,40,23,106,9,195,8,4,37,35,634,27,755,9,11,55,32,387,95,587,475,273,1974,1545,8159,630,13064,7,3,43,44,72,15,187,0,0,17,14,16,3,59,4,13,63,60,133,27,306,6,3,8,14,22,4,59,4,4,47,59,127,17,264,5,6,26,28,68,8,143,14,9,117,191,551,86,967,4,8,97,166
SOSR122,0,0,35,24,287,38,381,0,3,7,18,185,5,222,3,3,35,49,459,26,579,7,5,16,27,151,8,210,6,5,60,84,1089,55,1295,5,0,14,16,111,12,152,11,3,63,51,263,32,424,5,0,48,37,254,28,376,8,3,32,37,288,16,384,8,3,17,16,30,3,78,15,0,34,18,31,0,94,0,3,10,20,42,5,73,46,20,128,54,84,18,343,4,3,17,23,119,11,175,40,22,115,196,327,29,731,79,33,210,39,80,19,458,46,20,102,82,121,10,381,8,3,20,21,73,3,131,3,3,18,16,365,7,415,10,4,22,16,213,57,326,313,131,1010,848,4553,375,7236,3,0,27,25,66,11,130,0,0,3,4,13,0,28,5,3,33,29,72,7,152,0,3,7,8,17,3,36,3,0,27,40,74,14,158,0,0,7,21,34,3,75,8,3,74,92,280,47,499,6,3,61,101
SOSR131,443,180,2572,2541,9135,1320,16192,80,28,258,343,2529,128,3366,127,34,634,619,4613,276,6309,51,13,150,332,1197,53,1790,85,42,664,927,12414,563,14705,61,20,348,301,1473,117,2327,68,31,473,413,2413,207,3613,57,30,283,309,1290,166,2127,52,27,240,393,2760,250,3724,44,14,175,136,339,35,739,128,44,427,299,236,42,1173,35,13,196,257,626,79,1198,616,204,2129,660,928,158,4696,55,26,169,223,1130,107,1711,472,257,1383,1352,2540,196,6195,677,351,1734,491,807,113,4171,553,178,1455,693,1057,152,4085,45,16,230,160,554,56,1063,73,20,196,196,3644,103,4227,125,37,391,369,2351,633,3900,3846,1579,14112,10996,52034,4750,87309,257,293,2138,1882,2592,800,7955,17,8,102,86,188,18,419,58,44,466,440,845,170,2023,19,17,91,88,113,22,345,46,33,375,526,991,173,2148,43,19,261,248,490,80,1141,87,72,852,935,2474,445,4861,71,37,520,656
