SOSR_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOSR101,283998,556667,229152,192633,299794,183251,113438,149613,40357,2048906
SOSR102,45150,90430,64518,53618,59763,43511,26204,41351,6869,431399
SOSR111,5324,9680,9071,6609,7274,5947,4909,6200,818,55831
SOSR112,19838,37716,27102,24972,23730,20618,11178,21937,2809,189897
SOSR113,10192,15923,16677,13526,12237,11503,9189,13444,1763,104451
SOSR114,9953,14901,14215,11491,10746,9672,6804,12297,1624,91699
SOSR115,15260,22337,22580,17565,16539,13025,11790,17974,2338,139406
SOSR121,4426,6473,6350,4726,4699,3528,3167,4482,682,38532
SOSR122,2676,3309,3409,2528,2506,1830,1787,2899,411,21364
SOSR131,58990,40029,35665,22141,30410,18298,18031,27101,4727,255400
SOSR179,3,22,18,16,21,17,10,18,5,130
SOSR199,274,649,480,430,261,224,339,582,103,3331
SOSR201,262130,507545,243094,201608,273979,192635,107672,157451,34140,1980273
SOSR203,7180,15071,10048,9099,8422,7532,4230,7482,1065,70130
SOSR211,11809,22261,17623,15220,15454,12887,8569,13599,1936,119360
SOSR212,8073,13331,11018,8903,9795,8462,4900,8957,1167,74610
SOSR213,11630,19203,16769,13626,12768,11354,7074,12660,1785,106877
SOSR214,6125,8597,8681,6988,6239,5526,3561,7532,927,54179
SOSR215,10679,14075,15162,10783,10264,8512,6587,11466,1586,89120
SOSR221,3033,3781,4236,2888,2692,2184,1888,3197,422,24320
SOSR222,2140,2319,2677,1914,1717,1384,1299,2281,276,16005
SOSR231,46932,29621,29124,18031,21702,14545,13209,22505,3548,199216
SOSR279,0,4,7,0,0,0,0,3,0,23
SOSR299,178,405,297,277,182,134,200,307,57,2033
SOSR301,115568,233135,124457,106953,146329,91918,59344,90225,15898,983828
SOSR302,31156,46404,37516,30798,34368,31006,12823,24755,4379,253203
SOSR303,31555,58651,44509,39871,39288,31910,16494,29252,4366,295899
SOSR311,8763,16108,16306,11529,11994,10396,8285,11859,1462,96707
SOSR312,1786,3117,4206,2462,2641,2113,2325,2827,359,21827
SOSR313,6125,10182,11217,7578,7807,6673,6685,7983,1046,65297
SOSR314,7258,10022,11547,7339,7989,6366,6671,9650,1026,67857
SOSR315,9685,12880,16957,11880,11502,8880,10683,14201,1544,98215
SOSR321,4280,5433,6299,4554,4576,3252,3872,5463,697,38433
SOSR322,2012,1991,2517,1824,1890,1254,2026,2734,320,16567
SOSR331,40056,25528,29500,16818,22704,13842,18124,25493,3401,195465
SOSR379,13,8,9,0,7,7,0,6,4,60
SOSR399,264,446,392,349,226,182,300,825,97,3087
SOSR401,58326,118145,68309,64919,74931,51853,28543,51514,8022,524576
SOSR412,2961,4659,4946,4001,3759,3444,3207,3922,556,31455
SOSR413,4666,7996,5729,5524,4905,4610,2632,5699,656,42410
SOSR414,1039,1198,1416,1112,1066,955,662,1812,125,9400
SOSR415,5509,6624,7032,5472,5187,4349,3662,6959,714,45512
SOSR421,2069,1946,2265,1582,1554,1199,1196,2115,217,14144
SOSR422,1115,987,1236,1035,770,611,783,1338,123,7992
SOSR431,18338,9423,9099,5934,7297,4688,4748,9277,1082,69883
SOSR479,0,3,0,0,0,0,0,0,0,3
SOSR499,54,103,112,53,57,49,85,212,11,734
SOSR501,101408,200198,137393,96505,121136,81754,57296,79117,14396,889202
SOSR511,2754,4962,5975,3362,3696,3249,3003,4017,504,31516
SOSR512,5122,7802,9447,5959,5972,5106,5429,5917,851,51617
SOSR513,2901,4129,5377,2617,3280,1994,2640,2703,564,26200
SOSR514,1486,2045,2975,1760,1637,1422,1363,1959,212,14850
SOSR515,3611,4832,6906,3979,3991,2811,4286,5082,639,36136
SOSR521,2124,2041,3160,1895,1947,1198,2258,2466,372,17460
SOSR522,1045,988,1235,919,746,443,908,1030,182,7494
SOSR531,18792,9915,14491,5729,7882,4282,8905,9821,1342,81157
SOSR579,11,78,87,3,10,0,35,100,9,334
SOSR599,104,235,349,162,114,90,276,386,58,1773
SOSR603,8793,18803,9756,10163,11729,7678,3250,7017,1331,78514
SOSR611,3361,6659,4182,4179,4116,3713,2013,3475,486,32194
SOSR612,796,1216,1310,1185,1058,1024,742,1342,142,8822
SOSR613,1094,1895,1830,1640,1504,1433,955,1756,213,12309
SOSR614,323,394,630,610,408,436,392,590,84,3870
SOSR615,2494,3071,3793,2975,2973,2500,2061,3314,437,23622
SOSR621,1018,1278,1200,874,845,701,589,1118,152,7766
SOSR622,517,657,747,536,554,389,436,692,87,4621
SOSR631,8058,6737,6743,4563,4983,3505,3347,5814,832,44577
SOSR679,3,14,9,9,0,0,3,15,0,47
SOSR699,17,49,38,33,27,14,20,54,3,247
SOSR703,7519,12530,10275,8042,8922,4605,3443,5337,1275,61953
SOSR712,1428,2956,1436,1989,1686,840,493,944,278,12045
SOSR714,296,522,379,454,342,178,133,260,62,2620
SOSR715,468,1140,544,828,546,265,235,465,245,4731
SOSR721,448,888,564,801,435,239,283,450,216,4320
SOSR722,328,559,257,551,254,134,150,351,113,2708
SOSR731,1996,1952,2615,1426,1880,735,1084,1713,340,13740
SOSR779,0,4,8,0,0,0,0,13,0,28
SOSR799,41,108,104,84,34,32,63,104,15,574
SOSR802,32635,62555,19538,21586,34551,13914,4673,10307,5112,204869
SOSR822,25,22,12,15,20,11,6,4,0,130
SOSR831,94,86,72,50,62,21,14,23,8,424
SOSR879,0,0,0,0,0,0,0,0,0,0
SOSR899,21,57,14,34,28,12,8,20,6,202
SOSR915,100,85,145,120,103,13,101,132,19,820
SOSR921,78,44,77,49,37,53,17,76,7,436
SOSR922,64,45,40,54,33,10,20,39,12,321
SOSR931,92,67,112,76,83,59,25,48,12,573
SOSR979,0,3,0,0,0,0,0,4,0,6
SOSR999,0,3,0,4,0,0,3,0,0,11
