SOSR_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SOSR101,236,858,52,53,101,958,1355,897,3210,52310,31418,3856,87589,3630,4130,7767,95351,69866,1738,166958
SOSR102,71,242,23,30,53,292,430,233,959,13266,11204,1245,25714,1318,1306,2627,28340,19797,493,48623
SOSR111,6,36,0,3,8,39,60,37,134,1677,1401,181,3265,234,213,454,3719,2443,49,6216
SOSR112,39,151,14,6,23,170,321,160,653,6176,5502,604,12278,693,743,1437,13718,9577,287,23580
SOSR113,17,82,19,6,25,111,258,119,486,3184,3338,358,6873,549,461,1009,7885,6696,230,14818
SOSR114,14,71,8,11,15,90,189,92,370,2638,2775,323,5740,374,369,741,6485,4996,174,11651
SOSR115,23,99,18,9,26,120,248,134,504,3917,4072,462,8452,534,485,1017,9472,7039,252,16760
SOSR121,9,27,6,3,10,37,67,19,116,947,948,110,2012,119,124,241,2252,1756,52,4058
SOSR122,4,20,0,0,0,24,36,13,74,476,540,67,1083,82,54,138,1222,1081,29,2325
SOSR131,34,137,14,14,25,161,160,99,418,4292,3562,427,8285,440,378,818,9106,6570,235,15908
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,233,997,60,74,138,1135,1446,888,3467,47870,35609,4004,87479,3949,4156,8105,95585,65412,1767,162762
SOSR203,8,40,3,7,7,52,85,53,192,1894,1815,210,3922,231,208,436,4355,3131,94,7579
SOSR211,25,85,6,14,19,101,164,71,336,3549,3439,391,7374,450,525,974,8351,5919,151,14418
SOSR212,19,58,6,7,10,74,97,57,224,2191,2065,246,4503,217,271,489,4993,3112,110,8213
SOSR213,16,67,10,4,14,79,146,91,313,2761,3085,310,6153,353,355,703,6860,4564,150,11581
SOSR214,11,31,3,8,11,41,98,40,173,1443,1630,182,3266,188,158,348,3615,2608,91,6309
SOSR215,16,66,4,5,10,77,109,61,244,2105,2548,262,4911,230,236,467,5384,3663,115,9165
SOSR221,5,13,3,0,3,18,37,21,75,460,626,75,1160,57,61,116,1274,965,37,2269
SOSR222,0,11,0,0,5,16,20,6,42,339,382,34,755,53,37,90,842,606,19,1474
SOSR231,33,88,4,4,10,97,125,62,278,2898,2658,369,5918,234,264,501,6416,4256,164,10830
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,130,446,45,44,82,532,555,415,1502,29100,18228,2260,49592,3018,2487,5504,55097,32031,817,87943
SOSR302,51,146,6,3,11,159,157,97,411,7526,6228,646,14399,687,782,1465,15869,8470,212,24549
SOSR303,41,173,10,9,17,197,272,133,601,9171,7421,744,17340,1174,1003,2170,19509,10621,264,30400
SOSR311,25,70,9,15,23,88,119,66,277,2896,2472,264,5633,641,485,1127,6765,4872,120,11757
SOSR312,3,12,5,8,6,21,22,22,61,604,501,57,1159,209,106,313,1475,1195,32,2701
SOSR313,18,50,5,3,8,60,82,43,184,1869,1719,202,3792,340,288,627,4421,3151,76,7642
SOSR314,5,41,5,5,10,47,67,60,172,1798,1526,169,3496,292,219,519,4016,2588,89,6688
SOSR315,17,63,11,4,15,77,113,97,286,2487,2350,298,5136,520,377,895,6027,4773,183,10986
SOSR321,5,25,6,0,6,30,56,36,119,891,795,99,1781,187,140,333,2117,1900,65,4078
SOSR322,3,11,0,0,5,14,23,20,56,379,357,41,775,105,53,164,937,952,26,1915
SOSR331,25,97,12,3,10,104,133,86,328,3306,2726,373,6400,486,319,802,7206,5259,179,12641
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,54,234,22,23,40,273,462,277,1009,14792,12637,1333,28755,1637,1487,3124,31883,21281,490,53650
SOSR412,12,29,0,0,3,28,49,37,110,915,967,109,1985,177,129,298,2287,1518,52,3857
SOSR413,3,21,3,3,8,33,86,40,153,1082,1263,107,2455,156,162,316,2763,1947,61,4775
SOSR414,0,7,0,0,0,5,3,3,14,265,245,32,545,16,22,38,582,349,8,937
SOSR415,6,34,3,6,6,35,52,29,119,1120,1214,121,2453,166,144,303,2755,1646,54,4455
SOSR421,0,4,0,0,0,4,13,12,24,283,338,28,649,33,24,59,705,428,15,1153
SOSR422,3,5,3,0,3,11,11,9,29,166,181,20,370,30,13,43,407,350,12,778
SOSR431,3,37,0,3,3,35,22,29,92,995,866,106,1966,105,82,182,2151,1312,51,3519
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,100,344,41,26,62,404,484,329,1215,22534,17280,1879,41701,2768,2320,5088,46788,24951,649,72391
