SOSR_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOSR101,1292,3819,9744,15970,5734,28325,2221,13420,1579,82091,9822,34395,26038,33685,26448,33036,8249,18333,4251,194256,63514,175733,62726,49847,70570,41761,23357,32452,11212,531171,86201,148918,51021,35697,69623,29776,24756,25648,8993,480629,72867,104773,44459,32621,66861,26893,28206,29829,7599,414102,39523,67238,28365,20070,46934,17765,21585,23882,4568,269934,9448,19098,6194,4357,12350,5017,4724,5435,1519,68146,1160,2401,550,334,1156,592,322,564,472,7558,187,288,63,35,125,74,27,50,165,1020,283998,556667,229152,192633,299794,183251,113438,149613,40357,2048906
SOSR102,338,619,3421,4494,1114,9406,678,5310,344,25731,1933,4978,8427,8877,4407,7369,1583,4963,620,43146,8156,23064,16242,11116,11187,7109,4600,7023,1434,89936,12300,23447,13891,9928,13544,6222,5650,7089,1490,93558,12732,20063,12772,10895,16035,6997,6876,8802,1465,96640,7863,14829,8335,7091,11085,5102,5592,6772,977,67648,1605,3066,1302,1146,2202,1193,1119,1250,320,13204,192,333,114,61,159,94,93,136,166,1357,25,29,6,4,17,11,12,15,47,175,45150,90430,64518,53618,59763,43511,26204,41351,6869,431399
SOSR111,50,73,482,545,161,1305,86,815,47,3556,239,486,1247,1026,535,947,303,704,83,5577,1019,2564,2624,1534,1437,1100,1062,1232,155,12721,1429,2450,1953,1271,1683,870,1140,1056,185,12038,1434,2124,1578,1261,1895,912,1212,1180,170,11762,929,1639,1004,829,1288,657,893,1002,109,8351,193,327,160,133,261,148,194,195,47,1658,23,21,18,6,20,11,14,17,7,142,4,4,0,0,0,0,0,0,15,27,5324,9680,9071,6609,7274,5947,4909,6200,818,55831
SOSR112,189,176,1512,2044,445,4639,262,2579,189,12036,824,1771,3793,3511,1558,3014,684,2582,241,17974,3559,8642,7131,5411,4153,3566,2033,4298,560,39349,4711,9165,5375,4632,5070,2998,2314,3713,576,38555,5269,8598,4876,5076,6373,3116,2730,4378,545,40961,3973,7367,3574,3584,4883,2462,2398,3530,424,32191,1110,1777,750,651,1129,724,683,756,170,7758,177,198,74,59,114,76,68,98,87,954,22,11,12,6,13,17,3,10,20,116,19838,37716,27102,24972,23730,20618,11178,21937,2809,189897
SOSR113,95,90,896,962,240,2449,175,1514,114,6529,428,730,2095,1622,759,1470,517,1476,126,9218,1646,3632,4113,2526,2060,1895,1797,2496,294,20457,2293,3625,3420,2696,2610,1721,1963,2319,341,20985,2765,3593,3350,3093,3256,1975,2367,2829,373,23594,2203,3407,2347,2240,2634,1580,1892,2246,298,18857,616,742,401,371,619,379,440,513,130,4209,126,97,29,21,50,36,34,45,57,503,18,10,6,5,8,11,3,7,34,106,10192,15923,16677,13526,12237,11503,9189,13444,1763,104451
SOSR114,92,88,804,866,209,2042,143,1346,104,5691,323,711,1818,1393,576,1125,392,1286,124,7755,1473,3247,3398,2141,1719,1430,1190,2221,254,17084,2395,3722,2971,2273,2357,1433,1329,2123,313,18929,2595,3416,2746,2516,2938,1768,1747,2604,328,20660,2140,2941,2028,1956,2319,1451,1528,2237,265,16859,750,676,410,316,571,374,421,438,129,4089,154,85,38,24,45,35,47,41,73,539,23,13,6,5,7,3,4,4,28,95,9953,14901,14215,11491,10746,9672,6804,12297,1624,91699
SOSR115,120,142,1418,1385,290,2581,190,1849,144,8121,479,888,2812,2066,951,1491,658,1839,160,11336,2278,4499,5336,3239,2685,2040,1966,3043,362,25440,3528,5382,4517,3384,3534,2025,2442,3064,434,28314,4103,5419,4381,3957,4536,2341,3064,3840,491,32130,3412,4739,3373,2991,3573,1974,2698,3439,459,26652,1082,1122,660,495,879,512,712,802,160,6430,212,114,69,36,91,51,56,97,91,815,40,21,19,12,7,14,7,4,41,166,15260,22337,22580,17565,16539,13025,11790,17974,2338,139406
SOSR121,30,35,358,407,96,785,71,499,38,2317,126,224,696,560,225,353,154,428,46,2804,500,1035,1302,786,647,425,458,684,93,5932,1056,1524,1304,931,1026,564,646,739,114,7896,1279,1739,1464,1086,1352,673,867,1053,156,9662,1032,1532,1015,834,1085,596,754,863,131,7841,320,346,196,111,256,123,201,179,57,1788,74,41,15,12,20,10,18,25,25,245,10,5,3,0,0,3,0,5,10,40,4426,6473,6350,4726,4699,3528,3167,4482,682,38532
SOSR122,19,29,198,221,40,386,24,312,20,1251,54,101,376,266,121,188,80,250,32,1459,303,503,683,372,351,230,233,407,47,3137,563,814,662,463,577,275,361,489,74,4274,766,843,759,629,730,368,502,675,94,5374,663,801,590,484,548,295,459,610,90,4542,237,196,118,85,137,82,119,135,32,1147,58,19,15,9,10,7,5,10,17,157,8,3,3,0,0,0,3,6,0,21,2676,3309,3409,2528,2506,1830,1787,2899,411,21364
SOSR131,420,300,2758,2427,622,4154,408,3236,302,14631,1221,1509,4200,2675,1575,1992,990,2886,305,17362,5014,5791,6519,3086,3781,2107,2465,3862,503,33132,10349,8814,6889,3953,6462,2599,3582,4079,821,47544,15282,11010,7984,5402,9010,3702,5167,5900,1082,64534,14798,9738,5810,3893,6875,2833,4196,5192,892,54217,8731,2557,1335,653,1839,791,1120,1592,510,19128,2732,281,155,37,218,101,86,312,260,4188,451,35,24,7,27,15,8,43,55,665,58990,40029,35665,22141,30410,18298,18031,27101,4727,255400
SOSR179,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,9,7,0,3,0,0,3,0,23,5,3,3,4,4,3,0,4,0,27,0,7,4,5,0,5,9,3,0,30,0,3,3,3,0,3,0,6,3,25,0,0,0,3,4,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,18,16,21,17,10,18,5,130
SOSR199,5,12,10,36,0,13,3,28,4,112,32,53,70,125,29,55,21,123,15,528,77,250,159,129,65,57,104,221,22,1094,63,139,96,47,49,35,88,86,23,630,45,98,76,51,62,30,63,59,18,507,40,63,52,34,41,26,42,54,15,376,11,26,12,4,8,6,8,9,0,89,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,274,649,480,430,261,224,339,582,103,3331
SOSR201,1111,2270,7402,15033,3941,32945,1603,14902,1325,80544,8653,26902,27225,34370,22600,38580,7958,20506,3419,190212,56234,160977,71215,51119,66281,41039,23471,33687,9030,513039,77278,137077,53905,37109,62315,28764,23337,27195,7592,454577,70199,98084,47399,36454,64624,27942,26913,30721,6683,409017,38322,63080,29322,22545,42948,17873,20019,23634,3965,261707,9036,17028,5991,4623,10302,4913,4083,5939,1429,63358,1112,1881,535,310,858,503,257,782,484,6727,185,254,98,46,111,66,37,83,215,1087,262130,507545,243094,201608,273979,192635,107672,157451,34140,1980273
SOSR203,46,60,424,673,144,1614,87,816,61,3919,358,852,1376,1598,683,1505,333,1049,93,7852,1437,4342,2856,1938,1718,1329,825,1328,223,15990,1885,3904,2057,1558,1907,1050,820,1258,247,14684,1919,3113,1825,1843,2064,1015,1095,1460,213,14539,1218,2275,1293,1254,1532,820,874,1227,143,10644,278,475,197,224,339,179,180,282,52,2213,40,49,23,10,24,12,13,49,22,240,10,8,5,0,4,4,0,3,11,48,7180,15071,10048,9099,8422,7532,4230,7482,1065,70130
SOSR211,112,104,907,1106,276,2850,148,1576,128,7202,611,1288,2663,2507,1158,2260,566,1823,223,13107,2403,6280,5139,3275,3228,2295,1735,2636,376,27376,2979,5761,3464,2814,3477,1788,1903,2308,421,24910,3054,4562,2994,2949,3779,1895,2104,2664,400,24401,2121,3516,2023,2190,2964,1424,1677,2116,249,18284,444,683,399,353,527,338,402,410,105,3661,73,62,28,17,37,20,29,56,36,362,9,7,10,9,8,8,0,9,10,65,11809,22261,17623,15220,15454,12887,8569,13599,1936,119360
SOSR212,86,67,559,680,186,2076,77,988,86,4807,344,778,1497,1191,712,1264,318,1067,112,7287,1414,3597,3090,1785,1838,1308,869,1839,237,15976,2056,3296,2166,1729,2129,1174,1005,1482,236,15268,2227,2885,2073,1816,2645,1396,1283,1764,239,16333,1485,2220,1352,1407,1911,974,1088,1424,169,12038,392,443,257,266,340,251,239,351,64,2592,55,34,16,15,27,20,17,35,28,250,16,5,3,4,9,4,3,7,11,55,8073,13331,11018,8903,9795,8462,4900,8957,1167,74610
SOSR213,100,71,865,1031,228,2577,119,1572,119,6682,454,857,2238,1603,800,1524,358,1355,148,9334,1959,4934,4364,2560,2188,1772,1166,2241,326,21512,2994,4865,3397,2606,2793,1815,1496,2148,365,22474,3120,4187,3151,3187,3447,1865,1892,2605,358,23812,2271,3476,2334,2195,2730,1458,1640,2118,285,18509,591,718,364,411,535,301,379,534,119,3948,131,77,46,20,50,40,26,66,45,514,16,15,8,8,4,3,6,14,20,84,11630,19203,16769,13626,12768,11354,7074,12660,1785,106877
SOSR214,63,35,485,463,106,1250,42,776,59,3285,215,340,1118,736,300,671,181,782,64,4402,884,1745,2079,1164,929,712,550,1279,157,9514,1421,2190,1712,1318,1304,828,665,1223,150,10811,1684,2069,1728,1715,1798,1021,988,1663,199,12863,1367,1731,1256,1318,1419,783,900,1449,176,10393,393,425,270,249,349,224,214,309,72,2494,83,39,28,24,34,34,9,46,44,337,21,8,13,4,10,3,0,8,4,71,6125,8597,8681,6988,6239,5526,3561,7532,927,54179
SOSR215,72,42,739,768,128,1645,66,1166,88,4705,367,537,1803,1240,555,1002,353,1141,126,7119,1485,2942,3744,1941,1762,1246,1001,1863,256,16247,2611,3533,3124,1937,2249,1324,1276,1971,299,18327,2862,3291,2995,2547,2691,1626,1808,2487,327,20624,2313,2928,2259,1920,2245,1267,1633,2217,287,17073,772,716,449,394,580,366,412,546,125,4345,177,76,43,27,45,28,23,66,61,547,25,11,9,14,8,12,14,11,21,125,10679,14075,15162,10783,10264,8512,6587,11466,1586,89120
