SUA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
1000,60,14,20,8,29993,30093,732,52,22,23,22676,23506,14960,975,680,65,29513,46201,30375,2417,3236,153,18433,54615,39489,3857,8679,560,16878,69467,48207,4176,13106,1627,11739,78858,45002,2959,10252,3360,4972,66549,21150,1004,3266,4299,1789,31509,4867,155,489,3258,497,9271,204850,15614,39753,13349,136498,410062,60,11,8,9,28427,28519,1421,144,40,22,19949,21579,19675,1513,1081,118,25134,47519,33849,2996,4569,458,15372,57250,42988,4043,10525,1510,12090,71160,49350,3495,13029,4158,7121,77147,39282,1882,8794,9344,2559,61860,14881,520,2517,13074,994,31990,2389,82,614,10933,480,14500,203882,14688,41177,39632,112136,411518,121,26,24,23,58426,58615,2154,201,61,43,42631,45086,34628,2488,1763,184,54649,93714,64221,5418,7811,608,33806,111863,82477,7897,19212,2069,28971,140622,97552,7671,26135,5779,18864,155996,84284,4840,19046,12705,7532,128415,36032,1518,5783,17373,2784,63495,7253,245,1105,14194,977,23769,408730,30306,80936,52977,248631,821578
1001,9,0,0,3,2968,2983,111,7,0,0,3028,3142,2067,125,101,11,3460,5755,3048,241,338,21,1599,5244,3174,341,809,43,1132,5497,3344,272,868,90,598,5174,2765,146,534,211,231,3889,1420,55,189,255,72,1990,419,6,43,265,24,753,16350,1185,2889,897,13106,34428,14,0,0,0,2809,2824,206,11,3,9,2775,3004,2602,189,146,15,3129,6076,3204,365,520,50,1487,5626,3226,364,1135,107,943,5782,3372,324,1229,306,458,5692,2487,154,776,709,174,4309,1058,42,265,1147,93,2597,221,5,47,1000,41,1311,16391,1457,4119,3339,11910,37215,22,0,3,4,5779,5806,313,24,7,11,5804,6152,4671,314,245,17,6583,11828,6252,602,855,71,3089,10870,6397,700,1946,152,2079,11273,6720,598,2098,400,1057,10866,5253,300,1315,924,404,8195,2477,97,450,1402,166,4591,641,9,91,1266,67,2064,32737,2645,7007,4239,25016,71651
1002,0,0,0,0,1033,1035,35,0,4,3,1213,1250,509,31,13,0,856,1404,637,59,76,7,382,1153,790,66,161,10,325,1347,776,59,199,27,182,1238,662,34,109,63,79,949,378,9,34,95,21,537,90,3,6,61,8,166,3874,255,597,256,4097,9078,0,0,0,0,1133,1132,63,0,0,0,1233,1300,623,46,44,0,776,1488,696,76,99,6,404,1281,809,95,237,28,283,1447,815,82,242,77,185,1396,585,35,179,173,71,1045,267,16,67,324,25,702,57,3,24,270,5,351,3907,354,891,878,4117,10141,0,0,0,0,2164,2171,91,3,4,3,2446,2547,1125,70,58,3,1635,2894,1331,137,168,8,786,2431,1594,160,401,37,600,2794,1590,141,436,97,364,2632,1250,66,285,237,150,1989,648,26,106,413,49,1241,146,5,27,323,17,521,7777,614,1493,1129,8214,19225
1003,0,0,0,0,683,683,8,0,3,0,477,492,294,16,12,0,745,1068,652,56,89,3,498,1295,843,83,202,9,395,1538,1066,111,308,35,276,1792,1107,67,276,66,117,1629,633,12,96,136,35,912,259,9,16,154,18,461,4867,355,1006,401,3252,9878,0,0,0,0,588,595,21,6,0,3,451,481,418,22,31,0,675,1153,725,87,155,6,470,1449,886,131,356,39,374,1782,1132,121,461,95,202,2015,1005,66,345,272,64,1748,526,13,146,467,22,1174,138,5,30,598,12,779,4855,453,1521,1473,2865,11165,0,0,0,0,1272,1275,29,11,3,3,932,973,712,33,50,3,1421,2218,1373,146,240,9,968,2742,1730,211,559,51,769,3323,2201,239,765,126,475,3807,2115,127,620,336,185,3383,1158,28,240,598,62,2087,400,8,51,747,36,1241,9720,801,2529,1872,6121,21046
1004,0,0,0,0,403,406,9,0,0,0,283,286,171,11,13,0,423,623,322,43,59,0,285,705,448,52,144,15,269,933,737,60,228,24,168,1216,1020,50,204,66,54,1399,508,25,75,105,29,743,128,3,9,93,10,246,3340,248,747,302,1928,6555,0,0,0,0,370,371,21,5,0,0,255,279,227,21,18,3,338,614,406,59,91,4,246,811,454,66,200,21,200,944,839,75,283,93,107,1400,954,42,220,220,46,1479,352,7,94,305,18,777,69,0,21,289,5,384,3332,275,921,950,1590,7065,0,0,0,0,770,775,26,5,3,0,536,568,401,30,34,4,765,1234,727,99,156,4,532,1516,904,118,345,35,474,1875,1579,137,507,115,275,2615,1972,92,424,287,98,2875,863,27,173,418,46,1523,197,5,31,378,14,631,6667,518,1668,1247,3519,13615
1005,0,0,0,0,1313,1314,46,4,4,0,1399,1454,795,40,28,0,1610,2469,1151,96,135,4,689,2077,1178,108,243,10,468,2013,1293,94,268,26,265,1946,986,52,222,82,100,1439,498,14,63,110,47,730,145,0,18,87,14,261,6100,413,979,326,5901,13713,0,0,4,0,1229,1226,68,5,0,4,1326,1405,909,64,45,5,1182,2212,1163,141,249,9,514,2079,1256,147,334,49,387,2177,1245,113,399,108,159,2025,893,63,254,268,84,1570,382,20,104,457,67,1023,69,4,29,420,34,561,5994,561,1419,1323,4979,14279,3,0,3,0,2543,2546,116,12,3,3,2730,2864,1708,106,71,9,2789,4676,2315,238,385,18,1205,4154,2435,264,578,56,852,4189,2541,207,665,136,428,3979,1877,114,472,352,188,3014,887,35,160,563,110,1749,211,3,50,506,50,824,12094,979,2393,1641,10883,27995
1006,0,0,0,0,1190,1188,32,0,0,0,783,820,659,15,30,0,941,1645,1178,79,91,3,522,1869,1497,103,262,16,447,2333,1567,96,335,35,289,2329,1793,81,289,107,165,2434,1112,31,119,138,77,1490,281,4,15,126,10,452,8131,417,1148,429,4431,14557,0,0,0,0,1315,1320,69,8,0,0,668,744,817,41,35,0,753,1651,1347,117,210,10,459,2147,1610,148,437,55,375,2630,1646,125,551,134,240,2691,1738,63,501,425,166,2895,781,16,188,613,82,1684,138,6,42,544,34,759,8151,528,1965,1775,4094,16515,0,0,0,0,2507,2507,105,6,0,0,1455,1565,1478,57,61,0,1693,3302,2528,191,308,9,980,4012,3110,260,705,69,824,4965,3211,223,882,166,531,5014,3529,147,786,533,338,5327,1895,51,307,749,166,3169,417,16,58,676,44,1209,16284,947,3114,2205,8525,31077
1007,3,0,0,3,502,510,14,3,0,0,462,479,254,23,23,0,724,1020,399,59,65,0,385,906,563,71,174,13,369,1190,757,86,229,30,218,1320,629,49,189,57,86,1011,342,13,46,72,29,504,98,3,15,68,13,194,3057,296,736,239,2802,7134,0,0,0,0,438,437,25,0,3,0,454,486,331,39,18,7,699,1097,444,67,91,4,340,948,568,90,214,18,274,1167,732,71,306,109,130,1344,574,37,171,215,48,1038,297,16,56,342,11,716,60,0,18,310,9,398,3037,320,874,1000,2398,7629,3,0,0,3,946,949,36,3,3,0,916,962,583,64,37,7,1419,2114,841,129,153,4,728,1861,1127,165,386,33,646,2356,1489,155,533,136,345,2663,1201,84,364,271,126,2049,636,24,98,411,47,1219,158,4,33,374,21,593,6089,619,1612,1241,5202,14767
1008,0,0,0,0,469,469,9,0,0,0,253,263,153,13,3,0,288,465,386,33,52,0,211,678,609,57,146,6,238,1068,795,61,225,32,146,1252,1177,60,226,78,71,1603,638,22,84,105,23,871,160,5,11,86,5,271,3924,255,746,304,1723,6952,0,0,0,0,382,382,4,3,0,0,193,202,229,20,15,0,265,527,449,46,76,6,195,768,662,74,217,34,177,1159,944,68,259,81,91,1448,1100,48,212,201,51,1610,499,21,89,336,17,953,72,3,9,270,4,358,3957,272,878,932,1381,7412,0,0,0,0,856,856,9,3,0,0,447,463,381,31,21,0,558,997,830,79,125,6,410,1452,1279,133,362,42,417,2227,1738,128,482,115,240,2700,2281,104,439,278,123,3214,1134,38,174,444,37,1826,229,6,25,359,12,633,7882,526,1620,1236,3099,14367
1009,16,3,5,0,9814,9836,242,19,7,3,8790,9064,5647,324,278,9,10636,16898,10645,891,1221,55,5724,18538,11663,1196,2814,143,4522,20330,12143,1033,3327,370,2522,19396,11312,765,2676,870,1140,16765,6468,261,1001,1314,461,9510,2006,58,215,1393,141,3818,60144,4547,11548,4169,43749,124152,18,3,3,3,9486,9515,447,49,8,4,8197,8713,7430,592,447,34,9161,17663,11420,1298,1979,140,5040,19869,12157,1592,4131,472,3524,21874,12301,1291,4831,1330,1957,21709,10496,690,3838,3026,898,18945,4922,197,1494,4851,360,11828,1113,43,390,4629,175,6360,60308,5761,17118,14495,38795,136480,31,8,13,3,19292,19349,692,73,14,9,16985,17777,13081,919,723,45,19798,34566,22064,2188,3199,195,10761,38409,23820,2786,6944,613,8046,42205,24448,2322,8156,1707,4478,41107,21808,1455,6509,3898,2039,35704,11385,462,2496,6167,822,21338,3115,102,606,6027,323,10176,120446,10309,28672,18659,82544,260630
