SUA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
1000,0,0,14,40,8,4,3,0,0,71,26066,59701,47239,82333,55049,61469,48440,22493,6714,409500,0,4,0,44,16,3,0,0,0,71,0,0,4,17,5,13,11,19,0,64,0,6,3,13,3,3,3,0,0,29,0,35,44,173,93,114,85,19,4,566,0,0,0,54,38,35,32,13,0,176,5,21,96,208,104,78,78,31,7,630,0,0,0,14,31,78,92,78,10,305,0,0,4,36,13,35,57,18,9,179,51,248,309,1253,2280,3049,4140,2005,481,13813,0,23,16,115,64,61,26,7,3,318,4,16,29,121,59,56,83,24,8,384,3,24,36,162,198,397,735,357,83,1998,0,4,3,16,22,58,99,57,13,270,0,6,20,58,36,52,17,11,4,205,33,35,70,617,88,101,112,56,12,1121,0,19,9,32,13,25,40,30,4,177,0,0,3,40,15,10,10,3,0,79,0,8,4,29,28,15,12,0,0,92
1001,0,0,6,6,0,0,0,0,0,9,2863,5172,5360,8837,4406,4152,2819,1367,513,35489,0,6,0,40,4,0,0,0,0,48,0,0,0,0,0,0,3,3,0,13,0,0,0,3,0,0,0,0,0,8,0,0,6,15,9,11,0,0,0,47,0,0,0,3,5,0,0,0,0,10,0,0,8,38,15,3,6,3,0,76,0,0,0,0,6,14,20,24,4,69,0,3,0,6,0,3,3,0,0,16,5,23,35,127,183,163,190,95,34,852,0,0,4,14,6,4,6,0,0,39,0,0,0,4,4,3,8,0,3,22,0,0,3,10,14,51,117,40,14,264,0,0,0,3,4,6,12,10,5,36,0,3,0,10,5,5,4,0,0,23,13,45,7,325,24,18,15,6,3,440,0,0,0,0,0,0,0,0,0,7,0,5,0,12,3,3,0,0,0,23,0,0,0,0,0,0,0,0,0,3
1002,0,0,0,0,0,0,0,0,0,0,585,1211,1841,1796,1024,977,709,402,124,8675,0,3,0,20,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,5,0,0,19,0,0,0,0,4,0,0,0,0,3,0,3,80,48,12,0,3,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,29,28,43,77,39,7,252,0,0,4,7,3,6,0,0,0,17,0,0,0,3,0,4,0,0,0,11,0,0,3,0,7,11,3,3,3,39,0,0,0,0,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,8,3,3,7,55,10,4,0,0,0,84,0,0,0,3,3,0,0,0,3,13,0,0,5,11,6,0,3,0,0,21,7,8,0,26,7,0,0,0,0,50
1003,0,0,0,0,0,0,0,0,0,0,536,1227,1041,1888,1224,1440,1238,673,327,9597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,4,3,3,0,35,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,21,12,66,69,52,88,66,23,401,0,0,0,3,0,6,0,0,0,17,0,0,0,3,3,0,3,0,0,7,0,0,3,8,0,4,14,5,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,6,0,3,4,34,0,0,0,0,0,44,0,0,0,4,0,0,0,0,0,11,0,0,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0,0,0,308,799,619,1107,725,906,926,425,150,5975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,0,0,0,0,0,3,3,0,0,4,0,0,0,4,3,0,4,0,0,12,0,0,0,0,4,3,16,14,0,40,0,0,0,0,0,0,0,0,0,4,0,9,5,13,45,79,114,84,32,386,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,3,0,0,4,0,0,0,0,3,12,28,15,0,52,0,0,3,0,0,3,9,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,3,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0,3,0,0,0,0,0,0,0,8,1113,2282,2381,3798,1649,1591,1081,530,189,14619,0,3,0,13,0,5,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,3,0,8,4,4,3,0,0,23,0,0,0,3,0,0,3,0,0,6,0,3,13,22,7,11,6,0,0,65,0,0,0,0,0,4,3,0,0,12,0,0,3,5,0,0,0,0,0,16,0,8,30,38,42,63,77,45,13,319,0,0,0,5,3,6,0,0,0,18,0,0,0,6,3,4,0,0,0,12,0,0,0,0,6,3,16,4,3,37,0,0,0,0,0,3,5,0,0,12,0,7,3,3,0,0,0,0,0,15,0,5,3,59,9,3,5,0,0,88,0,0,0,3,0,0,0,4,0,4,0,0,0,6,0,0,0,0,0,11,0,0,3,3,3,0,0,0,0,11
1006,0,0,0,0,0,0,0,0,0,0,927,2151,1722,2796,1750,1702,1554,946,285,13826,0,0,0,12,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,7,7,10,4,3,0,34,0,0,0,3,5,6,0,0,0,11,0,9,65,9,9,3,3,3,0,102,0,0,0,0,3,3,0,0,0,13,0,0,0,0,0,3,7,3,0,10,4,21,23,88,150,195,296,188,61,1030,0,0,0,3,3,3,6,0,0,19,0,0,4,4,9,3,3,3,0,24,0,0,0,5,8,18,33,16,3,75,0,0,0,0,3,7,7,11,0,28,0,4,12,7,0,3,4,0,0,38,3,10,3,50,5,5,9,10,0,100,0,0,0,3,0,0,0,0,0,13,0,0,0,5,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,6
1007,0,0,0,0,0,0,0,0,0,0,473,913,914,1669,993,1147,812,412,154,7470,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,23,19,10,3,82,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,3,0,16,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,16,5,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0,0,0,329,802,676,1005,868,1025,1221,629,189,6754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,3,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,50,55,117,69,21,333,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,3,0,6,11,9,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,6,4,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,0,0,0,5,0,0,0,0,0,10,9137,18978,16885,28417,15161,14227,11223,5995,2482,122498,0,0,3,31,3,0,0,0,0,36,0,0,3,7,8,7,7,8,0,35,0,0,0,19,3,3,3,0,0,28,3,18,19,84,48,37,29,19,6,269,0,4,3,30,41,20,38,15,3,149,7,37,44,176,89,85,89,39,16,568,0,0,0,10,23,31,41,39,7,147,0,0,0,27,13,43,50,30,14,184,42,285,295,1062,1328,1286,1575,1058,356,7284,0,5,9,64,35,36,15,4,0,165,0,0,3,33,30,17,27,10,0,123,0,14,11,47,54,72,180,81,50,508,0,4,3,3,10,38,46,54,4,160,0,11,9,24,22,29,13,15,0,119,13,40,36,430,70,44,49,35,11,735,0,9,22,46,23,12,16,18,4,148,0,3,0,28,8,12,7,0,0,60,0,0,8,5,14,0,3,3,0,29
