SUA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
1000,9049,8370,17424,30012,28304,58319,8369,8192,16562,3571,3419,6986,41956,39920,81876,20253,20014,40271,6235,6625,12859,3716,3966,7684,30210,30605,60813,844,1121,1969,456,1326,1784,3447,2182,5629,2444,5147,7594,100,104,204,7290,9886,17179,2207,3692,5905,921,2044,2967,521,1053,1575,2081,5335,7415,35,73,106,5774,12197,17976,539,684,1221,857,2205,3063,44,64,113,1436,2955,4394,52803,49155,101957,148526,153082,301613
1001,829,810,1645,2302,2182,4478,998,968,1964,537,573,1115,3841,3719,7557,1679,1590,3273,750,753,1502,412,507,916,2842,2851,5690,241,203,444,131,228,360,374,253,624,332,573,901,9,0,10,1081,1254,2337,321,723,1039,166,327,495,76,124,198,302,619,921,3,4,3,864,1796,2660,155,134,286,150,289,439,8,4,21,320,425,742,3228,3325,6554,13009,14173,27180
1002,201,183,387,626,626,1251,134,138,273,137,144,278,897,905,1805,445,390,836,137,154,295,293,340,634,877,886,1765,43,30,69,32,40,73,70,47,121,82,108,195,3,0,3,231,229,466,766,998,1764,301,343,650,76,96,174,150,260,408,5,9,11,1304,1705,3011,11,10,26,34,43,72,0,0,0,44,58,100,881,1002,1880,4434,4972,9403
1003,192,193,383,450,358,812,329,320,652,118,111,230,892,792,1690,379,337,717,298,320,617,57,70,129,728,731,1459,22,19,43,19,49,72,72,40,103,68,140,211,3,3,8,181,254,437,61,110,163,48,97,143,19,26,41,91,174,264,3,0,3,218,402,621,10,19,29,32,52,79,0,0,0,41,67,110,964,1119,2082,3219,3561,6782
1004,92,96,188,364,379,741,154,140,291,34,31,65,547,547,1097,252,262,513,120,111,231,43,43,89,418,416,830,13,6,16,10,15,23,40,41,72,42,62,99,0,3,3,98,124,218,15,23,38,17,37,52,3,4,7,20,76,95,0,0,0,57,141,198,4,13,15,12,36,54,4,7,5,21,52,77,788,814,1602,2018,2194,4210
1005,352,328,683,986,871,1864,550,558,1111,97,101,194,1636,1534,3168,723,593,1321,332,372,703,258,178,433,1307,1149,2457,41,63,110,32,71,103,123,88,213,126,232,353,4,9,12,323,469,788,428,645,1074,121,126,239,57,79,138,173,311,485,0,0,0,774,1164,1937,19,22,46,46,88,134,0,0,0,70,117,178,1810,1363,3174,6270,6114,12389
1006,357,310,672,964,949,1912,284,269,556,275,280,562,1531,1497,3029,517,507,1024,500,426,927,262,516,780,1281,1452,2735,26,32,55,10,39,54,138,79,223,88,170,261,0,7,5,267,324,595,122,180,294,36,90,125,25,56,82,121,223,345,0,11,10,305,551,856,14,45,62,48,125,175,0,3,3,64,171,236,1283,1426,2718,5091,5739,10830
1007,161,148,308,568,562,1129,47,50,97,4,9,13,621,616,1230,473,467,936,0,3,3,10,13,27,485,485,975,26,25,55,15,46,59,72,38,109,64,128,192,0,3,3,174,248,418,6,38,39,5,29,34,7,13,22,48,106,156,0,4,4,71,187,254,10,15,25,23,43,71,3,3,5,37,61,92,822,810,1634,2369,2544,4914
1008,117,124,241,402,400,799,123,128,243,24,27,51,546,553,1094,312,258,569,156,182,340,41,59,100,513,491,1006,14,12,23,11,24,37,44,18,64,43,90,134,0,0,3,114,142,262,27,34,59,8,33,45,5,15,20,23,80,99,0,0,0,66,166,230,5,11,15,14,27,38,0,0,4,18,40,58,594,626,1224,1967,2143,4110
1009,3328,3038,6372,10152,9337,19486,2125,2180,4302,1461,1359,2820,13732,12873,26609,6911,6728,13641,1816,1803,3621,1392,1422,2815,10122,9947,20074,341,453,797,202,453,657,1264,742,2008,880,1695,2576,33,27,63,2731,3373,6102,1822,2376,4201,652,1142,1795,427,516,936,973,2083,3059,16,31,52,3885,6148,10037,202,306,512,427,929,1359,7,21,23,635,1258,1896,9821,10928,20751,44261,47572,91827
