SUA_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
1000,11975,2501,294,160,10471,4689,30093,8078,3877,693,400,7466,2991,23506,13676,12542,3073,1633,9238,6037,46201,13949,17191,5297,2879,8704,6596,54615,17271,21527,6627,3283,12574,8187,69467,17176,22866,8230,4985,16573,9030,78858,9853,15789,8784,6773,16489,8861,66549,3695,5617,3676,3322,9400,5807,31509,1007,1190,626,592,3703,2148,9271,96678,103103,37298,24024,94618,54343,410062,12124,3435,526,270,7900,4268,28519,6110,5659,1805,1802,3997,2201,21579,6543,13292,7857,11038,4235,4552,47519,4604,17207,12746,13514,3973,5197,57250,7021,23891,15928,11448,6115,6753,71160,7104,22799,16896,13643,9047,7665,77147,3722,12141,13035,14021,11186,7759,61860,2326,4828,4510,5504,8579,6237,31990,1314,1590,943,908,6459,3278,14500,50871,104841,74252,72151,61493,47916,411518,24098,5933,817,430,18372,8957,58615,14189,9541,2500,2201,11466,5195,45086,20219,25832,10930,12668,13473,10586,93714,18555,34394,18043,16391,12682,11790,111863,24293,45421,22556,14734,18688,14937,140622,24274,45668,25126,18625,25615,16698,155996,13572,27925,21817,20797,27680,16622,128415,6020,10445,8190,8824,17978,12040,63495,2325,2784,1569,1501
1001,1252,203,26,10,1197,295,2983,1156,531,65,34,1056,294,3142,1943,1722,312,139,1141,493,5755,1543,1772,464,184,857,421,5244,1558,1822,458,164,1044,444,5497,1349,1557,470,185,1163,446,5174,673,1019,426,268,1104,399,3889,244,401,194,155,689,304,1990,91,95,48,25,333,165,753,9817,9138,2458,1167,8588,3260,34428,1307,332,53,23,855,262,2824,920,885,218,175,546,258,3004,1023,1948,951,1153,574,429,6076,500,1790,1281,1159,511,378,5626,686,2106,1211,744,658,370,5782,602,1861,1200,757,828,443,5692,302,903,864,811,982,448,4309,183,380,341,320,888,489,2597,99,146,74,81,688,235,1311,5619,10354,6184,5220,6533,3307,37215,2557,533,73,30,2054,553,5806,2080,1423,279,207,1602,555,6152,2962,3674,1255,1296,1714,925,11828,2041,3560,1744,1348,1373,795,10870,2246,3927,1670,908,1703,817,11273,1952,3417,1667,947,1998,888,10866,982,1923,1287,1072,2085,845,8195,429,789,532,476,1574,788,4591,187,240,118,102
1002,408,100,13,7,410,108,1035,424,222,32,17,420,132,1250,436,415,74,36,327,123,1404,308,377,118,50,204,92,1153,328,515,115,48,224,116,1347,298,418,127,41,235,110,1238,166,299,117,72,194,88,949,59,138,59,49,155,71,537,20,29,14,9,66,36,166,2448,2510,677,325,2227,885,9078,510,177,18,5,313,113,1132,424,350,54,47,284,136,1300,263,431,204,225,239,116,1488,123,404,292,244,123,96,1281,159,534,326,185,107,135,1447,185,509,271,159,163,102,1396,70,257,236,182,202,99,1045,75,111,110,90,200,117,702,36,56,28,15,158,56,351,1849,2832,1546,1151,1795,978,10141,909,275,29,9,726,218,2171,855,570,87,61,706,271,2547,693,850,282,265,568,238,2894,427,783,409,291,334,191,2431,492,1046,442,232,328,256,2794,483,932,402,205,397,211,2632,239,563,358,254,399,191,1989,137,251,171,140,354,186,1241,58,79,44,26
1003,292,48,6,0,283,65,683,193,73,10,9,174,40,492,388,319,57,24,198,84,1068,385,442,108,42,221,97,1295,438,542,129,61,255,122,1538,412,596,163,67,378,169,1792,262,470,237,119,389,168,1629,109,203,110,79,265,141,912,48,63,32,29,154,137,461,2518,2757,846,426,2310,1020,9878,276,51,13,3,205,46,595,185,117,27,28,95,29,481,243,365,168,195,109,70,1153,175,501,316,263,92,100,1449,276,645,344,208,175,135,1782,247,708,442,219,247,156,2015,114,400,394,331,327,190,1748,80,216,186,164,312,215,1174,77,88,41,35,284,253,779,1680,3084,1923,1451,1835,1194,11165,571,100,13,3,482,103,1275,376,194,36,35,263,67,973,632,679,218,222,305,156,2218,564,940,429,300,309,195,2742,711,1185,474,263,430,258,3323,661,1302,607,286,622,322,3807,375,865,627,448,711,356,3383,193,421,293,249,574,358,2087,123,151,73,63
1004,142,30,10,3,165,54,406,104,46,7,4,103,22,286,155,179,60,24,136,61,623,177,225,68,34,134,70,705,220,291,89,43,189,105,933,238,381,167,80,245,102,1216,186,358,240,141,303,170,1399,79,151,111,66,202,138,743,20,26,20,10,101,62,246,1327,1686,758,410,1578,795,6555,155,36,8,3,120,40,371,63,78,29,31,53,24,279,89,161,102,147,61,47,614,80,249,164,165,74,75,811,136,323,204,117,104,65,944,123,420,334,207,200,111,1400,85,333,305,297,253,193,1479,40,118,112,125,214,169,777,33,26,25,27,151,121,384,823,1753,1288,1112,1245,847,7065,302,74,15,5,288,99,775,165,125,36,30,159,50,568,250,344,161,170,201,113,1234,260,469,229,201,209,148,1516,358,613,293,160,289,166,1875,363,802,505,281,450,216,2615,273,692,543,441,561,365,2875,123,261,218,188,420,305,1523,56,51,46,40
1005,537,73,9,11,543,152,1314,519,239,29,19,371,270,1454,828,639,126,56,404,425,2469,569,680,190,71,285,274,2077,509,739,170,64,327,210,2013,472,652,183,91,379,166,1946,209,364,200,122,378,176,1439,96,148,76,73,217,114,730,32,40,23,9,106,56,261,3766,3580,1003,518,3008,1841,13713,526,131,26,13,390,144,1226,474,352,86,95,263,141,1405,328,739,354,459,183,143,2212,158,654,497,490,163,119,2079,234,813,475,290,219,145,2177,219,676,423,283,270,161,2025,103,347,336,307,319,164,1570,71,178,124,174,277,200,1023,62,58,39,27,236,146,561,2168,3943,2355,2133,2318,1359,14279,1059,205,31,24,930,294,2546,995,592,112,110,639,412,2864,1148,1379,476,522,582,567,4676,725,1335,681,568,449,395,4154,745,1553,645,349,544,348,4189,690,1332,608,366,653,329,3979,313,704,529,429,694,337,3014,165,328,207,248,492,319,1749,89,95,59,37
1006,512,80,9,0,437,149,1188,333,115,14,6,300,60,820,545,455,93,35,394,130,1645,555,671,146,59,298,143,1869,695,780,233,82,361,181,2333,623,760,250,108,421,160,2329,429,732,347,183,505,229,2434,197,363,204,159,385,190,1490,48,68,31,33,196,71,452,3940,4008,1318,666,3304,1321,14557,663,101,18,6,400,128,1320,283,182,56,37,132,54,744,293,504,242,367,146,95,1651,199,693,487,502,114,148,2147,283,966,608,409,195,173,2630,335,928,590,405,244,187,2691,182,702,684,611,441,276,2895,133,316,288,314,395,230,1684,75,102,48,44,338,153,759,2455,4501,3013,2693,2405,1445,16515,1179,186,25,8,835,280,2507,621,293,66,42,435,111,1565,845,962,339,405,532,223,3302,753,1361,629,560,415,294,4012,975,1749,838,490,555,351,4965,961,1689,842,510,668,349,5014,609,1436,1033,798,955,510,5327,326,680,493,470,778,420,3169,121,167,81,83
1007,164,44,7,3,234,55,510,131,84,17,5,173,57,479,255,290,76,33,242,126,1020,194,271,88,55,203,105,906,238,326,99,51,338,135,1190,255,335,121,75,412,122,1320,117,210,120,102,333,126,1011,52,91,33,43,200,82,504,18,16,9,14,86,48,194,1426,1679,572,395,2202,859,7134,151,71,6,0,169,43,437,102,135,38,47,118,46,486,129,356,151,213,148,96,1097,106,276,183,194,112,73,948,123,370,246,164,186,82,1167,127,370,258,225,240,127,1344,62,195,165,211,267,137,1038,60,104,71,100,261,131,716,40,39,22,17,209,74,398,898,1908,1139,1175,1704,802,7629,311,112,18,11,401,99,949,236,224,61,53,293,108,962,380,647,223,251,388,224,2114,298,544,274,249,312,175,1861,364,694,347,214,518,216,2356,378,710,377,294,651,252,2663,183,405,282,312,597,267,2049,115,194,103,140,462,210,1219,55,54,33,37
1008,193,50,4,5,159,59,469,98,38,13,7,74,30,263,136,130,26,20,112,38,465,187,237,58,39,102,50,678,278,352,97,55,197,88,1068,265,385,164,76,281,82,1252,215,421,260,166,379,161,1603,102,157,96,107,251,161,871,26,34,27,18,98,65,271,1501,1794,749,501,1663,738,6952,193,41,5,7,110,30,382,62,44,14,16,45,14,202,66,167,75,130,52,39,527,60,256,185,164,52,51,768,117,428,251,178,103,77,1159,150,456,331,239,192,81,1448,94,301,399,353,308,152,1610,71,146,125,166,269,176,953,25,37,28,19,133,119,358,848,1874,1421,1267,1262,745,7412,388,89,9,11,266,89,856,161,82,30,21,117,51,463,195,299,101,155,166,81,997,254,493,244,207,157,103,1452,393,778,349,234,299,165,2227,414,841,495,315,478,162,2700,310,721,657,522,691,314,3214,176,302,222,270,520,336,1826,49,74,55,44
1009,4213,693,61,38,4028,814,9836,3523,1238,188,83,3406,633,9064,6122,4516,935,415,3798,1115,16898,5748,6337,1503,712,3068,1172,18538,5754,6759,1742,813,3914,1350,20330,4762,6145,1851,950,4271,1415,19396,2663,4440,2176,1363,4566,1551,16765,1127,1918,1112,855,3070,1421,9510,434,507,246,211,1582,841,3818,34344,32558,9803,5449,31694,10314,124152,4352,1019,120,72,3223,730,9515,3174,2079,532,439,1932,551,8713,3249,5384,2759,3507,1815,954,17663,1896,6183,4391,4785,1511,1097,19869,2559,7704,4915,3321,2133,1245,21874,2533,6909,4584,3338,2957,1396,21709,1416,4120,3919,3496,4148,1847,18945,889,1951,1560,1602,3797,2022,11828,593,726,388,309,2745,1601,6360,20665,36081,23169,20866,24249,11448,136480,8565,1714,177,101,7245,1543,19349,6700,3318,721,527,5332,1184,17777,9370,9897,3691,3918,5614,2072,34566,7644,12528,5894,5497,4584,2269,38409,8311,14465,6658,4134,6047,2597,42205,7292,13056,6433,4288,7223,2808,41107,4082,8558,6089,4863,8709,3400,35704,2020,3871,2670,2464,6867,3449,21338,1027,1234,634,524
1010,908,165,10,6,810,198,2104,639,289,46,24,615,168,1776,1143,945,212,110,777,323,3504,1025,1239,305,175,621,284,3641,1045,1403,412,186,739,318,4101,1129,1463,543,237,995,448,4809,611,1047,553,360,952,402,3928,256,408,256,197,602,359,2077,87,92,62,48,270,213,772,6833,7054,2411,1340,6383,2694,26712,878,240,31,19,601,180,1947,516,462,145,107,354,143,1721,596,1106,633,725,438,265,3758,438,1269,906,821,352,252,4038,619,1753,985,578,489,369,4800,576,1705,1040,742,689,372,5116,276,935,860,855,789,405,4123,172,406,328,409,726,494,2528,105,142,86,61,475,393,1262,4169,8009,5018,4319,4916,2863,29292,1780,404,46,29,1412,378,4046,1153,754,191,134,964,304,3498,1733,2047,846,830,1215,587,7259,1459,2503,1217,997,973,527,7683,1664,3163,1394,763,1233,685,8898,1701,3160,1587,980,1680,819,9925,886,1981,1421,1214,1747,803,8051,428,820,587,602,1329,847,4609,189,231,150,114
1011,455,92,9,7,443,106,1116,419,227,28,15,374,109,1169,790,684,147,63,547,214,2453,558,708,169,76,403,193,2103,585,711,158,64,419,166,2110,481,565,157,81,456,169,1914,253,327,167,87,408,163,1406,106,147,102,62,278,112,799,37,44,20,10,142,46,296,3680,3504,947,466,3470,1286,13359,495,139,16,4,382,122,1160,337,315,105,93,252,96,1201,424,839,427,541,309,223,2762,208,704,492,455,222,166,2245,263,853,488,268,266,186,2318,237,749,452,282,313,189,2228,113,317,296,316,336,187,1562,78,204,146,159,340,177,1104,62,53,32,25,242,87,503,2213,4180,2448,2150,2666,1425,15084,948,236,23,12,825,231,2274,759,537,131,106,622,203,2366,1219,1530,566,603,861,439,5214,766,1407,655,531,622,358,4347,848,1562,649,333,686,350,4431,719,1316,611,363,769,355,4135,368,646,458,405,747,347,2972,177,350,245,219,618,291,1901,98,96,48,39
1012,227,35,4,5,204,60,533,117,56,14,15,106,26,335,214,188,36,26,162,63,687,224,245,74,45,148,65,806,256,329,92,58,231,99,1061,289,435,152,99,338,127,1434,280,489,263,148,491,197,1874,134,221,132,110,385,209,1193,39,53,39,31,209,112,486,1776,2052,804,537,2269,961,8405,201,43,5,4,166,38,460,94,95,42,31,58,26,350,130,220,111,158,83,63,759,88,321,163,168,93,55,886,130,374,257,150,156,76,1151,172,517,387,227,249,124,1681,144,425,421,353,449,209,2005,82,210,190,208,411,283,1381,64,73,44,38,336,187,744,1111,2275,1627,1345,2000,1069,9415,423,72,9,10,370,103,989,210,151,53,45,164,56,683,347,405,145,185,240,121,1448,311,572,238,214,237,121,1696,387,701,344,213,391,175,2205,463,944,541,330,589,248,3113,428,914,683,498,937,412,3879,210,432,327,321,796,490,2580,102,129,85,74
1013,272,44,7,0,307,80,711,242,121,25,6,254,137,792,432,357,76,39,314,321,1535,369,426,100,60,214,278,1448,364,456,118,41,309,197,1484,322,405,125,67,321,130,1373,191,267,136,82,295,165,1139,74,97,53,52,201,121,599,30,35,22,5,71,59,223,2299,2198,662,352,2290,1490,9292,274,68,11,13,236,57,649,191,142,46,44,128,42,606,210,421,249,303,179,105,1466,118,441,275,267,120,83,1310,157,539,309,197,178,89,1475,154,479,288,209,251,105,1485,105,239,226,214,268,158,1206,64,122,105,98,234,176,803,35,57,29,23,134,172,445,1307,2508,1542,1361,1727,1000,9443,546,104,20,11,542,137,1364,439,261,71,53,389,181,1400,640,771,324,345,492,431,2997,486,867,376,325,339,362,2756,530,994,430,234,486,284,2959,476,885,414,275,575,233,2855,294,514,356,294,560,321,2346,138,223,159,152,429,297,1395,65,88,51,27
1014,243,55,5,0,205,82,595,164,99,21,3,136,78,505,288,259,63,35,205,160,1013,237,313,86,64,181,138,1015,252,328,87,68,203,126,1068,249,298,129,70,306,111,1153,138,230,156,86,295,104,1012,67,101,54,65,215,99,606,22,22,19,14,112,42,234,1672,1708,626,405,1852,937,7195,230,68,11,11,163,72,563,113,114,54,56,89,39,465,113,290,159,250,91,77,990,73,335,234,237,101,89,1063,143,381,240,201,142,77,1186,119,397,270,209,200,97,1286,56,206,209,238,284,137,1127,55,114,94,135,283,147,832,44,63,20,22,260,78,485,953,1967,1284,1357,1624,807,7994,473,127,17,12,366,154,1151,274,218,73,62,226,111,967,399,548,223,286,298,244,1998,315,642,320,299,284,220,2078,397,710,326,268,351,207,2256,369,701,397,272,501,200,2445,197,431,357,328,580,237,2138,128,216,149,198,497,248,1435,60,90,41,41
