SUA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
1000,214,1234,9,1455,23935,4707,30093,1457,921,44,2420,18288,2801,23506,14842,1476,382,16700,23810,5691,46201,27231,1364,841,29432,18998,6183,54615,16974,2716,479,20174,41733,7561,69467,3568,6511,116,10191,60384,8279,78858,609,5727,33,6366,52238,7939,66549,111,1046,8,1171,25196,5143,31509,63,73,3,132,7268,1866,9271,65063,21069,1918,88048,271850,50167,410062,484,2293,27,2805,21540,4176,28519,3389,1656,128,5178,14311,2095,21579,22847,2379,1333,26563,16577,4381,47519,33320,2142,1799,37266,14991,4987,57250,15611,6775,731,23112,41621,6425,71160,1460,14301,128,15891,54058,7192,77147,409,8720,44,9169,45643,7055,61860,99,1218,7,1328,25038,5618,31990,81,122,7,212,11264,3028,14500,77711,39599,4209,121525,245042,44954,411518,698,3522,39,4265,45471,8881,58615,4848,2572,175,7594,32597,4893,45086,37689,3856,1713,43261,40385,10070,93714,60553,3505,2640,66702,33990,11169,111863,32585,9493,1214,43286,83359,13981,140622,5025,20810,250,26082,114445,15473,155996,1018,14449,72,15533,97878,14995,128415,213,2268,12,2501,50233,10758,63495,147,192,9,342
1001,28,139,0,161,2530,287,2983,159,130,4,297,2558,290,3142,1803,186,63,2052,3241,459,5755,2709,142,76,2922,1921,398,5244,1441,189,54,1686,3400,414,5497,241,514,11,771,3967,436,5174,39,450,0,492,3020,378,3889,8,75,0,88,1614,290,1990,3,3,0,5,596,153,753,6429,1836,205,8472,22848,3111,34428,37,245,4,285,2270,268,2824,337,253,12,606,2149,249,3004,2698,362,169,3229,2415,426,6076,3296,241,176,3713,1555,359,5626,1339,565,72,1979,3434,368,5782,119,1215,10,1346,3936,405,5692,33,777,3,816,3070,425,4309,10,109,0,117,2018,472,2597,3,17,0,21,1082,211,1311,7874,3782,461,12111,21929,3173,37215,62,379,4,449,4799,555,5806,497,384,20,902,4711,536,6152,4506,547,233,5283,5652,892,11828,6007,383,254,6641,3474,754,10870,2782,758,122,3661,6834,778,11273,360,1730,27,2116,7907,844,10866,69,1227,8,1309,6091,799,8195,14,186,3,199,3628,764,4591,6,21,0,26
1002,8,27,0,36,896,108,1035,35,50,0,85,1037,129,1250,355,43,12,408,881,119,1404,556,21,17,594,479,83,1153,368,43,15,422,804,122,1347,72,107,0,185,952,106,1238,15,90,0,102,767,77,949,6,22,0,25,446,72,537,0,0,0,3,134,32,166,1416,396,44,1855,6384,839,9078,7,105,0,116,918,104,1132,68,84,4,160,1003,140,1300,552,64,24,633,733,121,1488,726,39,37,809,380,87,1281,347,105,16,469,849,129,1447,45,235,7,279,1009,105,1396,7,138,0,142,802,98,1045,3,36,0,37,554,113,702,0,0,0,3,294,57,351,1759,806,90,2656,6539,953,10141,16,135,0,153,1813,208,2171,101,132,4,243,2039,262,2547,906,101,33,1045,1614,237,2894,1282,64,56,1398,859,172,2431,716,146,31,891,1649,249,2794,117,339,4,464,1958,210,2632,20,226,0,247,1572,171,1989,5,55,3,64,1004,181,1241,3,4,0,5
1003,3,32,0,35,577,71,683,12,18,0,31,417,38,492,290,44,10,341,646,82,1068,658,29,25,711,491,90,1295,470,54,14,532,890,117,1538,112,152,0,258,1371,159,1792,20,163,0,180,1293,158,1629,3,22,0,30,758,132,912,0,3,0,4,333,129,461,1564,517,44,2129,6772,980,9878,13,55,0,64,486,42,595,53,33,3,81,368,30,481,471,57,24,553,523,69,1153,864,42,42,950,400,99,1449,478,121,16,620,1039,123,1782,46,386,3,435,1426,157,2015,11,262,0,271,1306,171,1748,4,34,0,34,925,207,1174,0,10,0,10,522,250,779,1931,990,92,3012,6988,1163,11165,14,83,0,101,1065,114,1275,68,49,3,120,788,68,973,765,99,31,898,1169,151,2218,1520,69,66,1660,891,189,2742,948,179,29,1154,1926,240,3323,153,538,3,692,2795,322,3807,26,425,0,455,2598,333,3383,9,58,0,60,1686,340,2087,0,6,0,11
1004,9,13,0,18,332,52,406,21,17,0,38,232,19,286,190,17,3,212,350,56,623,322,21,15,357,284,66,705,206,38,3,253,580,95,933,48,94,0,139,979,101,1216,11,94,0,110,1126,163,1399,0,11,0,9,602,128,743,0,0,0,0,188,55,246,812,306,27,1144,4669,741,6555,8,30,0,33,300,39,371,63,21,0,80,176,28,279,291,26,23,346,228,46,614,433,18,26,483,261,67,811,183,91,8,277,611,54,944,20,197,4,215,1082,105,1400,4,157,3,168,1145,167,1479,0,15,0,20,605,157,777,0,0,0,0,265,120,384,1011,550,62,1624,4664,781,7065,13,42,0,54,628,93,775,81,39,0,118,407,44,568,485,50,28,558,574,107,1234,753,43,40,837,545,136,1516,396,129,13,528,1194,157,1875,67,291,4,357,2053,205,2615,17,251,8,273,2267,331,2875,7,30,0,29,1210,281,1523,0,0,0,3
1005,6,67,0,77,1087,150,1314,65,67,3,136,1051,269,1454,723,84,23,834,1227,409,2469,1026,54,40,1116,692,264,2077,562,89,21,673,1144,197,2013,102,223,0,321,1464,159,1946,15,176,0,197,1092,156,1439,3,37,0,42,581,105,730,9,0,0,8,204,52,261,2514,811,82,3408,8547,1764,13713,21,113,3,130,957,138,1226,156,110,10,283,988,141,1405,1030,118,71,1214,856,138,2212,1299,85,62,1446,521,109,2079,539,233,15,785,1264,125,2177,62,493,6,552,1315,152,2025,9,291,3,308,1110,151,1570,5,57,0,66,787,172,1023,0,6,0,7,420,135,561,3116,1508,175,4796,8221,1262,14279,25,180,3,208,2049,289,2546,223,184,14,423,2031,411,2864,1748,201,96,2044,2087,547,4676,2325,136,104,2567,1217,372,4154,1098,327,36,1460,2410,320,4189,159,709,3,878,2779,317,3979,30,467,8,503,2199,304,3014,8,101,0,108,1371,278,1749,11,9,0,16
1006,4,47,0,50,991,151,1188,47,32,0,87,678,61,820,554,64,13,634,892,124,1645,994,42,43,1082,643,146,1869,748,83,26,857,1300,179,2333,159,193,3,355,1822,151,2329,21,259,0,278,1950,204,2434,0,75,0,81,1251,160,1490,0,0,0,0,378,69,452,2532,797,90,3419,9904,1231,14557,18,103,0,118,1074,129,1320,102,54,10,163,530,51,744,807,79,49,930,627,96,1651,1350,74,67,1491,510,141,2147,768,210,38,1020,1448,158,2630,73,532,5,607,1895,192,2691,9,509,0,524,2127,248,2895,3,97,0,100,1365,216,1684,0,5,0,8,611,140,759,3127,1658,173,4958,10193,1367,16515,22,150,0,172,2063,274,2507,152,90,10,244,1213,109,1565,1357,140,66,1564,1517,220,3302,2347,114,114,2572,1157,282,4012,1516,296,68,1873,2748,337,4965,228,726,11,963,3714,341,5014,35,768,3,799,4081,446,5327,5,176,0,176,2616,376,3169,0,8,0,9
1007,0,20,0,18,436,54,510,47,16,0,66,353,59,479,296,29,14,344,559,119,1020,403,32,13,448,359,102,906,217,56,3,275,783,125,1190,40,143,0,185,1015,117,1320,11,80,0,88,816,110,1011,0,17,0,22,421,59,504,0,0,0,0,153,41,194,1024,389,35,1448,4901,782,7134,6,47,0,53,347,40,437,88,35,3,124,316,44,486,496,82,27,598,399,94,1097,507,48,22,579,296,77,948,202,146,3,353,731,76,1167,28,253,0,279,954,108,1344,5,121,0,125,803,109,1038,0,23,0,26,581,108,716,0,4,0,4,328,67,398,1326,753,61,2145,4763,726,7629,6,59,0,71,783,92,949,134,57,3,191,667,102,962,790,111,43,943,959,217,2114,911,72,43,1025,659,175,1861,422,202,5,635,1520,201,2356,64,396,3,468,1971,226,2663,20,194,0,212,1619,218,2049,0,39,0,45,1009,172,1219,0,4,0,4
1008,7,15,0,21,399,51,469,24,15,0,35,200,26,263,172,12,3,186,241,40,465,365,20,9,387,246,45,678,282,41,8,325,655,77,1068,43,118,0,165,1011,76,1252,5,126,0,134,1327,148,1603,0,19,0,23,703,144,871,0,0,0,0,210,62,271,892,364,21,1274,5001,672,6952,7,31,0,38,315,27,382,23,18,3,52,140,12,202,281,36,11,332,169,36,527,480,28,22,532,202,44,768,287,99,14,404,687,71,1159,19,236,3,261,1105,86,1448,6,166,0,174,1279,153,1610,3,25,0,27,774,156,953,0,0,0,0,242,114,358,1117,646,60,1821,4907,684,7412,14,48,0,61,709,83,856,46,36,5,81,340,38,463,451,49,14,516,408,70,997,842,44,35,918,446,87,1452,564,143,27,729,1348,146,2227,65,357,4,425,2111,158,2700,12,292,0,311,2605,300,3214,6,44,0,54,1479,299,1826,0,0,0,6
1009,42,502,8,557,8483,801,9836,425,316,15,752,7714,594,9064,5321,583,161,6068,9753,1079,16898,10062,434,371,10865,6565,1112,18538,5764,822,177,6764,12300,1271,20330,1002,2144,27,3172,14907,1318,19396,180,2221,17,2415,12885,1459,16765,29,445,3,484,7773,1259,9510,9,24,0,33,3010,773,3818,22838,7493,775,31104,83386,9661,124152,101,830,8,943,7828,745,9515,992,677,60,1725,6435,550,8713,8243,906,493,9638,7098,927,17663,12480,725,776,13982,4856,1031,19869,5634,2002,312,7946,12716,1216,21874,459,5170,48,5679,14715,1315,21709,110,3570,14,3702,13542,1710,18945,30,591,3,619,9372,1834,11828,9,41,0,51,4800,1503,6360,28063,14506,1715,44286,81365,10831,136480,149,1331,15,1496,16307,1545,19349,1420,989,70,2483,14155,1144,17777,13556,1496,651,15706,16851,2009,34566,22545,1161,1144,24850,11422,2144,38409,11396,2820,489,14705,25022,2481,42205,1461,7311,75,8850,29624,2631,41107,297,5792,28,6114,26423,3170,35704,62,1040,6,1103,17138,3094,21338,20,62,0,81
