SUA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
1000,141804,3301,1753,3679,1126,151660,107705,1279,694,894,807,111384,27724,3896,4661,360,267,36914,4721,540,887,11,52,6216,23301,1100,1284,579,358,26624,1721,442,584,12,54,2805,5959,215,419,785,251,7632,3639,150,163,118,69,4135,67067,6344,8001,1856,1054,84320,2890,481,230,136,78,3823,9675,572,706,485,386,11825,329142,11978,11383,7051,3448,363003
1001,8750,679,53,58,29,9575,10409,456,39,10,43,10962,4578,2563,423,18,23,7606,1072,410,73,0,8,1563,1250,368,49,8,22,1696,97,74,3,0,3,181,385,41,7,29,6,469,92,23,8,4,0,117,7473,3474,569,60,56,11632,265,19,0,3,8,295,634,183,39,10,9,874,27534,4815,711,139,138,33337
1002,2445,90,18,9,14,2583,2023,48,16,0,3,2091,1168,540,251,6,21,1987,255,94,111,0,0,455,366,53,45,3,10,481,53,11,35,0,0,98,51,6,3,4,4,70,33,9,0,3,0,43,1930,710,447,20,33,3140,43,3,9,0,6,63,148,30,24,5,8,211,6590,888,503,35,67,8089
1003,2747,863,107,265,12,4002,1725,505,83,3,9,2329,678,844,290,10,13,1841,168,304,46,0,0,514,298,227,70,21,8,624,16,50,9,0,0,75,38,23,0,88,0,147,24,21,0,3,0,48,1222,1466,422,117,23,3252,66,100,3,0,0,170,166,137,18,26,4,355,5917,3070,638,421,57,10102
1004,2359,254,151,52,4,2820,1337,51,30,0,10,1436,619,190,229,5,7,1039,106,50,71,0,0,236,315,40,70,3,13,437,30,12,12,0,0,54,21,12,10,13,3,56,24,3,9,0,0,32,1111,301,395,20,21,1853,17,30,7,4,0,59,137,22,28,13,5,202,4965,655,613,93,40,6371
1005,3396,276,54,13,4,3747,3829,164,38,4,5,4042,1663,674,341,11,6,2693,353,121,57,0,0,531,530,122,46,5,0,701,36,14,0,0,54,105,40,12,9,0,4,68,40,11,6,3,0,60,2651,950,464,16,74,4161,40,12,3,0,7,71,204,46,20,0,47,317,10125,1452,579,42,135,12333
1006,5299,416,39,70,42,5873,4469,93,26,10,19,4608,1324,280,146,5,8,1759,259,75,36,0,0,369,479,60,31,8,5,584,64,41,11,0,0,112,54,0,0,9,12,75,50,4,0,0,3,61,2221,466,228,22,28,2963,121,29,0,3,3,148,313,33,20,10,12,386,12420,1032,303,117,101,13977
1007,2975,31,9,7,7,3026,2099,14,0,4,7,2130,556,48,41,0,0,652,64,21,24,0,0,111,557,29,30,0,3,622,17,4,21,0,0,44,175,9,20,3,3,204,52,0,7,0,0,62,1429,112,146,5,6,1695,30,3,7,0,0,40,256,8,20,3,8,293,6792,164,184,18,23,7184
1008,2903,290,58,271,12,3534,1543,40,11,9,3,1612,528,134,127,17,11,812,12,4,42,0,0,56,235,35,26,8,4,310,10,18,0,0,5,32,23,7,0,62,0,97,20,6,0,0,0,29,820,202,198,93,14,1322,23,78,0,3,0,113,162,38,12,26,4,237,5455,650,277,403,44,6814
1009,33432,5095,2124,313,96,41060,36821,2046,1114,107,51,40144,12987,3557,3529,340,133,20547,1299,1416,855,10,11,3584,4289,717,571,84,45,5704,164,291,196,0,11,665,544,110,66,161,30,906,339,86,64,13,3,504,19618,6173,5285,615,236,31914,414,990,299,3,12,1722,2312,704,406,58,120,3606,92599,15006,9232,1100,520,118450
