SUA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,13286,14821,31968,41374,51725,41480,10314,1648,300,206913,13104,4938,11558,11354,13689,29402,46034,26456,11809,168346,2129,1822,3988,4518,5741,6262,5510,3886,2390,36251,28519,21579,47519,57250,71160,77147,61860,31990,14500,411518,6638,17688,40641,50639,64414,49148,11915,2179,354,243615,14383,9659,18638,25408,30493,30635,11887,2175,345,143626,960,966,3240,2598,3161,4138,1406,277,62,16812,951,924,1422,1675,1844,1657,841,476,124,9912,22933,29240,63941,80317,99915,85573,26058,5102,881,413955,1809,2394,3058,2936,3237,2683,144,34,11,16308,2081,1114,1440,1434,1493,1859,304,33,12,9771,3892,3502,4501,4367,4731,4542,446,73,24,26075,26821,32745,68444,84688,104646,90111,26497,5174,905,440031,27370,8376,16906,17731,23878,52601,90243,50910,19118,307139,4418,3968,8371,9443,12106,13285,11668,7411,3746,74418,58615,45086,93714,111863,140622,155996,128415,63495,23769,821578
1001,1671,2209,4430,4189,4438,3305,587,39,10,20885,995,566,1250,1105,1026,2032,3428,2248,1161,13809,157,224,395,330,317,357,295,313,137,2522,2824,3004,6076,5626,5782,5692,4309,2597,1311,37215,737,2515,5789,5242,5678,3829,543,26,6,24370,1825,1488,2450,2500,2425,2256,743,81,8,13781,89,111,433,255,221,300,97,5,0,1515,76,99,138,123,119,72,35,7,0,681,2727,4213,8814,8122,8447,6464,1419,124,19,40346,190,329,351,290,298,180,14,0,0,1648,358,183,161,162,131,146,25,0,0,1171,553,511,513,454,426,324,44,0,3,2826,3276,4727,9326,8576,8875,6791,1463,124,21,43168,2199,940,1700,1614,1729,3356,6188,3974,1808,23499,330,486,807,685,673,726,549,493,237,4984,5806,6152,11828,10870,11273,10866,8195,4591,2064,71651
1002,484,680,984,929,1096,881,173,13,3,5243,565,487,391,274,236,428,797,611,309,4105,83,129,111,81,115,82,74,83,42,796,1132,1300,1488,1281,1447,1396,1045,702,351,10141,121,463,1189,1118,1388,1025,161,15,3,5483,489,589,603,517,584,542,213,28,8,3564,63,72,74,50,47,79,17,3,0,410,30,42,29,27,30,20,9,4,0,186,702,1156,1887,1720,2045,1658,409,47,11,9636,45,82,91,63,64,41,5,0,0,398,146,139,73,41,34,36,4,0,0,475,190,224,164,105,101,74,7,3,0,876,895,1382,2057,1825,2147,1730,412,49,11,10515,1117,918,618,464,425,723,1430,1063,443,7205,158,241,218,149,217,177,144,131,69,1503,2171,2547,2894,2431,2794,2632,1989,1241,521,19225
1003,333,377,817,1104,1353,1124,223,16,3,5354,234,75,259,256,311,761,1397,1001,566,4868,28,29,66,81,110,128,135,155,206,944,595,481,1153,1449,1782,2015,1748,1174,779,11165,85,333,932,1225,1480,1112,171,12,3,5357,465,326,572,766,869,873,322,23,3,4228,18,15,73,63,52,91,23,3,4,339,15,14,16,46,40,42,21,3,6,211,585,694,1591,2101,2448,2119,538,40,16,10133,27,44,72,64,80,56,7,4,0,354,65,28,34,39,55,51,12,3,0,295,98,72,115,103,128,106,13,8,0,650,680,769,1708,2203,2580,2226,556,43,16,10785,531,139,366,378,537,1301,2564,1784,916,8520,59,64,142,161,203,279,261,257,310,1744,1275,973,2218,2742,3323,3807,3383,2087,1241,21046
1004,223,197,407,580,689,673,126,12,3,2912,119,64,162,177,210,631,1214,655,289,3529,21,20,39,55,46,90,138,112,101,624,371,279,614,811,944,1400,1479,777,384,7065,65,180,459,594,738,585,93,12,0,2723,283,162,308,386,455,548,175,18,0,2330,18,13,31,43,44,63,26,3,0,242,9,9,25,11,18,15,3,4,3,103,375,368,815,1036,1257,1209,297,35,7,5400,31,42,61,51,61,67,5,0,0,310,28,15,27,24,35,40,10,0,0,187,59,63,88,71,93,103,16,3,0,495,438,428,906,1114,1344,1312,311,36,7,5897,282,102,241,292,391,1123,2304,1270,477,6491,59,34,89,115,139,176,260,215,146,1232,775,568,1234,1516,1875,2615,2875,1523,631,13615
1005,605,958,1657,1626,1673,1248,237,15,5,8023,519,328,445,360,392,656,1222,883,443,5242,102,128,108,98,109,124,115,126,115,1017,1226,1405,2212,2079,2177,2025,1570,1023,561,14279,193,830,2263,2129,2256,1550,218,20,4,9455,675,742,907,863,763,732,272,52,4,4999,44,90,160,81,82,124,35,3,0,616,34,50,65,48,39,38,10,4,0,281,950,1706,3387,3115,3141,2438,526,78,12,15352,66,123,110,101,95,52,6,0,3,556,151,117,62,54,46,37,12,0,0,473,219,238,176,153,143,84,11,0,0,1033,1166,1946,3560,3267,3282,2527,544,78,17,16382,1190,660,877,685,678,1215,2244,1482,654,9671,185,258,247,207,228,240,231,193,150,1934,2546,2864,4676,4154,4189,3979,3014,1749,824,27995
1006,616,586,1202,1596,2022,1564,465,58,6,8104,641,117,362,418,464,966,2246,1481,651,7349,60,39,89,133,147,159,183,145,102,1068,1320,744,1651,2147,2630,2691,2895,1684,759,16515,237,732,1648,1999,2587,1812,378,41,4,9437,769,394,750,973,1104,1145,645,115,10,5906,46,22,96,85,96,103,51,3,0,502,16,30,46,45,58,47,18,11,0,267,1063,1180,2534,3095,3839,3102,1091,176,23,16110,45,59,47,53,66,55,9,4,0,334,84,27,37,36,55,45,26,8,0,321,132,92,83,90,116,94,35,6,0,651,1198,1268,2619,3190,3957,3204,1129,183,23,16761,1191,206,473,577,696,1528,3855,2718,1030,12282,117,87,207,249,304,285,346,271,160,2031,2507,1565,3302,4012,4965,5014,5327,3169,1209,31077
1007,231,329,750,689,845,683,129,9,4,3661,197,111,261,206,263,567,827,641,334,3406,16,39,89,61,61,100,85,67,55,571,437,486,1097,948,1167,1344,1038,716,398,7629,94,359,927,819,1051,855,118,7,0,4229,257,195,381,372,407,412,139,18,0,2178,18,23,72,41,58,86,18,3,0,324,10,18,25,27,28,30,6,4,8,164,379,601,1410,1259,1543,1386,280,33,11,6902,50,61,99,85,100,54,0,0,3,453,41,30,47,31,33,27,6,0,0,216,90,95,143,111,127,85,8,0,3,668,471,696,1556,1371,1676,1467,290,33,13,7572,443,195,396,353,514,1011,1592,1078,495,6078,32,75,166,131,161,184,171,109,85,1120,949,962,2114,1861,2356,2663,2049,1219,593,14767
1008,205,141,368,570,849,680,107,13,4,2937,167,51,132,160,248,688,1393,855,278,3984,12,7,27,37,62,79,111,83,73,496,382,202,527,768,1159,1448,1610,953,358,7412,74,153,396,658,920,608,75,5,3,2899,238,123,221,357,584,556,153,20,0,2249,28,12,40,27,48,54,11,0,0,229,7,17,19,21,25,16,12,3,3,115,349,302,674,1069,1578,1232,253,33,9,5492,22,26,49,36,55,66,4,0,0,267,44,16,27,20,33,40,6,0,0,188,67,48,71,53,89,108,15,0,0,453,417,349,752,1119,1661,1339,265,33,9,5945,405,88,188,252,434,1221,2726,1626,517,7457,35,25,64,74,126,139,223,175,106,966,856,463,997,1452,2227,2700,3214,1826,633,14367
1009,5516,6640,12840,14735,16516,11912,2154,164,23,70495,3626,1604,3999,4222,4344,8728,15554,10426,5187,57694,376,468,825,913,1013,1065,1237,1237,1147,8291,9515,8713,17663,19869,21874,21709,18945,11828,6360,136480,1873,6708,16927,18785,20678,13488,1825,101,14,80401,6010,5030,7101,8861,9478,8302,2829,289,29,47941,306,382,1221,920,868,980,231,15,9,4930,191,323,456,494,460,331,117,41,18,2427,8383,12436,25712,29057,31488,23108,4995,457,64,135701,760,1012,1114,923,1093,778,52,11,4,5746,1290,538,575,613,534,530,114,22,0,4214,2044,1551,1692,1541,1622,1309,162,28,4,9956,10425,13990,27405,30599,33110,24418,5163,485,69,145662,8116,2858,5450,5953,7032,14535,28249,18757,8422,99381,803,925,1710,1859,2068,2150,2296,2097,1687,15595,19349,17777,34566,38409,42205,41107,35704,21338,10176,260630
