SUA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
1000,3112,3685,4065,2815,723,132,16599,125,1216,2040,2589,3430,1840,345,62,11654,2658,13289,16607,14658,15183,9808,3051,819,76076,2208,7653,11169,14308,15173,9719,3407,854,64487,13524,26225,28206,32801,31154,19513,7499,1770,160690,2159,2010,2000,2233,2066,1151,280,58,11962,1210,1875,2719,4097,4698,3787,1329,355,20070,16889,30101,32924,39130,37922,24450,9113,2186,192717,263,458,592,868,1336,1348,580,210,5653,13918,11043,12740,16507,19020,18619,12779,6000,110626,36175,65722,79177,91739,96127,68599,30005,10260,477806
1001,414,367,277,126,37,4,1623,24,268,302,333,327,150,24,4,1437,387,2032,1888,1206,1077,607,166,57,7428,379,1315,1220,1325,1183,694,260,68,6444,1912,3422,2743,2653,2211,1219,524,183,14872,282,257,184,193,125,64,17,9,1122,131,195,239,286,311,233,76,30,1497,2328,3874,3168,3133,2646,1515,617,219,17495,26,55,57,83,83,85,69,21,488,1082,939,851,897,1061,1015,897,422,7163,4251,8862,7899,7347,6655,4195,2064,796,42074
1002,350,333,319,208,75,26,1607,7,76,96,118,142,56,22,3,517,242,717,556,466,427,271,113,38,2830,85,196,226,302,272,196,86,22,1391,456,565,425,477,385,219,121,25,2660,111,39,25,30,34,12,12,5,264,57,35,37,81,78,60,30,13,382,620,639,487,587,489,291,161,38,3314,20,30,12,20,22,42,13,10,159,491,250,177,302,235,230,212,115,2006,1466,2191,1894,2129,1903,1289,685,256,11820
1003,120,149,143,89,27,7,629,7,40,82,90,128,57,17,3,426,61,495,628,542,559,343,120,57,2801,48,197,323,389,430,344,156,56,1942,251,529,645,728,758,484,240,90,3729,52,28,33,52,57,42,11,4,277,28,48,62,98,119,128,55,15,558,331,610,738,875,935,658,304,108,4561,5,16,23,24,36,57,23,17,200,187,181,210,280,366,391,422,399,2434,649,1635,2123,2345,2596,1941,1068,643,13005
1004,20,43,68,83,26,7,267,3,17,26,42,84,51,10,0,240,14,116,190,155,263,249,99,25,1113,26,91,153,158,240,253,105,34,1063,140,362,395,497,561,438,223,53,2666,35,40,28,32,29,25,9,0,187,25,25,52,61,87,102,36,8,400,197,419,480,594,678,566,264,67,3261,0,9,5,14,23,35,10,5,107,148,125,167,199,252,398,329,191,1812,384,793,1041,1205,1612,1653,848,333,7862
1005,167,158,181,104,34,10,812,10,88,108,120,102,75,15,3,519,201,851,727,587,482,257,102,30,3243,130,356,422,454,439,265,101,54,2221,671,1253,1035,965,774,449,200,64,5420,116,99,75,71,62,23,6,3,447,57,74,106,130,137,114,42,14,676,849,1428,1212,1168,975,585,254,80,6544,19,27,24,32,39,43,16,17,212,713,550,409,358,364,382,325,210,3320,1923,3462,3062,2874,2587,1709,850,409,16875
1006,244,245,286,280,118,21,1340,11,55,87,130,176,135,44,6,661,107,525,771,731,745,733,369,95,4064,106,309,499,594,600,622,313,103,3145,502,969,938,1078,919,657,381,95,5540,67,52,52,77,59,43,18,3,372,37,55,99,152,194,235,124,39,936,598,1077,1093,1299,1166,941,529,134,6842,7,18,20,37,71,78,41,27,302,321,259,321,415,429,598,486,265,3084,1161,2372,3039,3462,3469,3383,1905,644,19438
1007,46,35,35,15,3,0,192,0,37,33,35,48,18,4,0,178,65,220,171,164,174,75,22,0,893,24,132,163,201,170,80,31,10,804,264,581,459,555,534,321,126,39,2881,43,38,40,43,38,21,0,0,224,20,41,32,52,88,34,18,4,292,330,667,532,650,665,378,143,47,3399,6,11,3,18,22,12,13,0,78,196,239,199,256,282,332,285,253,2030,628,1361,1156,1353,1384,897,489,305,7572
1008,32,48,47,59,13,3,234,0,13,24,37,61,42,10,4,187,29,144,219,228,246,210,88,15,1186,23,83,169,240,286,280,126,17,1220,165,297,407,640,672,584,314,87,3170,30,21,35,45,39,48,4,4,219,10,27,35,72,104,110,55,9,434,211,351,475,756,809,740,379,100,3819,5,5,8,17,23,46,21,13,138,110,83,107,171,240,369,344,199,1615,371,699,1041,1502,1707,1743,980,351,8399
1009,1455,1368,1245,798,257,80,6198,62,455,698,731,901,474,152,34,3504,1350,5920,6295,4697,4246,2714,1102,316,26634,1183,3767,5093,5166,4302,2864,1215,416,23998,4704,9724,9720,10446,8702,5944,3023,1018,53288,764,571,619,631,554,341,83,34,3603,434,634,858,1257,1462,1306,532,192,6681,5896,10935,11204,12337,10715,7595,3641,1243,63568,86,218,270,398,499,534,283,130,2406,2707,2313,2529,3099,3431,4130,3953,2885,25041,11332,24570,27539,27803,25330,19099,10587,5098,151360
