SUA_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
1000,21,60,0,4,7,0,0,3,0,97,225,796,20,12,28,3,3,16,16,1114,1308,2002,135,121,209,74,32,74,56,4014,38,95,15,3,3,4,3,0,10,169,432,1066,94,101,93,35,25,35,24,1903,155,173,25,48,37,5,4,8,6,467,5512,9876,1133,1149,898,533,360,847,266,20566,28,16,16,16,9,7,5,12,3,114,2420,1534,924,863,352,310,322,432,112,7264,2585,1428,1472,1371,535,435,471,657,126,9082,13620,2203,33612,2972,2078,2721,9589,8916,1345,77059,536,126,302,179,113,218,391,642,27,2535,1068,283,497,405,168,368,674,755,80,4301,255,192,187,65,52,77,127,196,27,1176,1399,350,1064,311,172,428,1176,1330,514,6737,29607,20200,39504,7619,4754,5220,13181,13917,2610,136611,34,154,0,9,14,3,0,0,6,226,142,690,14,22,43,4,0,6,19,946,1016,3565,58,225,397,78,13,60,64,5485,56,173,6,17,30,0,0,3,5,292
1001,3,12,0,0,0,0,0,0,0,11,4,99,3,3,5,0,0,0,0,115,123,252,12,16,26,7,6,15,3,464,10,18,3,0,0,0,0,0,0,36,55,176,11,14,13,3,3,5,0,285,21,26,3,7,3,0,3,0,0,60,452,1154,137,136,140,70,75,59,30,2257,0,3,3,3,3,0,0,0,0,11,161,167,124,90,49,38,37,31,14,718,244,227,215,214,86,75,81,73,16,1220,803,322,3449,378,289,326,830,726,118,7235,25,15,41,31,17,30,47,51,4,253,41,18,44,29,25,41,72,54,4,340,18,28,18,11,4,6,18,3,11,113,31,32,68,27,9,27,68,64,47,380,1986,2554,4123,960,667,637,1245,1090,239,13501,3,24,0,3,0,0,0,0,0,29,13,86,0,0,7,0,0,0,0,102,94,403,4,35,31,17,3,10,3,611,5,18,0,0,3,0,0,0,0,35
1002,0,0,0,0,0,0,0,0,0,0,30,279,4,0,4,0,0,0,0,320,51,122,9,11,9,12,0,32,0,251,0,11,0,3,3,0,0,0,0,16,18,54,0,3,5,0,0,0,0,86,3,14,3,0,0,0,0,0,0,24,109,390,52,76,48,28,8,55,6,768,0,0,0,0,0,0,0,0,0,3,38,40,26,21,13,4,6,8,0,154,36,29,27,29,9,14,13,16,3,175,180,42,546,84,47,78,90,123,23,1212,5,8,14,8,3,8,11,18,0,71,5,5,11,12,5,9,12,14,0,78,3,7,3,8,4,3,4,3,0,34,15,6,9,9,8,5,9,12,11,85,498,1002,699,264,169,163,148,278,42,3271,0,3,0,0,0,0,0,0,0,3,13,191,0,4,3,0,0,0,0,217,31,202,4,12,27,3,0,10,4,299,3,13,0,0,0,0,0,0,0,15
1003,0,3,0,0,0,0,0,0,0,7,9,42,0,0,0,0,0,0,0,52,53,98,0,12,8,0,0,0,0,168,0,5,0,0,0,0,0,0,0,9,14,57,4,3,4,3,0,0,0,82,0,9,0,3,0,0,0,0,0,10,136,438,37,52,34,37,5,24,7,776,0,0,0,3,0,0,0,0,0,4,33,56,26,22,10,9,3,19,7,191,56,47,41,47,16,7,9,20,5,241,221,56,778,100,48,78,105,183,22,1598,5,0,3,3,3,3,3,15,3,43,14,5,14,14,4,12,8,23,0,99,0,11,3,3,0,4,0,6,0,35,7,9,19,13,7,15,11,30,10,118,539,852,924,272,131,173,163,316,53,3430,0,8,0,0,0,0,0,0,0,11,4,25,0,0,0,0,0,0,0,33,18,144,0,14,22,4,0,3,0,204,0,6,0,0,0,0,0,0,0,8
1004,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,5,11,27,5,0,0,0,4,0,3,48,0,10,0,0,0,0,0,0,0,5,5,21,4,6,0,0,0,0,0,27,0,7,0,0,4,0,0,0,0,10,39,102,10,22,6,6,4,12,7,218,0,0,3,0,0,0,0,0,0,4,19,22,14,16,10,3,0,9,0,94,20,20,18,13,8,10,3,3,3,96,129,26,456,59,31,84,79,112,18,995,4,0,5,9,5,5,3,12,0,40,17,3,10,11,3,12,3,12,0,69,4,3,3,0,0,0,3,0,0,13,13,6,15,9,0,11,4,18,8,88,269,245,543,143,73,122,104,173,40,1713,0,7,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,8,7,38,0,0,0,0,0,0,0,56,0,3,0,0,0,0,0,0,0,3
1005,0,4,0,0,0,0,0,0,0,4,4,59,0,0,3,0,0,0,0,68,44,130,3,4,14,0,0,6,0,200,0,5,0,0,0,0,0,0,0,4,18,59,3,7,0,0,4,0,0,89,20,16,3,4,0,0,0,0,0,45,184,484,66,83,35,37,18,40,9,949,0,0,0,0,0,0,0,0,0,0,49,55,32,58,7,13,6,10,3,244,83,59,69,66,26,24,25,20,5,383,314,96,1219,228,103,123,313,319,34,2750,9,4,16,14,8,14,15,21,0,104,21,7,16,8,6,20,19,27,6,124,4,5,8,3,0,6,6,9,0,45,16,3,29,10,3,8,17,31,15,131,752,991,1465,496,216,235,420,482,76,5139,0,6,0,0,0,0,0,0,0,6,8,58,0,0,3,0,0,0,3,68,36,172,6,18,18,0,0,0,3,248,0,15,0,3,0,0,0,0,0,22
1006,3,6,0,0,0,0,0,0,0,12,16,68,0,0,5,0,0,0,0,89,111,176,15,7,15,7,4,4,4,350,0,10,0,0,0,0,0,0,0,8,21,77,3,8,8,0,3,0,3,127,3,11,0,3,0,0,0,0,0,21,258,575,90,68,55,55,15,32,9,1150,0,0,0,3,0,0,0,0,0,5,89,101,56,38,12,27,10,28,0,366,85,69,68,51,23,22,27,20,7,374,363,95,1390,94,75,118,278,287,47,2747,12,3,11,7,3,8,13,17,0,68,34,13,15,25,9,15,19,20,3,145,11,15,7,5,3,6,3,6,0,60,19,20,27,9,0,11,21,40,17,170,1024,1232,1689,310,202,270,387,453,93,5671,0,8,0,0,0,0,0,0,0,11,3,48,0,0,3,0,0,0,0,56,56,247,5,17,34,12,0,6,0,380,0,8,0,0,0,0,0,0,0,8
1007,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,13,5,22,0,0,3,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,9,27,0,0,0,0,0,0,0,36,4,7,0,4,0,0,0,0,0,14,35,148,11,20,4,4,3,5,3,241,0,0,0,0,0,0,0,0,0,3,17,23,7,21,4,4,3,0,5,82,25,22,29,25,8,8,8,6,0,132,104,47,643,113,50,48,206,93,22,1327,3,0,0,7,5,5,9,10,0,42,3,3,4,5,3,7,14,7,0,47,3,3,4,0,0,0,3,0,0,20,7,3,9,3,9,5,22,20,8,85,223,315,715,198,86,81,268,146,39,2083,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,7,15,70,0,3,5,6,0,0,0,95,0,3,0,3,0,0,0,0,0,10
1008,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7,32,3,0,4,0,0,3,0,48,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0,0,4,43,156,15,26,3,5,3,6,3,256,0,0,0,0,0,0,0,0,0,0,13,30,8,13,5,3,7,3,3,83,29,30,28,14,9,5,8,12,0,134,131,40,514,70,30,47,111,171,19,1124,3,0,3,3,6,5,3,4,0,28,11,3,4,6,3,9,9,19,0,68,3,3,0,0,0,4,0,3,0,20,3,7,10,3,3,5,7,14,3,60,256,324,584,138,65,90,154,230,28,1861,0,7,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,4,14,42,0,3,3,0,0,0,0,62,0,5,0,0,0,0,0,0,0,6
1009,9,33,0,0,0,0,0,0,0,47,39,299,9,3,11,3,0,0,9,371,480,1007,59,56,104,42,11,23,27,1813,20,38,0,3,6,8,0,0,0,68,84,365,24,36,33,11,4,7,3,572,60,87,9,14,20,3,3,4,0,195,1362,4328,465,546,441,321,122,223,96,7910,6,8,8,6,3,4,0,3,0,44,624,687,406,380,223,161,113,118,41,2750,831,768,644,550,325,286,160,195,61,3819,2762,1063,11485,1311,996,1118,2157,2514,388,23777,88,57,93,79,45,79,90,157,9,699,172,134,180,195,91,154,186,205,18,1332,74,110,77,33,21,28,49,71,9,464,153,110,269,120,64,105,201,294,163,1466,6761,9096,13721,3339,2386,2324,3093,3802,815,45332,9,60,0,3,4,0,0,0,0,79,24,202,5,4,13,3,0,0,6,253,283,1394,38,82,162,35,3,11,28,2029,12,74,0,3,6,0,0,0,0,92
