SUA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
1000,460,433,919,1260,1482,1311,592,231,58,6745,11431,13355,29942,39195,49512,39720,10177,1630,290,195252,1435,2698,6393,7882,10976,12155,8253,2869,497,53157,88,471,2234,2622,2337,1304,161,21,5,9244,1337,2316,4562,5215,6014,4639,949,115,12,25156,56,262,865,1238,1584,1003,127,8,7,5144,1817,3371,6857,7412,8123,6372,1384,122,17,35467,365,580,1358,1774,2155,1694,455,64,4,8445,5702,3831,5619,6255,7745,6424,1596,189,32,37407,6580,3634,4494,4145,4885,4195,1192,114,18,29257,266,654,1892,3031,4538,4496,1604,157,18,16656,143,245,477,565,765,697,170,22,3,3100,94,356,1108,1331,1562,1032,221,38,3,5754,174,393,804,1059,1250,1008,386,78,11,5162,345,884,2744,3826,4285,3524,1374,169,18,17162,266,646,1773,2580,3579,2820,737,96,8,12505,403,1193,4345,6760,8396,5699,912,60,15,27780,482,1486,5214,7990,9630,8308,1627,125,20,34891,793,2636,7018,9396,13680,13329,2291,137,30,49311,407,503,825,1018,1200,970,351,51,9,5323
1001,43,57,82,100,102,78,32,9,0,498,1410,1965,4170,3949,4226,3174,565,39,6,19519,16,42,85,84,109,105,66,18,6,524,0,3,30,19,21,10,4,0,0,81,154,358,888,878,948,637,74,3,0,3946,7,13,69,54,96,62,10,0,0,308,191,469,925,721,636,536,96,9,0,3580,23,62,176,218,233,165,44,3,0,935,680,671,983,770,775,553,139,13,0,4579,929,563,598,374,318,244,70,3,0,3109,25,102,326,370,463,393,144,3,0,1828,31,62,110,98,58,38,14,0,0,407,11,53,182,191,182,103,17,6,0,748,18,48,106,96,105,79,36,0,0,486,31,118,369,359,358,269,100,8,0,1611,32,87,229,275,319,257,66,7,0,1275,154,470,840,885,924,557,77,3,0,3902,76,215,768,798,822,728,102,8,0,3513,100,424,1377,1294,1401,1234,194,9,3,6040,59,59,75,54,72,44,9,0,0,370
1002,8,7,17,16,12,9,13,3,0,93,393,577,907,877,1052,848,173,13,3,4838,19,48,112,71,81,42,43,14,0,431,0,0,9,7,14,4,0,0,0,41,18,28,44,35,40,27,13,3,0,204,0,4,16,13,20,13,0,0,0,67,33,63,126,96,104,112,19,0,0,558,6,13,36,20,29,27,10,0,0,147,223,254,220,148,160,107,23,3,0,1139,251,203,153,88,76,72,15,0,0,857,3,15,24,39,59,60,13,5,0,222,6,10,16,26,19,17,3,0,0,102,0,19,41,63,49,32,9,0,0,215,8,15,25,8,24,14,7,0,0,96,12,50,101,115,125,102,35,3,0,544,12,34,75,68,65,57,15,0,0,326,8,21,83,115,128,117,23,3,0,494,27,127,372,444,589,492,86,4,0,2141,37,147,313,253,352,271,53,0,0,1422,9,9,14,8,20,16,3,0,0,81
1003,4,5,21,43,34,31,13,0,3,159,303,354,779,1061,1297,1079,216,11,3,5094,9,13,26,19,30,34,31,4,0,171,0,3,20,21,10,15,0,0,0,64,24,51,77,100,98,75,19,0,0,452,0,0,21,17,15,19,8,0,0,72,29,82,207,195,228,147,39,0,0,925,4,8,11,37,41,31,9,0,0,143,223,144,191,177,225,215,61,3,0,1228,205,128,204,162,166,124,42,4,0,1029,3,22,24,51,81,98,33,0,0,309,3,6,16,29,28,22,4,0,0,106,4,14,33,52,45,41,17,6,0,201,4,8,24,44,48,50,21,0,3,201,3,25,78,161,132,122,39,3,3,557,7,15,44,82,94,81,20,0,0,341,4,14,80,145,194,146,21,0,0,602,5,36,184,256,347,260,48,0,0,1139,16,68,230,347,506,487,80,4,0,1745,5,24,17,26,31,21,20,0,0,141
1004,5,5,6,14,24,22,5,0,3,84,200,166,371,542,658,631,117,12,3,2707,4,7,17,15,16,18,7,4,0,90,0,0,3,7,0,0,0,0,0,12,4,18,33,31,42,58,7,3,0,200,3,0,11,4,9,17,0,0,0,46,27,41,107,119,125,95,31,0,0,554,3,4,11,15,19,19,3,0,0,77,136,86,116,155,162,159,29,5,0,850,125,67,109,99,104,100,25,0,0,643,0,4,9,32,50,48,21,0,0,171,0,6,11,8,17,12,0,0,0,58,3,4,10,10,22,9,5,0,0,64,0,6,17,21,18,30,8,0,0,103,3,4,20,37,49,44,22,0,0,185,3,10,33,50,54,57,17,0,0,223,3,11,61,88,132,83,10,3,0,395,10,12,64,93,85,117,18,4,0,394,5,39,82,151,213,236,41,4,0,766,10,9,8,14,19,16,8,3,0,77
1005,15,20,32,39,32,35,12,0,0,190,516,866,1567,1546,1605,1210,234,15,5,7567,8,21,59,56,65,48,26,14,5,300,5,13,85,46,38,23,0,0,0,216,57,107,241,309,341,214,36,7,0,1315,3,3,41,47,58,37,0,0,0,190,71,153,379,243,218,155,22,7,0,1254,11,28,65,56,34,48,17,3,0,255,245,338,410,284,236,171,44,7,0,1734,298,277,224,131,121,100,35,3,0,1191,9,29,71,115,146,124,33,4,0,530,22,34,67,59,38,17,0,0,0,240,3,14,54,43,58,36,7,0,0,219,4,21,38,42,40,35,14,0,0,194,4,45,146,144,99,112,38,7,0,599,13,29,97,94,137,73,22,0,0,461,9,76,313,340,344,249,30,6,0,1373,28,134,366,428,485,381,64,8,0,1895,48,225,443,422,473,433,72,5,0,2120,32,37,38,27,26,25,10,0,0,189
1006,10,9,25,56,64,55,28,8,0,256,545,550,1159,1540,1958,1506,451,53,6,7765,19,12,43,53,64,57,45,14,4,311,0,10,42,46,42,29,9,0,0,175,47,82,198,239,326,247,53,11,0,1193,0,4,28,33,44,34,8,0,0,142,93,169,342,324,327,276,60,7,0,1590,16,41,51,88,106,71,29,9,0,410,244,166,274,256,334,251,108,17,3,1651,434,201,277,201,201,140,48,7,0,1495,10,25,99,126,197,193,56,8,0,726,14,12,23,36,40,27,11,3,0,171,0,16,56,68,102,77,42,12,0,374,11,31,48,74,69,47,43,3,0,327,18,46,140,226,259,214,117,25,0,1040,7,30,86,150,164,139,45,4,0,629,5,13,121,166,218,126,33,5,0,685,16,50,175,314,453,379,106,11,0,1515,45,132,308,373,520,525,141,15,0,2068,22,13,28,41,47,39,20,3,0,218
1007,0,7,15,12,18,25,3,0,5,86,192,296,689,639,782,654,122,9,4,3395,7,10,22,23,19,29,13,0,0,118,7,53,203,177,176,122,8,0,0,743,9,22,25,30,35,22,6,0,0,150,0,4,17,33,40,45,5,0,0,141,17,38,77,55,72,69,11,0,0,345,3,15,34,24,26,22,6,4,0,126,116,97,175,142,155,111,29,3,0,834,148,93,119,73,100,102,22,3,0,664,3,14,39,34,72,77,22,4,0,264,0,16,18,14,11,12,4,0,0,69,3,3,17,17,26,13,3,0,0,89,3,5,8,15,6,12,4,0,0,61,4,13,32,23,27,27,12,0,0,138,0,14,30,42,56,62,11,0,0,207,3,13,83,97,151,125,18,0,0,492,4,37,135,124,133,126,17,0,0,579,14,100,267,220,326,278,63,0,0,1262,3,8,8,13,14,7,7,0,0,61
1008,6,3,8,19,15,20,9,5,4,85,172,129,337,546,798,640,96,13,4,2731,0,11,14,24,30,43,16,9,3,142,0,0,4,6,9,10,3,0,0,31,8,19,32,41,74,48,8,3,0,230,0,0,13,35,44,24,0,0,0,111,33,57,109,160,191,120,19,0,0,695,3,3,7,20,35,24,5,0,0,96,85,44,86,95,164,132,30,0,0,627,127,50,68,62,91,80,17,0,0,492,4,0,15,36,69,67,15,0,0,205,3,0,3,7,7,9,5,0,0,32,0,0,10,19,34,12,0,0,0,74,0,3,4,25,36,24,5,0,0,95,5,5,24,41,63,47,22,0,0,201,4,11,16,41,66,59,19,3,0,215,3,9,42,59,86,54,4,0,0,261,9,18,66,129,193,145,23,0,0,584,16,37,106,171,268,254,31,3,0,882,6,8,0,11,11,11,3,0,0,52
1009,121,166,332,427,472,376,112,28,7,2050,4529,5974,12026,13876,15680,11361,2103,146,20,65713,30,77,123,127,159,134,50,18,4,727,0,24,183,226,172,99,11,0,0,725,287,704,1564,1986,2183,1438,260,25,3,8450,12,65,263,382,412,331,42,0,0,1516,748,1738,3609,3524,3131,2066,392,22,5,15235,77,211,564,876,901,543,133,6,0,3316,2105,2257,2763,2527,2829,2163,504,43,9,15201,3213,1828,1709,1312,1257,861,186,28,3,10387,66,174,620,1046,1518,1319,322,25,0,5098,123,209,520,598,681,407,73,10,0,2621,39,234,950,1278,1201,713,132,13,3,4573,63,208,455,530,563,400,145,13,4,2371,101,485,1466,1847,1684,1240,428,38,4,7296,131,396,856,1066,1252,912,219,15,0,4852,71,302,1512,2327,2449,1603,241,10,6,8523,197,628,2100,2311,2584,2209,375,28,0,10429,317,1405,3810,4354,5590,4606,871,44,4,21016,209,278,428,402,357,245,102,7,3,2027
