SUA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
1000,72822,63587,60321,44234,46877,34042,32386,52129,7566,413955
1001,4284,7292,6285,5167,5172,4325,2874,4323,630,40346
1002,1068,2542,1069,1202,1236,1012,365,1028,124,9636
1003,1175,2297,1384,1313,1154,1150,426,1075,166,10133
1004,616,771,829,761,665,754,283,613,109,5400
1005,1624,2952,2171,2184,1836,1579,979,1788,241,15352
1006,2144,3217,2593,1812,1802,1674,948,1684,242,16110
1007,646,1111,1022,1047,751,704,721,761,138,6902
1008,570,965,902,744,636,574,356,659,89,5492
1009,14815,25253,20990,16981,18605,14557,8138,14054,2308,135701
1010,3288,5234,3716,3449,3622,3019,1448,3471,459,27704
1011,1798,3053,2381,2155,2217,1919,990,1866,274,16647
1012,651,1059,883,843,692,879,279,797,124,6214
1013,968,1426,1366,1573,1170,1051,799,1175,168,9708
1014,581,1007,883,1021,891,752,455,812,106,6499
1015,1075,1199,1190,801,986,896,559,1641,148,8499
1016,379,595,588,742,516,524,364,670,93,4467
1017,992,2195,1558,1575,1512,1345,639,1529,160,11502
1018,352,568,795,577,621,415,536,569,87,4523
1019,876,1694,1614,1026,1226,837,727,1091,161,9259
1020,556,760,896,525,519,531,635,559,63,5040
1021,351,565,1011,471,485,426,887,603,71,4860
1022,1232,1677,1712,1377,1222,1173,528,1068,169,10151
1023,19870,43427,31179,24274,27450,20261,14862,20408,2965,204697
1024,1387,2204,2328,2027,1547,1518,819,1567,214,13603
1025,1794,3579,2487,1994,2216,1657,1163,1805,244,16944
1026,508,669,703,499,530,454,480,439,84,4376
1027,1904,3863,2446,2319,2428,2009,744,1671,237,17633
1028,662,943,1314,994,830,634,1357,709,118,7570
1029,643,1003,1082,940,704,667,335,689,119,6170
1030,293106,568039,239111,198451,308774,188239,117556,154717,41437,2109429
1031,1808,3317,2533,1973,2144,1900,1149,2618,269,17701
1032,778,1274,1169,1148,927,1144,615,1304,141,8499
1033,608,870,881,729,585,695,249,645,73,5336
1034,2710,5273,3955,3420,3216,2765,1363,2675,319,25687
1035,12717,26183,19176,15537,16753,11742,8477,11332,1936,123844
2000,55538,43703,44563,31792,30499,24258,20506,38728,5201,294791
2001,1035,1472,1536,1072,1359,878,937,849,168,9307
2002,628,894,867,747,651,680,360,803,99,5729
