SUA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
1000,57,263,38,31,69,332,575,305,1216,9169,9192,1077,19445,1295,1132,2426,21873,17206,615,39694
1001,6,28,4,0,4,37,41,25,91,1129,1013,126,2266,153,135,288,2556,1568,42,4163
1002,3,8,3,0,4,10,14,7,33,286,228,18,532,29,26,57,585,389,15,993
1003,3,11,0,0,0,12,17,9,39,303,352,30,682,20,27,46,728,449,8,1190
1004,4,7,0,0,0,13,15,4,32,155,194,34,378,21,19,48,424,351,6,775
1005,0,6,0,0,0,5,21,10,40,489,378,40,909,42,48,90,1001,630,20,1650
1006,3,13,0,0,0,11,15,3,29,417,390,42,848,19,27,51,897,590,8,1495
1007,0,8,3,0,3,12,19,15,50,222,228,39,487,49,31,80,569,468,24,1059
1008,0,8,0,0,0,8,9,3,15,140,190,18,351,21,16,36,386,280,12,679
1009,25,92,3,16,17,110,141,97,347,4464,3938,438,8833,466,476,949,9781,6696,180,16651
1010,3,20,3,3,4,22,51,25,98,839,930,90,1858,98,112,216,2071,1401,40,3514
1011,3,19,0,0,0,19,39,9,66,563,419,53,1039,67,62,129,1167,712,21,1903
1012,0,13,0,0,0,8,15,3,32,201,259,21,484,36,20,61,538,495,7,1046
1013,3,6,0,0,0,6,18,11,32,315,264,38,621,37,46,82,703,452,18,1171
1014,0,3,0,0,0,6,13,3,28,234,208,14,456,38,47,93,549,549,14,1109
1015,0,7,0,0,0,8,18,9,33,242,151,12,405,18,19,36,443,285,22,749
1016,3,4,3,0,3,4,30,10,43,157,206,22,379,40,24,65,446,541,19,1006
1017,0,6,0,0,3,10,15,8,32,443,426,49,918,54,60,110,1025,722,16,1769
1018,0,0,0,0,0,0,11,4,17,113,152,14,280,19,23,42,324,349,12,688
1019,0,7,0,0,0,9,12,9,21,269,235,29,544,39,31,68,609,425,13,1051
1020,0,0,0,0,0,0,3,3,9,133,121,10,262,6,17,30,290,200,17,505
