SUA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
1000,536,382,3921,3635,846,7103,587,5459,457,22933,1621,2322,7061,4860,2283,3577,1700,5311,500,29240,7310,11088,12652,7339,6597,4675,4904,8436,951,63941,13652,14717,12027,8484,10000,5145,6502,8458,1334,80317,18528,16360,12723,10494,13476,6528,8842,11338,1633,99915,18018,14656,9673,7989,10641,5429,7609,10085,1483,85573,9720,3593,1985,1317,2708,1396,2052,2564,715,26058,2960,402,227,91,299,156,168,413,389,5102,488,62,41,27,34,33,20,54,115,881,72822,63587,60321,44234,46877,34042,32386,52129,7566,413955
1001,54,59,432,437,120,1005,53,524,45,2727,161,342,1084,863,340,632,201,495,84,4213,762,1992,1722,1183,898,776,564,816,97,8814,1096,1760,1146,942,1146,581,587,718,136,8122,1161,1610,1011,935,1393,667,712,835,138,8447,813,1247,722,682,1048,524,573,769,77,6464,196,255,147,116,210,126,174,159,40,1419,29,21,13,6,13,6,7,19,11,124,9,3,0,3,0,3,0,0,4,19,4284,7292,6285,5167,5172,4325,2874,4323,630,40346
1002,17,17,78,135,32,262,18,135,8,702,60,141,137,245,109,230,50,177,14,1156,160,496,259,268,217,172,73,237,16,1887,224,581,186,189,228,111,48,141,19,1720,294,640,192,194,336,118,83,169,23,2045,216,533,185,138,260,91,73,140,21,1658,82,132,28,29,47,23,19,29,17,409,14,7,3,3,11,3,0,4,5,47,0,0,0,3,3,0,0,0,0,11,1068,2542,1069,1202,1236,1012,365,1028,124,9636
1003,5,6,54,86,11,255,7,144,8,585,34,53,139,136,56,147,34,86,4,694,154,398,272,228,132,157,56,183,20,1591,281,605,304,263,239,136,69,169,38,2101,323,603,312,333,317,190,103,227,34,2448,272,503,246,233,317,195,117,202,35,2119,90,121,50,30,73,64,43,51,19,538,7,11,3,3,4,3,0,4,8,40,3,3,0,0,0,3,0,0,6,16,1175,2297,1384,1313,1154,1150,426,1075,166,10133
1004,7,3,48,63,18,155,8,73,4,375,15,19,81,59,41,73,17,60,10,368,86,100,177,130,90,90,40,86,15,815,136,163,150,142,138,114,68,103,25,1036,149,187,188,179,182,151,60,147,19,1257,179,219,158,162,161,128,68,117,23,1209,42,65,28,23,35,34,32,28,7,297,8,11,3,0,3,3,0,0,3,35,0,0,0,0,0,0,0,0,4,7,616,771,829,761,665,754,283,613,109,5400
1005,20,18,111,171,24,345,18,215,23,950,66,159,303,442,126,314,60,217,17,1706,311,728,671,461,359,308,179,320,44,3387,404,684,441,366,420,219,218,306,58,3115,420,654,330,401,469,186,247,378,36,3141,312,582,241,276,341,158,209,284,39,2438,79,117,55,55,82,36,41,62,12,526,18,15,7,0,5,5,9,12,9,78,0,0,0,0,0,0,0,0,0,12,1624,2952,2171,2184,1836,1579,979,1788,241,15352
1006,11,18,147,211,30,375,14,241,16,1063,67,88,311,223,91,169,61,157,22,1180,284,425,555,337,246,214,168,272,34,2534,454,714,516,338,340,252,185,260,41,3095,584,852,550,383,494,298,242,381,54,3839,512,772,405,251,415,228,201,287,36,3102,182,291,104,63,160,121,71,82,16,1091,46,56,8,11,23,14,8,5,10,176,4,4,0,0,0,3,0,0,3,23,2144,3217,2593,1812,1802,1674,948,1684,242,16110
1007,3,8,43,49,10,154,10,91,7,379,22,70,131,124,42,98,46,59,12,601,84,297,255,200,134,143,149,122,27,1410,135,222,194,203,140,95,143,106,18,1259,161,240,198,246,215,104,164,188,24,1543,181,216,168,191,167,95,175,169,24,1386,44,56,29,33,33,14,32,32,12,280,3,3,3,0,5,3,0,0,10,33,0,0,0,0,0,0,0,0,8,11,646,1111,1022,1047,751,704,721,761,138,6902
1008,0,8,52,76,8,104,15,83,4,349,13,20,72,68,21,34,13,60,5,302,39,119,174,100,77,63,32,64,13,674,119,227,192,130,128,88,63,91,16,1069,188,293,231,189,226,140,120,165,28,1578,156,246,154,151,134,126,97,161,16,1232,50,43,24,22,36,15,22,32,12,253,9,3,3,0,7,0,0,4,6,33,0,0,0,0,0,0,0,0,3,9,570,965,902,744,636,574,356,659,89,5492
1009,116,157,1109,1408,332,3100,250,1787,126,8383,626,1204,2637,2390,1135,2142,509,1617,191,12436,2480,5600,4994,3289,3030,2250,1333,2328,407,25712,3991,6409,4582,3204,4162,2097,1686,2449,486,29057,4182,6061,4247,3750,5084,2484,2078,3087,506,31488,2702,4603,2878,2506,3914,1963,1827,2321,397,23108,626,1102,501,411,895,489,428,430,118,4995,89,99,38,18,54,35,30,38,56,457,9,15,7,3,10,4,5,4,19,64,14815,25253,20990,16981,18605,14557,8138,14054,2308,135701
