SUA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
1000,2210,3746,3729,5247,6993,12273,6886,30414,1320,72822,3206,5632,7722,8664,10613,11740,5516,9806,692,63587,1926,3818,3912,5143,12435,14067,6802,10982,1231,60321,2209,7891,7341,9163,7372,4086,2294,2976,884,44234,1931,6180,6571,7973,11226,6603,2788,3082,537,46877,1355,8793,5090,5241,5042,3259,1901,2784,580,34042,1427,1861,2119,2322,5463,5468,4083,8887,759,32386,2046,10657,6450,6849,8261,7742,3397,5331,1399,52129,510,595,416,504,867,916,370,891,2504,7566,16812,49176,43351,51098,68267,66157,34043,75148,9912,413955
1001,119,138,182,264,627,834,675,1404,43,4284,339,486,737,1014,1417,1416,804,1026,54,7292,161,266,274,430,1382,1699,948,1037,87,6285,228,897,765,1012,889,562,353,373,86,5167,210,539,638,880,1398,805,414,261,36,5172,168,1212,615,671,631,390,267,311,55,4325,95,138,171,237,657,546,381,594,53,2874,165,947,553,599,723,662,313,264,92,4323,22,53,25,44,96,81,47,87,179,630,1515,4679,3954,5142,7823,6994,4200,5357,681,40346
1002,33,50,48,74,187,203,123,346,6,1068,108,264,221,278,534,430,235,448,32,2542,35,55,56,98,302,219,135,152,11,1069,69,253,189,220,198,112,57,75,36,1202,43,138,140,186,428,149,78,61,15,1236,52,310,150,151,151,68,45,68,15,1012,10,52,22,38,68,53,42,68,11,365,52,278,148,121,204,103,52,51,18,1028,7,15,5,0,13,17,3,18,41,124,410,1426,978,1165,2093,1344,761,1281,186,9636
1003,38,56,66,84,189,222,145,364,15,1175,78,211,298,356,387,445,169,329,28,2297,43,92,114,160,340,296,105,214,26,1384,46,227,224,346,207,100,75,76,16,1313,32,145,176,207,313,139,59,68,14,1154,42,316,189,180,167,92,55,86,11,1150,19,38,40,49,88,65,36,81,6,426,38,288,144,185,191,97,47,65,21,1075,5,21,9,13,15,18,3,11,67,166,339,1384,1263,1577,1902,1474,704,1281,211,10133
1004,16,35,34,68,100,116,66,178,6,616,42,85,100,108,138,124,61,106,5,771,25,63,60,95,170,204,88,109,14,829,33,146,145,168,117,58,33,49,12,761,50,80,86,123,178,75,32,34,4,665,46,212,112,120,119,63,25,50,13,754,11,23,22,24,66,42,35,49,4,283,14,190,101,96,82,54,34,28,13,613,3,13,9,8,17,13,0,9,34,109,242,848,669,810,988,754,370,615,103,5400
1005,44,54,59,111,284,279,221,554,11,1624,110,219,309,303,602,614,279,487,27,2952,59,96,90,132,535,517,287,430,31,2171,118,442,309,358,397,286,110,124,35,2184,86,206,183,268,592,264,123,106,14,1836,75,448,217,213,279,120,85,112,28,1579,31,45,49,64,203,188,112,265,21,979,78,386,197,192,372,276,110,161,27,1788,11,19,17,14,28,30,16,20,85,241,616,1909,1429,1657,3289,2570,1340,2261,281,15352
1006,50,109,117,159,255,420,269,758,16,2144,122,353,382,390,461,577,314,595,29,3217,49,158,174,224,516,641,334,461,35,2593,71,366,297,332,306,187,122,107,27,1812,62,267,250,284,366,296,119,147,16,1802,45,437,249,234,227,193,84,168,25,1674,34,64,46,83,208,162,92,248,11,948,58,401,235,238,274,220,113,121,22,1684,13,23,13,19,28,27,8,25,83,242,502,2177,1761,1963,2643,2727,1445,2625,267,16110
1007,17,27,18,48,126,124,67,208,10,646,56,58,84,108,246,263,115,172,14,1111,39,49,55,70,253,174,129,237,14,1022,69,143,125,249,197,129,62,64,12,1047,35,59,67,99,249,152,40,46,10,751,29,203,103,100,127,61,37,36,12,704,41,39,29,41,88,92,80,290,16,721,34,183,100,102,121,90,33,76,18,761,12,12,5,9,21,7,6,20,55,138,324,770,587,816,1433,1085,561,1145,164,6902
1008,24,30,23,49,80,107,63,182,6,570,45,92,113,132,166,197,94,124,8,965,25,65,71,89,183,230,86,140,13,902,25,152,143,178,91,56,39,38,15,744,34,64,97,135,152,88,28,37,7,636,27,140,98,94,98,48,20,36,5,574,11,28,43,38,63,47,38,81,9,356,27,168,95,99,92,83,27,54,15,659,5,9,8,8,13,7,3,9,34,89,229,746,685,815,932,863,402,709,115,5492
1009,433,505,658,983,2353,3503,1929,4318,127,14815,1112,2035,2934,2947,4595,5542,2244,3622,228,25253,521,1048,1272,1760,4467,5938,2347,3317,323,20990,761,2895,2784,3328,3082,1832,1060,977,260,16981,708,2163,2668,2708,4761,3157,1150,1096,193,18605,547,3960,2274,2067,2141,1575,712,1080,206,14557,252,557,580,710,1943,1477,867,1589,159,8138,484,3093,1804,1773,2390,2198,925,1118,269,14054,110,158,127,143,356,374,131,241,661,2308,4930,16425,15094,16420,26099,25596,11359,17348,2427,135701
