UCL_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
UCL101001,439,467,381,359,267,2373,110350,31817,4427,4674,1286,1320,1492,1522,1362,1171,3092,52175,895,58,39,13,10,5,8,15,10,88,1141,129665,10487,7369,1752,1775,1972,1913,1741,1439,5551,163660,161,12,9,5,0,4,0,3,3,254,449,189019,13534,8852,2033,2036,2188,2121,1948,1552,7233,230511,51351,808,667,128,121,89,109,107,62,1217,54662,62562,1303,1012,211,190,216,179,217,154,1539,67588,25492,2368,3193,781,750,830,792,752,513,1769,37246,703,26,16,0,11,3,4,5,3,95,867,88757,3698,4222,992,954,1047,979,974,678,3403,105697,147,4,6,3,0,0,0,0,0,174,341,140253,4511,4893,1121,1074,1137,1094,1085,742,4796,160695,23082,484,312,58,44,37,27,25,23,927,25026,29553,570,409,58,60,54,47,54,36,1101,31942,24053,1941,1544,253,267,251,203,206,138,1445,30307,464,24,10,3,3,0,4,0,3,104,607,54069,2532,1957,306,328,304,253,265,177,2658,62858,143,4,0,0,0,0
UCL102001,0,0,0,0,0,6,398,50,6,4,4,4,0,3,3,9,3,86,3,0,0,0,0,0,0,0,0,0,3,417,20,15,0,4,3,3,4,8,15,485,4,0,0,0,0,0,0,0,0,0,4,928,43,27,0,9,5,3,4,9,24,1059,391,6,8,0,0,0,3,0,0,10,414,286,3,0,0,0,3,0,0,0,14,306,58,0,7,0,0,0,0,0,0,0,72,4,0,0,0,0,0,0,0,0,0,4,346,7,7,0,0,3,0,0,0,13,381,0,0,0,0,0,0,0,0,0,0,5,735,8,13,3,0,3,3,0,0,30,795,161,0,3,0,0,0,0,0,0,9,177,233,0,0,0,0,0,0,0,0,6,239,86,0,4,0,0,0,0,0,0,3,95,7,0,0,0,0,0,0,0,0,3,6,322,5,3,0,0,0,0,0,0,15,340,0,0,0,0,0,0
UCL102002,4,12,11,3,0,39,1519,145,35,39,11,19,11,12,5,15,13,298,6,0,0,0,0,0,0,0,0,0,11,1475,104,95,13,21,24,18,10,18,51,1824,9,0,0,0,0,0,0,0,0,5,21,6850,329,221,32,52,44,36,28,18,210,7815,5891,144,148,24,23,9,19,22,0,194,6481,1338,17,31,6,7,6,0,3,0,33,1437,191,15,34,12,8,0,10,5,3,15,289,21,0,0,0,0,0,0,0,0,0,22,1541,38,66,12,9,8,10,10,7,46,1749,20,0,0,0,0,0,0,0,0,8,31,7456,176,213,37,35,18,34,35,5,252,8259,3520,117,54,3,5,6,7,5,0,161,3887,838,17,8,3,0,0,0,0,0,24,888,140,4,8,3,0,0,0,4,0,9,175,10,0,0,0,0,0,0,0,0,5,14,987,25,14,6,3,0,0,4,0,38,1083,14,0,0,0,0,0
UCL102003,0,0,0,0,4,7,173,18,0,0,0,0,7,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,7,155,10,17,3,0,7,0,0,4,5,205,4,0,0,0,0,0,0,0,0,0,4,1232,69,51,7,11,8,0,3,8,50,1442,1514,52,39,10,6,0,3,3,0,52,1684,151,5,5,0,0,0,0,0,0,11,174,11,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,3,163,3,6,0,0,3,0,0,0,11,189,9,0,0,0,0,0,0,0,0,0,9,1687,59,48,10,6,3,3,3,0,60,1884,1217,52,12,8,0,3,0,0,0,69,1367,160,0,0,0,0,0,0,0,0,5,165,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,9,181,4,0,0,0,0,0
UCL102004,11,9,3,4,3,27,1373,162,23,18,3,10,5,4,5,12,24,271,11,0,0,0,0,0,0,0,0,3,12,1381,94,51,15,18,16,13,12,14,48,1656,0,0,0,0,0,0,0,0,0,12,16,4561,225,128,27,34,24,22,20,15,170,5225,3655,29,19,10,8,3,4,3,3,104,3844,1193,8,16,0,0,0,0,3,0,32,1256,194,9,15,5,3,10,8,4,0,11,259,9,0,0,0,0,0,0,0,0,3,14,1396,21,36,3,3,10,11,9,0,45,1530,16,0,0,0,0,0,0,0,0,35,50,5073,51,56,12,10,13,9,5,3,183,5417,1720,21,8,3,3,3,0,3,0,86,1845,758,6,3,0,0,0,3,0,0,35,807,337,3,10,3,3,0,0,0,0,14,372,11,0,0,0,0,0,0,0,0,4,11,1106,7,13,3,0,3,7,0,3,49,1195,18,0,0,0,0,0
UCL102005,17,9,11,5,3,82,3095,533,58,50,9,14,22,19,14,20,29,759,38,3,0,0,0,0,0,0,0,6,47,3432,134,88,14,28,30,22,23,17,117,3909,14,0,0,0,0,0,0,0,0,0,16,8421,237,151,20,33,43,29,32,22,259,9250,4859,36,42,8,5,7,11,5,0,153,5134,2837,22,10,0,0,3,3,0,0,74,2944,948,26,19,7,6,5,3,12,7,39,1069,35,0,0,0,0,0,0,0,0,11,43,3819,49,28,7,8,14,8,7,11,119,4061,23,0,0,0,0,0,0,0,0,14,37,8697,83,74,14,17,19,16,20,8,281,9233,2875,11,20,4,3,4,0,0,0,108,3025,1900,0,0,0,3,0,0,0,0,69,1971,1243,23,14,0,6,11,0,0,0,77,1381,30,0,0,0,0,0,0,0,0,40,67,3168,22,20,0,6,11,0,0,4,194,3419,18,0,0,0,0,0
UCL111001,0,0,0,0,0,10,150,16,0,6,8,3,3,3,3,3,0,53,0,0,0,0,0,0,0,0,0,0,3,136,9,12,8,3,8,3,3,3,11,206,0,0,0,0,0,0,0,0,0,0,0,600,32,18,10,3,10,6,5,7,23,713,532,14,0,0,0,0,0,0,0,22,572,119,0,3,0,0,0,0,0,0,0,126,19,0,13,3,4,0,3,0,3,0,47,3,0,0,0,0,0,0,0,0,0,3,139,4,12,3,3,0,3,0,3,0,173,0,0,0,0,0,0,0,0,0,0,3,672,22,12,3,3,5,3,0,3,22,747,283,6,3,0,3,0,0,0,0,10,304,103,3,0,0,0,0,0,0,0,3,111,26,0,3,4,0,3,0,0,0,3,36,3,0,0,0,0,0,0,0,0,0,3,130,3,3,4,0,3,0,0,0,9,149,3,0,0,0,0,0
UCL111002,0,0,0,0,0,8,162,30,0,6,3,0,3,3,0,0,4,55,4,0,0,0,0,0,0,0,0,0,3,160,14,23,3,3,5,3,4,5,13,222,3,0,0,0,0,0,0,0,0,0,6,798,35,38,14,5,11,4,6,4,26,940,771,6,3,7,0,0,0,3,0,11,809,105,5,3,0,0,0,0,0,0,0,116,17,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,118,4,10,0,0,0,0,0,0,4,140,3,0,0,0,0,0,0,0,0,5,8,897,14,13,5,0,0,0,3,0,20,954,321,3,0,0,3,3,0,0,0,10,334,59,0,0,0,0,0,0,0,0,0,64,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,80,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0
UCL112001,0,0,0,3,0,0,71,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,55,3,6,0,0,0,0,3,0,0,78,0,0,0,0,0,0,0,0,0,0,0,246,6,19,0,3,0,0,3,0,3,281,227,3,3,0,0,0,0,0,0,3,235,20,0,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,255,3,3,0,0,0,0,0,0,3,271,104,0,0,0,0,0,0,0,0,3,110,14,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
UCL112002,0,0,0,0,0,0,75,8,3,0,0,0,0,0,3,0,3,20,4,0,0,0,0,0,0,0,0,0,4,65,12,10,3,0,0,0,3,0,4,94,0,0,0,0,0,0,0,0,0,8,8,345,17,18,3,5,5,0,7,3,19,417,309,3,0,0,3,0,0,0,0,11,324,64,0,0,0,0,0,0,0,0,3,68,4,0,0,0,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,3,0,0,3,0,3,75,0,0,0,0,0,0,0,0,0,3,0,372,6,0,0,3,0,0,3,0,14,408,173,0,0,0,0,0,0,0,0,9,175,34,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
