UCL_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
UCL101001,0,0,0,224,368,77295,3016,2263,365,379,347,282,292,201,3808,88254,8800,171,92,15,23,20,16,11,7,1003,10148,9086,128,105,9,17,11,9,11,4,823,10194,10585,430,269,51,34,42,34,35,19,1374,12872,197,3,3,0,0,0,0,0,0,106,312,19869,558,371,61,47,53,42,51,24,2301,23379,101,0,0,0,0,0,0,0,0,352,460,28772,730,463,75,67,72,58,59,31,3654,33978,270411,51772,51527,12103,12517,12470,12312,12635,7652,13554,456946,416967,132242,168187,29944,35745,42417,46182,48617,29310,23593,973202,117302,23227,30093,7033,9479,12712,12697,15172,11992,15322,255035,3778,938,1057,206,258,287,339,374,277,795,8304,538043,156412,199343,37183,45483,55414,59219,64165,41573,39713,1236544,774,141,162,55,41,41,58,74,113,3352,4806,809231,208318,251031,49340,58039,67922,71586,76872,49338,56615,1698292
UCL102001,0,0,0,0,0,484,5,3,0,0,0,0,0,0,25,521,61,0,0,0,0,0,0,0,0,7,73,68,0,0,0,0,0,0,0,0,6,70,51,0,4,0,0,0,0,0,0,8,54,3,0,0,0,0,0,0,0,0,0,7,119,0,4,0,0,0,0,0,0,10,136,0,0,0,0,0,0,0,0,0,4,10,180,0,3,0,0,0,0,0,0,28,214,2009,252,291,66,60,67,69,53,27,91,2971,1467,308,833,150,132,154,210,182,80,85,3599,275,15,54,8,13,16,29,29,31,29,504,28,3,8,0,0,0,0,5,0,6,49,1765,329,896,161,150,170,246,216,111,120,4153,6,0,0,0,0,0,0,0,3,17,32,3786,578,1192,225,208,234,311,274,140,225,7161
UCL102002,0,0,0,26,48,4530,141,64,12,7,12,8,12,3,231,5016,1283,28,15,0,3,0,4,0,0,100,1434,298,3,0,0,0,0,0,0,0,16,324,71,9,0,0,4,0,0,0,0,7,93,0,0,0,0,0,0,0,0,0,3,3,363,11,3,0,4,3,0,0,0,30,416,10,0,0,0,0,0,0,0,0,38,50,1661,36,12,0,5,3,4,3,0,172,1894,23546,2800,2623,446,460,355,341,302,157,1082,32107,5821,1371,2013,410,422,389,336,293,146,316,11527,641,148,247,45,61,60,85,91,87,111,1576,62,4,14,3,0,0,5,7,0,13,109,6517,1524,2275,460,485,455,426,393,236,436,13210,65,0,10,3,0,0,0,0,0,124,196,30125,4325,4906,908,945,811,772,689,396,1639,45520
UCL102003,0,0,0,5,11,1389,56,20,8,0,3,0,3,0,83,1559,461,22,3,0,0,0,3,0,0,59,551,46,0,0,0,0,0,0,0,0,6,54,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,7,71,3,0,0,0,0,0,0,0,0,6,11,521,20,4,0,0,0,3,0,0,80,632,5589,624,591,125,116,86,70,71,36,320,7621,703,191,384,86,75,72,104,54,37,71,1775,55,19,25,5,5,11,11,24,19,9,180,9,0,3,0,0,3,0,0,0,3,22,773,215,411,94,82,92,112,74,54,88,1983,25,0,0,0,0,0,0,0,0,19,48,6385,842,1006,220,197,174,174,144,89,419,9652
UCL102004,0,0,0,80,93,2841,30,22,4,4,3,7,3,3,215,3133,639,8,5,0,0,0,0,0,0,75,730,330,4,0,0,0,0,0,0,0,30,356,152,6,0,0,0,0,0,0,0,26,182,3,0,0,0,0,0,0,0,0,0,7,482,8,0,0,0,0,0,0,0,54,549,27,0,0,0,0,0,0,0,0,107,142,1148,19,6,0,0,0,0,3,0,238,1415,14343,1721,1922,434,517,333,332,389,217,718,20931,5289,1416,2476,528,736,739,844,887,543,404,13860,957,123,209,47,87,125,210,233,258,219,2479,41,19,12,5,6,3,4,4,4,16,111,6283,1552,2693,579,835,862,1056,1130,813,638,16438,67,4,3,0,0,0,4,0,0,256,336,20698,3280,4619,1011,1351,1195,1394,1518,1031,1616,37709
UCL102005,0,0,0,18,38,6066,30,39,3,12,12,3,0,3,314,6482,946,3,4,0,0,0,0,0,0,101,1053,655,0,0,0,0,0,3,0,0,66,721,513,9,0,0,0,3,0,0,0,83,609,14,0,0,0,0,0,0,0,0,45,60,1187,7,0,0,0,5,3,0,0,192,1395,13,0,0,0,0,0,0,0,0,13,22,2140,12,4,0,0,3,3,0,0,298,2476,20142,1403,1471,332,333,343,306,286,166,902,25679,12067,1533,2387,486,763,965,1180,1169,761,688,21993,3463,265,313,79,130,219,358,338,346,388,5907,158,12,13,4,5,3,3,3,3,107,305,15689,1802,2716,569,898,1183,1540,1504,1110,1186,28209,78,3,5,0,0,0,0,0,0,61,149,35911,3212,4190,907,1228,1525,1848,1795,1279,2151,54038
UCL111001,0,0,0,0,3,413,4,6,4,3,3,0,0,0,17,456,103,0,0,0,0,0,0,0,0,19,122,43,0,0,0,0,0,0,0,0,6,56,8,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,56,0,3,0,0,0,0,0,0,11,67,3,0,0,0,0,0,0,0,0,0,3,162,0,5,0,0,0,0,0,0,29,194,1982,222,226,46,54,28,31,39,28,97,2754,577,165,628,136,142,98,102,95,48,50,2045,77,6,103,58,42,44,49,43,23,12,463,10,0,7,0,0,0,0,0,0,4,23,660,170,733,200,184,143,161,144,76,63,2528,5,0,0,0,0,3,0,0,0,3,14,2650,394,961,249,235,169,190,181,102,163,5296
UCL111002,0,0,0,3,4,398,4,0,0,3,3,0,0,0,13,420,93,0,0,0,0,0,0,0,0,4,100,39,0,0,0,0,0,0,0,0,6,44,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,8,63,3,0,0,0,0,0,0,0,0,3,3,148,0,0,0,0,0,0,0,0,18,170,2882,329,361,107,61,75,54,48,20,97,4037,609,241,539,93,116,99,81,71,36,48,1922,93,29,44,15,12,17,45,34,12,31,331,12,3,0,0,0,0,0,0,0,4,18,711,272,585,104,128,112,118,106,50,83,2268,12,0,0,0,0,0,0,0,0,16,25,3600,604,951,205,183,189,175,152,73,194,6330
UCL112001,0,0,0,0,0,124,0,0,0,0,0,0,0,0,5,133,40,0,0,0,0,0,0,0,0,0,44,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,6,55,821,122,119,25,28,35,21,27,14,39,1253,200,110,305,53,90,116,174,246,146,41,1486,21,6,12,4,3,14,36,52,45,28,223,0,0,5,0,0,0,0,0,0,0,11,226,114,326,56,93,122,217,305,188,70,1722,0,0,0,0,0,0,0,0,0,0,3,1048,234,449,82,124,161,234,325,211,111,2983
UCL112002,0,0,0,0,0,209,0,0,0,0,0,0,0,0,5,218,56,0,0,0,0,0,0,0,0,5,69,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,12,79,1220,147,151,32,34,51,30,18,28,52,1760,303,127,216,53,50,42,45,61,26,14,941,24,8,16,4,8,8,14,12,16,12,123,3,0,0,0,0,0,0,0,0,0,9,333,133,233,58,56,51,63,76,42,27,1077,0,0,0,0,0,0,0,0,0,122,128,1558,280,389,91,92,98,88,98,70,199,2968
