UCL_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
UCL101001,133,2035,15,2049,..,38887,2015,40903,319,41227,..,22704,2788,25489,282,25773,..,13624,1242,14864,105,14971,..,5271,2328,7602,61,7670,..,8149,1553,9702,93,9797,..,33045,12797,45835,272,46107,..,83227,18240,101471,2137,103601,..,676751,132818,809567,7805,817371,..,5201,1328,6530,121515,128043,1185624,681946,134150,816099,129319,2131038,1193204,..,..,..,..,1193204,..,2391,35,2430,13,2437,..,76876,16807,93686,864,94548,..,212,8,218,20,234,..,51351,21285,72637,370,73010,..,86510,35874,122386,649,123032,..,6253,2765,9015,49,9065,..,144119,59917,204036,1071,205103,..,7787,1330,9114,75,9195,..,2646,66,2713,32,2749,..,9315,371,9689,92,9775,..,7433,220,7657,85,7741,..,31559,6972,38536,375,38910,..,12082,1570,13649,94,13742,..,29519,1828,31346,288,31634,..,11011,1556,12564,94,12656,..,4735,217,4952,24,4975,..,10591,1373,11970,133,12103,..,25180,2632,27818,203,28023,..,93116,9178,102297,834,103130,..,25840,4581,30420,354,30769,..,7265,1362,8624,67,8686,..,19025,10544,29564
UCL102001,0,5,0,5,..,132,8,142,0,138,..,55,9,59,3,62,..,29,3,32,0,30,..,13,0,17,0,19,..,12,0,12,0,17,..,28,9,39,0,39,..,310,50,355,14,371,..,2471,297,2766,45,2810,..,51,6,58,1012,1067,14287,2526,302,2824,1061,18173,14235,..,..,..,..,14235,..,15,0,18,0,18,..,35,8,44,0,41,..,9,0,9,0,9,..,36,9,51,0,51,..,88,22,111,3,115,..,8,3,9,0,9,..,129,34,166,3,172,..,82,19,99,0,104,..,16,0,16,0,16,..,25,3,32,0,32,..,55,0,55,0,58,..,73,19,91,0,91,..,69,13,80,0,80,..,104,5,111,0,111,..,153,28,181,3,179,..,26,0,26,0,26,..,49,4,58,0,56,..,104,4,108,0,108,..,509,55,563,3,571,..,217,31,247,4,257,..,17,0,20,0,20,..,17,6,21
UCL102002,3,56,0,56,..,441,23,466,4,469,..,630,66,690,8,696,..,55,0,55,0,55,..,130,30,159,4,165,..,50,6,60,0,60,..,126,33,158,0,158,..,1417,228,1640,40,1682,..,7244,986,8230,112,8340,..,424,38,461,7821,8286,131965,7668,1020,8693,7937,148587,140195,..,..,..,..,140195,..,196,3,202,0,204,..,189,28,216,0,222,..,30,0,28,0,28,..,282,128,409,0,413,..,601,258,859,11,871,..,29,15,41,0,41,..,917,399,1314,13,1326,..,101,3,104,3,111,..,223,3,232,3,229,..,336,19,346,0,351,..,442,15,456,6,463,..,249,49,295,6,303,..,36,0,37,0,37,..,154,12,167,0,167,..,93,21,114,0,114,..,40,0,37,0,37,..,50,5,51,0,51,..,111,14,132,0,131,..,486,52,540,3,543,..,458,40,498,3,501,..,221,23,246,0,246,..,225,91,312
UCL102003,0,7,0,7,..,76,0,76,0,77,..,65,5,67,3,70,..,0,0,0,0,0,..,23,0,29,0,29,..,4,0,6,0,6,..,9,0,10,0,10,..,243,34,283,8,285,..,1052,133,1184,24,1212,..,77,3,84,1881,1958,25370,1125,136,1261,1903,28537,27578,..,..,..,..,27578,..,10,0,10,0,10,..,14,3,15,0,15,..,14,0,14,0,14,..,30,15,46,3,43,..,77,36,108,0,108,..,15,0,15,0,15,..,114,45,166,3,165,..,7,3,14,0,14,..,33,0,33,0,32,..,59,6,69,0,67,..,107,0,113,3,111,..,27,0,27,0,27,..,8,0,8,0,8,..,14,0,14,0,14,..,31,7,39,0,40,..,3,0,3,0,3,..,4,0,9,0,9,..,12,0,12,0,12,..,73,9,82,0,87,..,67,8,74,0,74,..,89,21,107,0,114,..,10,6,20
UCL102004,0,61,0,63,..,408,12,416,5,419,..,357,37,395,5,397,..,155,9,164,0,162,..,114,41,156,0,156,..,33,7,40,0,40,..,200,72,272,0,272,..,1616,353,1974,49,2024,..,9258,1437,10700,135,10836,..,375,37,412,7012,7423,139663,9632,1479,11114,7150,157923,144526,..,..,..,..,144526,..,111,3,107,0,114,..,288,109,389,7,396,..,40,0,40,4,37,..,357,108,468,3,467,..,1028,241,1272,5,1271,..,104,38,139,0,141,..,1488,384,1871,9,1880,..,138,30,169,0,170,..,159,3,162,0,162,..,233,7,241,0,246,..,420,14,430,5,438,..,444,96,533,11,546,..,124,12,135,0,131,..,235,12,247,0,250,..,105,9,118,3,120,..,106,7,115,3,118,..,111,14,122,0,124,..,168,15,186,3,191,..,847,76,924,13,930,..,583,103,683,7,691,..,144,15,154,0,154,..,212,71,282
UCL102005,10,101,0,103,..,463,34,497,3,503,..,923,132,1055,6,1061,..,111,0,116,0,116,..,155,47,202,0,202,..,524,107,623,3,633,..,478,135,611,0,608,..,2125,501,2631,51,2682,..,16574,2973,19546,243,19796,..,317,44,358,6150,6508,102509,16891,3012,19905,6401,128813,105535,..,..,..,..,105535,..,92,0,88,0,88,..,1141,363,1504,11,1518,..,15,0,15,0,15,..,271,97,371,4,367,..,1096,350,1444,12,1458,..,99,50,151,0,151,..,1476,493,1966,12,1974,..,410,86,489,15,503,..,227,10,231,8,244,..,178,12,188,0,187,..,532,25,557,15,570,..,832,192,1022,24,1039,..,75,5,75,0,75,..,205,14,219,5,225,..,50,7,62,0,62,..,103,9,110,0,110,..,104,18,122,0,122,..,133,3,131,0,131,..,673,55,727,7,731,..,1778,400,2177,51,2226,..,139,19,158,0,158,..,132,62,189
UCL111001,0,13,0,13,..,81,3,83,0,85,..,32,0,33,0,33,..,20,0,20,0,20,..,12,3,19,0,19,..,0,0,0,0,3,..,7,10,14,0,17,..,236,56,290,8,301,..,1298,282,1585,22,1607,..,61,3,67,1603,1668,19852,1360,285,1650,1627,23120,21406,..,..,..,..,21406,..,20,0,20,0,19,..,22,9,28,0,28,..,17,3,24,0,23,..,22,6,26,3,28,..,65,28,85,0,85,..,0,0,0,0,0,..,90,30,120,3,124,..,15,3,17,0,17,..,35,0,42,0,42,..,30,0,28,0,28,..,65,10,71,0,71,..,62,9,69,0,75,..,38,7,42,0,42,..,63,5,72,0,67,..,112,20,129,3,129,..,37,3,34,0,34,..,6,6,10,0,10,..,155,147,299,3,302,..,412,181,592,4,595,..,47,7,55,0,59,..,9,0,13,0,13,..,10,5,9
UCL111002,0,5,0,5,..,88,0,93,0,93,..,60,4,61,0,61,..,21,0,21,0,21,..,12,5,16,0,16,..,7,0,7,0,7,..,29,10,38,0,38,..,298,60,359,6,364,..,1254,204,1462,20,1483,..,74,12,83,1872,1956,34603,1329,213,1545,1889,38041,36271,..,..,..,..,36271,..,62,0,66,0,66,..,44,9,49,3,55,..,4,0,4,0,4,..,62,29,90,0,92,..,84,84,170,0,170,..,0,4,5,0,5,..,142,116,261,0,262,..,7,0,4,0,4,..,13,0,13,0,13,..,40,0,39,0,39,..,70,3,66,0,69,..,19,0,24,0,24,..,21,3,23,0,23,..,48,3,51,0,51,..,59,10,63,0,63,..,9,0,10,0,10,..,23,0,29,0,29,..,35,6,39,0,39,..,198,17,213,0,213,..,35,6,45,0,46,..,13,0,13,0,13,..,14,13,25
UCL112001,0,13,0,13,..,53,0,53,3,61,..,29,0,24,0,24,..,5,0,5,0,5,..,8,6,13,0,13,..,3,0,0,0,0,..,22,3,31,0,31,..,163,25,184,4,191,..,888,137,1031,9,1041,..,28,0,27,691,718,7934,914,143,1055,694,9691,8799,..,..,..,..,8799,..,4,0,4,0,4,..,91,40,130,0,132,..,10,0,10,0,10,..,29,11,36,0,35,..,95,34,133,0,134,..,12,3,12,0,12,..,132,46,181,3,181,..,3,0,3,0,3,..,9,0,9,0,9,..,32,4,31,0,30,..,36,0,36,0,36,..,13,0,18,0,18,..,28,3,33,0,33,..,17,0,17,0,17,..,18,0,18,0,18,..,27,0,27,0,27,..,7,0,9,0,9,..,90,6,96,0,96,..,183,8,191,0,191,..,14,0,13,0,13,..,24,3,28,0,28,..,11,0,6
UCL112002,0,4,0,4,..,47,0,47,0,51,..,28,0,27,3,28,..,9,0,14,0,14,..,14,3,16,0,16,..,3,0,3,0,3,..,23,8,29,0,29,..,123,29,152,7,157,..,659,101,757,13,772,..,36,0,32,1607,1648,14224,690,102,790,1624,16638,15028,..,..,..,..,15028,..,14,0,14,0,14,..,29,6,33,0,33,..,10,4,15,0,13,..,22,9,33,0,33,..,40,10,47,0,51,..,3,0,9,0,9,..,70,19,88,0,89,..,11,0,11,0,11,..,14,0,14,0,14,..,17,0,17,0,17,..,29,3,33,0,33,..,12,0,12,0,12,..,19,0,23,0,23,..,20,0,20,0,20,..,28,5,30,0,30,..,13,0,13,0,13,..,6,0,6,0,10,..,29,0,29,0,29,..,112,8,124,0,123,..,20,3,26,0,27,..,20,0,22,0,22,..,5,0,6
