UCL_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
UCL101001,109512,699,125,25,7,5,35,14462,124874,128996,6562,2380,519,91,27,50,15996,154626,124644,21622,11675,3623,945,225,126,17310,180171,80333,40945,34286,10902,3229,897,491,14320,185401,40449,31389,52098,20123,6179,1839,1123,10777,163979,28296,24157,56810,25486,8040,2408,1605,9141,155946,24136,22633,53842,25598,8209,2596,1689,8531,147226,21379,20552,49871,24747,8386,2586,1780,8092,137389,18251,19234,44060,24099,8736,2834,1880,7611,126703,14477,15926,37307,21894,8357,2692,1881,6693,109237,10818,11104,33773,20225,7817,2535,1828,6236,94333,7148,6772,24314,15758,6722,2309,1929,5103,70055,4719,4528,16406,12653,6299,2589,2477,4463,54134,3490,3529,10872,9088,5183,2355,2823,4192,41534,4850,5082,12638,9598,5730,2776,3801,8285,52767,621505,234732,440465,224324,83937,28675,23513,141218,1798364
UCL102001,955,13,0,0,0,0,0,104,1075,972,97,40,6,0,0,0,103,1221,786,306,176,57,8,0,0,129,1468,530,320,341,107,38,5,4,122,1461,282,237,381,211,59,15,12,84,1271,241,203,442,240,68,27,16,58,1292,264,198,551,281,90,13,13,78,1488,205,166,477,268,93,26,16,72,1326,186,116,389,241,87,13,8,72,1112,131,83,294,223,80,23,12,48,893,74,62,222,164,71,24,20,47,677,42,42,145,150,59,18,10,47,511,27,17,101,116,62,28,19,42,418,13,12,59,73,47,22,18,24,272,18,29,66,80,50,21,28,59,341,4729,1897,3686,2209,789,235,192,1088,14825
UCL102002,8123,95,20,7,0,0,0,906,9158,6508,787,339,60,9,0,3,678,8389,4457,1588,1221,376,79,18,13,495,8262,2430,1928,2543,1084,305,91,45,451,8883,1328,1372,3329,1728,568,173,89,463,9050,1263,1325,3815,2091,756,238,123,524,10139,1247,1371,3901,2269,816,223,156,557,10545,1250,1273,3782,2368,847,251,130,557,10467,1199,1259,3935,2495,886,263,146,613,10791,1054,1049,3708,2400,852,218,118,570,9979,947,982,3645,2443,861,256,125,681,9941,751,733,2789,2124,851,260,122,589,8227,520,477,1839,1625,843,295,216,628,6444,460,319,1203,1213,742,285,243,623,5079,494,528,1414,1206,729,313,312,1235,6235,32041,15086,37499,23492,9153,2884,1840,9579,131576
UCL102003,1348,18,5,0,0,0,0,182,1556,1012,118,48,11,0,0,0,116,1294,684,245,183,60,8,0,3,97,1282,418,344,437,183,47,7,8,109,1557,282,302,545,264,73,27,7,105,1608,275,270,624,368,112,45,21,122,1832,261,277,646,405,144,38,24,128,1920,332,254,719,411,139,27,28,130,2028,309,294,792,483,201,52,22,172,2319,300,229,816,518,185,60,21,145,2274,262,224,876,489,193,53,26,176,2296,205,172,698,485,205,62,36,180,2040,171,114,485,415,235,73,61,169,1718,117,111,310,335,187,90,67,170,1381,158,156,375,329,185,66,69,316,1655,6129,3120,7561,4745,1913,600,385,2313,26762
UCL102004,8474,74,9,3,0,0,3,715,9280,9419,688,273,62,14,7,7,758,11216,6977,1610,1010,288,87,22,9,619,10633,3680,2397,2742,916,281,66,34,481,10595,1864,1628,3697,1737,501,140,84,378,10028,1472,1479,4277,2122,613,185,114,418,10673,1397,1416,4287,2123,661,163,108,462,10609,1328,1402,4150,2333,714,189,115,510,10737,1281,1184,4196,2440,838,221,101,555,10810,959,984,3857,2463,793,200,84,503,9847,768,803,3583,2340,858,221,122,531,9219,609,573,2614,1925,775,210,119,496,7327,411,350,1603,1479,731,274,205,526,5579,282,321,1073,1062,649,314,219,597,4511,320,449,1226,1075,624,297,280,1460,5730,39243,15368,38609,22350,8139,2502,1596,8993,136802
UCL102005,7414,101,6,3,0,3,0,799,8320,7607,551,283,45,13,0,0,760,9262,5028,1357,950,292,69,17,11,525,8250,2552,1777,2257,883,260,83,33,455,8297,1290,1207,3047,1404,453,138,86,372,8000,1069,1120,3589,1758,567,162,121,393,8778,1070,1073,3391,1793,588,206,128,417,8666,990,967,3386,1996,625,206,120,415,8705,909,913,3165,2086,752,201,104,474,8599,689,748,2854,1943,720,196,113,449,7720,499,597,2620,1820,646,180,98,477,6939,333,431,1982,1562,646,202,105,445,5710,316,329,1394,1261,635,250,168,394,4748,190,199,996,938,472,246,190,422,3652,203,320,1025,879,465,262,232,686,4066,30156,11691,30945,18660,6901,2356,1504,7484,109698
UCL111001,1337,25,4,0,0,0,0,165,1531,1325,165,61,18,0,0,4,162,1735,853,314,207,54,17,7,3,131,1588,471,331,415,162,43,15,8,121,1568,278,219,494,254,111,19,16,105,1498,194,177,542,312,117,41,34,101,1519,247,163,544,356,118,34,18,104,1577,182,177,524,352,122,42,18,92,1509,183,139,539,445,156,38,18,115,1626,157,140,469,393,150,52,20,120,1502,113,105,453,354,140,47,33,90,1333,102,83,295,282,130,51,33,93,1073,61,46,179,218,137,50,59,112,863,45,47,130,158,114,57,74,99,719,57,56,168,159,123,58,65,136,826,5595,2197,5026,3516,1470,520,402,1741,20478
UCL111002,2115,54,4,4,3,0,0,192,2366,1908,291,132,31,5,0,0,165,2519,1369,574,527,165,44,15,5,157,2854,689,567,852,393,122,40,18,146,2820,319,357,946,519,193,58,35,116,2543,277,313,976,590,225,65,47,115,2609,250,316,1042,588,211,71,46,136,2663,239,274,973,556,233,64,42,111,2488,201,235,939,624,184,54,39,121,2392,162,175,819,607,196,48,33,108,2148,147,154,702,552,235,70,48,126,2039,92,100,482,422,212,53,37,107,1508,82,66,287,272,168,86,66,101,1132,43,43,178,201,123,58,55,105,818,64,67,169,165,135,56,57,162,880,7971,3586,9027,5680,2292,741,530,1960,31779
UCL112001,900,10,0,0,0,0,0,110,1027,979,57,33,10,0,0,0,156,1235,405,122,89,37,15,8,0,76,745,221,134,135,70,14,9,4,52,640,108,105,140,87,29,9,15,36,536,89,75,152,129,48,22,15,35,561,82,66,171,127,45,15,21,48,582,68,59,180,137,62,22,11,62,603,88,62,205,135,60,18,7,54,632,71,50,156,122,56,14,3,31,510,46,49,155,113,48,9,8,35,468,52,34,116,101,45,17,14,42,429,29,20,84,95,49,23,31,35,373,20,16,38,68,44,27,31,32,277,21,33,63,73,51,27,37,42,337,3180,902,1722,1307,575,225,198,842,8955
UCL112002,999,17,0,0,0,0,0,166,1194,998,127,73,17,0,4,0,155,1372,551,226,190,65,21,6,9,70,1135,269,186,279,139,53,10,11,61,1015,148,127,335,203,71,16,14,52,961,107,133,367,230,83,36,22,41,1014,134,111,375,237,98,25,23,63,1074,122,118,337,213,99,32,23,62,1004,111,110,337,258,110,32,17,63,1046,83,85,308,210,91,26,17,65,888,73,75,292,202,85,25,20,71,842,60,50,187,173,80,25,18,39,630,45,43,122,120,79,40,35,55,525,50,22,94,104,65,20,35,66,456,42,36,118,85,74,32,40,118,548,3802,1466,3397,2256,1005,342,277,1149,13697
UCL112003,749,4,3,0,0,0,0,73,834,513,49,14,0,0,0,0,47,627,328,100,98,24,0,0,0,47,602,253,140,171,80,20,5,3,55,726,202,155,252,112,56,16,10,52,847,212,170,335,167,62,17,15,59,1032,250,176,372,167,69,15,15,51,1125,251,181,342,176,57,19,17,69,1117,333,180,354,222,90,27,7,93,1311,275,171,390,222,90,27,17,78,1272,215,149,392,219,87,24,12,89,1185,140,94,265,166,81,15,18,79,864,90,49,150,120,63,25,19,51,568,65,41,92,72,56,23,22,35,402,56,43,102,73,37,32,23,51,417,3944,1706,3322,1818,765,241,184,940,12914
UCL112004,678,4,0,0,0,0,0,77,765,305,29,6,3,0,0,0,36,376,206,58,49,22,4,0,0,25,366,109,110,102,40,14,3,0,25,394,101,71,192,82,15,13,4,24,498,79,69,225,140,51,10,5,48,631,92,88,261,173,58,15,5,52,750,107,93,248,136,61,7,7,51,716,141,99,249,188,68,15,6,47,807,137,81,284,185,73,11,4,49,829,163,109,354,204,83,14,12,53,1001,140,86,285,220,75,19,18,63,902,81,44,182,179,101,33,22,63,712,58,41,118,125,66,24,21,47,501,58,38,139,112,62,32,26,50,507,2448,1037,2695,1818,721,203,130,709,9763
UCL112005,537,24,9,0,0,0,0,77,645,434,121,73,14,3,0,0,56,708,269,137,160,57,24,3,4,49,703,157,138,166,113,32,11,6,60,688,88,81,165,120,52,20,20,35,575,62,73,231,147,57,19,16,46,657,63,65,218,153,54,16,12,41,631,58,65,221,155,74,24,18,47,677,62,78,243,152,75,37,16,57,705,50,52,233,154,61,14,14,44,637,52,41,205,152,68,18,8,36,592,24,42,150,129,59,15,8,36,465,25,20,104,100,59,22,19,32,384,16,12,80,71,51,16,19,55,317,21,42,93,75,48,7,26,82,385,1930,996,2349,1605,717,236,175,754,8763
UCL112006,1193,21,9,0,0,0,0,165,1386,965,128,52,23,0,0,0,117,1290,680,227,211,71,12,3,0,108,1323,374,272,370,178,65,15,10,91,1375,224,186,442,270,76,27,30,84,1335,179,200,546,326,145,32,32,84,1542,204,224,565,330,115,56,27,108,1629,209,211,573,354,151,41,30,121,1699,246,182,563,419,160,50,40,130,1790,183,171,562,420,152,43,34,104,1666,161,139,590,412,158,52,26,115,1650,113,97,416,341,145,42,27,98,1281,86,85,296,276,159,56,51,128,1124,58,50,202,180,112,62,49,107,814,51,76,197,185,117,64,49,296,1031,4920,2268,5603,3770,1584,538,403,1851,20939
UCL112007,921,24,3,0,0,0,0,142,1095,784,157,85,24,6,0,0,114,1168,709,235,216,94,28,14,3,117,1414,335,243,339,183,50,27,10,104,1288,162,157,290,220,107,29,24,66,1057,137,145,310,236,105,38,26,76,1065,145,100,353,235,107,29,29,76,1077,126,91,369,245,108,30,24,83,1077,125,88,349,307,133,33,18,94,1153,83,86,267,265,124,37,20,70,946,62,47,224,215,101,32,29,70,782,48,48,166,190,105,42,29,72,704,38,31,137,141,114,54,39,70,633,28,22,81,96,75,42,56,57,454,26,33,80,104,90,24,54,78,501,3737,1507,3268,2557,1251,433,367,1283,14419
UCL112008,547,14,0,0,0,0,0,71,631,413,83,49,6,3,0,0,49,597,330,160,120,41,17,3,0,54,723,180,140,201,98,36,13,9,49,726,90,84,193,112,54,16,9,34,602,96,86,210,139,66,28,11,39,675,111,63,244,147,63,18,14,42,702,94,75,248,174,75,18,17,32,731,89,86,242,170,68,26,6,48,732,92,57,215,181,82,15,15,39,705,64,46,198,160,74,18,14,51,621,49,36,160,131,84,36,17,53,564,52,13,113,105,57,37,15,58,444,37,15,56,85,43,20,25,50,339,36,30,66,76,55,30,31,123,445,2272,995,2330,1631,770,284,184,789,9248
UCL112009,767,17,0,0,0,0,0,104,884,710,99,36,5,0,0,0,108,955,434,148,127,45,11,6,0,91,871,200,174,213,121,43,5,4,70,836,167,113,273,146,55,24,11,45,846,144,108,265,139,68,18,17,63,819,139,118,296,175,66,29,15,74,915,151,128,280,197,84,21,23,82,961,128,99,330,229,105,32,27,72,1019,114,81,272,231,77,19,15,80,902,99,66,265,191,73,24,14,52,787,58,49,179,166,74,28,15,45,621,52,38,126,104,92,42,37,70,565,31,18,80,86,72,42,35,33,394,54,39,133,130,104,39,60,85,640,3252,1294,2878,1959,936,340,273,1087,12017
